isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
BambuTx34	BambuGene1720	NA	17.623925	0	1	NA
BambuTx139	BambuGene24963	NA	0.64989	0	1	NA
BambuTx328	BambuGene32628	NA	0	55.443895000000005	NA	1
BambuTx211	BambuGene41014	NA	1.256575	0	1	NA
BambuTx344	BambuGene60912	NA	0	0.92512	NA	1
ENST00000695969.1	ENSG00000000971	CFH	0.01524	0	0.5	NA
ENST00000695969.1	ENSG00000000971	CFH	0.01524	0	0.5	NA
ENST00000695969.1	ENSG00000000971	CFH	0.01524	0	0.5	NA
ENST00000367429.9	ENSG00000000971	CFH	0.01524	0	0.5	NA
ENST00000367429.9	ENSG00000000971	CFH	0.01524	0	0.5	NA
ENST00000367429.9	ENSG00000000971	CFH	0.01524	0	0.5	NA
ENST00000426151.7	ENSG00000004948	CALCR	0.030485	0	0.25	NA
ENST00000426151.7	ENSG00000004948	CALCR	0.030485	0	0.25	NA
ENST00000426151.7	ENSG00000004948	CALCR	0.030485	0	0.25	NA
ENST00000649521.1	ENSG00000004948	CALCR	0.280345	0	0.75	NA
ENST00000649521.1	ENSG00000004948	CALCR	0.280345	0	0.75	NA
ENST00000649521.1	ENSG00000004948	CALCR	0.280345	0	0.75	NA
ENST00000225275.4	ENSG00000005381	MPO	0.24986	0	0.5	NA
ENST00000225275.4	ENSG00000005381	MPO	0.24986	0	0.5	NA
ENST00000225275.4	ENSG00000005381	MPO	0.24986	0	0.5	NA
ENST00000699292.1	ENSG00000005381	MPO	0.06097	0	0.5	NA
ENST00000699292.1	ENSG00000005381	MPO	0.06097	0	0.5	NA
ENST00000699292.1	ENSG00000005381	MPO	0.06097	0	0.5	NA
ENST00000445419.6	ENSG00000005700	IBTK	0.09145	0	1	NA
ENST00000445419.6	ENSG00000005700	IBTK	0.09145	0	1	NA
ENST00000445419.6	ENSG00000005700	IBTK	0.09145	0	1	NA
ENST00000562020.1	ENSG00000005844	ITGAL	0.06097	0	0.1111	NA
ENST00000562020.1	ENSG00000005844	ITGAL	0.06097	0	0.1111	NA
ENST00000562020.1	ENSG00000005844	ITGAL	0.06097	0	0.1111	NA
ENST00000676652.1	ENSG00000005844	ITGAL	0.42057	0	0.7555499999999999	NA
ENST00000676652.1	ENSG00000005844	ITGAL	0.42057	0	0.7555499999999999	NA
ENST00000676652.1	ENSG00000005844	ITGAL	0.42057	0	0.7555499999999999	NA
ENST00000678203.1	ENSG00000005844	ITGAL	0.042675	0	0.07775	NA
ENST00000678203.1	ENSG00000005844	ITGAL	0.042675	0	0.07775	NA
ENST00000678203.1	ENSG00000005844	ITGAL	0.042675	0	0.07775	NA
ENST00000569725.1	ENSG00000005844	ITGAL	0.03123	0	0.05555	NA
ENST00000569725.1	ENSG00000005844	ITGAL	0.03123	0	0.05555	NA
ENST00000569725.1	ENSG00000005844	ITGAL	0.03123	0	0.05555	NA
ENST00000428113.5	ENSG00000005981	ASB4	0.15264	0	0.24435	NA
ENST00000428113.5	ENSG00000005981	ASB4	0.15264	0	0.24435	NA
ENST00000428113.5	ENSG00000005981	ASB4	0.15264	0	0.24435	NA
ENST00000325885.6	ENSG00000005981	ASB4	0.220655	0	0.7556499999999999	NA
ENST00000325885.6	ENSG00000005981	ASB4	0.220655	0	0.7556499999999999	NA
ENST00000325885.6	ENSG00000005981	ASB4	0.220655	0	0.7556499999999999	NA
ENST00000252172.9	ENSG00000006788	MYH13	0.233415	0	0.4671	NA
ENST00000252172.9	ENSG00000006788	MYH13	0.233415	0	0.4671	NA
ENST00000252172.9	ENSG00000006788	MYH13	0.233415	0	0.4671	NA
ENST00000621918.1	ENSG00000006788	MYH13	0.260315	0	0.5329	NA
ENST00000621918.1	ENSG00000006788	MYH13	0.260315	0	0.5329	NA
ENST00000621918.1	ENSG00000006788	MYH13	0.260315	0	0.5329	NA
ENST00000571141.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000571141.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000571141.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000577043.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000577043.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000577043.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000575199.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000575199.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000575199.1	ENSG00000007038	PRSS21	0.01041	0	0.3333	NA
ENST00000698624.1	ENSG00000007312	CD79B	0.09295	0	0.5	NA
ENST00000698624.1	ENSG00000007312	CD79B	0.09295	0	0.5	NA
ENST00000698624.1	ENSG00000007312	CD79B	0.09295	0	0.5	NA
ENST00000559358.1	ENSG00000007312	CD79B	0.09295	0	0.5	NA
ENST00000559358.1	ENSG00000007312	CD79B	0.09295	0	0.5	NA
ENST00000559358.1	ENSG00000007312	CD79B	0.09295	0	0.5	NA
ENST00000333360.12	ENSG00000007908	SELE	0.206965	0	0.41664999999999996	NA
ENST00000333360.12	ENSG00000007908	SELE	0.206965	0	0.41664999999999996	NA
ENST00000333360.12	ENSG00000007908	SELE	0.206965	0	0.41664999999999996	NA
ENST00000367775.5	ENSG00000007908	SELE	0.050805	0	0.16665	NA
ENST00000367775.5	ENSG00000007908	SELE	0.050805	0	0.16665	NA
ENST00000367775.5	ENSG00000007908	SELE	0.050805	0	0.16665	NA
ENST00000367776.5	ENSG00000007908	SELE	0.206965	0	0.41664999999999996	NA
ENST00000367776.5	ENSG00000007908	SELE	0.206965	0	0.41664999999999996	NA
ENST00000367776.5	ENSG00000007908	SELE	0.206965	0	0.41664999999999996	NA
ENST00000500320.7	ENSG00000009765	IYD	0.0922	0	0.1845	NA
