gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	Rank
geneComp_00006379	ENSG00000142538	PTH2	FT	RGC	6.436918019194676e-11	1
geneComp_00006119	ENSG00000139970	RTN1	FT	RGC	6.462694426203405e-10	2
geneComp_00004195	ENSG00000122705	CLTA	FT	RGC	2.4351388147073804e-9	3
geneComp_00000891	ENSG00000070087	PFN2	FT	RGC	9.713182022965378e-9	4
geneComp_00000625	ENSG00000057935	MTA3	FT	RGC	7.215901841109607e-7	5
geneComp_00000583	ENSG00000054523	KIF1B	FT	RGC	7.781218162371368e-7	6
geneComp_00010937	ENSG00000182287	AP1S2	FT	RGC	1.5308413366472224e-6	7
geneComp_00012497	ENSG00000204843	DCTN1	FT	RGC	4.729951568711841e-6	8
geneComp_00006166	ENSG00000140416	TPM1	FT	RGC	6.281203735246462e-6	9
geneComp_00001255	ENSG00000081479	LRP2	FT	RGC	1.0579166771037599e-5	10
geneComp_00011941	ENSG00000196924	FLNA	FT	RGC	2.6777530946146123e-5	11
geneComp_00000825	ENSG00000067606	PRKCZ	FT	RGC	2.9241158085060494e-5	12
geneComp_00011229	ENSG00000184752	NDUFA12	FT	RGC	5.6460779718361666e-5	13
geneComp_00011619	ENSG00000188157	AGRN	FT	RGC	5.6460779718361666e-5	14
geneComp_00002750	ENSG00000107758	PPP3CB	FT	RGC	5.841137554576374e-5	15
geneComp_00000272	ENSG00000013810	TACC3	FT	RGC	7.002418019811022e-5	16
geneComp_00011940	ENSG00000196923	PDLIM7	FT	RGC	7.002418019811022e-5	17
geneComp_00011012	ENSG00000182944	EWSR1	FT	RGC	7.075720429079378e-5	18
geneComp_00000298	ENSG00000018189	RUFY3	FT	RGC	7.22194102062991e-5	19
geneComp_00002480	ENSG00000105426	PTPRS	FT	RGC	7.285611645407067e-5	20
geneComp_00009255	ENSG00000168000	BSCL2	FT	RGC	9.551065940230207e-5	21
geneComp_00008831	ENSG00000165629	ATP5F1C	FT	RGC	1.249964584056256e-4	22
geneComp_00001682	ENSG00000097033	SH3GLB1	FT	RGC	1.3555909009871996e-4	23
geneComp_00001974	ENSG00000101150	TPD52L2	FT	RGC	2.1562933059027795e-4	24
geneComp_00006660	ENSG00000144724	PTPRG	FT	RGC	2.582641670987443e-4	25
geneComp_00001657	ENSG00000095713	CRTAC1	FT	RGC	5.063675072818297e-4	26
geneComp_00001330	ENSG00000084234	APLP2	FT	RGC	5.325546528440829e-4	27
geneComp_00004756	ENSG00000129003	VPS13C	FT	RGC	6.203029965459308e-4	28
geneComp_00005674	ENSG00000136717	BIN1	FT	RGC	6.307137407049827e-4	29
geneComp_00001773	ENSG00000100106	TRIOBP	FT	RGC	8.167217742902912e-4	30
geneComp_00000383	ENSG00000030110	BAK1	FT	RGC	8.910908535845004e-4	31
geneComp_00011016	ENSG00000182979	MTA1	FT	RGC	8.982574149585918e-4	32
geneComp_00011962	ENSG00000197043	ANXA6	FT	RGC	0.0010605803904193685	33
geneComp_00002098	ENSG00000102024	PLS3	FT	RGC	0.0012077784764269797	34
geneComp_00008524	ENSG00000164054	SHISA5	FT	RGC	0.001567078618218113	35
geneComp_00000322	ENSG00000021645	NRXN3	FT	RGC	0.0016137566092897552	36
geneComp_00000140	ENSG00000007372	PAX6	FT	RGC	0.0017509516204354868	37
geneComp_00011835	ENSG00000196405	EVL	FT	RGC	0.0022044005193838615	38
geneComp_00002807	ENSG00000108262	GIT1	FT	RGC	0.002275674621072677	39
geneComp_00009808	ENSG00000171735	CAMTA1	FT	RGC	0.0028770772305685677	40
geneComp_00004479	ENSG00000125744	RTN2	FT	RGC	0.0032894272844674823	41
geneComp_00005118	ENSG00000132405	TBC1D14	FT	RGC	0.0034338646212829305	42
geneComp_00009406	ENSG00000168894	RNF181	FT	RGC	0.0035255407837665818	43
geneComp_00011645	ENSG00000188343	CIBAR1	FT	RGC	0.003641482107595646	44
geneComp_00000589	ENSG00000054965	FAM168A	FT	RGC	0.003745899706199697	45
geneComp_00000816	ENSG00000067225	PKM	FT	RGC	0.004375678258957893	46
geneComp_00021107	novel_gene_chrM_46921	NA	FT	RGC	0.0051092137227580926	47
geneComp_00000505	ENSG00000047849	MAP4	FT	RGC	0.005834232776727059	48
geneComp_00015367	ENSG00000269891	ARHGAP19-SLIT1	FT	RGC	0.005834232776727059	49
geneComp_00006468	ENSG00000143324	XPR1	FT	RGC	0.007380096820256285	50
geneComp_00009136	ENSG00000167371	PRRT2	FT	RGC	0.008383689335252204	51
geneComp_00003832	ENSG00000118564	FBXL5	FT	RGC	0.008683942372539619	52
geneComp_00003126	ENSG00000111666	CHPT1	FT	RGC	0.011564411481954449	53
geneComp_00004969	ENSG00000130985	UBA1	FT	RGC	0.011871105524886924	54
geneComp_00004543	ENSG00000126214	KLC1	FT	RGC	0.012658874397731746	55
geneComp_00007884	ENSG00000159023	EPB41	FT	RGC	0.012658874397731746	56
geneComp_00004487	ENSG00000125814	NAPB	FT	RGC	0.013245584349352905	57
geneComp_00007181	ENSG00000150764	DIXDC1	FT	RGC	0.013245584349352905	58
geneComp_00010280	ENSG00000175582	RAB6A	FT	RGC	0.013245584349352905	59
geneComp_00001947	ENSG00000100979	PLTP	FT	RGC	0.015886787542186427	60
geneComp_00006354	ENSG00000142192	APP	FT	RGC	0.015886787542186427	61
geneComp_00010137	ENSG00000174437	ATP2A2	FT	RGC	0.015886787542186427	62
geneComp_00005941	ENSG00000138443	ABI2	FT	RGC	0.016819519562448718	63
geneComp_00002740	ENSG00000107643	MAPK8	FT	RGC	0.019466585402828498	64
geneComp_00012704	ENSG00000213442	RPL18AP3	FT	RGC	0.019708079313690337	65
geneComp_00011858	ENSG00000196482	ESRRG	FT	RGC	0.01990772722371559	66
geneComp_00009624	ENSG00000170396	ZNF804A	FT	RGC	0.020200187204699377	67
geneComp_00003665	ENSG00000116698	SMG7	FT	RGC	0.020761262204495808	68
geneComp_00004923	ENSG00000130706	ADRM1	FT	RGC	0.02404356452203429	69
geneComp_00002470	ENSG00000105379	ETFB	FT	RGC	0.024553075463246036	70
geneComp_00003277	ENSG00000112983	BRD8	FT	RGC	0.02461028851200624	71
geneComp_00015037	ENSG00000263001	GTF2I	FT	RGC	0.02582333346891587	72
geneComp_00000777	ENSG00000066044	ELAVL1	FT	RGC	0.0258813625822743	73
geneComp_00002033	ENSG00000101444	AHCY	FT	RGC	0.027846270421342766	74
geneComp_00009100	ENSG00000167113	COQ4	FT	RGC	0.02904571418513082	75
geneComp_00007756	ENSG00000157514	TSC22D3	FT	RGC	0.029121201904973953	76
geneComp_00002105	ENSG00000102054	RBBP7	FT	RGC	0.02916449063977606	77
geneComp_00003295	ENSG00000113269	RNF130	FT	RGC	0.030000906404472085	78
geneComp_00001831	ENSG00000100321	SYNGR1	FT	RGC	0.03203704550694011	79
geneComp_00011423	ENSG00000186184	POLR1D	FT	RGC	0.034075433158143625	80
geneComp_00000716	ENSG00000064490	RFXANK	FT	RGC	0.034362968442636796	81
geneComp_00006419	ENSG00000142949	PTPRF	FT	RGC	0.03686990133643873	82
geneComp_00001303	ENSG00000083457	ITGAE	FT	RGC	0.037313353774968076	83
