gene_id	DG-WT-hRGC	EP1-BRN3B-RO	EP1-WT_ROs_D45	H9-BRN3B-RO	H9-CRX_ROs_D45	H9-hRGC_1	H9-hRGC_2	hRGC
ENSG00000002016	59	41	36	17	38	29	76	111
ENSG00000003436	8	25	54	50	37	1	5	23
ENSG00000003509	83	67	85	34	59	10	72	124
ENSG00000004399	6	61	17	26	84	5	9	15
ENSG00000004864	16	30	16	27	22	5	15	23
ENSG00000004866	222	23	57	20	41	31	206	284
ENSG00000005020	186	33	5	17	16	19	59	141
ENSG00000005189	3	6	30	8	15	1	9	15
ENSG00000005801	154	42	52	50	61	20	101	154
ENSG00000005889	13	39	60	52	48	6	28	46
ENSG00000006125	70	26	36	15	31	7	47	87
ENSG00000006652	425	92	143	69	118	54	479	722
ENSG00000006704	88	71	63	55	72	20	87	130
ENSG00000007372	930	212	647	87	371	146	907	1713
ENSG00000007866	2	24	29	25	31	1	12	17
ENSG00000007923	59	50	50	36	21	22	26	63
ENSG00000008282	27	98	117	38	87	1	22	50
ENSG00000008513	42	30	11	8	2	3	23	34
ENSG00000008988	313	171	198	112	194	78	307	517
ENSG00000010803	88	54	107	49	69	9	93	173
ENSG00000011105	40	75	53	26	58	10	37	79
ENSG00000011258	124	141	195	71	141	23	92	276
ENSG00000012061	119	214	382	143	359	17	143	204
ENSG00000013364	6	9	3	20	2	5	29	24
ENSG00000013441	376	167	527	94	259	49	371	497
ENSG00000015171	135	125	111	117	117	17	59	159
ENSG00000015475	118	63	123	29	88	16	145	203
ENSG00000015479	567	305	302	115	213	63	292	448
ENSG00000018189	1871	813	870	670	485	175	1015	1775
ENSG00000021300	18	358	17	338	15	1	19	10
ENSG00000021574	189	65	58	32	48	15	76	187
ENSG00000022267	272	52	93	38	116	24	146	345
ENSG00000023171	18	246	42	214	35	5	17	26
ENSG00000025293	183	132	120	114	104	30	123	223
ENSG00000026297	44	66	22	48	32	11	57	97
ENSG00000031003	50	23	50	16	28	5	12	31
ENSG00000033170	125	90	51	42	45	15	75	127
ENSG00000035403	30	13	10	14	4	10	20	47
ENSG00000038382	640	188	114	113	111	85	271	546
ENSG00000044574	108	27	8	6	7	10	51	120
ENSG00000046651	34	106	87	41	20	10	43	86
ENSG00000046653	170	1522	1102	654	396	31	162	171
ENSG00000047249	252	73	126	72	91	21	133	250
ENSG00000047315	49	39	42	39	34	20	53	110
ENSG00000047579	58	52	58	28	37	10	63	81
ENSG00000047849	226	261	143	160	136	28	133	331
ENSG00000047932	25	13	15	9	15	4	19	46
ENSG00000048052	270	110	107	50	56	43	150	264
ENSG00000048342	68	126	49	140	44	20	84	108
ENSG00000048405	79	81	74	57	67	8	50	128
ENSG00000048740	217	143	169	111	130	12	103	229
ENSG00000049759	326	423	67	318	74	42	106	325
ENSG00000050820	129	145	134	75	175	11	57	186
ENSG00000053524	35	84	17	65	0	3	25	46
ENSG00000054267	174	103	58	54	37	27	123	227
ENSG00000055147	46	48	40	25	27	4	44	45
ENSG00000056487	9	42	24	15	23	1	3	23
ENSG00000058063	60	109	102	62	81	12	53	107
ENSG00000058799	81	46	68	49	67	14	48	112
ENSG00000060339	119	75	152	55	104	26	80	160
ENSG00000060718	19	91	109	38	44	6	17	31
ENSG00000060762	50	161	77	109	74	7	36	59
ENSG00000061676	112	72	60	65	43	25	109	239
ENSG00000062194	135	163	139	89	85	21	102	212
ENSG00000062485	38	46	40	17	24	7	39	48
ENSG00000062822	4	14	34	3	19	5	8	13
ENSG00000063601	30	37	25	30	22	5	29	62
ENSG00000064309	54	139	245	132	188	15	57	117
ENSG00000064490	41	86	127	46	122	10	82	115
ENSG00000065057	2	4	10	2	11	1	2	3
ENSG00000065526	326	249	210	149	168	59	208	496
ENSG00000065609	74	46	17	36	14	5	19	61
ENSG00000065882	74	71	64	43	81	5	45	116
ENSG00000065911	169	38	45	27	27	18	74	112
ENSG00000066136	104	68	94	44	65	14	68	140
ENSG00000066382	1089	330	147	170	82	132	466	1301
ENSG00000067057	12	124	33	81	20	10	105	139
ENSG00000067606	164	35	59	51	82	21	85	199
ENSG00000067715	224	133	120	180	78	19	70	157
ENSG00000067900	242	152	219	115	160	35	173	387
ENSG00000068615	41	6	6	5	14	6	12	22
ENSG00000068650	35	50	27	40	45	14	29	57
ENSG00000068796	81	94	98	88	72	18	68	135
ENSG00000069812	0	36	8	35	11	6	20	25
ENSG00000069849	250	77	449	43	428	11	126	202
ENSG00000069943	21	47	48	41	9	7	35	37
ENSG00000070010	268	304	375	243	339	30	152	284
ENSG00000070061	65	64	31	44	27	15	35	69
ENSG00000070087	1432	578	1097	364	954	117	1369	2170
ENSG00000070729	64	602	2	848	1	9	29	81
ENSG00000070756	75	67	55	37	54	23	102	146
ENSG00000070831	314	211	157	115	117	45	236	371
ENSG00000071127	177	130	90	96	85	20	91	218
ENSG00000071205	19	51	63	52	35	12	29	40
ENSG00000071553	27	22	20	18	15	5	14	36
ENSG00000071564	162	142	195	50	201	13	88	244
ENSG00000071859	392	172	175	175	167	37	289	479
ENSG00000072274	40	36	22	27	11	12	53	72
ENSG00000072803	141	133	60	127	83	25	78	167
ENSG00000073584	81	88	124	53	93	18	66	130
ENSG00000073803	330	438	365	334	133	97	567	862
ENSG00000073849	206	10	61	5	30	15	105	267
ENSG00000074266	26	30	32	11	18	8	34	33
ENSG00000074276	12	6	6	12	9	4	4	17
ENSG00000075151	152	129	135	78	88	17	103	207
ENSG00000075292	213	182	210	128	123	61	187	482
ENSG00000075391	220	108	95	114	68	52	193	301
ENSG00000075785	93	80	41	69	47	16	91	119
ENSG00000075914	126	154	202	117	138	42	184	283
ENSG00000076053	40	28	34	16	14	10	36	41
ENSG00000076108	130	139	132	95	142	34	210	351
ENSG00000076248	2	30	240	17	185	2	6	10
ENSG00000076554	157	135	65	135	28	15	165	338
ENSG00000076826	109	33	27	39	33	5	47	122
ENSG00000077254	252	106	142	81	113	31	171	330
ENSG00000077549	141	133	69	47	72	37	122	233
ENSG00000077585	40	255	114	270	99	4	70	131
ENSG00000077684	26	41	59	26	49	2	21	50
ENSG00000078053	135	47	73	27	58	5	60	145
ENSG00000078070	52	54	83	30	62	10	39	102
ENSG00000078269	5	15	5	15	16	3	8	18
ENSG00000078304	613	579	595	336	389	72	410	642
ENSG00000078328	125	8	12	5	14	2	26	95
ENSG00000078403	73	96	172	46	91	26	82	186
ENSG00000079101	3	21	5	57	2	2	1	7
ENSG00000079134	79	66	113	42	94	10	56	135
ENSG00000079246	56	51	55	41	40	13	57	68
ENSG00000079459	202	61	54	23	40	8	55	117
ENSG00000079819	18	201	29	383	29	4	9	24
ENSG00000080546	112	131	94	98	79	18	106	160
ENSG00000080845	338	134	150	88	147	48	255	449
ENSG00000081059	54	46	64	28	22	10	45	42
ENSG00000081087	18	71	25	43	31	3	16	29
ENSG00000081138	137	114	108	64	94	21	50	125
ENSG00000082014	201	218	154	103	136	15	71	183
ENSG00000082397	329	94	97	71	70	31	179	441
ENSG00000082515	95	158	193	90	123	27	110	155
ENSG00000083067	28	147	655	131	697	8	29	137
ENSG00000083312	264	152	184	121	116	40	205	351
ENSG00000083807	22	51	32	29	20	9	35	57
ENSG00000084676	237	325	134	248	111	48	185	383
ENSG00000085491	122	94	172	86	90	5	74	187
ENSG00000085832	354	89	99	46	56	31	199	345
ENSG00000085871	48	12	19	15	33	5	22	40
ENSG00000086619	57	67	18	42	33	11	46	93
ENSG00000087053	108	78	48	59	34	30	96	146
ENSG00000087258	558	75	25	79	44	55	221	463
ENSG00000087266	83	88	46	43	53	5	41	93
ENSG00000087274	185	172	78	135	43	25	96	125
ENSG00000087884	8	62	69	25	49	0	25	42
