Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
FT vs RGC	A3	A3 in isoform used less	27	27
FT vs RGC	A3	A3 in isoform used more	23	23
FT vs RGC	A5	A5 in isoform used less	55	59
FT vs RGC	A5	A5 in isoform used more	56	57
FT vs RGC	ATSS	ATSS in isoform used less	107	116
FT vs RGC	ATSS	ATSS in isoform used more	114	120
FT vs RGC	ATTS	ATTS in isoform used less	93	99
FT vs RGC	ATTS	ATTS in isoform used more	81	87
FT vs RGC	ES	ES in isoform used less	91	100
FT vs RGC	ES	ES in isoform used more	64	67
FT vs RGC	IR	IR in isoform used less	12	14
FT vs RGC	IR	IR in isoform used more	17	17
FT vs RGC	MEE	MEE in isoform used less	1	1
FT vs RGC	MEE	MEE in isoform used more	3	3
FT vs RGC	MES	MES in isoform used less	34	38
FT vs RGC	MES	MES in isoform used more	23	23
