ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007059	chromosome segregation	46/484	493/21261	4.903051075346398e-16	4.918596021061863e-13	3.349459432625229e-13	BIRC5/MKI67/HJURP/BRIP1/CDCA5/KIF23/UBE2C/NUSAP1/ASPM/NDC80/CENPK/TPX2/CENPF/CCNB2/MSH5/NCAPH/PLK1/MAP3K20/SGO2/STIL/KIF11/PTTG1/KIF14/CENPM/CENPE/CDK1/P3H4/CENPH/PSRC1/SMC4/AURKA/CENPN/FANCD2/MAD2L1/SPAG5/CENPU/KNTC1/HAUS4/NCAPG2/KIF22/ECT2/TACC3/PRC1/NDE1/FLNA/NEK7	46
GO:0000280	nuclear division	46/484	498/21261	7.1909298553536e-16	4.918596021061863e-13	3.349459432625229e-13	BIRC5/MKI67/NFIB/NFIA/IGF2/BRIP1/CDCA5/KIF23/UBE2C/NUSAP1/RAD51AP1/ASPM/NDC80/CENPK/ANLN/TPX2/CENPF/CCNB2/MSH5/NCAPH/PLK1/KIF11/PTTG1/KIF14/RAD51B/CENPE/CDK1/P3H4/PSRC1/SMC4/AURKA/FANCD2/MAD2L1/SPAG5/CCDC8/BRCA2/PDGFRB/KNTC1/NCAPG2/KIF22/PRC1/NDE1/CDC14A/FLNA/FANCM/OBSL1	46
GO:0140014	mitotic nuclear division	35/484	303/21261	3.0950520750464987e-15	1.4113437462212034e-12	9.610951180407546e-13	BIRC5/MKI67/NFIB/NFIA/IGF2/CDCA5/KIF23/UBE2C/NUSAP1/NDC80/CENPK/ANLN/TPX2/CENPF/NCAPH/PLK1/KIF11/KIF14/CENPE/CDK1/PSRC1/SMC4/AURKA/MAD2L1/SPAG5/CCDC8/PDGFRB/KNTC1/NCAPG2/KIF22/PRC1/NDE1/CDC14A/FLNA/OBSL1	35
GO:0030198	extracellular matrix organization	38/484	376/21261	1.5421259445954984e-14	4.5380409562690755e-12	3.0903095154648594e-12	CCN1/COL1A2/LAMB2/COL2A1/PDGFRA/ADAMTS19/PDPN/COL9A1/SERPINH1/COL5A1/FKBP10/MFAP4/SMAD3/COL4A1/COL9A3/COL5A2/ADAMTS1/PBXIP1/COL4A5/P3H4/COL4A6/COL18A1/COL4A2/CYP1B1/SULF1/FBLN1/TGFB2/MMP14/COLGALT2/COL27A1/B4GALT1/COL9A2/CRTAP/EFEMP2/AEBP1/NOTCH1/ANTXR1/FLRT2	38
GO:0043062	extracellular structure organization	38/484	377/21261	1.679525160747498e-14	4.5380409562690755e-12	3.0903095154648594e-12	CCN1/COL1A2/LAMB2/COL2A1/PDGFRA/ADAMTS19/PDPN/COL9A1/SERPINH1/COL5A1/FKBP10/MFAP4/SMAD3/COL4A1/COL9A3/COL5A2/ADAMTS1/PBXIP1/COL4A5/P3H4/COL4A6/COL18A1/COL4A2/CYP1B1/SULF1/FBLN1/TGFB2/MMP14/COLGALT2/COL27A1/B4GALT1/COL9A2/CRTAP/EFEMP2/AEBP1/NOTCH1/ANTXR1/FLRT2	38
GO:0045229	external encapsulating structure organization	38/484	379/21261	1.9903688404688927e-14	4.5380409562690755e-12	3.0903095154648594e-12	CCN1/COL1A2/LAMB2/COL2A1/PDGFRA/ADAMTS19/PDPN/COL9A1/SERPINH1/COL5A1/FKBP10/MFAP4/SMAD3/COL4A1/COL9A3/COL5A2/ADAMTS1/PBXIP1/COL4A5/P3H4/COL4A6/COL18A1/COL4A2/CYP1B1/SULF1/FBLN1/TGFB2/MMP14/COLGALT2/COL27A1/B4GALT1/COL9A2/CRTAP/EFEMP2/AEBP1/NOTCH1/ANTXR1/FLRT2	38
GO:0001654	eye development	40/484	431/21261	5.2351170248546875e-14	1.0230914414287446e-11	6.967035439092329e-12	HES1/CRYAB/LAMB2/CPAMD8/FOXN4/PDGFRA/NFIB/NFIA/VIM/GLI3/TFAP2A/COL5A1/SMAD3/COL4A1/FBN2/COL5A2/MAF/MFAP2/BCL2/CDON/EGFR/MAN2A1/MERTK/CYP1B1/TGFB2/TGIF2/BMPR1B/FBN1/PROM1/FAT1/SDK2/OLFM3/PDGFRB/MEIS2/NECTIN3/CRB1/SPRY2/PBX1/NOTCH1/B9D1	40
GO:0150063	visual system development	40/484	435/21261	7.093186406127067e-14	1.2129348754477285e-11	8.259828907134808e-12	HES1/CRYAB/LAMB2/CPAMD8/FOXN4/PDGFRA/NFIB/NFIA/VIM/GLI3/TFAP2A/COL5A1/SMAD3/COL4A1/FBN2/COL5A2/MAF/MFAP2/BCL2/CDON/EGFR/MAN2A1/MERTK/CYP1B1/TGFB2/TGIF2/BMPR1B/FBN1/PROM1/FAT1/SDK2/OLFM3/PDGFRB/MEIS2/NECTIN3/CRB1/SPRY2/PBX1/NOTCH1/B9D1	40
GO:0048880	sensory system development	40/484	448/21261	1.855882354964159e-13	2.8209411795455216e-11	1.921001034085708e-11	HES1/CRYAB/LAMB2/CPAMD8/FOXN4/PDGFRA/NFIB/NFIA/VIM/GLI3/TFAP2A/COL5A1/SMAD3/COL4A1/FBN2/COL5A2/MAF/MFAP2/BCL2/CDON/EGFR/MAN2A1/MERTK/CYP1B1/TGFB2/TGIF2/BMPR1B/FBN1/PROM1/FAT1/SDK2/OLFM3/PDGFRB/MEIS2/NECTIN3/CRB1/SPRY2/PBX1/NOTCH1/B9D1	40
GO:0045787	positive regulation of cell cycle	36/484	370/21261	2.4586788786897807e-13	3.36347270604762e-11	2.2904534817267955e-11	HES1/BIRC5/IGF2/RRM2/CDCA5/KIF23/UBE2C/DTL/NUSAP1/RAD51AP1/NDC80/NCAPH/MAP3K20/ADAMTS1/STIL/KIF14/EGFR/RAD51B/CDK1/PSRC1/SMC4/AURKA/TGFB2/MAD2L1/SPAG5/DYRK3/BRCA2/PDGFRB/MEIS2/NCAPG2/CDC73/ECT2/CDC14A/PBX1/LGMN/MTA3	36
