ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0099504	synaptic vesicle cycle	17/255	216/21261	1.1017892134854481e-9	1.4389367128119953e-6	1.2026899098783262e-6	DNAJC6/SCRIB/ATP6V0A1/NAPB/GIT1/RIMS1/PFN2/ATP6AP2/BIN1/PPP3CB/STX1A/GIT2/AMPH/STXBP1/AP2B1/PRRT2/DTNBP1	17
GO:0099003	vesicle-mediated transport in synapse	17/255	241/21261	5.81870463343055e-9	3.799614125630149e-6	3.1757877394039376e-6	DNAJC6/SCRIB/ATP6V0A1/NAPB/GIT1/RIMS1/PFN2/ATP6AP2/BIN1/PPP3CB/STX1A/GIT2/AMPH/STXBP1/AP2B1/PRRT2/DTNBP1	17
GO:0043254	regulation of protein-containing complex assembly	22/255	470/21261	6.20682689897734e-8	2.7020386433548015e-5	2.258413857627895e-5	BAK1/EML2/PRKCZ/SEPTIN8/SRC/NAPB/GIT1/PFN2/BIN1/DCTN1/ATAT1/MAPK8/CLASP1/CDC42/STX1A/EVL/ADD1/TOGARAM1/STXBP1/GSN/PRRT2/AKAP9	22
GO:1902905	positive regulation of supramolecular fiber organization	14/255	210/21261	2.645640880211789e-7	8.63801747389149e-5	7.21981471784112e-5	GIT1/PFN2/BIN1/DCTN1/CLASP1/CDC42/ARHGEF10L/EVL/FLNA/TPM1/TOGARAM1/GSN/AKAP9/APP	14
GO:0007163	establishment or maintenance of cell polarity	14/255	239/21261	1.2563323137634085e-6	2.761646550659737e-4	2.3082352486774785e-4	PLK1/PRKCZ/RUFY3/SCRIB/DCTN1/CLASP1/CDC42/LHX2/CENPA/MAP4/DLG3/PDCD6IP/GSN/PAX6	14
GO:0051017	actin filament bundle assembly	12/255	179/21261	1.806652430206263e-6	2.761646550659737e-4	2.3082352486774785e-4	SRC/PFN2/CLASP1/CDC42/EZR/ARHGEF10L/EVL/ADD1/FLNA/PAWR/TPM1/PPFIA1	12
GO:0051495	positive regulation of cytoskeleton organization	13/255	213/21261	1.9204545372046802e-6	2.761646550659737e-4	2.3082352486774785e-4	GIT1/PFN2/BIN1/DCTN1/CLASP1/CDC42/ARHGEF10L/EVL/FLNA/TPM1/TOGARAM1/GSN/AKAP9	13
GO:1902903	regulation of supramolecular fiber organization	19/255	444/21261	1.934604799043601e-6	2.761646550659737e-4	2.3082352486774785e-4	EML2/GIT1/PFN2/BIN1/DCTN1/CLASP1/CDC42/ARHGEF10L/EVL/ADD1/MAP1A/FLNA/BMERB1/TPM1/TOGARAM1/GSN/PPFIA1/AKAP9/APP	19
GO:0010639	negative regulation of organelle organization	18/255	405/21261	2.1357881395017923e-6	2.761646550659737e-4	2.3082352486774785e-4	BAK1/TBC1D30/EML2/PLK1/SRC/MUL1/PFN2/CLASP1/MAP4/ADD1/FBXO5/RNF41/FEZ2/BMERB1/AKT1/GSN/PRRT2/PPFIA1	18
GO:0061572	actin filament bundle organization	12/255	183/21261	2.2769905388118707e-6	2.761646550659737e-4	2.3082352486774785e-4	SRC/PFN2/CLASP1/CDC42/EZR/ARHGEF10L/EVL/ADD1/FLNA/PAWR/TPM1/PPFIA1	12
GO:0031109	microtubule polymerization or depolymerization	11/255	152/21261	2.326042270846639e-6	2.761646550659737e-4	2.3082352486774785e-4	EML2/GIT1/DCTN1/CLASP1/MAP4/FBXO5/MAP1A/BMERB1/TOGARAM1/KIF2A/AKAP9	11
GO:0032970	regulation of actin filament-based process	18/255	412/21261	2.7163975749670688e-6	2.902462963843865e-4	2.4259322104506234e-4	ACTA2/PFN2/BIN1/SLC4A2/CLASP1/CDC42/ARHGEF10L/EVL/ADD1/FLNA/ANK2/TPM1/GSN/PPFIA1/AKAP9/BCAS3/CNN2/ARHGAP17	18
GO:0021543	pallium development	13/255	221/21261	2.889128524500019e-6	2.902462963843865e-4	2.4259322104506234e-4	ATG16L1/NTRK2/OGDH/ATAT1/LHX2/GLI3/FLNA/BMERB1/TACC3/RAN/PAX6/RTN4/PTPRS	13
GO:0048588	developmental cell growth	14/255	260/21261	3.37470308067406e-6	3.148115873828802e-4	2.6312534546308274e-4	PRKCZ/RUFY3/RIMS1/MUL1/PPP3CB/ZFYVE27/LHX2/MAP3K13/NEDD4L/GDI1/APP/PDLIM5/RTN4/PTPRS	14
GO:0030010	establishment of cell polarity	11/255	163/21261	4.584092393744016e-6	3.7850331273424625e-4	3.163600671438812e-4	PLK1/PRKCZ/RUFY3/SCRIB/DCTN1/CLASP1/CDC42/CENPA/MAP4/GSN/PAX6	11
GO:1990138	neuron projection extension	12/255	196/21261	4.6371003091484995e-6	3.7850331273424625e-4	3.163600671438812e-4	PRKCZ/RUFY3/RIMS1/MUL1/PPP3CB/ZFYVE27/LHX2/MAP3K13/NEDD4L/GDI1/RTN4/PTPRS	12
GO:0007409	axonogenesis	19/255	476/21261	5.299902477862778e-6	4.071572138875758e-4	3.403095275259258e-4	NTRK2/RUFY3/APLP2/PPP3CB/ZFYVE27/LHX2/GLI3/NRXN3/MAP1A/MAP3K13/FEZ2/PTPRM/STXBP1/GDI1/ANK3/APP/PAX6/RTN4/PTPRS	19
GO:0031345	negative regulation of cell projection organization	12/255	200/21261	5.704839125934964e-6	4.139177721372813e-4	3.4596012711079284e-4	TBC1D30/RUFY3/PFN2/MAP4/EVL/FLNA/AKT1/PTPRG/GDI1/DTNBP1/RTN4/PTPRS	12
GO:0007051	spindle organization	13/255	238/21261	6.4920649312847725e-6	4.4624404211883754e-4	3.729790212599618e-4	PLK1/CCNB2/DCTN1/CLASP1/FAM110A/EZR/MAP4/FBXO5/FLNA/TACC3/CHD3/KIF2A/RAN	13
GO:0045055	regulated exocytosis	13/255	247/21261	9.681865138400505e-6	6.32225793537553e-4	5.284260078169119e-4	SCRIB/NAPB/GIT1/RIMS1/PFN2/PPP3CB/STX1A/SYNGR1/S100A13/STXBP1/PRRT2/DTNBP1/ARHGAP17	13
GO:1902850	microtubule cytoskeleton organization involved in mitosis	11/255	180/21261	1.1803708350984723e-5	7.340782431612404e-4	6.13556168419607e-4	PLK1/DCTN1/CLASP1/FAM110A/CENPA/MAP4/FLNA/TACC3/KIF2A/RAN/PAX6	11
GO:0070507	regulation of microtubule cytoskeleton organization	11/255	182/21261	1.3097800880957713e-5	7.775330886604897e-4	6.498765317489546e-4	EML2/PLK1/GIT1/DCTN1/ATAT1/CLASP1/MAP1A/BMERB1/TACC3/TOGARAM1/AKAP9	11
GO:0006887	exocytosis	16/255	380/21261	1.5523480620233496e-5	8.814637256532585e-4	7.36743679779503e-4	SCRIB/NAPB/GIT1/RIMS1/PFN2/PPP3CB/CLASP1/STX1A/SYNGR1/S100A13/SEPTIN2/STXBP1/PDCD6IP/PRRT2/DTNBP1/ARHGAP17	16
GO:0031032	actomyosin structure organization	12/255	225/21261	1.8710492486766082e-5	0.0010181626328215209	8.509991538937032e-4	SRC/PFN2/CLASP1/CDC42/ARHGEF10L/EVL/TPM1/PDCD6IP/PPFIA1/EPB41L3/MYH10/CNN2	12
GO:0060560	developmental growth involved in morphogenesis	13/255	264/21261	1.9624524897363842e-5	0.0010251851806382872	8.568687292027919e-4	PRKCZ/RUFY3/RIMS1/MUL1/PPP3CB/ZFYVE27/LHX2/MAP3K13/NEDD4L/GDI1/APP/RTN4/PTPRS	13
GO:0031334	positive regulation of protein-containing complex assembly	12/255	228/21261	2.1336107303583737e-5	0.0010717290822492447	8.957709827456007e-4	BAK1/SRC/GIT1/PFN2/BIN1/DCTN1/ATAT1/MAPK8/CLASP1/EVL/TOGARAM1/AKAP9	12
