gene_id	gene_name
ENSG00000165646	SLC18A2
ENSG00000185650	ZFP36L1
ENSG00000187122	SLIT1
ENSG00000277586	NEFL
ENSG00000168824	NSG1
ENSG00000114315	HES1
ENSG00000139219	COL2A1
ENSG00000152977	ZIC1
ENSG00000104722	NEFM
ENSG00000120251	GRIA2
ENSG00000175063	UBE2C
ENSG00000198108	CHSY3
ENSG00000135406	PRPH
ENSG00000170091	NSG2
ENSG00000053108	FSTL4
ENSG00000180447	GAS1
ENSG00000130226	DPP6
ENSG00000101489	CELF4
ENSG00000118432	CNR1
ENSG00000108309	RUNDC3A
ENSG00000015592	STMN4
ENSG00000113140	SPARC
ENSG00000139970	RTN1
ENSG00000162344	FGF19
ENSG00000185201	IFITM2
ENSG00000196353	CPNE4
ENSG00000110092	CCND1
ENSG00000119547	ONECUT2
ENSG00000172020	GAP43
ENSG00000180730	SHISA2
ENSG00000187498	COL4A1
ENSG00000151320	AKAP6
ENSG00000135447	PPP1R1A
ENSG00000152518	ZFP36L2
ENSG00000196132	MYT1
ENSG00000011028	MRC2
ENSG00000148773	MKI67
ENSG00000128872	TMOD2
ENSG00000157064	NMNAT2
ENSG00000121039	RDH10
ENSG00000149257	SERPINH1
ENSG00000166482	MFAP4
ENSG00000250722	SELENOP
ENSG00000084093	REST
ENSG00000145423	SFRP2
ENSG00000167244	IGF2
ENSG00000131094	C1QL1
ENSG00000111057	KRT18
ENSG00000087258	GNAO1
ENSG00000103647	CORO2B
