condition_1	condition_2	conseqPair	feature	propOfRelevantEvents	propCiLo	propCiHi	propPval	nUp	nDown	propQval	Significant
A_RO_D200	B_RO_D100	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.6089385474860335	0.5562609463525499	0.6597985250432516	4.4158561502291006e-5	218	140	6.62378422534365e-5	TRUE
A_RO_D200	B_RO_D100	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.391304347826087	0.3094064350199705	0.47797270640817624	0.013273216041919257	54	84	0.015677925781346875	TRUE
A_RO_D200	B_RO_D100	domains_identified	Domain loss (paired with Domain gain)	0.5667311411992263	0.5227707330326724	0.609924383464041	0.0027490443603077628	293	224	0.0034724770867045423	TRUE
A_RO_D200	B_RO_D100	intron_retention	Intron retention loss (paired with Intron retention gain)	0.6367041198501873	0.5758762605857485	0.6944597727244672	9.321339331945073e-6	170	97	1.4914142931112118e-5	TRUE
A_RO_D200	B_RO_D100	NMD_status	NMD sensitive (paired with NMD insensitive)	0.5064935064935064	0.39004936781928323	0.6224231284406125	1	39	38	1	FALSE
A_RO_D200	B_RO_D100	ORF	Complete ORF loss (paired with Complete ORF gain)	0.6066481994459834	0.5541652650653949	0.6573667651771413	5.9678871219447544e-5	219	142	8.425252407451418e-5	TRUE
A_RO_D200	B_RO_D100	ORF_length	ORF is shorter (paired with ORF is longer)	0.5180180180180181	0.47042713364234495	0.5653673355239199	0.47658729601515837	230	214	0.4973084827984261	FALSE
A_RO_D200	B_RO_D100	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.75	0.5880380198485701	0.873085201067155	0.0022214337732293673	30	10	0.0029619116976391563	TRUE
A_RO_D200	C_RO_D45	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.19953596287703015	0.16281858638960825	0.24043626604413793	8.078376604263438e-38	86	345	4.847025962558062e-37	TRUE
A_RO_D200	C_RO_D45	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.75	0.6685517792922641	0.8202384272260324	4.379138784366281e-9	102	34	1.1677703424976749e-8	TRUE
A_RO_D200	C_RO_D45	domains_identified	Domain loss (paired with Domain gain)	0.2554858934169279	0.22205724522210032	0.29119511447701985	2.774533432806181e-36	163	475	1.1098133731224725e-35	TRUE
A_RO_D200	C_RO_D45	intron_retention	Intron retention loss (paired with Intron retention gain)	0.5621301775147929	0.5074109245098267	0.6157512605615336	0.025595079090190032	190	148	0.027921904462025488	TRUE
A_RO_D200	C_RO_D45	NMD_status	NMD sensitive (paired with NMD insensitive)	0.23595505617977527	0.15238129494610483	0.3377876648737921	5.986670828041241e-7	21	68	1.1973341656082481e-6	TRUE
A_RO_D200	C_RO_D45	ORF	Complete ORF loss (paired with Complete ORF gain)	0.20319634703196346	0.16648508229187925	0.24397150627114472	1.8862881128414588e-37	89	349	9.054182941639002e-37	TRUE
A_RO_D200	C_RO_D45	ORF_length	ORF is shorter (paired with ORF is longer)	0.29014598540145986	0.25245566527188623	0.33011664754760084	2.9912592857896905e-23	159	389	1.025574612270751e-22	TRUE
A_RO_D200	C_RO_D45	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.3023255813953488	0.17182499248521346	0.46125330573403234	0.013718185058678518	13	30	0.015677925781346875	TRUE
B_RO_D100	C_RO_D45	coding_potential	Transcript is Noncoding (paired with Transcript is coding)	0.19491525423728814	0.16012479359727497	0.23357991358585795	1.3012916552727944e-42	92	380	1.0410333242182355e-41	TRUE
B_RO_D100	C_RO_D45	domain_isotype	Domain non-reference isotype loss (paired with Domain non-reference isotype gain)	0.7410071942446043	0.6599050669495702	0.8115472819188672	1.1346454434190394e-8	103	36	2.7231490642056944e-8	TRUE
B_RO_D100	C_RO_D45	domains_identified	Domain loss (paired with Domain gain)	0.2168141592920354	0.18634732959825107	0.24976867495254185	7.337577917551609e-52	147	531	1.7610187002123863e-50	TRUE
B_RO_D100	C_RO_D45	intron_retention	Intron retention loss (paired with Intron retention gain)	0.35563380281690143	0.2999657047990477	0.4143499636558753	1.307612686210635e-6	101	183	2.4140541899273262e-6	TRUE
B_RO_D100	C_RO_D45	NMD_status	NMD sensitive (paired with NMD insensitive)	0.19230769230769232	0.1118196846791009	0.2972705699476562	3.7486611694326944e-8	15	63	8.17889709694406e-8	TRUE
B_RO_D100	C_RO_D45	ORF	Complete ORF loss (paired with Complete ORF gain)	0.1928721174004193	0.1584130525503365	0.2311903901204776	1.188332008349922e-43	92	385	1.4259984100199064e-42	TRUE
B_RO_D100	C_RO_D45	ORF_length	ORF is shorter (paired with ORF is longer)	0.2845691382765531	0.24535518477088275	0.32635739545751064	2.1211464896037777e-22	142	357	6.363439468811333e-22	TRUE
B_RO_D100	C_RO_D45	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.1702127659574468	0.07646947801106857	0.3080912746258122	5.539621596994972e-6	8	39	9.496494166277094e-6	TRUE
