Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
A_RO_D200 vs B_RO_D100	A3	A3 in isoform used less	125	125
A_RO_D200 vs C_RO_D45	A3	A3 in isoform used less	120	124
B_RO_D100 vs C_RO_D45	A3	A3 in isoform used less	226	227
A_RO_D200 vs B_RO_D100	A3	A3 in isoform used more	172	172
A_RO_D200 vs C_RO_D45	A3	A3 in isoform used more	106	109
B_RO_D100 vs C_RO_D45	A3	A3 in isoform used more	134	135
A_RO_D200 vs B_RO_D100	A5	A5 in isoform used less	156	159
A_RO_D200 vs C_RO_D45	A5	A5 in isoform used less	184	187
B_RO_D100 vs C_RO_D45	A5	A5 in isoform used less	227	227
A_RO_D200 vs B_RO_D100	A5	A5 in isoform used more	200	203
A_RO_D200 vs C_RO_D45	A5	A5 in isoform used more	216	229
B_RO_D100 vs C_RO_D45	A5	A5 in isoform used more	207	212
A_RO_D200 vs B_RO_D100	ATSS	ATSS in isoform used less	378	383
A_RO_D200 vs C_RO_D45	ATSS	ATSS in isoform used less	400	417
B_RO_D100 vs C_RO_D45	ATSS	ATSS in isoform used less	492	497
A_RO_D200 vs B_RO_D100	ATSS	ATSS in isoform used more	429	432
A_RO_D200 vs C_RO_D45	ATSS	ATSS in isoform used more	421	438
B_RO_D100 vs C_RO_D45	ATSS	ATSS in isoform used more	451	456
A_RO_D200 vs B_RO_D100	ATTS	ATTS in isoform used less	328	333
A_RO_D200 vs C_RO_D45	ATTS	ATTS in isoform used less	344	362
B_RO_D100 vs C_RO_D45	ATTS	ATTS in isoform used less	370	375
A_RO_D200 vs B_RO_D100	ATTS	ATTS in isoform used more	331	334
A_RO_D200 vs C_RO_D45	ATTS	ATTS in isoform used more	319	335
B_RO_D100 vs C_RO_D45	ATTS	ATTS in isoform used more	344	350
A_RO_D200 vs B_RO_D100	ES	ES in isoform used less	179	180
A_RO_D200 vs C_RO_D45	ES	ES in isoform used less	177	184
B_RO_D100 vs C_RO_D45	ES	ES in isoform used less	194	196
A_RO_D200 vs B_RO_D100	ES	ES in isoform used more	175	177
A_RO_D200 vs C_RO_D45	ES	ES in isoform used more	252	263
B_RO_D100 vs C_RO_D45	ES	ES in isoform used more	277	282
A_RO_D200 vs B_RO_D100	IR	IR in isoform used less	98	98
A_RO_D200 vs C_RO_D45	IR	IR in isoform used less	86	86
B_RO_D100 vs C_RO_D45	IR	IR in isoform used less	63	63
A_RO_D200 vs B_RO_D100	IR	IR in isoform used more	51	51
A_RO_D200 vs C_RO_D45	IR	IR in isoform used more	80	81
B_RO_D100 vs C_RO_D45	IR	IR in isoform used more	123	124
A_RO_D200 vs B_RO_D100	MEE	MEE in isoform used less	3	3
A_RO_D200 vs C_RO_D45	MEE	MEE in isoform used less	3	3
B_RO_D100 vs C_RO_D45	MEE	MEE in isoform used less	5	5
A_RO_D200 vs B_RO_D100	MEE	MEE in isoform used more	1	1
A_RO_D200 vs C_RO_D45	MEE	MEE in isoform used more	4	4
B_RO_D100 vs C_RO_D45	MEE	MEE in isoform used more	6	6
A_RO_D200 vs B_RO_D100	MES	MES in isoform used less	75	76
A_RO_D200 vs C_RO_D45	MES	MES in isoform used less	106	111
B_RO_D100 vs C_RO_D45	MES	MES in isoform used less	228	229
A_RO_D200 vs B_RO_D100	MES	MES in isoform used more	165	166
A_RO_D200 vs C_RO_D45	MES	MES in isoform used more	105	113
B_RO_D100 vs C_RO_D45	MES	MES in isoform used more	89	90
