ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001750	photoreceptor outer segment	23/714	102/22568	8.92372408019001e-14	1.7490499197172422e-11	1.286894946301086e-11	RP1/GUCA1B/PRPH2/GUCY2D/PDE6B/PDE6H/ROM1/ARR3/CNGB1/MAK/TULP1/CDHR1/STX3/GNAT2/OPN3/RD3/IMPG1/ABCA4/GUCA1A/GNB1/PDC/PCDH15/EYS	23
GO:0097733	photoreceptor cell cilium	25/714	130/22568	3.569218745759936e-13	3.497834370844737e-11	2.573594569311112e-11	RP1/GUCA1B/PRPH2/GUCY2D/PDE6B/PDE6H/ROM1/ARR3/CNGB1/MAK/TULP1/CDHR1/STX3/GNAT2/OPN3/RD3/IMPG1/ABCA4/GUCA1A/GNB1/PDC/PCDH15/FAM161A/EYS/USH2A	25
GO:0097731	9+0 non-motile cilium	25/714	142/22568	2.8339467558907544e-12	1.82874282203124e-10	1.3455304329660577e-10	RP1/GUCA1B/PRPH2/GUCY2D/PDE6B/PDE6H/ROM1/ARR3/CNGB1/MAK/TULP1/CDHR1/STX3/GNAT2/OPN3/RD3/IMPG1/ABCA4/GUCA1A/GNB1/PDC/PCDH15/FAM161A/EYS/USH2A	25
GO:0097730	non-motile cilium	28/714	181/22568	3.732128208227021e-12	1.82874282203124e-10	1.3455304329660577e-10	RP1/GUCA1B/PRPH2/GUCY2D/PDE6B/PDE6H/ROM1/ARR3/CNGB1/MAK/TULP1/CDHR1/STX3/DNAAF4/GNAT2/IFT88/OPN3/RD3/IMPG1/ABCA4/GUCA1A/GNB1/PDC/PCDH15/FAM161A/EYS/USH2A/RSPH9	28
GO:0097060	synaptic membrane	37/714	428/22568	3.784643869054577e-8	1.4835803966693942e-6	1.091570968548373e-6	LIN7B/STX1A/ADGRB3/SLC6A11/SNAP25/GABBR2/SYT7/SLC1A2/CNTN5/PTPRO/GRIA4/SHANK1/ADCY1/PRRT2/NRXN2/HCN1/KCNA2/STX3/DMD/APH1A/KCNB1/GRIK3/GABRR2/RIMS2/RGS9/KCNMA1/AKAP9/NSG1/GABRG3/SLC6A6/NRXN3/SYDE2/GRIP1/GRIK2/KCTD16/SLC4A8/COL13A1	37
GO:0098984	neuron to neuron synapse	35/714	395/22568	4.815424300381668e-8	1.5730386047913448e-6	1.1573914546531378e-6	LIN7B/CAP2/PPP3R1/ADGRB3/SYT7/ADD2/NTRK2/PTPRO/GRIA4/RPL30/SHANK1/ADCY1/PRRT2/GAP43/TMEM108/SPTBN1/AURKA/RPL7/PLXNA4/BNIP3/NEURL1/GRIK3/RS1/ARHGAP32/DAPK1/PCLO/RGS9/CADM1/AKAP9/RPS3/EIF3E/GRIP1/GRIK2/IGSF11/SLC4A8	35
GO:0150034	distal axon	29/714	295/22568	7.552833358121939e-8	2.1147933402741427e-6	1.5559972482145954e-6	STMN2/SNAP25/SHTN1/STMN4/NTRK2/PTPRO/IGF2BP1/CPLX4/PRRT2/GAP43/CNGB1/TUBB3/KCNA2/PRKCB/TULP1/GDPD5/STX3/CPLX2/MAP2/L1CAM/FEZ1/GRIK3/SNCB/COBL/BOC/SLC18A2/GRIK2/USH2A/SLC4A8	29
GO:0032279	asymmetric synapse	32/714	363/22568	2.0314850199429498e-7	4.977138298860227e-6	3.6620190491076865e-6	LIN7B/CAP2/ADGRB3/ADD2/NTRK2/PTPRO/GRIA4/RPL30/SHANK1/ADCY1/PRRT2/GAP43/TMEM108/SPTBN1/AURKA/RPL7/PLXNA4/BNIP3/NEURL1/GRIK3/ARHGAP32/DAPK1/PCLO/RGS9/CADM1/AKAP9/RPS3/EIF3E/GRIP1/GRIK2/IGSF11/SLC4A8	32
GO:0031253	cell projection membrane	33/714	400/22568	5.987541249160221e-7	1.3039534275948927e-5	9.594071943098834e-6	SLC12A5/GUCY2D/PDE6B/SLC7A5/CD44/PDE6H/SLC1A2/ROM1/BBS5/GAP43/EEF1A1/CNGB1/KCNA2/EHD1/PRKCB/CDHR1/SPTBN1/C2CD5/EPB41L3/GNAT2/DMD/FAM107A/PLEKHA1/KCNB1/JCAD/LIMA1/SH2D3C/ROBO2/RPS3/GABRG3/SLC6A6/USH2A/SYNE2	33
GO:0031252	cell leading edge	36/714	461/22568	6.942763036128286e-7	1.3079549083178022e-5	9.62351355744033e-6	STMN2/SLC12A5/SNAP25/SHTN1/KIF18A/CD44/IQGAP2/SLC1A2/PTPRO/IGF2BP1/AMOT/EEF1A1/TUBB3/KCNA2/SPTBN1/C2CD5/STX3/EPB41L3/FAM107A/PTPRK/PLEKHA1/KCNB1/BSPRY/JCAD/PHLDB2/LIMA1/COBL/MYLK/SH2D3C/ROBO2/ABLIM3/RPS3/LAYN/GABRG3/USH2A/SYNE2	36
GO:0014069	postsynaptic density	30/714	347/22568	7.340563260967258e-7	1.3079549083178022e-5	9.62351355744033e-6	LIN7B/CAP2/ADGRB3/ADD2/NTRK2/PTPRO/GRIA4/RPL30/SHANK1/ADCY1/PRRT2/GAP43/TMEM108/SPTBN1/AURKA/RPL7/BNIP3/NEURL1/GRIK3/ARHGAP32/DAPK1/PCLO/RGS9/CADM1/AKAP9/RPS3/EIF3E/GRIP1/GRIK2/IGSF11	30
GO:0044306	neuron projection terminus	17/714	138/22568	1.7894268974695523e-6	2.9227305992002684e-5	2.1504516223976204e-5	NTRK2/SLC1A2/SCRG1/CPLX4/PRRT2/CNGB1/KCNA2/PRKCB/TULP1/DMD/CPLX2/GRIK3/SNCB/SLC18A2/GRIK2/USH2A/SLC4A8	17
GO:0099572	postsynaptic specialization	31/714	383/22568	1.955246916003838e-6	2.9479107348980945e-5	2.1689783602633673e-5	LIN7B/CAP2/ADGRB3/ADD2/NTRK2/PTPRO/GRIA4/RPL30/SHANK1/ADCY1/PRRT2/GAP43/TMEM108/SPTBN1/AURKA/RPL7/BNIP3/NEURL1/KCNB1/GRIK3/ARHGAP32/DAPK1/PCLO/RGS9/CADM1/AKAP9/RPS3/EIF3E/GRIP1/GRIK2/IGSF11	31
GO:0042734	presynaptic membrane	19/714	179/22568	4.306601499531785e-6	6.029242099344499e-5	4.4361233491417645e-5	STX1A/SLC6A11/SNAP25/SYT7/SLC1A2/CNTN5/PRRT2/NRXN2/HCN1/KCNA2/STX3/APH1A/GRIK3/RIMS2/RGS9/NRXN3/GRIK2/KCTD16/SLC4A8	19
GO:0045211	postsynaptic membrane	25/714	305/22568	1.5276171462083495e-5	1.99608640437891e-4	1.4686564844248695e-4	LIN7B/ADGRB3/SLC6A11/GABBR2/PTPRO/GRIA4/SHANK1/ADCY1/PRRT2/HCN1/KCNA2/DMD/KCNB1/GRIK3/GABRR2/RGS9/KCNMA1/AKAP9/NSG1/GABRG3/SLC6A6/GRIP1/GRIK2/KCTD16/COL13A1	25
GO:0031256	leading edge membrane	19/714	200/22568	2.1266970000729573e-5	2.6052038250893726e-4	1.9168255855920736e-4	SLC12A5/CD44/SLC1A2/EEF1A1/KCNA2/SPTBN1/C2CD5/EPB41L3/FAM107A/PTPRK/PLEKHA1/KCNB1/JCAD/SH2D3C/ROBO2/RPS3/GABRG3/USH2A/SYNE2	19
GO:0043679	axon terminus	14/714	122/22568	3.2391912857959927e-5	3.734597011858909e-4	2.747796942130347e-4	NTRK2/CPLX4/PRRT2/CNGB1/KCNA2/PRKCB/TULP1/CPLX2/GRIK3/SNCB/SLC18A2/GRIK2/USH2A/SLC4A8	14
GO:0062023	collagen-containing extracellular matrix	32/714	466/22568	3.842365725939352e-5	4.18390934602285e-4	3.078386575752581e-4	MXRA5/CTSC/ANGPTL1/PXDN/LOXL1/FBLN1/ADAMTS3/GPC2/IGFBP7/FBLN2/EDIL3/COL6A2/A2M/F3/COL4A6/VWA1/MXRA7/MDK/L1CAM/THBS3/IMPG1/RTBDN/PTPRZ1/MMRN1/LTBP4/EYS/CDON/SPON1/RBP3/COL25A1/USH2A/COL13A1	32
GO:0043204	perikaryon	16/714	159/22568	4.6719232135368624e-5	4.8194576308064474e-4	3.5460026606900293e-4	KLHL24/SLC12A5/PRPH/SHTN1/CNGA3/FZD5/GAP43/KCNA2/CPLX2/NEURL1/KCNB1/GRIK3/ATOH7/KCNB2/GRIP1/GRIK2	16
GO:0098978	glutamatergic synapse	30/714	440/22568	7.564817441626896e-5	7.413521092794359e-4	5.454631523699394e-4	DRD4/PPP3R1/ADGRB3/SNAP25/SLC1A2/PTPRO/DGKE/SHANK1/ADCY1/PRRT2/NRXN2/HCN1/KCNA2/SPTBN1/STX3/AURKA/CPLX2/PLXNA4/GRIK3/EPHB1/DAPK1/PCLO/RGS9/AKAP9/ABLIM3/NSG1/ADGRL3/GRIK2/GUCY1A1/SLC4A8	30
GO:0030175	filopodium	13/714	127/22568	1.9816014091156463e-4	0.0018494946485079367	0.0013607989626508452	SNAP25/SHTN1/IQGAP2/IGF2BP1/GAP43/OSBPL3/TUBB3/DMD/MAP2/MYO3A/EPHB1/MYO3B/SYNE2	13
GO:0022626	cytosolic ribosome	13/714	138/22568	4.4806710823619704e-4	0.003991870600649755	0.0029370906137970816	RPS29/RPL23/RPL30/RPL9/RPSA/EEF1A1/RPLP2/RPS21/RPL28/RPL7/RPSA2/RPS3A/RPS3	13
GO:0098858	actin-based cell projection	19/714	256/22568	5.463989763280845e-4	0.004580442711356236	0.0033701431334898194	SNAP25/SHTN1/SLC7A5/CD44/IQGAP2/IGF2BP1/GAP43/OSBPL3/TUBB3/DMD/MAP2/MYO3A/PCDH15/EPHB1/MYO3B/ESPN/SLC6A6/USH2A/SYNE2	19
GO:0000775	chromosome, centromeric region	20/714	277/22568	5.60870536084437e-4	0.004580442711356236	0.0033701431334898194	CENPM/OIP5/KIF18A/ITGB3BP/NUF2/CENPH/WAPL/CENPV/BUB1/CKAP5/NCAPD2/CENPA/AURKA/EZH2/SMC4/NEK2/H4C8/RASSF2/NDE1/KNTC1	20
GO:0030426	growth cone	15/714	180/22568	6.276423813924033e-4	0.004920716270116442	0.0036205055263477583	STMN2/SNAP25/SHTN1/STMN4/PTPRO/IGF2BP1/GAP43/TUBB3/GDPD5/STX3/MAP2/L1CAM/FEZ1/COBL/BOC	15
GO:0030427	site of polarized growth	15/714	185/22568	8.33053826131729e-4	0.006279944227762265	0.0046205819506091855	STMN2/SNAP25/SHTN1/STMN4/PTPRO/IGF2BP1/GAP43/TUBB3/GDPD5/STX3/MAP2/L1CAM/FEZ1/COBL/BOC	15
