ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005938	cell cortex	56/1389	318/22568	8.825546471274506e-13	1.8268881195538227e-10	1.1055158211385959e-10	NSMF/SEPTIN8/BFSP2/MYO9B/CLTB/TRAK1/FMN2/EPB41/DENND2B/EZR/PAFAH1B1/MARCKS/ARF6/PPP1R9A/SLC2A1/SPIRE1/GIPC1/TPM4/PPP1R9B/ACTN1/GPSM1/CTNNB1/CLIP1/CTBP1/DCTN1/MTSS2/FLOT2/DSTN/PARD3B/SEPTIN9/SHROOM2/ACTN4/CTTN/ACTB/EXOC7/GNAI1/FNBP1L/CLTA/ASPH/PARD3/ADD3/ACTR2/NUMA1/DLG4/CDH2/DST/NCL/GPSM2/PTK2/STK39/NEDD9/CLIP2/TMEM250/CTBP2/ARHGEF7/FLOT1	56
GO:0005925	focal adhesion	70/1389	495/22568	6.104740375850103e-11	6.318406289004856e-9	3.823495288032432e-9	ARPC2/SLC4A2/FGFR3/ARHGEF2/PDCD6IP/EZR/MARCKS/ARF6/TSPAN9/CNN3/EPB41L5/NCKAP1/PAK4/ARPC5/EVL/FOCAD/TPM4/FAM107A/MSN/RPS3/EFS/CD99L2/REXO2/RPL4/DOCK7/ACTN1/CPNE3/NCSTN/GIT2/WASF1/CTNNB1/CORO1B/SNAP23/PRAG1/TRIOBP/FLOT2/AIF1L/AJUBA/ACTN4/PDLIM7/CTTN/ACTB/RPL12/G3BP1/STX16/SORBS2/RPS7/SRP68/CASK/DCAF6/RPL5/ADD1/NECTIN2/ACTR2/CDH2/DST/CBL/PTK2/PALLD/LIMA1/NEDD9/L1CAM/NHS/ENAH/PRUNE1/TLN2/GAK/HSPA9/ARHGEF7/FLOT1	70
GO:0016363	nuclear matrix	31/1389	134/22568	1.0713108844115479e-10	6.577153083256432e-9	3.9800722954869834e-9	NSMF/SCAF8/NCOR2/OGG1/LMNB1/PPIG/BASP1/YY1/NONO/ZNF326/SMARCA4/CLIC4/BRD7/ACTB/HES1/HNRNPU/MATR3/SFPQ/ANXA2/PSPC1/ARFGEF1/SNW1/CASK/SMARCD1/NUMA1/SMARCE1/DNMT3A/MATR3/PML/LMNA/MEN1	31
GO:0031252	cell leading edge	66/1389	461/22568	1.270947455701726e-10	6.577153083256432e-9	3.9800722954869834e-9	STX3/ARPC2/MPP2/KCNB1/MYO9B/ARHGEF2/TPM1/EZR/PAFAH1B1/ARF6/AMPH/EPB41L5/NCKAP1/ARPC5/EVL/CADM4/FAM107A/RPS3/PPP1R9B/ACTN1/MCC/WASF1/CTNNB1/CORO1B/CLIP1/DCTN1/MTSS2/FLOT2/SH3RF1/AIF1L/AJUBA/SLC39A6/PDLIM7/AKAP5/CTTN/ACTB/INPPL1/CCDC88A/NME1/CDC42BPA/SORBS2/JMY/WASF3/ITSN1/CDH2/DST/APC2/DIAPH1/STON1/GBF1/MACF1/SGCE/PALLD/LIMA1/NEDD9/PLEKHO1/SNX5/NHS/ENAH/WWC1/TLN2/SH2D3C/APBB2/ARHGEF7/FLOT1/RIPOR2	66
GO:0034399	nuclear periphery	32/1389	159/22568	2.3175124840852263e-9	9.594501684112837e-8	5.8059786443398305e-8	NSMF/SCAF8/NCOR2/OGG1/LMNB1/PPIG/BASP1/YY1/NONO/ZNF326/SMARCA4/CLIC4/BRD7/ACTB/HES1/HNRNPU/MATR3/SFPQ/ANXA2/PSPC1/ARFGEF1/SNW1/CASK/SMARCD1/NUMA1/SMARCE1/DNMT3A/MATR3/PML/LMNA/NUP98/MEN1	32
GO:0005819	spindle	63/1389	472/22568	5.6502913662605944e-9	1.949350521359905e-7	1.1796222326052819e-7	ANXA11/TACC3/CDC25B/TOPBP1/ARHGEF2/FMN2/EPB41/TUBGCP3/PAFAH1B1/TMEM9/CEP295/ARL8A/TUBB2B/POC1B/RPS3/E4F1/LSM14A/CTNNB1/DCTN1/CALM3/CEP89/JTB/ZNF207/MAP7D1/CSNK1D/DIDO1/PKP4/POLB/CDCA8/KIF22/CTTN/DR1/HNRNPU/INPPL1/RAB11A/MAP4/TUBB/TBCK/CLTA/CDK5RAP2/NUP62/PPP2CA/AURKA/WAPL/FBXO5/NUMA1/RMDN1/TAF1D/AGBL5/NEIL2/NIN/GPSM2/DIAPH1/UNC119/CCAR2/KIF2C/NEDD9/ODF2/TTL/LEMD2/DSN1/CKAP5/ARHGEF7	63
GO:0005912	adherens junction	36/1389	203/22568	8.483847405246622e-9	2.5087948755515013e-7	1.5181621672546588e-7	STXBP6/EZR/CNN3/EPB41L5/PAK4/MSN/PPP1R9B/DLG1/CD99L2/EIF4G2/CTNNB1/SNAP23/FLOT2/PALS1/PARD3B/AJUBA/CYTH1/PKP4/SHROOM2/PDLIM7/ACTB/ANXA2/PARD3/ARVCF/ADD1/NECTIN2/DLG4/CDH2/EFNA5/TJP2/AHI1/AFDN/CYTH2/CDC42EP4/FLOT1/TSPAN33	36
GO:0030426	growth cone	31/1389	180/22568	1.7878002921240464e-7	4.62593325587097e-6	2.7993188784573886e-6	STX3/CCDC120/GDPD5/KIF5C/TRAK1/HSP90AB1/PAFAH1B1/SIGMAR1/STMN3/C9orf72/PPP1R9B/DOCK7/NEO1/BASP1/ACAP3/AUTS2/TAOK2/CTTN/EXOC7/HNRNPR/CBL/NIN/COPA/CYTH2/PALLD/L1CAM/ATCAY/ADGRL1/WHRN/APBB2/NGEF	31
GO:0030427	site of polarized growth	31/1389	185/22568	3.354253829486049e-7	7.714783807817913e-6	4.668493634021519e-6	STX3/CCDC120/GDPD5/KIF5C/TRAK1/HSP90AB1/PAFAH1B1/SIGMAR1/STMN3/C9orf72/PPP1R9B/DOCK7/NEO1/BASP1/ACAP3/AUTS2/TAOK2/CTTN/EXOC7/HNRNPR/CBL/NIN/COPA/CYTH2/PALLD/L1CAM/ATCAY/ADGRL1/WHRN/APBB2/NGEF	31
GO:0016607	nuclear speck	59/1389	500/22568	1.2298935245299825e-6	2.5458795957770637e-5	1.540603467569136e-5	PRKACA/HIKESHI/CCNL2/CDC34/SOX2/OGG1/SNRPA1/BRD1/SNRNP40/FAM107A/DHX36/PPIG/CHRNA3/HBP1/TARDBP/BASP1/FTO/RBM15B/NONO/SRSF2/SLU7/ZNF638/EHMT2/SF3A1/MOCS2/KIF22/SLC2A4RG/ACIN1/HNRNPU/MAML1/INPPL1/SRPK2/JADE1/TFIP11/CDK13/PNN/SFPQ/RBM4/BARD1/PARN/PSPC1/HP1BP3/SNW1/ARL6IP4/DAZAP2/PPP4R3B/POU4F2/RBM39/BAZ2A/ASCC3/GATAD2A/PPP4R3A/AFDN/HECTD1/MSL1/DYRK1A/WTAP/PPIE/LMNA	59
