ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050953	sensory perception of light stimulus	55/454	244/21261	2.9565636527522036e-40	3.955882167382449e-37	3.460735559853106e-37	PDE6G/GNAT1/CNGB1/RP1/ROM1/IMPG1/CABP4/PRPH2/EPAS1/RGS9BP/RGS9/NR2E3/NRL/ARR3/RAX2/RP1L1/OPN1SW/USH2A/GUCA1B/SLC24A1/PDE6B/GPR179/CACNA1F/AIPL1/RS1/UNC119/COL1A1/ABCA4/GUCY2D/RLBP1/PCDH15/CPLX4/SEMA5B/GUCA1A/MYO3A/RBP3/IRX5/EYS/KIFC3/CNGB3/RD3/PDC/PDE6C/FAM161A/IMPG2/REEP6/TULP1/PDE6H/CNGA3/BBS5/ATP8A2/MYO3B/GNAT2/ARL6/NDP	55
GO:0007601	visual perception	54/454	240/21261	1.739714573905421e-39	1.1638690499427266e-36	1.0181908453593834e-36	PDE6G/GNAT1/CNGB1/RP1/ROM1/IMPG1/CABP4/PRPH2/EPAS1/RGS9BP/RGS9/NR2E3/NRL/ARR3/RAX2/RP1L1/OPN1SW/USH2A/GUCA1B/SLC24A1/PDE6B/GPR179/CACNA1F/AIPL1/RS1/UNC119/COL1A1/ABCA4/GUCY2D/RLBP1/CPLX4/SEMA5B/GUCA1A/MYO3A/RBP3/IRX5/EYS/KIFC3/CNGB3/RD3/PDC/PDE6C/FAM161A/IMPG2/REEP6/TULP1/PDE6H/CNGA3/BBS5/ATP8A2/MYO3B/GNAT2/ARL6/NDP	54
GO:0009581	detection of external stimulus	30/454	155/21261	2.445682540533712e-20	1.0907744130780356e-17	9.542452579205221e-18	GNAT1/CNGB1/RP1/GNGT1/ROM1/CABP4/PRPH2/RGS9BP/NR2E3/OPN1SW/PDE6B/CACNA1F/AIPL1/RS1/UNC119/ABCA4/GUCY2D/ELOVL4/SEMA5B/GUCA1A/GNGT2/EYS/PDC/PLEKHB1/PDE6C/REEP6/TULP1/EPHB1/ATP8A2/GNAT2	30
GO:0009582	detection of abiotic stimulus	30/454	158/21261	4.3570727327861214e-20	1.4543601384227475e-17	1.27232198405011e-17	GNAT1/CNGB1/RP1/GNGT1/ROM1/CABP4/PRPH2/RGS9BP/NR2E3/OPN1SW/PDE6B/CACNA1F/AIPL1/RS1/UNC119/ABCA4/GUCY2D/ELOVL4/SEMA5B/GUCA1A/GNGT2/EYS/PDC/PLEKHB1/PDE6C/REEP6/TULP1/EPHB1/ATP8A2/GNAT2	30
GO:0009416	response to light stimulus	42/454	344/21261	5.434828618919086e-20	1.4543601384227475e-17	1.27232198405011e-17	GNAT1/CNGB1/RP1/GNGT1/ROM1/CABP4/PRPH2/RGS9BP/RGS9/NR2E3/FOS/OPN1SW/SLC24A1/PDE6B/CACNA1F/AIPL1/RS1/UNC119/ABCA4/SLC1A3/GUCY2D/ELOVL4/USP2/SEMA5B/GUCA1A/MMP2/GNGT2/EYS/AANAT/PDC/PLEKHB1/PDE6C/PPP1R1B/SLC1A2/REEP6/TULP1/ATP8A2/GNB5/TREX1/GNAT2/DCUN1D3/SYNE1	42
GO:0009314	response to radiation	43/454	465/21261	6.51729365655184e-16	1.4533564854110604e-13	1.2714439554536224e-13	GNAT1/CNGB1/RP1/GNGT1/ROM1/CABP4/PRPH2/RGS9BP/RGS9/NR2E3/FOS/OPN1SW/SLC24A1/PDE6B/CACNA1F/AIPL1/RS1/UNC119/ABCA4/SLC1A3/GUCY2D/ELOVL4/USP2/SEMA5B/GUCA1A/MMP2/GNGT2/EYS/AANAT/PDC/PLEKHB1/PDE6C/IFI16/PPP1R1B/SLC1A2/REEP6/TULP1/ATP8A2/GNB5/TREX1/GNAT2/DCUN1D3/SYNE1	43
GO:0060041	retina development in camera-type eye	25/454	179/21261	1.0103644231335229e-13	1.9312394259323624e-11	1.6895116368789134e-11	GNAT1/RP1/ROM1/CABP4/PRPH2/NR2E3/NRL/RP1L1/PDE6B/RS1/HCN1/NTRK2/SOX8/RD3/PDE6C/IMPG2/TULP1/NFIA/ATP8A2/SLC17A7/STAT3/NFIB/GNAT2/GNB1/NDP	25
GO:0048592	eye morphogenesis	19/454	182/21261	1.3858344215513099e-8	2.082684092437216e-6	1.8220004018489372e-6	GNAT1/RP1/GNGT1/ROM1/CABP4/NR2E3/NRL/RS1/HCN1/NTRK2/SOX8/PDE6C/IMPG2/TULP1/EPHB1/ATP8A2/STAT3/GNAT2/NDP	19
GO:0043010	camera-type eye development	28/454	379/21261	1.4009085823568717e-8	2.082684092437216e-6	1.8220004018489372e-6	GNAT1/RP1/ROM1/CABP4/PRPH2/NR2E3/NRL/RP1L1/PDE6B/INHBA/RS1/HCN1/FLT1/NTRK2/SOX8/RD3/PDE6C/IMPG2/TULP1/NFIA/EPHB1/ATP8A2/SLC17A7/STAT3/NFIB/GNAT2/GNB1/NDP	28
GO:0001654	eye development	29/454	431/21261	5.979886779662085e-8	8.001088511187871e-6	6.999614841036042e-6	GNAT1/RP1/GNGT1/ROM1/CABP4/PRPH2/NR2E3/NRL/RP1L1/PDE6B/INHBA/RS1/HCN1/FLT1/NTRK2/SOX8/RD3/PDE6C/IMPG2/TULP1/NFIA/EPHB1/ATP8A2/SLC17A7/STAT3/NFIB/GNAT2/GNB1/NDP	29
GO:0150063	visual system development	29/454	435/21261	7.29141142609015e-8	8.869007716462383e-6	7.75889904862416e-6	GNAT1/RP1/GNGT1/ROM1/CABP4/PRPH2/NR2E3/NRL/RP1L1/PDE6B/INHBA/RS1/HCN1/FLT1/NTRK2/SOX8/RD3/PDE6C/IMPG2/TULP1/NFIA/EPHB1/ATP8A2/SLC17A7/STAT3/NFIB/GNAT2/GNB1/NDP	29
GO:0048880	sensory system development	29/454	448/21261	1.3643946536131947e-7	1.5213000387787121e-5	1.33088320598059e-5	GNAT1/RP1/GNGT1/ROM1/CABP4/PRPH2/NR2E3/NRL/RP1L1/PDE6B/INHBA/RS1/HCN1/FLT1/NTRK2/SOX8/RD3/PDE6C/IMPG2/TULP1/NFIA/EPHB1/ATP8A2/SLC17A7/STAT3/NFIB/GNAT2/GNB1/NDP	29
GO:0048593	camera-type eye morphogenesis	16/454	153/21261	1.8891619490438717e-7	1.9443836060159235e-5	1.701010597033834e-5	GNAT1/RP1/ROM1/CABP4/NRL/RS1/HCN1/NTRK2/SOX8/PDE6C/IMPG2/EPHB1/ATP8A2/STAT3/GNAT2/NDP	16
GO:0090596	sensory organ morphogenesis	23/454	306/21261	2.0530756402012495e-7	1.962153718992337e-5	1.7165564751156314e-5	GNAT1/RP1/GNGT1/ROM1/CABP4/NR2E3/NRL/RS1/HCN1/NTRK2/SOX8/FRZB/MYO3A/PDE6C/IMPG2/TULP1/EPHB1/ATP8A2/STAT3/MYO3B/GNAT2/TTC39C/NDP	23
GO:0006836	neurotransmitter transport	18/454	223/21261	1.5762714261380994e-6	1.4060341121151847e-4	1.2300447900810991e-4	RIMS2/SLC6A11/SLC1A3/UNC13C/NR4A1/STX3/SV2B/CPLX4/SLC6A6/PRKCB/SLC1A2/PCLO/DRD4/SLC17A7/SNAP25/NRXN2/MEF2C/LIN7B	18
