ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050953	sensory perception of light stimulus	71/1485	244/21261	5.878313715162273e-26	8.288422338378805e-23	5.952566098932744e-23	GNAT1/PDE6G/CNGB1/CRB1/REEP6/ARR3/PCDH15/PAX2/RP1L1/IMPG1/SLC24A1/PRPH2/RP1/NR2E3/PDE6B/GUCA1B/ROM1/SEMA5B/RAX2/NRL/EPAS1/RGS9/CABP4/USH2A/RGS9BP/RLBP1/KIFC3/ABCA4/AIPL1/UNC119/PDC/COL1A1/BBS5/MYO3A/OPN1SW/AOC2/GUCA1C/ARL6/WHRN/RS1/GPR179/GUCA1A/RD3/GUCY2D/COL18A1/PDE6H/CACNA1F/CPLX4/CACNB2/FAM161A/IRX5/RBP3/BBS9/BBS7/CLN5/PRCD/MYO9A/VAX2/GJD2/IMPG2/CNGB3/RPGR/TULP1/CRX/RDH10/ABLIM1/ATXN7/NDP/ATP8A2/MYO3B/RDH11	71
GO:0007601	visual perception	69/1485	240/21261	6.39633942414382e-25	4.509419294021393e-22	3.2385676452770283e-22	GNAT1/PDE6G/CNGB1/CRB1/REEP6/ARR3/PAX2/RP1L1/IMPG1/SLC24A1/PRPH2/RP1/NR2E3/PDE6B/GUCA1B/ROM1/SEMA5B/RAX2/NRL/EPAS1/RGS9/CABP4/USH2A/RGS9BP/RLBP1/KIFC3/ABCA4/AIPL1/UNC119/PDC/COL1A1/BBS5/MYO3A/OPN1SW/AOC2/GUCA1C/ARL6/RS1/GPR179/GUCA1A/RD3/GUCY2D/COL18A1/PDE6H/CACNA1F/CPLX4/CACNB2/FAM161A/IRX5/RBP3/BBS9/BBS7/CLN5/PRCD/MYO9A/VAX2/GJD2/IMPG2/CNGB3/RPGR/TULP1/CRX/RDH10/ABLIM1/ATXN7/NDP/ATP8A2/MYO3B/RDH11	69
GO:0009416	response to light stimulus	69/1485	344/21261	1.0842182139455983e-15	5.095825605544312e-13	3.6597120063707563e-13	GNAT1/CNGB1/CRB1/REEP6/FOS/GNGT1/SLC24A1/PRPH2/RP1/NR2E3/PDE6B/ROM1/SEMA5B/PPP1R1B/RGS9/CABP4/UVSSA/DHX36/BCL2/USP2/ELOVL4/RGS9BP/PLEKHB1/ABCA4/AIPL1/UNC119/HMGN1/PDC/AANAT/TRPC3/SLC1A3/AKT1/SYNE1/OPN1SW/TANC1/RS1/GUCA1A/MMP2/GUCY2D/SLC24A4/SLC1A2/CACNA1F/GNGT2/APP/B4GALT2/CRTC1/SCARA3/GNB5/TREX1/EP300/INO80/KRAS/SMPD1/MAPK14/YY1/RO60/TULP1/PER3/CUL4A/SIRT1/NR2F6/DYNLRB1/CREBBP/ATP8A2/FBXL3/FBXL17/PPP1CB/DCUN1D3/RDH11	69
GO:0009314	response to radiation	75/1485	465/21261	7.708640399193244e-12	2.7172957407156185e-9	1.9515031747431318e-9	GNAT1/CNGB1/CRB1/REEP6/FOS/GNGT1/SLC24A1/PRPH2/RP1/NR2E3/PDE6B/ROM1/SEMA5B/PPP1R1B/RGS9/CABP4/UVSSA/DHX36/BCL2/USP2/ELOVL4/RGS9BP/PLEKHB1/ABCA4/AIPL1/UNC119/HMGN1/PDC/AANAT/TRPC3/SLC1A3/AKT1/SYNE1/OPN1SW/TANC1/RS1/GUCA1A/MMP2/GUCY2D/SLC24A4/SLC1A2/CACNA1F/GNGT2/APP/AEN/KAT5/B4GALT2/CRTC1/SCARA3/GNB5/TREX1/EP300/INO80/KRAS/COP1/SMPD1/MAPK14/YY1/RO60/XRCC4/TULP1/GADD45A/PER3/CUL4A/SIRT1/NR2F6/DYNLRB1/CREBBP/ATP8A2/NIPBL/FBXL3/FBXL17/PPP1CB/DCUN1D3/RDH11	75
GO:0060041	retina development in camera-type eye	40/1485	179/21261	3.598503630646999e-11	1.0147780238424537e-8	7.287916826699817e-9	GNAT1/CRB1/PAX2/RP1L1/ACHE/PRPH2/RP1/NR2E3/PDE6B/ROM1/TUB/DTNBP1/NRL/CABP4/HCN1/STAT3/TTC8/RS1/RD3/NTRK2/TSPAN12/NFIA/SOX8/AHI1/CALB1/PROM1/TMEM135/SLC17A7/PROX1/THY1/NFIB/NECTIN3/VAX2/IMPG2/TULP1/GNB1/NEUROD1/HES1/NDP/ATP8A2	40
GO:0009581	detection of external stimulus	36/1485	155/21261	1.0738091946118769e-10	2.5234516073379108e-8	1.8122885003800448e-8	GNAT1/CNGB1/CRB1/REEP6/GNGT1/PRPH2/RP1/NR2E3/PDE6B/ROM1/SEMA5B/CABP4/WDR47/ELOVL4/RGS9BP/PLEKHB1/ABCA4/AIPL1/UNC119/PDC/TRPC3/OPN1SW/WHRN/RS1/GUCA1A/GUCY2D/MMP24/SLC24A4/CACNA1F/GNGT2/FYN/TULP1/NR2F6/EPHB1/ATP8A2/RDH11	36
GO:0009582	detection of abiotic stimulus	36/1485	158/21261	1.9096889281043974e-10	3.4882396837068235e-8	2.5051784813183756e-8	GNAT1/CNGB1/CRB1/REEP6/GNGT1/PRPH2/RP1/NR2E3/PDE6B/ROM1/SEMA5B/CABP4/WDR47/ELOVL4/RGS9BP/PLEKHB1/ABCA4/AIPL1/UNC119/PDC/TRPC3/OPN1SW/WHRN/RS1/GUCA1A/GUCY2D/MMP24/SLC24A4/CACNA1F/GNGT2/FYN/TULP1/NR2F6/EPHB1/ATP8A2/RDH11	36
GO:0001654	eye development	68/1485	431/21261	1.979143082954226e-10	3.4882396837068235e-8	2.5051784813183756e-8	GNAT1/CRB1/PAX2/GNGT1/RP1L1/ACHE/PRPH2/RP1/MTERF4/NR2E3/PDE6B/FZD5/ROM1/TUB/DTNBP1/NRL/CABP4/HCN1/STAT3/BCL2/DLG1/TTC8/HMGN1/INHBA/JAG1/VAX1/NES/FLT1/RS1/CC2D2A/WNT5B/RD3/NTRK2/TSPAN12/RARB/NFIA/MEIS3/SOX8/CITED2/AHI1/VEGFA/CALB1/PROM1/TMEM135/CEP290/BBS7/SLC17A7/PROX1/THY1/CHRDL1/NFIB/NECTIN3/VAX2/IMPG2/YY1/RAB3GAP1/TULP1/GNB1/RDH10/ZDHHC16/NEUROD1/HES1/TDRD7/EPHB1/PBX2/NDP/ATP8A2/NIPBL	68
GO:0048592	eye morphogenesis	39/1485	182/21261	2.3790131529467047e-10	3.72712060628317e-8	2.6767376060055322e-8	GNAT1/CRB1/PAX2/GNGT1/RP1/NR2E3/FZD5/ROM1/NRL/CABP4/HCN1/STAT3/BCL2/TTC8/HMGN1/JAG1/RS1/NTRK2/TSPAN12/RARB/SOX8/CITED2/AHI1/VEGFA/CALB1/PROM1/CEP290/PROX1/THY1/NECTIN3/VAX2/IMPG2/YY1/TULP1/TDRD7/EPHB1/NDP/ATP8A2/NIPBL	39
GO:0150063	visual system development	68/1485	435/21261	2.9747054371831275e-10	4.19433466642821e-8	3.012280663758072e-8	GNAT1/CRB1/PAX2/GNGT1/RP1L1/ACHE/PRPH2/RP1/MTERF4/NR2E3/PDE6B/FZD5/ROM1/TUB/DTNBP1/NRL/CABP4/HCN1/STAT3/BCL2/DLG1/TTC8/HMGN1/INHBA/JAG1/VAX1/NES/FLT1/RS1/CC2D2A/WNT5B/RD3/NTRK2/TSPAN12/RARB/NFIA/MEIS3/SOX8/CITED2/AHI1/VEGFA/CALB1/PROM1/TMEM135/CEP290/BBS7/SLC17A7/PROX1/THY1/CHRDL1/NFIB/NECTIN3/VAX2/IMPG2/YY1/RAB3GAP1/TULP1/GNB1/RDH10/ZDHHC16/NEUROD1/HES1/TDRD7/EPHB1/PBX2/NDP/ATP8A2/NIPBL	68
