ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0097731	9+0 non-motile cilium	43/1531	142/22568	2.0996084592210393e-17	2.348161653168452e-15	1.485426146994213e-15	GNAT1/PDE6G/CNGB1/CRB1/ARR3/PCDH15/GNGT1/RP1L1/IMPG1/PRPH2/RP1/PDE6B/GUCA1B/ROM1/USH2A/ABCA4/TTC8/MAK/PDC/CDHR1/OPN1SW/GUCA1C/WHRN/GUCA1A/RD3/STX3/GUCY2D/SLC24A4/PDE6H/CACNA1F/FAM161A/PROM1/CEP290/BBS7/BSG/PRCD/ENKD1/CNGB3/RPGR/TULP1/GNB1/DYNLL2/CFAP410	43
GO:0097733	photoreceptor cell cilium	41/1531	130/22568	2.293613454114855e-17	2.348161653168452e-15	1.485426146994213e-15	GNAT1/PDE6G/CNGB1/CRB1/ARR3/PCDH15/GNGT1/RP1L1/IMPG1/PRPH2/RP1/PDE6B/GUCA1B/ROM1/USH2A/ABCA4/TTC8/MAK/PDC/CDHR1/OPN1SW/GUCA1C/WHRN/GUCA1A/RD3/STX3/GUCY2D/SLC24A4/PDE6H/CACNA1F/FAM161A/PROM1/CEP290/BBS7/BSG/PRCD/CNGB3/RPGR/TULP1/GNB1/CFAP410	41
GO:0001750	photoreceptor outer segment	36/1531	102/22568	3.3867716151468056e-17	2.348161653168452e-15	1.485426146994213e-15	GNAT1/PDE6G/CNGB1/CRB1/ARR3/PCDH15/GNGT1/RP1L1/IMPG1/PRPH2/RP1/PDE6B/GUCA1B/ROM1/ABCA4/MAK/PDC/CDHR1/OPN1SW/GUCA1C/GUCA1A/RD3/STX3/GUCY2D/SLC24A4/PDE6H/CACNA1F/PROM1/BBS7/BSG/PRCD/CNGB3/RPGR/TULP1/GNB1/CFAP410	36
GO:0097730	non-motile cilium	47/1531	181/22568	5.692054022019289e-16	2.95986809145003e-14	1.8723861914537132e-14	GNAT1/PDE6G/CNGB1/CRB1/ARR3/PCDH15/GNGT1/RP1L1/IMPG1/PRPH2/RP1/CEP89/PDE6B/GUCA1B/ROM1/USH2A/ABCA4/TTC8/MAK/PDC/CDHR1/OPN1SW/GUCA1C/WHRN/GUCA1A/RD3/STX3/GUCY2D/SLC24A4/PDE6H/CACNA1F/FAM161A/AHI1/PROM1/CEP290/BBS7/BSG/PRCD/DNAAF4/ENKD1/CNGB3/RPGR/TULP1/GNB1/IFT88/DYNLL2/CFAP410	47
GO:0098978	glutamatergic synapse	75/1531	440/22568	1.1221025002521611e-13	4.667946401048991e-12	2.9529013164530558e-12	SH3GL1/ABLIM3/SNAP25/CNKSR2/DTNBP1/RGS9/HCN1/DLG1/ROR2/HSPA8/LRRC4B/SYT1/AKT1/TANC1/ARPC2/KCNA2/AKAP9/SPTBN1/DRD4/DISC1/DLG4/SLC1A6/TNR/ACTN1/DNM1/SHISA6/CLSTN1/STX3/SPARCL1/PLEKHA5/BCAN/CSPG5/BIN1/SLC1A2/PLXNA4/SEMA4B/PLCB1/NOS1AP/USP8/CALB1/SEPTIN11/PTPRS/CPSF2/PLCG1/PPP3R1/RTN4/PCLO/NAPB/MAPK14/KPNA1/CTBP2/ARF6/FLOT1/SLITRK2/NRXN2/DGKE/TNIK/ARHGAP39/EPS8/NLGN4X/PRKACA/ADCY1/PLPPR4/DYNLL2/EPHB1/GIPC1/PPP3CC/PRR7/PPFIA2/WASF3/DAG1/SHANK1/PPP3CB/PPP2R1A/PPM1H	75
GO:0098984	neuron to neuron synapse	66/1531	395/22568	8.539145035201598e-12	2.9602369455365535e-10	1.8726195252635084e-10	CNKSR2/DTNBP1/ADD1/RGS9/AKAP7/ATP1B2/GRIA2/DLG1/NEURL1/ARHGAP32/LRRC4B/SYT1/NSMF/IGSF11/TANC1/IQSEC1/AKAP9/SPTBN1/DISC1/DLG4/RS1/SHISA6/CADM1/CLSTN1/SHISA8/PLEKHA5/ADGRB1/NTRK2/LIN7B/PLXNA4/SEMA4B/USP8/CALB1/SEPTIN11/MINK1/PTPRS/BAALC/RTN3/LRP4/NECTIN3/PPP3R1/RTN4/PCLO/DNAJC6/PSD/RTN1/KPNA1/TMEM108/FYN/SYN1/ATP1A1/ATP1A3/TNIK/NPTN/EPS8/NLGN4X/ADCY1/NLGN2/CPEB4/PLPPR4/ZDHHC2/ALS2/PRR7/DCLK1/SHANK1/PRNP	66
GO:0031252	cell leading edge	71/1531	461/22568	6.745692430096267e-11	2.004434322085748e-9	1.2679872988902758e-9	ABLIM3/SNAP25/FAM107A/SAMSN1/CLIP1/USH2A/KCNB1/CD44/LIMA1/AKT1/ARPC2/BSPRY/GABRG3/FAP/KCNA2/SPTBN1/SLC12A5/DPYSL3/ARHGEF4/ACTN1/SHISA6/TPM1/STX3/NME1/SHISA8/PTPN13/GABRG2/PLCE1/SNTG1/GABRG1/SLC1A2/CDC42BPB/INPPL1/LDB2/COBL/MTSS2/JMY/THY1/NEDD9/PLCG1/JCAD/KCNC4/SYNE2/PSD/PIP5K1A/MYO5A/SH3RF1/CADM4/ARF6/FLOT1/DIAPH1/ILK/INPP5E/ARPC5/RAB3IP/CARMIL1/EPS8/ABLIM1/ARPIN/MACF1/SH3BP1/ANK1/WWC1/NRBP1/ALS2/CCDC88A/AAK1/WASF3/DAG1/CDC42BPA/DST	71
GO:0097060	synaptic membrane	67/1531	428/22568	1.1392399374464824e-10	2.9620238373608544e-9	1.8737498971159252e-9	DMD/SNAP25/SNAP91/NRXN3/CNKSR2/RIMS2/DTNBP1/SYDE1/RGS9/KCNMA1/HCN1/KCNB1/ANK2/GRIA2/DLG1/UNC13C/GABBR2/HSPA8/EXOC3/LRRC4B/SYT1/SLC6A6/SYNE1/LHFPL4/GABRG3/KCNA2/UNC13B/AKAP9/DLG4/SLC1A6/GPR179/DNM1/SHISA6/CLSTN1/STX3/SHISA8/GABRG2/CSPG5/SLC6A11/GABRG1/LIN7B/SLC1A2/SEMA4B/PTPRS/ZNRF2/LRP4/KCNC4/NECTIN3/CLTA/DNAJC6/NRXN2/NPTN/NLGN4X/ADCY1/NLGN2/PI4K2A/ANK3/PLPPR4/SNTA1/DNAJA3/ANK1/PRR7/PPFIA2/DAG1/ADGRL1/APH1A/SHANK1	67
GO:0099572	postsynaptic specialization	62/1531	383/22568	1.4061876838460687e-10	3.2498559804442478e-9	2.055829947143375e-9	CNKSR2/DTNBP1/ADD1/RGS9/KCNB1/GRIA2/DLG1/NEURL1/ARHGAP32/HSPA8/LRRC4B/NSMF/IGSF11/TANC1/LHFPL4/IQSEC1/AKAP9/SPTBN1/DISC1/DLG4/SHISA6/CADM1/CLSTN1/SHISA8/PLEKHA5/ADGRB1/NTRK2/LIN7B/SEMA4B/USP8/SEPTIN11/MINK1/PTPRS/BAALC/RTN3/LRP4/NECTIN3/RTN4/PCLO/DNAJC6/PSD/RTN1/KPNA1/TMEM108/FYN/SYN1/ATP1A1/TNIK/NPTN/EPS8/NLGN4X/ADCY1/NLGN2/CPEB4/PLPPR4/ZDHHC2/ALS2/PRR7/PPFIA2/DCLK1/SHANK1/PRNP	62
GO:0014069	postsynaptic density	56/1531	347/22568	1.2272487619077648e-9	2.5526774247681508e-8	1.614801002510217e-8	CNKSR2/DTNBP1/ADD1/RGS9/GRIA2/DLG1/NEURL1/ARHGAP32/LRRC4B/NSMF/IGSF11/TANC1/IQSEC1/AKAP9/SPTBN1/DISC1/DLG4/SHISA6/CADM1/CLSTN1/SHISA8/PLEKHA5/ADGRB1/NTRK2/LIN7B/SEMA4B/USP8/MINK1/PTPRS/BAALC/RTN3/LRP4/NECTIN3/RTN4/PCLO/DNAJC6/PSD/RTN1/KPNA1/TMEM108/FYN/SYN1/ATP1A1/TNIK/NPTN/EPS8/NLGN4X/ADCY1/CPEB4/PLPPR4/ZDHHC2/ALS2/PRR7/DCLK1/SHANK1/PRNP	56
