ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0106310	protein serine kinase activity	55/1501	377/21059	3.084851343949947e-7	5.0277819456856795e-5	4.077309741130708e-5	PIK3CB/PAK4/CDK7/MAP4K1/MOK/PKMYT1/NEK6/LMTK2/MAK/MARK3/MYO3A/AKT1/DCLK3/TAOK3/MAPK4/MAP3K1/DCAF1/RAF1/CAMK2G/MKNK2/STK33/CSNK1D/STK32A/BRSK2/CDC42BPB/STK35/MINK1/PRKCB/PRKCE/MARK4/SIK3/MAST2/MAPK14/ILK/NEK1/OXSR1/CAMK1D/PRKACB/STK32B/ULK3/ERN1/TNIK/PNCK/PRKACA/TAOK1/STK3/ROCK2/SIK2/CSNK1A1/AAK1/PRKCA/MYO3B/IRAK4/DCLK1/CDC42BPA	55
GO:0015631	tubulin binding	56/1501	397/21059	7.323576118547915e-7	5.0277819456856795e-5	4.077309741130708e-5	RP1/CCSAP/PEX14/CLIP1/JAKMIP1/KIFC3/GABARAPL1/FBXW11/UXT/TTLL12/RAB11FIP5/MAP6/MAP4/DYNC1I1/EML6/DNM1/NCALD/HOOK1/VPS41/NIN/CCDC61/GOLGA2/MTCL1/CCSER2/EML3/FAM161A/MAP2/CACYBP/KIF5C/TRAPPC14/JMY/KIF13A/EML1/CAMSAP2/INO80/FMN1/MARK4/MAST2/WHAMM/CCDC181/ENKD1/FYN/EML5/SGIP1/KIF21A/TAOK1/TUBGCP3/SBDS/MACF1/MAPRE3/ARL4C/CCDC88A/SETD2/DAG1/PRNP/DST	56
GO:0003714	transcription corepressor activity	36/1501	210/21059	7.695584610743388e-7	5.0277819456856795e-5	4.077309741130708e-5	PEX14/KMT5A/EID1/FHL2/PARP14/UXT/RCOR1/SETD5/RCOR3/PARP9/CITED2/ZMYND11/NCOR2/TRIB3/ARID5A/PARP10/NAB2/CREG1/CTBP2/IRF2BP2/SF1/ATN1/YAF2/NRIP1/PIAS4/ARK2N/SIRT1/TLE3/DMAP1/MIDEAS/DPF2/CREBBP/NIPBL/CBX4/SNW1/HNRNPU	36
GO:0003779	actin binding	63/1501	475/21059	1.3270919376967592e-6	5.687665902821471e-5	4.6124465699572615e-5	ABLIM3/DMD/PLS3/ABL2/FAM107A/SORBS1/EPB41L2/ADD1/COBLL1/KCNMA1/LIMA1/MYO3A/SYNE1/MYO5B/ARPC2/PHACTR1/SPTBN1/ACTN1/NCALD/TPM1/HOOK1/SNTG1/MYL4/BIN1/CACNB2/CORO2B/INPPL1/COBL/ENC1/MTSS2/JMY/PDLIM3/TNS1/RAI14/PRKCE/INO80/MYO9A/FMN1/ESPN/SYNE2/LMOD1/MYO5A/WHAMM/SYN1/DIAPH1/ARPC5/INF2/TULP1/SPIRE1/EPS8/SNTB2/MRTFA/ABLIM1/SNTA1/BCL7B/MACF1/GIPC1/CCDC88A/WASF3/DAG1/MYO3B/HNRNPU/DST	63
GO:0008017	microtubule binding	44/1501	289/21059	1.4509351792911915e-6	5.687665902821471e-5	4.6124465699572615e-5	RP1/CCSAP/PEX14/CLIP1/JAKMIP1/KIFC3/FBXW11/UXT/MAP6/MAP4/DYNC1I1/EML6/DNM1/HOOK1/VPS41/NIN/CCDC61/GOLGA2/MTCL1/CCSER2/EML3/FAM161A/MAP2/KIF5C/JMY/KIF13A/EML1/CAMSAP2/FMN1/MARK4/MAST2/WHAMM/CCDC181/ENKD1/EML5/SGIP1/KIF21A/TUBGCP3/SBDS/MACF1/MAPRE3/CCDC88A/PRNP/DST	44
GO:0004674	protein serine/threonine kinase activity	61/1501	467/21059	3.2125042077043493e-6	1.0494180411834207e-4	8.510318164269417e-5	PAK4/BMPR1A/CDK7/MAP4K1/MOK/PKMYT1/NEK6/VRK3/LMTK2/MAK/MARK3/MYO3A/AKT1/DCLK3/TAOK3/MAPK4/MAP3K1/DCAF1/RAF1/CAMK2G/MKNK2/STK33/CSNK1D/STK32A/BRSK2/CDC42BPB/CPNE3/STK35/MINK1/GRK2/PRKCB/PRKCE/MARK4/SIK3/MAST2/MAPK14/ILK/NEK1/OXSR1/CAMK1D/CCND3/PRKACB/STK32B/ULK3/ERN1/TNIK/PNCK/PRKACA/TAOK1/STK3/ROCK2/SIK2/BCKDK/NRBP1/CSNK1A1/AAK1/PRKCA/MYO3B/IRAK4/DCLK1/CDC42BPA	61
GO:0042578	phosphoric ester hydrolase activity	53/1501	390/21059	4.4271900767429815e-6	1.1188239764525269e-4	9.073169733852394e-5	PDE6G/DUSP14/PLCH2/PDE6B/PTPN18/ALPL/PPM1N/GDPD5/DLG1/PFKFB2/F2RL2/PDE10A/INPP1/TNS3/PLCXD3/PTPN4/DUSP16/MTMR1/INPP5F/PTPN13/CAMK2G/PLCE1/NT5C/PDE6H/PLCB1/INPPL1/MTMR7/PTP4A3/PTPRS/INPP5A/TNS1/DUSP8/PTPRR/PLCG1/PPP3R1/DNAJC6/SMPD1/PDE8A/ATP1A1/INPP5E/DUSP1/SGPP1/PTPN12/PLPPR4/CNP/PLPP1/PPP3CC/NT5DC1/PPP1CB/NT5C3B/PPP3CB/PPP2R1A/PPM1H	53
GO:0003713	transcription coactivator activity	46/1501	321/21059	4.566628475316436e-6	1.1188239764525269e-4	9.073169733852394e-5	CITED1/LMO1/HCFC2/TRIM14/MED12L/MAK/ASXL1/KMT2C/TACC1/ACTN1/DTX1/KMT2D/WWOX/KAT6B/USP16/PHF2/CITED2/KAT2B/NCOA1/KAT5/JMY/TRIM8/EP300/PRKCB/NUPR1/TAF9/CTBP2/SLC30A9/PPARGC1B/NCOA7/ATN1/YAF2/NRIP1/KMT2E/MRTFA/SRCAP/SIRT1/WWC1/CREBBP/ZXDC/ATXN7L3/EDF1/TADA2B/NCOA6/SNW1/WBP2	46
GO:0016922	nuclear receptor binding	27/1501	149/21059	6.201154848937136e-6	1.350473722657421e-4	1.0951747160111202e-4	NR4A3/NR4A1/ASXL1/TACC1/DCAF1/RARB/PADI2/ZBTB7A/NCOR2/NCOA1/PROX1/ARID5A/DNAAF4/EP300/PRKCB/CTBP2/SLC30A9/PPARGC1B/NCOA7/CRX/NRIP1/JMJD1C/RNF6/SIRT1/NCOA6/SNW1/WBP2	27
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	50/1501	372/21059	1.1097172989830465e-5	2.1750459060067713e-4	0.00017638664436467373	FOS/ADD1/EPAS1/NR4A3/STAT3/NR4A1/NFE2L2/GABARAPL1/TTC8/ASXL1/BBS5/TACC1/DCAF1/DDIT3/RARB/PADI2/PARP9/ZBTB7A/CITED2/NCOR2/BBS7/NCOA1/PROX1/ARID5A/DNAAF4/MEF2A/EP300/PRKCB/PDCD11/MAPK14/CTBP2/BMAL1/SLC30A9/PPARGC1B/NCOA7/CRX/NRIP1/JMJD1C/RNF6/NEUROD1/HES1/SIRT1/ARNT2/HEY1/DMAP1/CREBBP/MEF2D/NCOA6/SNW1/WBP2	50
