ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050684	regulation of mRNA processing	31/1225	133/21261	1.6421493632208296e-11	2.321999199594253e-8	1.8392072868073292e-8	DHX36/KHDRBS2/NCL/SRRM1/CDK9/PTBP1/HNRNPU/PCBP4/PUF60/TRA2B/HNRNPA1/FXR1/PAPOLA/DYRK1A/SNRNP70/DHX9/SNW1/HNRNPK/NCBP1/METTL16/REST/DDX5/RBM8A/CIRBP/NCBP2/MAGOH/SON/RBM4/ZC3H14/KHDRBS1/HSPA8	31
GO:0050657	nucleic acid transport	35/1225	179/21261	1.6004637492175863e-10	7.543519137978889e-8	5.975064663745656e-8	UPF1/MVP/FLOT1/UPF3B/RTRAF/NUP54/KHSRP/THOC5/KPNB1/NUP88/SMG5/KIF5C/G3BP2/SMG7/HNRNPA1/CPSF6/NCBP3/DHX9/NCBP1/ALKBH5/NUP214/RBM8A/NUP62/NXF1/NCBP2/MAGOH/SSB/UPF3A/ENY2/AKAP8L/SRSF1/LRPPRC/KHDRBS1/RANBP2/ARC	35
GO:0050658	RNA transport	35/1225	179/21261	1.6004637492175863e-10	7.543519137978889e-8	5.975064663745656e-8	UPF1/MVP/FLOT1/UPF3B/RTRAF/NUP54/KHSRP/THOC5/KPNB1/NUP88/SMG5/KIF5C/G3BP2/SMG7/HNRNPA1/CPSF6/NCBP3/DHX9/NCBP1/ALKBH5/NUP214/RBM8A/NUP62/NXF1/NCBP2/MAGOH/SSB/UPF3A/ENY2/AKAP8L/SRSF1/LRPPRC/KHDRBS1/RANBP2/ARC	35
GO:0051236	establishment of RNA localization	35/1225	182/21261	2.578282231860506e-10	9.114227689626889e-8	7.219190249209417e-8	UPF1/MVP/FLOT1/UPF3B/RTRAF/NUP54/KHSRP/THOC5/KPNB1/NUP88/SMG5/KIF5C/G3BP2/SMG7/HNRNPA1/CPSF6/NCBP3/DHX9/NCBP1/ALKBH5/NUP214/RBM8A/NUP62/NXF1/NCBP2/MAGOH/SSB/UPF3A/ENY2/AKAP8L/SRSF1/LRPPRC/KHDRBS1/RANBP2/ARC	35
GO:0030111	regulation of Wnt signaling pathway	52/1225	353/21261	4.404343862847673e-10	1.245548444413322e-7	9.865730252778789e-8	WNT3/PLEKHA4/CDH3/YAP1/APC/STK3/TAX1BP3/CSNK1D/TMEM131L/RNF146/TLE4/FGFR2/TMEM9/PLPP3/SNX3/LIMD1/SULF1/COL1A1/PPP1CA/KANK1/G3BP1/VCP/SOX2/TLE3/MKS1/TMEM64/TBL1X/CSNK1G1/APP/OTUD5/WIF1/XIAP/UBE2B/CSNK1E/SIAH2/NFATC4/SOX4/AMER2/BICC1/DKK3/PPP2R1A/LZTS2/TMEM88/SCYL2/WWOX/CTNND2/LGR4/ILK/CAPRIN2/MBD2/DEPDC1B/TIAM1	52
GO:0006403	RNA localization	39/1225	224/21261	5.393187890191929e-10	1.2709946127885645e-7	1.00672840616916e-7	UPF1/MEX3D/DHX36/MVP/FLOT1/UPF3B/RTRAF/NUP54/KHSRP/THOC5/HNRNPU/KPNB1/NUP88/SMG5/KIF5C/G3BP2/SMG7/HNRNPA1/YY1/CPSF6/NCBP3/DHX9/NCBP1/ALKBH5/NUP214/RBM8A/NUP62/NXF1/NCBP2/MAGOH/SSB/UPF3A/ENY2/AKAP8L/SRSF1/LRPPRC/KHDRBS1/RANBP2/ARC	39
GO:1903311	regulation of mRNA metabolic process	55/1225	389/21261	6.549839511662533e-10	1.3230675813558315e-7	1.0479743218660054e-7	UPF1/MEX3D/DHX36/CPEB3/ZC3HAV1/KHDRBS2/HNRNPA0/SECISBP2/ELAVL1/NCL/SRRM1/CDK9/PTBP1/KHSRP/HNRNPU/PCBP4/TUT4/TUT7/PUF60/TRA2B/HNRNPA1/FXR1/CSDE1/PAPOLA/DYRK1A/SNRNP70/DHX9/SYNCRIP/FASTKD3/SNW1/HNRNPK/NCBP1/TBRG4/FTO/METTL16/REST/DDX5/ALKBH5/RBM8A/TENT4B/CIRBP/NCBP2/MAGOH/SON/RBM4/CNOT1/UPF3A/VIM/SERBP1/EXOSC9/ZC3H14/KHDRBS1/FASTKD1/HSPA8/RNASEL	55
GO:0051028	mRNA transport	29/1225	141/21261	1.7241114593766012e-9	3.047367004448143e-7	2.413756043127242e-7	UPF1/MVP/UPF3B/NUP54/KHSRP/THOC5/NUP88/SMG5/KIF5C/G3BP2/SMG7/HNRNPA1/NCBP3/DHX9/NCBP1/ALKBH5/NUP214/RBM8A/NUP62/NXF1/NCBP2/MAGOH/UPF3A/ENY2/AKAP8L/SRSF1/LRPPRC/RANBP2/ARC	29
GO:0048024	regulation of mRNA splicing, via spliceosome	25/1225	110/21261	2.603548158900127e-9	4.0904634407608664e-7	3.239971042186825e-7	KHDRBS2/NCL/SRRM1/PTBP1/HNRNPU/PCBP4/PUF60/TRA2B/HNRNPA1/FXR1/DYRK1A/SNRNP70/SNW1/HNRNPK/NCBP1/METTL16/REST/DDX5/RBM8A/CIRBP/MAGOH/SON/RBM4/KHDRBS1/HSPA8	25
GO:0045727	positive regulation of translation	30/1225	153/21261	2.9990094203330778e-9	4.240599320350972e-7	3.358890550773047e-7	DHX36/CPEB3/UPF3B/EIF4G3/CYP1B1/ELAVL1/JMJD4/RPS27L/HNRNPU/NCK2/EEF2/FXR1/LARP6/CSDE1/PRKDC/DHX9/SYNCRIP/FASTKD3/MPV17L2/RPL5/PASK/TENT4B/CIRBP/RBM4/SSB/SOX4/UPF3A/VIM/KHDRBS1/PYM1	30
