ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003714	transcription corepressor activity	36/1238	210/21059	6.416941707155628e-9	1.257720574602503e-6	1.0334653486261168e-6	NCOR2/DNMT3A/RCOR1/EID1/YAP1/SIRT1/SUFU/CITED2/AJUBA/TLE4/YAF2/UXT/IRF2BP2/LIMD1/PARP14/HNRNPU/BRD7/BASP1/COPS2/CREBBP/MIER2/TLE3/TRIM28/SNW1/MED1/TBL1X/LMO4/SIAH2/HMGB1/GMNN/CTBP2/NRIP1/NIPBL/ZMYND11/RCOR3/FHL2	36
GO:0003713	transcription coactivator activity	45/1238	321/21059	5.4543304976767066e-8	5.345243887723173e-6	4.3921714007607166e-6	TRIM14/ZIC3/YAP1/SIRT1/CITED2/KDM1A/TADA2B/CARM1/RBPMS/WWC1/JMY/YAF2/KAT2B/SMARCA2/BRD7/SMARCD1/SMARCE1/CREBBP/NCOA1/TRIM8/DYRK1A/DHX9/TRIM28/HCFC2/SNW1/MED1/MAML1/KMT2C/MYSM1/PDLIM1/NME2/NUCKS1/ENY2/HMGB1/TOX3/EP300/ASXL1/KMT2E/NCOA6/WWOX/ACTL6B/CTBP2/LMO1/NRIP1/NCOA3	45
GO:0045296	cadherin binding	47/1238	359/21059	2.2435086433556034e-7	1.4657589803256607e-5	1.2044099032751135e-5	H3C6/HSP90AB1/OLA1/ZC3HAV1/MARK2/CDH3/ESYT2/SEPTIN9/CSNK1D/EHD1/MPRIP/CNN3/VAPA/ADD1/PLCB3/EIF4H/PFKP/CHMP2B/YKT6/CDH20/PPP1CA/PUF60/BSG/EEF2/DDX6/ATXN2L/HNRNPK/SND1/CDH11/KIF5B/CHMP4B/RAB1A/STK24/ANK3/EIF2A/PDLIM1/SERBP1/TMOD3/EXOC3/YWHAB/RSL1D1/PAICS/CAST/CTNND2/HSPA8/KTN1/DLG1	47
GO:0140993	histone modifying activity	33/1238	218/21059	5.52091177074987e-7	2.7052467676674366e-5	2.222893423486132e-5	EEF2KMT/PRMT8/N6AMT1/FBXL19/USP49/SIRT1/KDM1A/KDM5C/JARID2/CARM1/ASH1L/KMT2B/BAZ1B/KAT2B/RNF2/TAF10/SIRT7/CREBBP/NCOA1/MIER2/PCGF5/DYRK1A/KMT2C/MYSM1/KDM4B/PCGF3/EP300/EED/NCOA3/NTMT1/DCAF1/BUB1/UHRF1	33
GO:0003779	actin binding	52/1238	475/21059	1.1917606305176356e-5	4.526364923699156e-4	3.719300930859135e-4	ABL2/KLHL1/SHANK3/MYH7B/ARPC2/MYO18A/ARPC5/SPIRE1/DMD/UTRN/AJUBA/MYO5B/MPRIP/WASF1/CNN3/ADD1/JMY/INO80/HNRNPU/STK38L/AFAP1/TPM4/DIAPH1/EPB41L3/TPM1/CCDC88A/ENC1/ENAH/ITPRID2/MARCKSL1/PPP1R9B/SYNE1/TPM3/LMOD1/MTSS2/PTK2/PDLIM1/ESPN/TMOD3/TRIOBP/NCALD/DSTN/PHACTR1/HOOK1/WIPF1/SHROOM3/RAI14/EVL/ACTR3B/WHAMM/EPB41L2/BIN1	52
GO:0031490	chromatin DNA binding	21/1238	126/21059	1.385621915418109e-5	4.526364923699156e-4	3.719300930859135e-4	H3-3A/CTCF/VAX2/HNRNPU/SMARCE1/CREBBP/THRA/TOX4/ZIC2/HMGN3/DHX9/RARA/THRB/MED1/HMGN1/PAX6/TOX3/EP300/FOXO3/MBD2/POLE3	21
GO:0043021	ribonucleoprotein complex binding	27/1238	201/21059	5.154724628538005e-5	0.0014433228959906414	0.0011859742378440823	CPEB3/ETF1/OLA1/NAA15/MTRES1/SECISBP2/ERI1/HNRNPU/SECISBP2L/PPP1CA/MRRF/GTPBP4/EEF2/PES1/G3BP1/NME1/CPSF6/DHX9/SND1/TMCO1/DDX5/EIF2A/CINP/LEMD3/SERBP1/RNASEL/PYM1	27
GO:0016922	nuclear receptor binding	22/1238	149/21059	6.02892149027548e-5	0.0014770857651174927	0.0012137170894896692	RERG/NCOR2/SIRT1/KDM1A/LRIF1/TAF10/PARP1/SMARCE1/NCOA1/HMGN3/SNW1/MED1/DDX5/CNOT1/EP300/ASXL1/NCOA6/CTBP2/NRIP1/NR4A1/NCOA3/DCAF1	22
GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	40/1238	372/21059	1.7146333730916607e-4	0.0037340904569551723	0.003068291299216656	RERG/BBS7/NCOR2/DNMT3A/PDCD11/SIRT1/CITED2/KDM1A/ADD1/LRIF1/TAF10/PARP1/SMARCE1/HES1/CREBBP/NCOA1/SMARCA1/COMMD6/NEUROD1/HMGN3/PRKDC/DHX9/SNW1/MED1/REST/TRIB2/TTC8/DDX5/SP3/CNOT1/HMGB1/EP300/ASXL1/EXOSC9/NCOA6/CTBP2/NRIP1/NR4A1/NCOA3/DCAF1	40
GO:0030674	protein-macromolecule adaptor activity	46/1238	459/21059	2.971059757260653e-4	0.005823277124230881	0.004784969924851367	SHANK3/FBXL19/SNAP25/CUL4A/DET1/ATP1B2/SNAP29/AP1M1/TRADD/EPB41L3/CUL3/GNB5/STX10/YKT6/NAPB/G3BP2/NCK2/KLHDC3/CSTPP1/STX7/HNRNPA1/G3BP1/FXR1/FRMD4A/ICE1/RETREG2/SYNE1/MAPK8IP1/EPC1/PEX26/NUP62/ST13/ANK3/OBSL1/HPF1/CUL1/KRAS/OPTN/FBXW11/FBXO7/KHDRBS1/RXRG/SH3RF1/HSPA8/ANK2/DCAF1	46
