ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0098984	neuron to neuron synapse	58/952	395/22568	9.563737178100395e-17	1.8840562240857777e-14	1.2986548378683694e-14	SYNPO/NEURL1/NTRK2/ADGRB1/ATP2B2/PLPPR4/TMEM108/SHANK2/ADCY1/AKAP9/EPS8/DLG4/LZTS3/SEMA4B/PRNP/GRIK4/DNM3/PSD/IQSEC3/IGSF11/LIN7B/DISC1/CDKL5/ATP1B2/ARHGAP32/LIN7A/SHANK1/ATP1A3/GRID1/BAALC/CPEB4/LRP4/CADM1/DNAJC6/SLC8A2/SLC1A1/EEF2K/SYNDIG1/CHRNA3/IQSEC1/PLXNA4/NLGN1/PCLO/MINK1/MAGI2/IGSF9B/PRKN/SYN1/TNIK/CPEB3/DCLK1/ROGDI/USP8/SYT1/ADD1/LRFN1/PPP3R1/ARHGEF9	58
GO:0097060	synaptic membrane	60/952	428/22568	2.556204786998887e-16	2.5178617151939037e-14	1.7355285132781918e-14	RIMS2/KCNB1/SLC1A7/IGSF21/LRFN2/STX3/SNAP25/LHFPL4/SLC6A6/ATP2B2/PLPPR4/SLC1A2/KCNMA1/GABRG3/KCNA2/SHANK2/ADCY1/AKAP9/NRXN3/DLG4/SEMA4B/GRIK4/DMD/CNR1/GABRR2/DNM3/SYP/IQSEC3/NRP1/LIN7B/PPFIA2/UNC13A/SNAP91/SYNJ1/CNTN1/LIN7A/SHANK1/GRID1/LRP4/DNAJC6/KCND1/NRXN2/GABBR2/SNTA1/GLRB/SYNDIG1/STXBP1/CHRNA3/NLGN1/GRIPAP1/SYNE1/NRXN1/IGSF9B/CSPG5/ANK3/SYT1/ANK1/KCNK1/LRFN1/DNM1	60
GO:0099572	postsynaptic specialization	55/952	383/22568	1.6215935982258226e-15	1.064846462834957e-13	7.339844707758986e-14	KCNB1/LHFPL4/SYNPO/NEURL1/NTRK2/ADGRB1/ATP2B2/PLPPR4/TMEM108/SHANK2/ADCY1/AKAP9/EPS8/DLG4/LZTS3/SEMA4B/PRNP/GRIK4/DNM3/PSD/IQSEC3/IGSF11/LIN7B/DISC1/PPFIA2/CDKL5/ARHGAP32/LIN7A/SHANK1/GRID1/BAALC/CPEB4/LRP4/CADM1/DNAJC6/SLC8A2/EEF2K/GLRB/SYNDIG1/CHRNA3/IQSEC1/NLGN1/PCLO/MINK1/MAGI2/IGSF9B/PRKN/SYN1/TNIK/CPEB3/DCLK1/USP8/ADD1/LRFN1/ARHGEF9	55
GO:0032279	asymmetric synapse	53/952	363/22568	2.6491061673422827e-15	1.304684787416074e-13	8.993018304925117e-14	SYNPO/NEURL1/NTRK2/ADGRB1/ATP2B2/PLPPR4/TMEM108/SHANK2/ADCY1/AKAP9/EPS8/DLG4/LZTS3/SEMA4B/PRNP/GRIK4/DNM3/PSD/IQSEC3/IGSF11/LIN7B/DISC1/CDKL5/ARHGAP32/LIN7A/SHANK1/GRID1/BAALC/CPEB4/LRP4/CADM1/DNAJC6/SLC8A2/SLC1A1/EEF2K/SYNDIG1/CHRNA3/IQSEC1/PLXNA4/NLGN1/PCLO/MINK1/MAGI2/IGSF9B/PRKN/SYN1/TNIK/CPEB3/DCLK1/USP8/ADD1/LRFN1/ARHGEF9	53
GO:0014069	postsynaptic density	51/952	347/22568	6.83881471086598e-15	2.6944929960811963e-13	1.857278100424656e-13	SYNPO/NEURL1/NTRK2/ADGRB1/ATP2B2/PLPPR4/TMEM108/SHANK2/ADCY1/AKAP9/EPS8/DLG4/LZTS3/SEMA4B/PRNP/GRIK4/DNM3/PSD/IQSEC3/IGSF11/LIN7B/DISC1/CDKL5/ARHGAP32/LIN7A/SHANK1/GRID1/BAALC/CPEB4/LRP4/CADM1/DNAJC6/SLC8A2/EEF2K/SYNDIG1/CHRNA3/IQSEC1/NLGN1/PCLO/MINK1/MAGI2/IGSF9B/PRKN/SYN1/TNIK/CPEB3/DCLK1/USP8/ADD1/LRFN1/ARHGEF9	51
GO:0001750	photoreceptor outer segment	26/952	102/22568	7.60380480270754e-14	2.496582576888976e-12	1.7208610869285487e-12	PDE6H/GUCA1B/RCVRN/CNGB1/PDC/RD3/ROM1/GUCA1A/TULP1/CDHR1/ABCA4/MAK/EYS/DHRS3/PDE6B/STX3/PRCD/SHANK2/MYRIP/MYO7A/PROM1/RPGR/PCDH15/CERKL/MAGI2/TMEM237	26
GO:0098978	glutamatergic synapse	54/952	440/22568	1.982727891766746e-12	5.5799627811149854e-11	3.8461939554572976e-11	ABLIM3/STX3/SNAP25/SH3GL2/TNR/ATP2B2/PLPPR4/SLC1A2/KCNA2/SHANK2/ADCY1/AKAP9/EPS8/DLG4/SEMA4B/NAPB/CNR1/DNM3/NRP1/DISC1/PPFIA2/CAMKV/DGKE/CDKL5/DRD4/CADPS/SHANK1/GRID1/NOS1AP/SLITRK2/EPHB1/IL1RAP/NRXN2/EEF2K/STXBP1/PLXNA4/NLGN1/HPCA/GRIPAP1/OPHN1/PCLO/MAP1LC3A/ROR2/CTTNBP2/TNIK/PPP3CC/CSPG5/PSD2/USP8/SYT1/PURA/PLCB1/PPP3R1/DNM1	54
GO:0097733	photoreceptor cell cilium	27/952	130/22568	4.981276710008201e-12	1.2266393898395195e-10	8.455061784092867e-11	PDE6H/GUCA1B/RCVRN/CNGB1/PDC/RD3/ROM1/GUCA1A/TULP1/CDHR1/ABCA4/MAK/EYS/DHRS3/PDE6B/STX3/PRCD/SHANK2/MYRIP/MYO7A/PROM1/RPGR/PCDH15/FAM161A/CERKL/MAGI2/TMEM237	27
GO:0097731	9+0 non-motile cilium	28/952	142/22568	7.588327542295744e-12	1.6610005842580683e-10	1.144905559013042e-10	PDE6H/GUCA1B/RCVRN/CNGB1/PDC/RD3/ROM1/GUCA1A/TULP1/CDHR1/ABCA4/MAK/EYS/DHRS3/PDE6B/STX3/PRCD/SHANK2/MYRIP/MYO7A/PROM1/RPGR/PCDH15/FAM161A/CFAP96/CERKL/MAGI2/TMEM237	28
GO:0097730	non-motile cilium	30/952	181/22568	1.3049649849660188e-10	2.570781020383057e-9	1.772005084848594e-9	PDE6H/GUCA1B/RCVRN/CNGB1/PDC/RD3/ROM1/GUCA1A/TULP1/CDHR1/ABCA4/MAK/EYS/DHRS3/PDE6B/STX3/PRCD/SHANK2/MYRIP/MYO7A/PROM1/RPGR/CDH23/PCDH15/FAM161A/CFAP96/CERKL/IFT88/MAGI2/TMEM237	30
