ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	31/488	195/21059	2.3152632942257787e-17	4.236931828433175e-15	3.655678885619651e-15	CCN1/COL1A2/LAMB2/COL2A1/COL9A1/MFGE8/COL5A1/MFAP4/COL4A1/HSPG2/COL9A3/FBN2/ANOS1/COL5A2/MFAP2/COL4A5/LTBP4/COL4A6/COL18A1/COL25A1/COL4A2/IGFBP7/LAMA5/FBLN1/FBN1/COL27A1/VCAN/COL9A2/EFEMP2/TUFT1/AEBP1	31
GO:0019838	growth factor binding	16/488	150/21059	4.2907727575973195e-7	2.8095851066940095e-5	2.4241459074150212e-5	CCN1/COL1A2/COL2A1/PDGFRA/COL5A1/COL4A1/LTBP3/EGFR/LTBP4/FGFRL1/IGFBP7/FGFR1/HAP1/PDGFRB/ITGA6/ERBB2	16
GO:0005178	integrin binding	17/488	170/21059	4.741605522753471e-7	2.8095851066940095e-5	2.4241459074150212e-5	CCN1/LAMB2/IGF2/MFGE8/COL5A1/PLPP3/UTRN/LTBP4/LYN/LAMA5/FBLN1/MMP14/FBN1/ITGA6/ACTN4/TSPAN4/P4HB	17
GO:0004713	protein tyrosine kinase activity	16/488	154/21059	6.141169632118053e-7	2.8095851066940095e-5	2.4241459074150212e-5	PDGFRA/AXL/EPHB4/MELK/EFNA4/MET/EGFR/FGFRL1/MERTK/LYN/RIPK2/FGFR1/DYRK3/PDGFRB/EPHA4/ERBB2	16
GO:0003779	actin binding	29/488	475/21059	2.3888928280845406e-6	8.743347750789419e-5	7.543872088688024e-5	TAGLN/CGN/MYO5C/TPM2/ANLN/DMD/SHROOM3/UACA/EGFR/ENC1/AIF1L/UTRN/MYO5B/INPPL1/DIAPH2/PAWR/COBLL1/PARVA/HOMER2/MYO10/PLS3/ADD3/CNN2/TPM1/FLNA/ACTN4/ITPRID2/P4HB/ANTXR1	29
GO:0008017	microtubule binding	20/488	289/21059	1.4966787885514318e-5	4.564870305081867e-4	3.9386283909248205e-4	CRYAB/BIRC5/GTSE1/KIF23/CGN/NUSAP1/CENPF/PLK1/KIF11/KIF14/CENPE/PSRC1/MAP7D3/KIF15/SPAG5/HAUS4/KIF22/PRC1/EML1/NDE1	20
GO:0015631	tubulin binding	24/488	397/21059	2.077033467434572e-5	5.429958922007524e-4	4.68503789646896e-4	CRYAB/BIRC5/GTSE1/KIF23/CGN/NUSAP1/CENPF/PLK1/KIF11/KIF14/CENPE/PSRC1/MAP7D3/KIF15/LYN/SPAG5/BRCA2/IFT74/HAUS4/KIF22/PRC1/EML1/NDE1/NEDD1	24
GO:0008094	ATP-dependent activity, acting on DNA	12/488	127/21059	4.0426579288583216e-5	9.247580012263411e-4	7.978930122746688e-4	BRIP1/MSH5/BLM/MCM5/RAD51B/MCM3/RFC3/CHTF18/MCM4/HELLS/FANCM/CHD1L	12
GO:0051015	actin filament binding	15/488	225/21059	2.575585982556737e-4	0.005237024831198698	0.004518571899222346	MYO5C/TPM2/SHROOM3/EGFR/AIF1L/MYO5B/MYO10/PLS3/ADD3/CNN2/TPM1/FLNA/ACTN4/ITPRID2/ANTXR1	15
GO:0045296	cadherin binding	20/488	359/21059	2.9571644072556933e-4	0.005411610865277919	0.004669206958824779	KRT18/CGN/AHNAK/ANLN/CCNB2/CDH7/CDH6/EGFR/CIP2A/COBLL1/PARVA/PROM1/PLIN3/ITGA6/CNN2/CDH11/ZC3HAV1/FLNA/SWAP70/EEF1D	20
GO:0106310	protein serine kinase activity	20/488	377/21059	5.513419463202937e-4	0.009172325106964887	0.007913999229477902	CDK18/STK3/PLK2/MELK/PLK1/PRKG1/MAP3K20/CDK1/MAP3K8/AURKA/PRKD1/RIPK2/STK26/DYRK3/VRK2/CDK2/SGK1/CDK6/MAPKAPK3/NEK7	20
GO:0004674	protein serine/threonine kinase activity	23/488	467/21059	6.164216179530272e-4	0.009335214696179496	0.008054542447091886	CDK18/STK3/PLK2/MELK/PLK1/PRKG1/MAP3K20/EGFR/CDK1/LTBP4/MAP3K8/AURKA/PRKD1/RIPK2/STK26/BMPR1B/DYRK3/VRK2/CDK2/SGK1/CDK6/MAPKAPK3/NEK7	23
GO:0005539	glycosaminoglycan binding	16/488	273/21059	6.776493575863432e-4	0.009335214696179496	0.008054542447091886	CCN1/COL5A1/APOE/ANOS1/LAYN/ADAMTS1/LTBP4/COL25A1/FGFRL1/SLIT3/SULF1/FBN1/FGFR1/VCAN/EFEMP2/MDK	16
GO:0003697	single-stranded DNA binding	10/488	126/21059	7.141694303088139e-4	0.009335214696179496	0.008054542447091886	RAD51AP1/BLM/MCM5/RAD51B/SMC4/MCM3/HMGB2/BRCA2/MMS22L/MCM4	10
