ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001654	eye development	20/161	431/21261	1.0575955251277591e-10	6.863850790879174e-8	5.0271588084195124e-8	CPAMD8/PBX1/CRYAB/HES1/LAMB2/NOTCH1/COL5A2/FAT1/FOXN4/NFIA/FBN1/VIM/COL4A1/FBN2/GLI3/EGFR/SMAD3/MFAP2/MAF/STRA6	20
GO:0150063	visual system development	20/161	435/21261	1.2451639575691107e-10	6.863850790879174e-8	5.0271588084195124e-8	CPAMD8/PBX1/CRYAB/HES1/LAMB2/NOTCH1/COL5A2/FAT1/FOXN4/NFIA/FBN1/VIM/COL4A1/FBN2/GLI3/EGFR/SMAD3/MFAP2/MAF/STRA6	20
GO:0048880	sensory system development	20/161	448/21261	2.0913887932600113e-10	6.863850790879174e-8	5.0271588084195124e-8	CPAMD8/PBX1/CRYAB/HES1/LAMB2/NOTCH1/COL5A2/FAT1/FOXN4/NFIA/FBN1/VIM/COL4A1/FBN2/GLI3/EGFR/SMAD3/MFAP2/MAF/STRA6	20
GO:0048568	embryonic organ development	21/161	500/21261	2.1807309899536692e-10	6.863850790879174e-8	5.0271588084195124e-8	PBX1/CCN1/ZFP36L1/HES1/YAP1/NOTCH1/COL2A1/IGF2/FOXN4/ZIC1/FBN1/LRIG3/ATP6V1B1/FBN2/GLI3/EGFR/SMAD3/COL18A1/MFAP2/ID3/STRA6	21
GO:0030198	extracellular matrix organization	18/161	376/21261	5.877917146351475e-10	1.2003556447068084e-7	8.791535009097984e-8	DDR1/CCN1/LAMB2/NOTCH1/COL1A2/COL2A1/COL5A2/SERPINH1/MFAP4/COL4A1/PDPN/FKBP10/COL4A5/SMAD3/APP/COL18A1/PBXIP1/FBLN1	18
GO:0043062	extracellular structure organization	18/161	377/21261	6.132919765674302e-10	1.2003556447068084e-7	8.791535009097984e-8	DDR1/CCN1/LAMB2/NOTCH1/COL1A2/COL2A1/COL5A2/SERPINH1/MFAP4/COL4A1/PDPN/FKBP10/COL4A5/SMAD3/APP/COL18A1/PBXIP1/FBLN1	18
GO:0045229	external encapsulating structure organization	18/161	379/21261	6.673939247774152e-10	1.2003556447068084e-7	8.791535009097984e-8	DDR1/CCN1/LAMB2/NOTCH1/COL1A2/COL2A1/COL5A2/SERPINH1/MFAP4/COL4A1/PDPN/FKBP10/COL4A5/SMAD3/APP/COL18A1/PBXIP1/FBLN1	18
GO:0001503	ossification	20/161	496/21261	1.2272387922543693e-9	1.9313670493103135e-7	1.4145541868616154e-7	PBX1/REST/CCN1/YAP1/NOTCH1/COL1A2/COL2A1/COL5A2/IGF2/WWTR1/ATP6V1B1/FBN2/GLI3/PDLIM7/INPPL1/EGFR/MDK/SMAD3/CRIM1/ID3	20
GO:0042060	wound healing	19/161	485/21261	5.253328326216988e-9	7.348822625230208e-7	5.382357443001266e-7	DDR1/ERBB2/DST/CCN1/YAP1/TPM1/PRKG1/AHNAK/PDPN/FKBP10/FGFR1OP2/APOE/AXL/PLPP3/SMAD3/ANXA6/FBLN1/DCBLD2/HSPB1	19
GO:0043010	camera-type eye development	16/161	379/21261	3.268068791598519e-8	4.1144986086225355e-6	3.013503433095056e-6	CRYAB/HES1/LAMB2/NOTCH1/FAT1/FOXN4/NFIA/FBN1/VIM/COL4A1/FBN2/GLI3/EGFR/SMAD3/MAF/STRA6	16
GO:0072001	renal system development	15/161	345/21261	6.117058026211335e-8	7.001250959090974e-6	5.127792182737924e-6	ACTA2/PBX1/HES1/LAMB2/YAP1/NOTCH1/NFIA/FBN1/WWTR1/COL4A1/GLI3/SMAD3/ID3/LAMA5/STRA6	15
GO:0061448	connective tissue development	14/161	302/21261	7.82870163741288e-8	8.213612801252346e-6	6.015739152959372e-6	ACTA2/CCN1/NOTCH1/COL2A1/HMGA2/NFIA/SERPINH1/GLI3/TYMS/MDK/SMAD3/PBXIP1/MAF/ANXA6	14
GO:0051216	cartilage development	12/161	222/21261	1.3241657339728365e-7	1.2290331084307308e-5	9.001571865601942e-6	CCN1/COL2A1/HMGA2/NFIA/SERPINH1/GLI3/TYMS/MDK/SMAD3/PBXIP1/MAF/ANXA6	12
GO:0048562	embryonic organ morphogenesis	14/161	316/21261	1.3666770069920755e-7	1.2290331084307308e-5	9.001571865601942e-6	HES1/YAP1/NOTCH1/COL2A1/FOXN4/ZIC1/FBN1/LRIG3/ATP6V1B1/FBN2/GLI3/SMAD3/MFAP2/STRA6	14
GO:0030111	regulation of Wnt signaling pathway	14/161	353/21261	5.222868509801164e-7	4.383727635893111e-5	3.21068969444619e-5	TCF7L2/YAP1/NOTCH1/WWTR1/MDFIC/GLI3/APOE/PLPP3/EGFR/MDK/SMAD3/APP/PBXIP1/DKK3	14
GO:0090596	sensory organ morphogenesis	13/161	306/21261	6.265301250240592e-7	4.673356553955956e-5	3.4228170572011354e-5	NOTCH1/COL2A1/COL5A2/FAT1/FOXN4/ZIC1/FBN1/LRIG3/ATP6V1B1/FBN2/GLI3/MFAP2/STRA6	13
GO:0055123	digestive system development	10/161	168/21261	6.310330533538622e-7	4.673356553955956e-5	3.4228170572011354e-5	HES1/YAP1/NOTCH1/IGF2/PDGFC/GLI3/TYMS/EGFR/SMAD3/STRA6	10
GO:0045667	regulation of osteoblast differentiation	10/161	173/21261	8.258033899498889e-7	5.77603593303839e-5	4.2304314011468e-5	REST/CCN1/YAP1/NOTCH1/WWTR1/FBN2/GLI3/SMAD3/CRIM1/ID3	10
GO:0050678	regulation of epithelial cell proliferation	15/161	431/21261	1.0489681191693792e-6	6.950794010706569e-5	5.0908369661627495e-5	TCF7L2/ERBB2/MTA3/ZFP36L1/HES1/YAP1/NOTCH1/IGF2/APOE/HSPG2/EGFR/MDK/SMAD3/LAMA5/HMGB2	15
GO:0001822	kidney development	13/161	335/21261	1.7223729942504868e-6	1.0842337998806815e-4	7.941046015596982e-5	ACTA2/PBX1/HES1/LAMB2/YAP1/NOTCH1/FBN1/WWTR1/GLI3/SMAD3/ID3/LAMA5/STRA6	13
GO:0061326	renal tubule development	8/161	112/21261	2.2161072903127523e-6	1.2928453228605257e-4	9.468939449235573e-5	PBX1/HES1/YAP1/NOTCH1/WWTR1/COL4A1/GLI3/LAMA5	8
GO:0051098	regulation of binding	12/161	290/21261	2.2591419462217287e-6	1.2928453228605257e-4	9.468939449235573e-5	USP9X/TCF7L2/PLK1/HES1/HMGA2/ADD1/APOE/PTPRF/EIF3E/APP/PBXIP1/HMGB2	12
GO:0048565	digestive tract development	9/161	155/21261	2.8630134547157804e-6	1.5671886693422468e-4	1.1478259891675166e-4	HES1/YAP1/NOTCH1/PDGFC/GLI3/TYMS/EGFR/SMAD3/STRA6	9
GO:0072073	kidney epithelium development	9/161	158/21261	3.352439552388439e-6	1.6916773969027205e-4	1.2390028842329195e-4	PBX1/HES1/LAMB2/YAP1/NOTCH1/WWTR1/GLI3/SMAD3/LAMA5	9
GO:0060485	mesenchyme development	13/161	356/21261	3.3591687785995244e-6	1.6916773969027205e-4	1.2390028842329195e-4	TCF7L2/ACTA2/ZFP36L1/HES1/YAP1/NOTCH1/HMGA2/WWTR1/PDPN/MDK/SMAD3/LAMA5/ANXA6	13
GO:0002062	chondrocyte differentiation	8/161	121/21261	3.95910062329739e-6	1.917118340281313e-4	1.4041182777362407e-4	COL2A1/HMGA2/SERPINH1/GLI3/MDK/SMAD3/MAF/ANXA6	8
GO:0072006	nephron development	9/161	165/21261	4.78198085612115e-6	2.2298199621690844e-4	1.633144339166522e-4	ACTA2/PBX1/HES1/LAMB2/YAP1/NOTCH1/WWTR1/GLI3/LAMA5	9
GO:0072089	stem cell proliferation	8/161	125/21261	5.044881033041266e-6	2.2683947216424835e-4	1.661396911633139e-4	PBX1/ZFP36L1/YAP1/NOTCH1/HMGA2/GLI3/FBLN1/HMGB2	8
GO:0072009	nephron epithelium development	8/161	128/21261	6.015955967159927e-6	2.6117546767773616e-4	1.9128774690497632e-4	PBX1/HES1/LAMB2/YAP1/NOTCH1/WWTR1/GLI3/LAMA5	8
GO:0048592	eye morphogenesis	9/161	182/21261	1.0582724150565773e-5	4.44121656852077e-4	3.252795212594954e-4	NOTCH1/COL5A2/FAT1/FOXN4/FBN1/FBN2/GLI3/MFAP2/STRA6	9
GO:0051099	positive regulation of binding	8/161	139/21261	1.1042289541629649e-5	4.4704147772885703e-4	3.2741802975668144e-4	USP9X/TCF7L2/HES1/ADD1/APOE/EIF3E/APP/HMGB2	8
GO:0050679	positive regulation of epithelial cell proliferation	10/161	232/21261	1.1362452174204467e-5	4.4704147772885703e-4	3.2741802975668144e-4	TCF7L2/ERBB2/MTA3/YAP1/NOTCH1/IGF2/HSPG2/EGFR/MDK/HMGB2	10
