ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030705	cytoskeleton-dependent intracellular transport	37/883	228/21261	1.0865746214828682e-12	1.5364165147767756e-9	1.1529128615312958e-9	RAB27B/PRKCZ/WDR35/APP/DYNC1I2/MAPT/AP3B1/IFT80/RAB6A/IFT56/PPFIA2/SYBU/MECP2/IFT20/STAU1/SUN1/CLUAP1/CDC42/FLOT2/BLOC1S6/FBXW11/DTNBP1/ACTN4/TTC21B/MAP2/IFT122/MYO1B/SYNE2/OPA1/DST/HSPB1/MYO1D/KIF1B/NDE1/MYO19/DYNC1I1/TUBA1C	37
GO:0099504	synaptic vesicle cycle	35/883	216/21261	4.655282768682333e-12	3.2912849174584092e-9	2.4697500162272583e-9	RAB27B/PFN2/BIN1/PPP3CB/CACNB4/AMPH/GIT1/NAPB/BLTP1/STX1A/RIMS1/CLCN3/PPFIA2/ATP6V1H/CASK/ITSN1/AP2B1/PRRT2/DNM1/DNAJC6/OPHN1/SYNJ1/ATP6V1B2/BLOC1S6/DTNBP1/ITSN2/PPFIA3/BRSK2/GIT2/PICALM/ATP2A2/CSPG5/SCRIB/PPP3CC/RAPGEF4	35
GO:0010970	transport along microtubule	31/883	179/21261	1.3303952057591061e-11	6.2705960698112534e-9	4.7053977803690495e-9	RAB27B/PRKCZ/WDR35/APP/DYNC1I2/MAPT/AP3B1/IFT80/RAB6A/IFT56/SYBU/MECP2/IFT20/STAU1/SUN1/CLUAP1/CDC42/FLOT2/BLOC1S6/FBXW11/DTNBP1/TTC21B/MAP2/IFT122/SYNE2/OPA1/DST/HSPB1/KIF1B/NDE1/DYNC1I1	31
GO:0099003	vesicle-mediated transport in synapse	36/883	241/21261	2.6126303991316536e-11	9.235648460930395e-9	6.930345900854491e-9	RAB27B/PFN2/BIN1/PPP3CB/CACNB4/AMPH/GIT1/NAPB/BLTP1/STX1A/RIMS1/CLCN3/PPFIA2/ATP6V1H/CASK/ITSN1/AP2B1/AP2A1/PRRT2/DNM1/DNAJC6/OPHN1/SYNJ1/ATP6V1B2/BLOC1S6/DTNBP1/ITSN2/PPFIA3/BRSK2/GIT2/PICALM/ATP2A2/CSPG5/SCRIB/PPP3CC/RAPGEF4	36
GO:0051656	establishment of organelle localization	54/883	495/21261	9.999462908199614e-11	2.827848110438851e-8	2.121991286624255e-8	CFL1/S100A13/PLK1/PRKCZ/TRAPPC2L/SHROOM2/CLASP1/KNL1/MAPT/LYN/AP3B1/IKBKG/RAB6A/SEH1L/EML4/PDCD6IP/SPIRE1/PPFIA2/SYBU/APC/MECP2/EXOC6/CDCA5/DNM1/DCTN1/SUN1/AP1AR/SYNJ1/CDC42/BLOC1S6/FBXW11/DTNBP1/ACTN4/MIS12/MAP2/PIBF1/CLASP2/CSNK1D/ABRAXAS1/MYO1B/SYNE2/OPA1/MYO1D/SPHK2/PICALM/EXOC1/PAX6/NUP88/LMNA/NDE1/SCRIB/TRAPPC10/MYO19/DYNC1I1	54
GO:0051650	establishment of vesicle localization	31/883	209/21261	7.500391090449093e-10	1.767592166982503e-7	1.32638495073205e-7	PRKCZ/TRAPPC2L/SHROOM2/CLASP1/AP3B1/IKBKG/PDCD6IP/PPFIA2/SYBU/MECP2/EXOC6/DNM1/DCTN1/AP1AR/SYNJ1/BLOC1S6/FBXW11/DTNBP1/ACTN4/MAP2/CLASP2/CSNK1D/MYO1B/MYO1D/PICALM/EXOC1/NDE1/SCRIB/TRAPPC10/MYO19/DYNC1I1	31
GO:0010975	regulation of neuron projection development	51/883	484/21261	1.1286330455437537e-9	2.2798387519983824e-7	1.7107700900873738e-7	CFL1/ELAVL4/PTPRG/RUFY3/RTN4/PTK2B/FEZF2/MAPT/LYN/CNR1/TNIK/PPFIA2/FGF13/MAP3K13/CAMSAP2/CRMP1/FBXO38/AP2A1/RAPGEF1/DISC1/ZFYVE27/SEMA3C/RELN/NEO1/ROBO2/PDLIM5/MYCBP2/PTPRD/P3H1/DTNBP1/KIDINS220/IFRD1/MAP2/PARP6/DGUOK/KDM1A/GPRASP3/NFE2L2/PTPRO/PTPRF/BRSK2/ABI2/GOLGA4/ITGA6/SHANK3/DDR1/PAX6/NTRK2/MAGI2/ISLR2/SEMA3B	51
GO:0051648	vesicle localization	32/883	230/21261	2.0609850484847143e-9	3.6427910731967327e-7	2.733517011674463e-7	PRKCZ/TRAPPC2L/SHROOM2/CLASP1/AP3B1/IKBKG/PDCD6IP/PPFIA2/SYBU/MECP2/EXOC6/DNM1/DCTN1/AP1AR/SYNJ1/BLOC1S6/FBXW11/DTNBP1/ACTN4/MAP2/CLASP2/CSNK1D/MYO1B/MYO1D/BRSK2/PICALM/EXOC1/NDE1/SCRIB/TRAPPC10/MYO19/DYNC1I1	32
GO:1990778	protein localization to cell periphery	43/883	379/21261	2.5382489361152743e-9	3.9878711062966644e-7	2.992461903630639e-7	PLK1/PRKCZ/LARGE1/PLS1/IFT80/ANK3/PALS1/ERBB2/TNIK/MAP7/FGF13/AFDN/GOLGA7/ANK2/BCL2L1/EPB41L3/IFT20/PPFIA1/ZFYVE27/PACS2/GGA1/ATP2B4/EPB41L2/WNK1/ACSL3/ARL13B/SLMAP/FLOT2/PKP2/WNK3/ATP1B3/IQSEC2/CLASP2/HYCC1/CLTC/ABCA2/SPTBN1/HECTD1/DPP6/PRNP/GOLGA4/PICALM/SCRIB	43
GO:0099111	microtubule-based transport	31/883	221/21261	3.0080270542805404e-9	4.253350254752684e-7	3.191675021805037e-7	RAB27B/PRKCZ/WDR35/APP/DYNC1I2/MAPT/AP3B1/IFT80/RAB6A/IFT56/SYBU/MECP2/IFT20/STAU1/SUN1/CLUAP1/CDC42/FLOT2/BLOC1S6/FBXW11/DTNBP1/TTC21B/MAP2/IFT122/SYNE2/OPA1/DST/HSPB1/KIF1B/NDE1/DYNC1I1	31
