ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0045296	cadherin binding	34/610	359/21059	1.5555524193560307e-9	2.9244385483893377e-7	2.521632342956092e-7	EMD/PACSIN2/RTN4/ADD1/FMNL2/PTPRJ/TLN1/CALD1/PKM/ANK3/ACVR1/EIF3E/TNKS1BP1/MPRIP/ERC1/AFDN/SEPTIN9/SH3GLB2/TRIM25/CCNB2/ARGLU1/CAST/SEPTIN2/DOCK9/NEO1/HCFC1/PDLIM5/CNN2/IQGAP1/PKP2/LIMA1/UBAP2/NOP56/TJP2	34
GO:0003779	actin binding	38/610	475/21059	1.837137386278529e-8	1.7269091431018173e-6	1.4890481972994394e-6	CFL1/EMD/TPM2/PFN2/SHROOM2/BIN1/FBXO25/ADD1/PDLIM7/FMNL2/MAPT/TLN1/PLS1/AFAP1/CALD1/DMTN/FMNL1/SPIRE1/TLN2/MPRIP/TPM1/AFDN/RAI14/PHACTR1/MYH10/EPB41L3/TRIOBP/FERMT2/ACTN1/LIMCH1/EPB41L2/PDLIM5/OPHN1/CNN2/IQGAP1/BLOC1S6/LIMA1/ACTN4	38
GO:0017124	SH3 domain binding	18/610	136/21059	8.172305708618835e-8	4.735547750252282e-6	4.083283054528843e-6	DOCK4/ELMO1/MAPT/LYN/SHANK2/SIRPA/AFAP1/AFAP1L2/SH3BP2/FUT8/RAPGEF1/ADAM15/CIT/SGIP1/DNAJC6/SYNJ1/RUFY2/LRP2	18
GO:0008017	microtubule binding	27/610	289/21059	1.0075633511175067e-7	4.735547750252282e-6	4.083283054528843e-6	PLK1/MTUS1/CLASP1/EML2/KIFC2/MAPT/KIFC3/EML4/CLIP2/KIF2A/FGF13/STARD9/CAMSAP2/APC/OGG1/CRYAB/KIF23/EML1/KIF21A/DNM1/MAPRE2/KRIT1/DCTN1/SGIP1/KATNA1/FBXW11/MAP2	27
GO:0051015	actin filament binding	23/610	225/21059	1.7913072153594094e-7	5.621035093390573e-6	4.8468051757119165e-6	CFL1/TPM2/SHROOM2/BIN1/ADD1/FMNL2/TLN1/PLS1/DMTN/FMNL1/TLN2/MPRIP/TPM1/AFDN/MYH10/TRIOBP/FERMT2/ACTN1/CNN2/IQGAP1/BLOC1S6/LIMA1/ACTN4	23
GO:0051020	GTPase binding	29/610	337/21059	1.9953676286764166e-7	5.621035093390573e-6	4.8468051757119165e-6	DOCK4/DOCK11/BIN1/RAP1GAP/FMNL2/GIT1/DMXL2/FMNL1/RIMS1/YIPF1/RANBP9/RUSC2/ERC1/AFDN/RTKN/RAB11FIP4/IFT20/TRIOBP/CLTA/TBC1D7/NCKAP1/GGA1/DEPDC5/IQGAP1/MYCBP2/RIN2/EPRS1/USP33/CYRIA	29
GO:0015631	tubulin binding	32/610	397/21059	2.0929385986028728e-7	5.621035093390573e-6	4.8468051757119165e-6	PLK1/EMD/MTUS1/CLASP1/EML2/KIFC2/GIT1/MAPT/LYN/KIFC3/EML4/CLIP2/KIF2A/FGF13/GPAA1/STARD9/CAMSAP2/APC/OGG1/CRYAB/KIF23/EML1/KIF21A/ARHGEF7/DNM1/MAPRE2/KRIT1/DCTN1/SGIP1/KATNA1/FBXW11/MAP2	32
GO:0044325	transmembrane transporter binding	17/610	139/21059	5.884458771279908e-7	1.3828478112507784e-5	1.1923771720751394e-5	BAK1/CNTNAP2/AKAP9/LYN/ANK3/RIMS1/FGF13/YES1/ANK2/FHL1/CAMK2D/PACS2/ACTN1/PKP2/VDAC1/ACTN4/TJP2	17
GO:0031267	small GTPase binding	26/610	303/21059	8.98499937857186e-7	1.876866536857233e-5	1.6183507652632355e-5	DOCK4/DOCK11/RAP1GAP/FMNL2/GIT1/DMXL2/FMNL1/RIMS1/YIPF1/RANBP9/RUSC2/ERC1/AFDN/RTKN/RAB11FIP4/IFT20/TRIOBP/TBC1D7/NCKAP1/GGA1/DEPDC5/IQGAP1/MYCBP2/RIN2/USP33/CYRIA	26
GO:0005085	guanyl-nucleotide exchange factor activity	20/610	248/21059	3.937430634218755e-5	7.40236959233126e-4	6.382782291259876e-4	DOCK4/DOCK11/ELMO1/DEF6/MADD/SBF1/DENND3/ITSN1/VAV2/TRIO/RAPGEF1/SBF2/ARHGEF7/RALGDS/IQSEC1/DOCK9/FBXO8/MYCBP2/RIN2/ITSN2	20
GO:0030674	protein-macromolecule adaptor activity	29/610	459/21059	7.997885625081966e-5	0.001366911361377645	0.0011786357763278689	VTI1A/MAPT/SHANK2/IKBKG/NAPB/ANK3/STX1A/BET1L/ANK2/MECP2/EPB41L3/AP1S2/AP2B1/AP2A1/APH1B/FRMD4A/SUN1/SORBS2/STX16/GOSR1/WNK1/HCFC1/IQGAP1/FBXW11/WNK3/SRRT/FXR1/ATP1B3/TJP2	29
GO:0019902	phosphatase binding	18/610	230/21059	1.383257937141505e-4	0.002167104101521691	0.0018686115992964192	DLG3/PPP3CB/MAPT/MAPK8/AP3B1/SIRPA/SMG7/CTSC/CRY1/CEP192/STAU1/SBF2/PPP6R2/ATP2B4/TP53/WNK1/IQGAP1/ANAPC4	18
GO:0005516	calmodulin binding	16/610	216/21059	5.863275963576074e-4	0.008479199085786938	0.007311291484945064	SCN2A/ADD1/PPP3CB/CALD1/KCNQ2/PHKA1/CAMSAP2/CASK/MYH10/EWSR1/CAMK2D/ATP2B4/DDX5/CNN2/IQGAP1/MAP2	16
