isoform_id	gene_name
ENST00000398125	ADD1
ENST00000052569	GOPC
ENST00000409197	DYNC1I2
ENST00000354232	ETFB
ENST00000309244	ETFB
ENST00000647561	NDUFV1
ENST00000322776	NDUFV1
ENST00000644861	VPS13C
ENST00000267484	RTN1
ENST00000544440	MYCBP2
ENST00000369842	EMD
ENST00000440685	S100A13
ENST00000396603	CLTA
ENST00000536444	ATF7IP
ENST00000296214	MEAF6
ENST00000456197	TRRAP
ENST00000343984	SEPTIN6
ENST00000704650	USP9X
ENST00000264758	ADD1
ENST00000645819	VPS13C
ENST00000706905	HLA-A
ENST00000396595	LIMCH1
ENST00000515144	TRIO
ENST00000444659	DTNA
ENST00000373075	MEAF6
ENST00000605997	NDUFB1
ENST00000360905	ERC1
ENST00000340296	DYNC1I2
ENST00000371121	SMARCA1
ENST00000470834	TNIK
ENST00000361727	CNTNAP2
ENST00000519234	ASPH
BambuTx597	NA
ENST00000355288	ANK3
ENST00000249837	VPS13C
ENST00000704364	MBNL2
ENST00000607332	TSTD3
ENST00000434713	STAG1
ENST00000358278	TPM1
ENST00000492485	TRIOBP
ENST00000698881	PTPRJ
ENST00000310653	RAB6A
ENST00000476133	S100A13
ENST00000357903	APP
ENST00000637923	TCF4
ENST00000335698	ATP5F1C
ENST00000329235	AP1S2
ENST00000540638	EPB41L3
ENST00000663411	RMST
ENST00000409400	BIN1
