"gene_id","count","external_gene_name","gene_biotype"
"ENSG00000055609",114,"KMT2C","protein_coding"
"ENSG00000168702",105,"LRP1B","protein_coding"
"ENSG00000130226",87,"DPP6","protein_coding"
"ENSG00000186868",84,"MAPT","protein_coding"
"ENSG00000174469",72,"CNTNAP2","protein_coding"
"ENSG00000143995",66,"MEIS1","protein_coding"
"ENSG00000153944",61,"MSI2","protein_coding"
"ENSG00000082805",59,"ERC1","protein_coding"
"ENSG00000048991",46,"R3HDM1","protein_coding"
"ENSG00000077380",43,"DYNC1I2","protein_coding"
"ENSG00000134769",42,"DTNA","protein_coding"
"ENSG00000038382",36,"TRIO","protein_coding"
"ENSG00000100106",36,"TRIOBP","protein_coding"
"ENSG00000154310",36,"TNIK","protein_coding"
"ENSG00000169398",34,"PTK2","protein_coding"
"ENSG00000185630",34,"PBX1","protein_coding"
"ENSG00000155974",32,"GRIP1","protein_coding"
"ENSG00000154556",29,"SORBS2","protein_coding"
"ENSG00000083067",28,"TRPM3","protein_coding"
"ENSG00000115310",28,"RTN4","protein_coding"
"ENSG00000061987",26,"MON2","protein_coding"
"ENSG00000150625",25,"GPM6A","protein_coding"
"ENSG00000189337",25,"KAZN","protein_coding"
"ENSG00000118007",24,"STAG1","protein_coding"
"ENSG00000168916",23,"ZNF608","protein_coding"
"ENSG00000188352",23,"FOCAD","protein_coding"
"ENSG00000117114",22,"ADGRL2","protein_coding"
"ENSG00000139970",22,"RTN1","protein_coding"
"ENSG00000283154",22,"IQCJ-SCHIP1","protein_coding"
"ENSG00000151067",20,"CACNA1C","protein_coding"
"ENSG00000078018",19,"MAP2","protein_coding"
"ENSG00000196367",19,"TRRAP","protein_coding"
"ENSG00000028203",18,"VEZT","protein_coding"
"ENSG00000069849",17,"ATP1B3","protein_coding"
"ENSG00000112531",17,"QKI","protein_coding"
"ENSG00000144724",17,"PTPRG","protein_coding"
"ENSG00000168280",17,"KIF5C","protein_coding"
"ENSG00000074054",16,"CLASP1","protein_coding"
"ENSG00000128512",16,"DOCK4","protein_coding"
"ENSG00000151150",16,"ANK3","protein_coding"
"ENSG00000145349",15,"CAMK2D","protein_coding"
"ENSG00000197928",15,"ZNF677","protein_coding"
"ENSG00000171681",14,"ATF7IP","protein_coding"
"ENSG00000102908",12,"NFAT5","protein_coding"
"ENSG00000147044",12,"CASK","protein_coding"
"ENSG00000135968",11,"GCC2","protein_coding"
"ENSG00000147488",11,"ST18","protein_coding"
"ENSG00000151532",11,"VTI1A","protein_coding"
"ENSG00000151914",11,"DST","protein_coding"
"ENSG00000054654",10,"SYNE2","protein_coding"
"ENSG00000100095",10,"SEZ6L","protein_coding"
"ENSG00000108559",10,"NUP88","protein_coding"
"ENSG00000127124",10,"HIVEP3","protein_coding"
"ENSG00000143924",10,"EML4","protein_coding"
"ENSG00000101849",9,"TBL1X","protein_coding"
"ENSG00000120549",9,"KIAA1217","protein_coding"
"ENSG00000127914",9,"AKAP9","protein_coding"
"ENSG00000129946",9,"SHC2","protein_coding"
"ENSG00000141367",9,"CLTC","protein_coding"
"ENSG00000099783",8,"HNRNPM","protein_coding"
"ENSG00000099917",8,"MED15","protein_coding"
"ENSG00000100629",8,"CEP128","protein_coding"
"ENSG00000115355",8,"CCDC88A","protein_coding"
"ENSG00000132669",8,"RIN2","protein_coding"
"ENSG00000134369",8,"NAV1","protein_coding"
"ENSG00000148634",8,"HERC4","protein_coding"
"ENSG00000273749",8,"CYFIP1","protein_coding"
"ENSG00000100239",7,"PPP6R2","protein_coding"
"ENSG00000123607",7,"TTC21B","protein_coding"
"ENSG00000142875",7,"PRKACB","protein_coding"
"ENSG00000152234",7,"ATP5F1A","protein_coding"
"ENSG00000163625",7,"WDFY3","protein_coding"
"ENSG00000034053",6,"APBA2","protein_coding"
"ENSG00000057935",6,"MTA3","protein_coding"
"ENSG00000089177",6,"KIF16B","protein_coding"
"ENSG00000106052",6,"TAX1BP1","protein_coding"
"ENSG00000107263",6,"RAPGEF1","protein_coding"
"ENSG00000124486",6,"USP9X","protein_coding"
"ENSG00000142192",6,"APP","protein_coding"
"ENSG00000178662",6,"CSRNP3","protein_coding"
"ENSG00000197694",6,"SPTAN1","protein_coding"
"ENSG00000082397",5,"EPB41L3","protein_coding"
"ENSG00000123983",5,"ACSL3","protein_coding"
"ENSG00000130714",5,"POMT1","protein_coding"
"ENSG00000139793",5,"MBNL2","protein_coding"
"ENSG00000142856",5,"ITGB3BP","protein_coding"
"ENSG00000159842",5,"ABR","protein_coding"
"ENSG00000172292",5,"CERS6","protein_coding"
"ENSG00000182149",5,"IST1","protein_coding"
"ENSG00000039560",4,"RAI14","protein_coding"
"ENSG00000064313",4,"TAF2","protein_coding"
"ENSG00000069424",4,"KCNAB2","protein_coding"
"ENSG00000082458",4,"DLG3","protein_coding"
"ENSG00000130402",4,"ACTN4","protein_coding"
"ENSG00000130939",4,"UBE4B","protein_coding"
"ENSG00000145868",4,"FBXO38","protein_coding"
"ENSG00000149177",4,"PTPRJ","protein_coding"
"ENSG00000150760",4,"DOCK1","protein_coding"
"ENSG00000156030",4,"MIDEAS","protein_coding"
"ENSG00000178445",4,"GLDC","protein_coding"
"ENSG00000084093",3,"REST","protein_coding"
"ENSG00000089597",3,"GANAB","protein_coding"
"ENSG00000101654",3,"RNMT","protein_coding"
"ENSG00000101972",3,"STAG2","protein_coding"
"ENSG00000105357",3,"MYH14","protein_coding"
"ENSG00000120451",3,"SNX19","protein_coding"
"ENSG00000131446",3,"MGAT1","protein_coding"
"ENSG00000137075",3,"RNF38","protein_coding"
"ENSG00000139289",3,"PHLDA1","protein_coding"
"ENSG00000144893",3,"MED12L","protein_coding"
"ENSG00000146938",3,"NLGN4X","protein_coding"
"ENSG00000148737",3,"TCF7L2","protein_coding"
"ENSG00000157350",3,"ST3GAL2","protein_coding"
"ENSG00000167460",3,"TPM4","protein_coding"
"ENSG00000187239",3,"FNBP1","protein_coding"
"ENSG00000188157",3,"AGRN","protein_coding"
"ENSG00000198363",3,"ASPH","protein_coding"
"ENSG00000067141",2,"NEO1","protein_coding"
"ENSG00000070087",2,"PFN2","protein_coding"
"ENSG00000072415",2,"PALS1","protein_coding"
"ENSG00000087274",2,"ADD1","protein_coding"
"ENSG00000090989",2,"EXOC1","protein_coding"
"ENSG00000101868",2,"POLA1","protein_coding"
"ENSG00000107651",2,"SEC23IP","protein_coding"
"ENSG00000110619",2,"CARS1","protein_coding"
"ENSG00000112305",2,"SMAP1","protein_coding"
"ENSG00000112419",2,"PHACTR2","protein_coding"
"ENSG00000112659",2,"CUL9","protein_coding"
"ENSG00000114790",2,"ARHGEF26","protein_coding"
"ENSG00000116221",2,"MRPL37","protein_coding"
"ENSG00000124788",2,"ATXN1","protein_coding"
