Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
FT vs RGC	A3	A3 in isoform used less	126	133
FT vs RGC	A3	A3 in isoform used more	99	103
FT vs RGC	A5	A5 in isoform used less	110	117
FT vs RGC	A5	A5 in isoform used more	104	106
FT vs RGC	ATSS	ATSS in isoform used less	278	294
FT vs RGC	ATSS	ATSS in isoform used more	304	319
FT vs RGC	ATTS	ATTS in isoform used less	241	254
FT vs RGC	ATTS	ATTS in isoform used more	230	239
FT vs RGC	ES	ES in isoform used less	213	229
FT vs RGC	ES	ES in isoform used more	200	211
FT vs RGC	IR	IR in isoform used less	30	30
FT vs RGC	IR	IR in isoform used more	58	58
FT vs RGC	MEE	MEE in isoform used less	4	4
FT vs RGC	MEE	MEE in isoform used more	6	6
FT vs RGC	MES	MES in isoform used less	62	71
FT vs RGC	MES	MES in isoform used more	69	71
