ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	86/889	476/21261	2.975700638894495e-31	4.118369684229982e-28	3.3547109307957944e-28	POU4F2/FSTL4/TNR/NEFL/DRD2/SLIT1/ATOH7/ISL1/OLFM1/THY1/CNTN2/GAP43/NRXN3/CHRNB2/L1CAM/CDK5R2/FEZF1/KIF5A/CTNNA2/NFASC/MAPT/SNAP25/EPHA8/RAB3A/DSCAML1/NTRK1/MAP1B/PRDM8/CNTN1/BARHL2/DSCAM/TUBB3/PAK3/NTNG1/CNTN6/ISLR2/TUBB2B/DCC/MAP2/DCLK1/ADCY1/NRXN1/UCHL1/KALRN/STXBP1/EPHB1/MAP6/NOVA2/ANK3/SEMA7A/NRP1/SLIT2/PTCH1/EPHA5/SPTBN4/FYN/PLXNA2/PRKCQ/NTRK2/NEFH/DPYSL5/BRSK1/ARK2C/SEMA6D/STMN1/EPHB6/BRSK2/GDI1/TIAM1/CDK5R1/SEMA3C/SHTN1/CYFIP2/DRAXIN/ATL1/KIF5C/MAP1A/PLXNA3/MAP3K13/SEMA4D/DOCK7/APLP1/RND2/FEZ1/SCN11A/APBB1	86
GO:0010975	regulation of neuron projection development	81/889	484/21261	4.0514451755915046e-27	2.8036000615093213e-24	2.2837356752939483e-24	POU4F2/FSTL4/TNR/NEFL/ZNF804A/STMN2/SLIT1/ATOH7/THY1/CNTN2/TRIM67/CNR1/HECW1/CHRNB2/L1CAM/NDRG4/CTNNA2/MAPT/RTN4RL2/SNAP25/PPFIA2/NTRK1/DNM3/MAP1B/DPYSL3/CNTN1/SERPINI1/DSCAM/PAK3/NTNG1/CRMP1/ISLR2/TUBB2B/DCC/MAP2/LZTS1/STX1B/MAP6/NOVA2/SEMA7A/NRP1/SLIT2/PLPPR5/CAMK2B/FYN/PLXNA2/PPP2R5B/NTRK2/LZTS3/DPYSL5/BRSK1/NCS1/SRCIN1/SEMA6D/KAT2B/GPC2/RGS2/BRSK2/TANC2/ACAP3/GDI1/RAPGEF1/TIAM1/TNIK/CDK5R1/SEMA3C/SHTN1/PARP6/YWHAH/RTN4RL1/DRAXIN/CHRNA3/NEGR1/PLXNA3/MAP3K13/SEMA4D/RND2/FEZ1/LRP8/NEDD4L/FKBP1B	81
GO:0006836	neurotransmitter transport	52/889	223/21261	1.3547130506745818e-24	6.249742873778737e-22	5.090869043061323e-22	SLC17A6/SLC6A1/SLC18A2/CHAT/DRD2/SV2C/CAMK2A/TH/SLC18A3/CPLX2/SNCG/SYN3/ABCC8/RIMS3/GPR158/SNAP25/PPFIA2/RAB3A/UNC13A/RAB3B/SYN1/SNPH/SNCAIP/RIMS4/CACNB4/SYT5/SYT4/SYT7/NRXN1/SYNGR3/STX1B/SEPTIN5/ASIC1/STXBP1/STX1A/SYT11/SYP/CADPS/GABRA2/SLC38A1/SV2A/PTPRN2/BRSK1/PPFIA3/SLC1A6/NAPB/LIN7B/RIMS1/SYNJ1/CHRNA3/ERC2/SLC6A15	52
GO:0001505	regulation of neurotransmitter levels	49/889	204/21261	7.43278846865907e-24	2.571744810156038e-21	2.094872749982596e-21	SLC6A1/SLC18A2/DRD2/SV2C/CAMK2A/SLC18A3/CPLX2/SNCG/SYN3/ABCC8/RIMS3/GPR158/SNAP25/PPFIA2/RAB3A/UNC13A/RAB3B/SYN1/SNPH/SNCAIP/RIMS4/CACNB4/SYT5/SYT4/SYT7/NRXN1/SYNGR3/PDE1B/STX1B/SEPTIN5/ASIC1/STXBP1/STX1A/SYT11/SYP/CADPS/GABRA2/SLC38A1/SV2A/PTPRN2/BRSK1/PPFIA3/SLC1A6/NAPB/LIN7B/RIMS1/SYNJ1/CHRNA3/ERC2	49
GO:0007269	neurotransmitter secretion	40/889	149/21261	1.2726023219047378e-21	2.935469355860262e-19	2.3911527837894285e-19	SV2C/CAMK2A/SLC18A3/CPLX2/SNCG/SYN3/ABCC8/RIMS3/GPR158/SNAP25/PPFIA2/RAB3A/UNC13A/SYN1/SNPH/SNCAIP/RIMS4/CACNB4/SYT5/SYT4/SYT7/NRXN1/STX1B/SEPTIN5/ASIC1/STXBP1/STX1A/SYT11/SYP/CADPS/SV2A/PTPRN2/BRSK1/PPFIA3/NAPB/LIN7B/RIMS1/SYNJ1/CHRNA3/ERC2	40
GO:0099643	signal release from synapse	40/889	149/21261	1.2726023219047378e-21	2.935469355860262e-19	2.3911527837894285e-19	SV2C/CAMK2A/SLC18A3/CPLX2/SNCG/SYN3/ABCC8/RIMS3/GPR158/SNAP25/PPFIA2/RAB3A/UNC13A/SYN1/SNPH/SNCAIP/RIMS4/CACNB4/SYT5/SYT4/SYT7/NRXN1/STX1B/SEPTIN5/ASIC1/STXBP1/STX1A/SYT11/SYP/CADPS/SV2A/PTPRN2/BRSK1/PPFIA3/NAPB/LIN7B/RIMS1/SYNJ1/CHRNA3/ERC2	40
GO:0099504	synaptic vesicle cycle	46/889	216/21261	3.562073865731787e-20	7.042728900246847e-18	5.736813699546983e-18	SLC17A6/SLC18A2/SV2C/TH/CPLX2/SNCG/SYN3/RIMS3/SNAP25/AP3B2/PPFIA2/RAB3A/UNC13A/RAB3B/SNCB/SYNDIG1/DNM3/SYN1/SNPH/RIMS4/CACNB4/SYT5/SYT4/SH3GL3/SYT7/SNAP91/STX1B/SEPTIN5/STXBP1/STX1A/SYT11/SYP/CADPS/RAPGEF4/SV2A/ATP6V1G2/BRSK1/PPFIA3/NAPB/BRSK2/DNAJC6/BSN/RIMS1/CDK5R1/SYNJ1/ERC2	46
GO:0099003	vesicle-mediated transport in synapse	48/889	241/21261	1.0419858560015172e-19	1.8026355308826247e-17	1.4683774365495065e-17	SLC17A6/SLC18A2/SV2C/NSG1/TH/CPLX2/SNCG/SYN3/RIMS3/SNAP25/AP3B2/PPFIA2/RAB3A/UNC13A/RAB3B/SNCB/SYNDIG1/DNM3/SYN1/SNPH/RIMS4/CACNB4/SYT5/SYT4/SH3GL3/SYT7/SNAP91/STX1B/SEPTIN5/STXBP1/STX1A/SYT11/SYP/CADPS/RAPGEF4/SV2A/HPCA/ATP6V1G2/BRSK1/PPFIA3/NAPB/BRSK2/DNAJC6/BSN/RIMS1/CDK5R1/SYNJ1/ERC2	48
GO:0007411	axon guidance	46/889	246/21261	8.391054383675446e-18	1.1613219267006817e-15	9.459809731490951e-16	POU4F2/TNR/SLIT1/ATOH7/ISL1/CNTN2/GAP43/NRXN3/L1CAM/CDK5R2/FEZF1/KIF5A/NFASC/EPHA8/DSCAML1/NTRK1/CNTN1/DSCAM/TUBB3/CNTN6/TUBB2B/DCC/NRXN1/KALRN/EPHB1/NOVA2/SEMA7A/NRP1/SLIT2/PTCH1/EPHA5/FYN/PLXNA2/PRKCQ/DPYSL5/ARK2C/SEMA6D/EPHB6/CDK5R1/SEMA3C/CYFIP2/DRAXIN/KIF5C/PLXNA3/SEMA4D/FEZ1	46
GO:0097485	neuron projection guidance	46/889	246/21261	8.391054383675446e-18	1.1613219267006817e-15	9.459809731490951e-16	POU4F2/TNR/SLIT1/ATOH7/ISL1/CNTN2/GAP43/NRXN3/L1CAM/CDK5R2/FEZF1/KIF5A/NFASC/EPHA8/DSCAML1/NTRK1/CNTN1/DSCAM/TUBB3/CNTN6/TUBB2B/DCC/NRXN1/KALRN/EPHB1/NOVA2/SEMA7A/NRP1/SLIT2/PTCH1/EPHA5/FYN/PLXNA2/PRKCQ/DPYSL5/ARK2C/SEMA6D/EPHB6/CDK5R1/SEMA3C/CYFIP2/DRAXIN/KIF5C/PLXNA3/SEMA4D/FEZ1	46
