ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007409	axonogenesis	15/90	476/21261	1.4065958403669313e-9	1.0591666677962993e-6	9.076244738367674e-7	SLIT1/TRIO/DRD2/OLFM1/NFASC/MAPT/GAP43/KALRN/MAP2/L1CAM/RUFY3/ADCY1/NOVA2/KIF5C/KIF5A	15
GO:0007411	axon guidance	9/90	246/21261	1.003746455879758e-6	2.5194036042581927e-4	2.1589353594887424e-4	SLIT1/TRIO/NFASC/GAP43/KALRN/L1CAM/NOVA2/KIF5C/KIF5A	9
GO:0097485	neuron projection guidance	9/90	246/21261	1.003746455879758e-6	2.5194036042581927e-4	2.1589353594887424e-4	SLIT1/TRIO/NFASC/GAP43/KALRN/L1CAM/NOVA2/KIF5C/KIF5A	9
GO:0030516	regulation of axon extension	6/90	102/21261	4.7241134423468164e-6	8.893143555217882e-4	7.620740895154207e-4	SLIT1/OLFM1/MAPT/MAP2/L1CAM/RUFY3	6
GO:0051261	protein depolymerization	6/90	118/21261	1.095151775546876e-5	0.0014425084080406975	0.0012361188986215808	KIF2A/STMN4/CLASP1/ADD1/MICAL1/ADD2	6
GO:0061387	regulation of extent of cell growth	6/90	119/21261	1.149409090072269e-5	0.0014425084080406975	0.0012361188986215808	SLIT1/OLFM1/MAPT/MAP2/L1CAM/RUFY3	6
GO:0032984	protein-containing complex disassembly	8/90	264/21261	1.6361704240370522e-5	0.0015765848830980801	0.001351012138588276	KIF2A/STMN4/CLASP1/ADD1/NAPB/MICAL1/KLC1/ADD2	8
GO:0048638	regulation of developmental growth	9/90	348/21261	1.674990579652675e-5	0.0015765848830980801	0.001351012138588276	SLIT1/DRD2/OLFM1/MAPT/AKAP6/MAP2/L1CAM/RUFY3/BASP1	9
GO:0048675	axon extension	6/90	132/21261	2.0754361673657015e-5	0.0017364482600293037	0.0014880027726259359	SLIT1/OLFM1/MAPT/MAP2/L1CAM/RUFY3	6
GO:0031109	microtubule polymerization or depolymerization	6/90	152/21261	4.592574250357939e-5	0.003458208410519528	0.0029634189636520178	KIF2A/DCTN1/STMN4/MAPT/CLASP1/MAP2	6
GO:0048167	regulation of synaptic plasticity	7/90	237/21261	6.665995133603655e-5	0.004563176668730502	0.003910291882200039	DRD2/SHANK2/NSG1/CPLX2/MAPT/SYT7/ADCY1	7
GO:0031110	regulation of microtubule polymerization or depolymerization	5/90	109/21261	1.0038151448996367e-4	0.00629894003424522	0.005397707752837521	DCTN1/STMN4/MAPT/CLASP1/MAP2	5
GO:0048588	developmental cell growth	7/90	260/21261	1.188125136220645e-4	0.006432800080155328	0.005512415529650124	SLIT1/OLFM1/MAPT/AKAP6/MAP2/L1CAM/RUFY3	7
GO:0070507	regulation of microtubule cytoskeleton organization	6/90	182/21261	1.2436068256082788e-4	0.006432800080155328	0.005512415529650124	DCTN1/STMN4/MAPT/CLASP1/MAP2/ATAT1	6
GO:0048639	positive regulation of developmental growth	6/90	183/21261	1.281434278915404e-4	0.006432800080155328	0.005512415529650124	DRD2/MAPT/AKAP6/L1CAM/RUFY3/BASP1	6
GO:0043254	regulation of protein-containing complex assembly	9/90	470/21261	1.691348820270526e-4	0.007959910385398162	0.006821031755433108	ATF7IP/DCTN1/MAPT/CLASP1/MAP2/ADD1/NAPB/ATAT1/ADD2	9
GO:1990138	neuron projection extension	6/90	196/21261	1.8616581957257795e-4	0.008246050714008895	0.007066232037027264	SLIT1/OLFM1/MAPT/MAP2/L1CAM/RUFY3	6
GO:0008361	regulation of cell size	6/90	205/21261	2.3724751263515937e-4	0.009844613045855764	0.008436077160983551	SLIT1/OLFM1/MAPT/MAP2/L1CAM/RUFY3	6
GO:0051656	establishment of organelle localization	9/90	495/21261	2.4840325082504586e-4	0.009844613045855764	0.008436077160983551	S100A13/SLIT1/DCTN1/CPLX2/MAPT/CLASP1/MAP2/KIF5C/KIF5A	9
