gene_id	gene_name
ENSG00000015592	STMN4
ENSG00000089685	BIRC5
ENSG00000101489	CELF4
ENSG00000104722	NEFM
ENSG00000108309	RUNDC3A
ENSG00000114315	HES1
ENSG00000135447	PPP1R1A
ENSG00000135447	NA
ENSG00000137693	YAP1
ENSG00000140545	MFGE8
ENSG00000142089	IFITM3
ENSG00000142871	CCN1
ENSG00000145824	CXCL14
ENSG00000145920	CPLX2
ENSG00000152977	ZIC1
ENSG00000162105	SHANK2
ENSG00000164294	GPX8
ENSG00000165646	SLC18A2
ENSG00000166803	PCLAF
ENSG00000178999	AURKB
ENSG00000185650	ZFP36L1
ENSG00000187122	SLIT1
ENSG00000196132	MYT1
ENSG00000204520	MICA
ENSG00000143375	CGN
ENSG00000084093	REST
ENSG00000101335	MYL9
ENSG00000103034	NDRG4
ENSG00000111913	RIPOR2
ENSG00000118432	CNR1
ENSG00000126733	DACH2
ENSG00000139219	COL2A1
ENSG00000148773	MKI67
ENSG00000149295	DRD2
ENSG00000150556	LYPD6B
ENSG00000160111	CPAMD8
ENSG00000167281	RBFOX3
ENSG00000172020	GAP43
ENSG00000175063	UBE2C
ENSG00000250722	SELENOP
ENSG00000198216	CACNA1E
ENSG00000100968	NFATC4
ENSG00000149257	SERPINH1
ENSG00000152954	NRSN1
ENSG00000205336	ADGRG1
ENSG00000111057	KRT18
ENSG00000130203	APOE
ENSG00000137804	NUSAP1
ENSG00000139970	RTN1
ENSG00000162493	PDPN
