isoform_id	gene_name
ENST00000265770	STMN4
ENST00000515144	TRIO
ENST00000407818	KIF2A
ENST00000264436	ADD2
ENST00000360351	MAP2
ENST00000704566	TRPM3
ENST00000262493	GNAO1
ENST00000264758	ADD1
ENST00000398125	ADD1
ENST00000350051	BIRC5
ENST00000420428	CELF4
ENST00000371121	SMARCA1
ENST00000369842	EMD
ENST00000566265	NDRG4
ENST00000220849	EIF3E
ENST00000221166	NEFM
ENST00000354232	ETFB
ENST00000342032	PPP1R17
ENST00000395925	GLI3
ENST00000224784	ACTA2
ENST00000426726	RUNDC3A
ENST00000388835	KRT18
ENST00000232424	HES1
ENST00000374561	ID3
ENST00000264426	GRIA2
ENST00000644861	VPS13C
ENST00000252486	APOE
ENST00000400822	AFDN
ENST00000257905	PPP1R1A
ENST00000282441	YAP1
ENST00000262464	FBN2
ENST00000380518	COL2A1
ENST00000342503	RTN1
ENST00000358278	TPM1
ENST00000560615	TPM1
ENST00000268150	MFGE8
ENST00000321562	FKBP10
ENST00000399808	IFITM3
ENST00000451137	CCN1
ENST00000271636	CGN
ENST00000478951	TAGLN3
ENST00000274289	PLK2
ENST00000359546	CPLX2
ENST00000362072	DRD2
ENST00000403681	HMGA2
ENST00000280979	AKAP6
ENST00000282928	ZIC1
ENST00000409161	SHANK2
ENST00000339876	NFASC
ENST00000297534	FMC1
