isoform_id	gene_name
ENST00000322776	NDUFV1
ENST00000647561	NDUFV1
ENST00000611653	GPX4
ENST00000440685	S100A13
ENST00000476133	S100A13
ENST00000392687	CERS6
ENST00000619087	RBP1
ENST00000305747	CERS6
ENST00000354171	GPX4
ENST00000674522	MSI2
ENST00000249837	VPS13C
ENST00000409197	DYNC1I2
ENST00000358171	SERPINH1
ENST00000679348	NCL
ENST00000644347	CASK
ENST00000524625	ATG13
BambuTx495	NA
ENST00000348257	TPD52L2
ENST00000684633	EMD
ENST00000446176	FNBP1
ENST00000645072	CCDC88A
ENST00000350302	FBXO25
ENST00000348476	ARID4A
ENST00000524558	SERPINH1
ENST00000373779	PTPRU
ENST00000378567	PRKCZ
ENST00000644861	VPS13C
ENST00000369842	EMD
ENST00000400921	PRKCZ
ENST00000340296	DYNC1I2
ENST00000428084	DOCK4
ENST00000392524	HNRNPA3
ENST00000591247	LSM12
ENST00000677123	PRKCSH
ENST00000373700	HERC4
ENST00000293406	LSM12
ENST00000544440	MYCBP2
ENST00000368498	GOPC
ENST00000360310	BAZ1A
ENST00000361203	DST
ENST00000536444	ATF7IP
ENST00000699377	CAMK2D
ENST00000553956	CEP95
ENST00000695042	MTCH1
ENST00000624145	ANKRD28
ENST00000421834	DST
ENST00000684514	ZFP30
ENST00000351218	ZFP30
ENST00000329908	IST1
ENST00000358252	TNKS1BP1
