gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000142089	ENSG00000142089	7.471382810035652	8.002774102751474	595.9391008125714	1.1873000129763247e-9	1.963449580556907e-5	IFITM3	protein_coding	RGC	Stage_2
ENSG00000185650	ENSG00000185650	6.540100023196908	8.222250145642107	514.9847280463381	2.2948218566583766e-9	1.963449580556907e-5	ZFP36L1	protein_coding	RGC	Stage_2
ENSG00000119614	ENSG00000119614	3.8634869607721796	7.011589658313953	438.80991060370684	4.717905774031281e-9	2.6910934535074426e-5	VSX2	protein_coding	RGC	Stage_2
ENSG00000126878	ENSG00000126878	4.340797074023947	5.742951107830055	372.13866840355814	9.886003843195141e-9	4.2292324441188814e-5	AIF1L	protein_coding	RGC	Stage_2
ENSG00000100504	ENSG00000100504	4.735509394097319	5.0423097236639265	331.09538194874415	1.6678054930013492e-8	4.2897395129853187e-5	PYGL	protein_coding	RGC	Stage_2
ENSG00000157064	ENSG00000157064	-3.4940701352553174	5.551893338608133	334.57175909828254	1.5917340030783945e-8	4.2897395129853187e-5	NMNAT2	protein_coding	RGC	Stage_2
ENSG00000169085	ENSG00000169085	4.150598108394411	6.051862292128198	327.3491099151142	1.754802278570432e-8	4.2897395129853187e-5	VXN	protein_coding	RGC	Stage_2
ENSG00000119547	ENSG00000119547	-4.276734566700015	7.666969059787397	270.0899941844792	4.133879200279645e-8	4.3033996181256666e-5	ONECUT2	protein_coding	RGC	Stage_2
ENSG00000120907	ENSG00000120907	-4.4816954769240285	5.37477599785412	270.900744130847	4.079172897704333e-8	4.3033996181256666e-5	ADRA1A	protein_coding	RGC	Stage_2
ENSG00000128052	ENSG00000128052	6.536526120030847	5.429508896617166	283.16169384616916	3.350169081122492e-8	4.3033996181256666e-5	KDR	protein_coding	RGC	Stage_2
ENSG00000135447	ENSG00000135447	-3.128582539727296	5.990688458041643	275.01604897458685	3.8147069712340094e-8	4.3033996181256666e-5	PPP1R1A	protein_coding	RGC	Stage_2
ENSG00000139445	ENSG00000139445	4.76759884056032	5.903423524026247	297.9459976652695	2.670694773899164e-8	4.3033996181256666e-5	FOXN4	protein_coding	RGC	Stage_2
ENSG00000149295	ENSG00000149295	-4.563557733305033	5.625478439780353	291.0552713909444	2.96415824200677e-8	4.3033996181256666e-5	DRD2	protein_coding	RGC	Stage_2
ENSG00000162496	ENSG00000162496	5.874137763768839	6.174421034574966	269.76988056764117	4.155725136852356e-8	4.3033996181256666e-5	DHRS3	protein_coding	RGC	Stage_2
ENSG00000164294	ENSG00000164294	5.607658553936996	4.418521997145119	269.1825746644684	4.1961723635738894e-8	4.3033996181256666e-5	GPX8	protein_coding	RGC	Stage_2
ENSG00000168874	ENSG00000168874	4.769859823803794	5.001642050758256	270.51595956264407	4.105026006321124e-8	4.3033996181256666e-5	ATOH8	protein_coding	RGC	Stage_2
ENSG00000187017	ENSG00000187017	4.590550992007	5.926993030918842	268.05425233868976	4.2752333747157745e-8	4.3033996181256666e-5	ESPN	protein_coding	RGC	Stage_2
ENSG00000026025	ENSG00000026025	3.996341214903643	10.324425515759307	260.7454052820992	4.8337722315648366e-8	4.595306134807638e-5	VIM	protein_coding	RGC	Stage_2
ENSG00000101489	ENSG00000101489	-3.3571909007328684	7.820293295690401	254.85443044768886	5.3497410406499844e-8	4.8181457204001335e-5	CELF4	protein_coding	RGC	Stage_2
ENSG00000015592	ENSG00000015592	-2.9897697564906665	7.765699567361733	245.84624107654508	6.275245741667901e-8	5.369100256571056e-5	STMN4	protein_coding	RGC	Stage_2
ENSG00000104267	ENSG00000104267	7.034550662396576	6.792757127380924	240.85217563798346	6.872505886911001e-8	5.6001105112771936e-5	CA2	protein_coding	RGC	Stage_2
ENSG00000146250	ENSG00000146250	5.481059837966306	5.624540091097858	229.71807322533817	8.473668098511524e-8	5.913772111174786e-5	PRSS35	protein_coding	RGC	Stage_2
ENSG00000167614	ENSG00000167614	4.102843597245539	7.263740254342233	232.20112146721684	8.08022951996863e-8	5.913772111174786e-5	TTYH1	protein_coding	RGC	Stage_2
ENSG00000172037	ENSG00000172037	4.776284565256419	5.385268939132412	231.4243467174959	8.20087048685927e-8	5.913772111174786e-5	LAMB2	protein_coding	RGC	Stage_2
ENSG00000177606	ENSG00000177606	-2.606492417720808	8.222925230152683	228.71140467967103	8.639802640215617e-8	5.913772111174786e-5	JUN	protein_coding	RGC	Stage_2
ENSG00000100968	ENSG00000100968	3.5744449333831656	5.384908470455296	220.99521237020122	1.0054341909070345e-7	6.417793702556374e-5	NFATC4	protein_coding	RGC	Stage_2
ENSG00000106341	ENSG00000106341	-4.918321047116441	4.688567043917519	215.43351490920892	1.1251391484145118e-7	6.417793702556374e-5	PPP1R17	protein_coding	RGC	Stage_2
ENSG00000128512	ENSG00000128512	-2.8231027637011903	7.148568961614742	215.60742351608022	1.1211413130588523e-7	6.417793702556374e-5	DOCK4	protein_coding	RGC	Stage_2
ENSG00000164318	ENSG00000164318	4.052399514872198	6.52948868954551	218.26002716496774	1.0622554248770662e-7	6.417793702556374e-5	EGFLAM	protein_coding	RGC	Stage_2
ENSG00000170091	ENSG00000170091	-2.5651634339712794	6.56327556782187	219.8435515897626	1.0288961541996708e-7	6.417793702556374e-5	NSG2	protein_coding	RGC	Stage_2
ENSG00000150361	ENSG00000150361	-4.455070838389188	5.911176086817054	213.29078655789084	1.1758509095273828e-7	6.442948141262071e-5	KLHL1	protein_coding	RGC	Stage_2
ENSG00000151320	ENSG00000151320	-3.51419849863513	7.795393287124089	212.11536612665697	1.2048523873327857e-7	6.442948141262071e-5	AKAP6	protein_coding	RGC	Stage_2
ENSG00000126733	ENSG00000126733	-5.216388489917223	7.840414756405746	205.6918216171417	1.3796750472975402e-7	6.943823355692797e-5	DACH2	protein_coding	RGC	Stage_2
ENSG00000163251	ENSG00000163251	3.828156679963936	6.851943875512185	205.97333396115087	1.3713907495475878e-7	6.943823355692797e-5	FZD5	protein_coding	RGC	Stage_2
ENSG00000290147	ENSG00000290147	13.074092685233598	6.883112190777425	272.5959731108634	1.468320984050646e-7	7.178831051164187e-5	GUCA1ANB-GUCA1A	protein_coding	RGC	Stage_2
