Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
RGC vs Stage_1	A3	A3 in isoform used less	227	241
RGC vs Stage_2	A3	A3 in isoform used less	135	140
RGC vs Stage_3	A3	A3 in isoform used less	181	187
RGC vs Stage_1	A3	A3 in isoform used more	278	286
RGC vs Stage_2	A3	A3 in isoform used more	121	125
RGC vs Stage_3	A3	A3 in isoform used more	212	226
RGC vs Stage_1	A5	A5 in isoform used less	200	206
RGC vs Stage_2	A5	A5 in isoform used less	116	119
RGC vs Stage_3	A5	A5 in isoform used less	151	162
RGC vs Stage_1	A5	A5 in isoform used more	225	234
RGC vs Stage_2	A5	A5 in isoform used more	112	119
RGC vs Stage_3	A5	A5 in isoform used more	162	173
RGC vs Stage_1	ATSS	ATSS in isoform used less	607	640
RGC vs Stage_2	ATSS	ATSS in isoform used less	279	288
RGC vs Stage_3	ATSS	ATSS in isoform used less	455	482
RGC vs Stage_1	ATSS	ATSS in isoform used more	487	510
RGC vs Stage_2	ATSS	ATSS in isoform used more	322	333
RGC vs Stage_3	ATSS	ATSS in isoform used more	418	439
RGC vs Stage_1	ATTS	ATTS in isoform used less	422	444
RGC vs Stage_2	ATTS	ATTS in isoform used less	240	245
RGC vs Stage_3	ATTS	ATTS in isoform used less	329	354
RGC vs Stage_1	ATTS	ATTS in isoform used more	402	422
RGC vs Stage_2	ATTS	ATTS in isoform used more	231	239
RGC vs Stage_3	ATTS	ATTS in isoform used more	337	357
RGC vs Stage_1	ES	ES in isoform used less	366	382
RGC vs Stage_2	ES	ES in isoform used less	217	224
RGC vs Stage_3	ES	ES in isoform used less	315	333
RGC vs Stage_1	ES	ES in isoform used more	374	390
RGC vs Stage_2	ES	ES in isoform used more	185	197
RGC vs Stage_3	ES	ES in isoform used more	270	287
RGC vs Stage_1	IR	IR in isoform used less	106	108
RGC vs Stage_2	IR	IR in isoform used less	35	35
RGC vs Stage_3	IR	IR in isoform used less	73	75
RGC vs Stage_1	IR	IR in isoform used more	56	57
RGC vs Stage_2	IR	IR in isoform used more	42	42
RGC vs Stage_3	IR	IR in isoform used more	59	60
RGC vs Stage_1	MEE	MEE in isoform used less	6	6
RGC vs Stage_2	MEE	MEE in isoform used less	3	3
RGC vs Stage_3	MEE	MEE in isoform used less	3	3
RGC vs Stage_1	MEE	MEE in isoform used more	6	6
RGC vs Stage_2	MEE	MEE in isoform used more	3	3
RGC vs Stage_3	MEE	MEE in isoform used more	4	4
RGC vs Stage_1	MES	MES in isoform used less	135	140
RGC vs Stage_2	MES	MES in isoform used less	78	79
RGC vs Stage_3	MES	MES in isoform used less	112	118
RGC vs Stage_1	MES	MES in isoform used more	105	116
RGC vs Stage_2	MES	MES in isoform used more	57	61
RGC vs Stage_3	MES	MES in isoform used more	74	79
