ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001654	eye development	119/1595	431/21261	2.9451532505174295e-37	4.179172462484233e-34	2.746742926272045e-34	CRYGA/CRYBB1/CRYGC/CRYBA4/CRYBB2/CRYBA2/LIM2/CRYBA1/MIP/CRYAB/CRYGB/CRYBB3/CRYGS/DIO3/KDR/LENEP/WNT7A/MFRP/RHOJ/COL8A1/GJA8/RS1/AQP5/BFSP1/GRM6/BFSP2/LAMB2/FOXN4/HES1/PRPH2/MITF/TFAP2B/SMOC1/RP1L1/FLT1/BMP4/TULP1/RD3/NFIB/VIM/PRDM1/NRL/HCN1/SOX2/FZD5/RDH10/COL8A2/ZHX2/CPAMD8/WNT5A/PTF1A/COL5A1/PROM1/ALDH1A3/VSX1/NFIA/NOTCH1/PDGFRA/TFAP2A/SERPINF1/NOTCH2/NEUROD4/NDP/CRB1/RPE65/SOX9/FREM2/IMPG2/MAF/LHX1/RBP4/COL5A2/NR2E1/GLI3/GNAT2/AQP1/FZD4/CDON/PLAAT1/LHX2/BCL2/ROM1/CYP1B1/SPRED1/TGIF2/EGFR/SPRY1/NPHP1/TSKU/BMP7/PDE6B/RP1/MFSD2A/SLC17A7/SOX8/COL4A1/RPGRIP1/STRA6/ADAMTS18/FBN1/EPHA2/MERTK/MDM1/EPHB2/SPRY2/SMAD3/PDGFRB/PLAAT3/FBN2/PBX1/MEIS2/FGF2/MAN2A1/B9D1/MFAP2/TTC8/SDK2/USP45/RAX	119
GO:0150063	visual system development	119/1595	435/21261	7.948691134510875e-37	5.639596359935466e-34	3.7066001816719135e-34	CRYGA/CRYBB1/CRYGC/CRYBA4/CRYBB2/CRYBA2/LIM2/CRYBA1/MIP/CRYAB/CRYGB/CRYBB3/CRYGS/DIO3/KDR/LENEP/WNT7A/MFRP/RHOJ/COL8A1/GJA8/RS1/AQP5/BFSP1/GRM6/BFSP2/LAMB2/FOXN4/HES1/PRPH2/MITF/TFAP2B/SMOC1/RP1L1/FLT1/BMP4/TULP1/RD3/NFIB/VIM/PRDM1/NRL/HCN1/SOX2/FZD5/RDH10/COL8A2/ZHX2/CPAMD8/WNT5A/PTF1A/COL5A1/PROM1/ALDH1A3/VSX1/NFIA/NOTCH1/PDGFRA/TFAP2A/SERPINF1/NOTCH2/NEUROD4/NDP/CRB1/RPE65/SOX9/FREM2/IMPG2/MAF/LHX1/RBP4/COL5A2/NR2E1/GLI3/GNAT2/AQP1/FZD4/CDON/PLAAT1/LHX2/BCL2/ROM1/CYP1B1/SPRED1/TGIF2/EGFR/SPRY1/NPHP1/TSKU/BMP7/PDE6B/RP1/MFSD2A/SLC17A7/SOX8/COL4A1/RPGRIP1/STRA6/ADAMTS18/FBN1/EPHA2/MERTK/MDM1/EPHB2/SPRY2/SMAD3/PDGFRB/PLAAT3/FBN2/PBX1/MEIS2/FGF2/MAN2A1/B9D1/MFAP2/TTC8/SDK2/USP45/RAX	119
GO:0048880	sensory system development	119/1595	448/21261	1.8228065133447796e-35	8.621874808120807e-33	5.66668972218763e-33	CRYGA/CRYBB1/CRYGC/CRYBA4/CRYBB2/CRYBA2/LIM2/CRYBA1/MIP/CRYAB/CRYGB/CRYBB3/CRYGS/DIO3/KDR/LENEP/WNT7A/MFRP/RHOJ/COL8A1/GJA8/RS1/AQP5/BFSP1/GRM6/BFSP2/LAMB2/FOXN4/HES1/PRPH2/MITF/TFAP2B/SMOC1/RP1L1/FLT1/BMP4/TULP1/RD3/NFIB/VIM/PRDM1/NRL/HCN1/SOX2/FZD5/RDH10/COL8A2/ZHX2/CPAMD8/WNT5A/PTF1A/COL5A1/PROM1/ALDH1A3/VSX1/NFIA/NOTCH1/PDGFRA/TFAP2A/SERPINF1/NOTCH2/NEUROD4/NDP/CRB1/RPE65/SOX9/FREM2/IMPG2/MAF/LHX1/RBP4/COL5A2/NR2E1/GLI3/GNAT2/AQP1/FZD4/CDON/PLAAT1/LHX2/BCL2/ROM1/CYP1B1/SPRED1/TGIF2/EGFR/SPRY1/NPHP1/TSKU/BMP7/PDE6B/RP1/MFSD2A/SLC17A7/SOX8/COL4A1/RPGRIP1/STRA6/ADAMTS18/FBN1/EPHA2/MERTK/MDM1/EPHB2/SPRY2/SMAD3/PDGFRB/PLAAT3/FBN2/PBX1/MEIS2/FGF2/MAN2A1/B9D1/MFAP2/TTC8/SDK2/USP45/RAX	119
GO:0043010	camera-type eye development	108/1595	379/21261	3.158129177388559e-35	1.1203463256785913e-32	7.363427503069114e-33	CRYGA/CRYBB1/CRYGC/CRYBA4/CRYBB2/CRYBA2/LIM2/CRYBA1/MIP/CRYAB/CRYGB/CRYBB3/CRYGS/DIO3/KDR/LENEP/WNT7A/MFRP/RHOJ/COL8A1/GJA8/RS1/AQP5/BFSP1/GRM6/BFSP2/LAMB2/FOXN4/HES1/PRPH2/MITF/TFAP2B/RP1L1/FLT1/BMP4/TULP1/RD3/NFIB/VIM/PRDM1/NRL/HCN1/FZD5/RDH10/COL8A2/ZHX2/WNT5A/PTF1A/PROM1/ALDH1A3/VSX1/NFIA/NOTCH1/PDGFRA/TFAP2A/SERPINF1/NOTCH2/NEUROD4/NDP/CRB1/RPE65/SOX9/IMPG2/MAF/LHX1/RBP4/NR2E1/GLI3/GNAT2/AQP1/FZD4/CDON/PLAAT1/LHX2/ROM1/CYP1B1/SPRED1/TGIF2/EGFR/SPRY1/NPHP1/TSKU/BMP7/PDE6B/RP1/MFSD2A/SLC17A7/SOX8/COL4A1/RPGRIP1/STRA6/FBN1/EPHA2/MERTK/MDM1/EPHB2/SPRY2/SMAD3/PDGFRB/PLAAT3/FBN2/FGF2/MAN2A1/B9D1/TTC8/SDK2/USP45/RAX	108
GO:0007601	visual perception	83/1595	240/21261	5.1060854602541955e-34	1.4491070536201407e-31	9.524193090074142e-32	GUCA1ANB-GUCA1A/CRYGA/CRYBB1/CRYGC/CRYBA4/CRYBB2/CRYBA2/CRYBA1/MIP/CRYGB/CRYBB3/CRYGS/TRPM1/PDE6H/KCNJ10/MFRP/DHRS3/GJA3/TYR/RS1/GRM6/BFSP2/AIPL1/COL1A1/RLBP1/LAMB2/RCVRN/PRPH2/CPLX4/SFRP5/LUM/RDH5/RP1L1/CRX/TULP1/RD3/COL2A1/PDC/GABRR2/NRL/CLRN1/VSX2/RDH10/MYO3B/GJD2/VSX1/CACNA2D4/NXNL2/ARR3/NDP/GUCA1A/PCARE/GUCA1B/CRB1/RPE65/BEST1/ABCA4/IMPG2/RGR/RBP4/NR2E1/RAX2/RBP3/GNAT2/ROM1/COL11A1/EYS/EPAS1/PDE6B/RP1/CLN6/SEMA5B/RPGRIP1/CDH23/BBS5/GLRB/UNC119/PPT1/BBS2/REEP6/RAX/KIFC3/BBS10	83
GO:0050953	sensory perception of light stimulus	83/1595	244/21261	2.0328962606437865e-33	4.807799656422555e-31	3.1599054156673597e-31	GUCA1ANB-GUCA1A/CRYGA/CRYBB1/CRYGC/CRYBA4/CRYBB2/CRYBA2/CRYBA1/MIP/CRYGB/CRYBB3/CRYGS/TRPM1/PDE6H/KCNJ10/MFRP/DHRS3/GJA3/TYR/RS1/GRM6/BFSP2/AIPL1/COL1A1/RLBP1/LAMB2/RCVRN/PRPH2/CPLX4/SFRP5/LUM/RDH5/RP1L1/CRX/TULP1/RD3/COL2A1/PDC/GABRR2/NRL/CLRN1/VSX2/RDH10/MYO3B/GJD2/VSX1/CACNA2D4/NXNL2/ARR3/NDP/GUCA1A/PCARE/GUCA1B/CRB1/RPE65/BEST1/ABCA4/IMPG2/RGR/RBP4/NR2E1/RAX2/RBP3/GNAT2/ROM1/COL11A1/EYS/EPAS1/PDE6B/RP1/CLN6/SEMA5B/RPGRIP1/CDH23/BBS5/GLRB/UNC119/PPT1/BBS2/REEP6/RAX/KIFC3/BBS10	83
GO:0140014	mitotic nuclear division	78/1595	303/21261	1.182907046223166e-22	2.3979215694152467e-20	1.5760235232386842e-20	CDC20/CDC25C/NEUROG1/ESPL1/MYBL2/AURKB/NEK2/ZWINT/BIRC5/BMP4/NFIB/DLGAP5/MKI67/CCNB1/SPC24/CDCA5/SPC25/UBE2C/KIF2C/CDT1/NFIA/KIFC1/CDK1/NUSAP1/NDC80/IGF2/NUF2/SPHK1/TTK/CENPK/KIF4A/KIF18B/KIF23/KNL1/BORA/BUB1/CENPF/NCAPH/KIF18A/BUB1B/PSRC1/TPX2/TRIP13/SMC4/MAD2L1/PLK1/FBXO43/DSN1/KIF11/ANLN/CDCA2/PKMYT1/KNTC1/AURKA/CDCA8/BMP7/SPAG5/KIF14/FGF8/EGF/EPS8/RACGAP1/CENPI/CENPE/KIF22/PDGFRB/CCDC8/SPICE1/NCAPD2/SMC2/NDE1/NCAPG2/FBXO5/CHMP2B/HSPA1A/KLHL22/PRC1/ZW10	78
GO:0090596	sensory organ morphogenesis	78/1595	306/21261	2.2989829867518847e-22	4.077821072751156e-20	2.6801301661344342e-20	CRYGB/DIO3/KDR/NOG/MFRP/COL8A1/NEUROG1/RS1/AQP5/FOXN4/CYP26B1/TFAP2B/BMP4/TULP1/COL2A1/HMX3/PRDM1/NRL/CLRN1/HCN1/FZD5/MYO3B/COL8A2/ZHX2/ZIC1/WNT5A/PTF1A/COL5A1/PROM1/ALDH1A3/VSX1/NOTCH1/TFAP2A/NOTCH2/NDP/TBX3/CRB1/RPE65/SOX9/IMPG2/ATP6V1B1/ZIC3/LHX1/RBP4/COL5A2/FRZB/GLI3/GNAT2/AQP1/CDON/BCL2/ROM1/COL11A1/FZD2/LRIG3/TSKU/FGFR2/BMP7/STOX1/RP1/FGF8/INSIG2/MFSD2A/SOX8/RPGRIP1/STRA6/FBN1/CDH23/EPHA2/EPHB2/SPRY2/FBN2/FGF2/MAN2A1/MFAP2/TTC8/SDK2/FZD6	78
GO:0060041	retina development in camera-type eye	57/1595	179/21261	1.0000308183744868e-21	1.5767152569704407e-19	1.036289245707363e-19	DIO3/MFRP/RHOJ/RS1/GRM6/LAMB2/FOXN4/HES1/PRPH2/TFAP2B/RP1L1/TULP1/RD3/NFIB/PRDM1/NRL/HCN1/ZHX2/PTF1A/PROM1/VSX1/NFIA/NOTCH1/PDGFRA/TFAP2A/SERPINF1/NEUROD4/NDP/CRB1/RPE65/SOX9/IMPG2/LHX1/RBP4/NR2E1/GNAT2/FZD4/CDON/LHX2/ROM1/CYP1B1/TGIF2/NPHP1/PDE6B/RP1/MFSD2A/SLC17A7/SOX8/COL4A1/RPGRIP1/MERTK/MDM1/PDGFRB/MAN2A1/TTC8/SDK2/USP45	57
GO:0000280	nuclear division	103/1595	498/21261	1.4393662842434996e-21	2.042460757341526e-19	1.3423984503576217e-19	CDC20/CDC25C/NEUROG1/ESPL1/MYBL2/AURKB/NEK2/ZWINT/CYP26B1/BIRC5/BMP4/NFIB/TOP2A/DLGAP5/MKI67/CCNB1/WNT5A/SPC24/CDCA5/SPC25/PDE3A/UBE2C/KIF2C/CDT1/NFIA/KIFC1/CDK1/NUSAP1/NDC80/IGF2/NUF2/MSH5/SPHK1/ASPM/TTK/CENPK/KIF4A/RAD51AP1/KIF18B/KIF23/BRIP1/KNL1/CCNB2/BORA/BUB1/PTTG1/CENPF/NCAPH/KIF18A/BUB1B/PSRC1/TPX2/TRIP13/SMC4/MAD2L1/PLK1/CCNA1/FBXO43/DSN1/KIF11/ANLN/CDCA2/PKMYT1/FANCA/KNTC1/AURKA/CDCA8/BMP7/SPAG5/KIF14/FGF8/MYBL1/EGF/NDC1/CDC25B/EPS8/RACGAP1/CENPI/FANCD2/CENPE/KIF22/EME1/P3H4/PDGFRB/CCDC8/SPICE1/CKS2/NCAPD2/SMC2/BRCA2/MRE11/NDE1/NCAPG2/PSMC3IP/RAD51C/FBXO5/CHMP2B/HSPA1A/ZCWPW1/RAD51B/KLHL22/PRC1/ZW10	103
