ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	86/1324	240/21261	7.963051070322044e-43	1.1307532519857303e-39	7.041013577968966e-40	GUCA1ANB-GUCA1A/PDE6G/GNAT1/CNGB1/RLBP1/RD3/EPAS1/PRPH2/EFEMP1/NRL/PDC/TRPM1/RHO/BEST1/NR2E3/RP1/NR2E1/RORB/AIPL1/RS1/RAX2/ARR3/GRK1/RCVRN/FAM161A/LAMB2/PDE6A/PPEF2/PDE6H/RDH5/TULP1/RP1L1/CPLX4/COL1A1/RGS9BP/VSX1/CACNA2D4/ROM1/CNGB3/KCNJ10/MYO3B/SFRP5/GUCA1B/USH2A/PCARE/RDH12/GUCA1A/GRM6/GNAT2/ABCA4/RPGRIP1/EYS/IMPG1/RGR/DHRS3/PDE6B/CRX/CACNA1F/RBP3/COL2A1/RDH10/SLC24A1/PDE6C/GABRR2/UNC119/CABP4/IMPG2/LRIT3/BBS5/GUCY2D/IRX5/NDP/GJD2/CLN6/REEP6/COL11A1/VSX2/SEMA5B/MYO3A/CDH23/CLRN1/COL18A1/TIMP3/CRB1/ADGRV1/PPT1	86
GO:0050953	sensory perception of light stimulus	86/1324	244/21261	3.6128897622781296e-42	2.565151731217472e-39	1.5972775791124362e-39	GUCA1ANB-GUCA1A/PDE6G/GNAT1/CNGB1/RLBP1/RD3/EPAS1/PRPH2/EFEMP1/NRL/PDC/TRPM1/RHO/BEST1/NR2E3/RP1/NR2E1/RORB/AIPL1/RS1/RAX2/ARR3/GRK1/RCVRN/FAM161A/LAMB2/PDE6A/PPEF2/PDE6H/RDH5/TULP1/RP1L1/CPLX4/COL1A1/RGS9BP/VSX1/CACNA2D4/ROM1/CNGB3/KCNJ10/MYO3B/SFRP5/GUCA1B/USH2A/PCARE/RDH12/GUCA1A/GRM6/GNAT2/ABCA4/RPGRIP1/EYS/IMPG1/RGR/DHRS3/PDE6B/CRX/CACNA1F/RBP3/COL2A1/RDH10/SLC24A1/PDE6C/GABRR2/UNC119/CABP4/IMPG2/LRIT3/BBS5/GUCY2D/IRX5/NDP/GJD2/CLN6/REEP6/COL11A1/VSX2/SEMA5B/MYO3A/CDH23/CLRN1/COL18A1/TIMP3/CRB1/ADGRV1/PPT1	86
GO:0001654	eye development	83/1324	431/21261	1.505802672396137e-20	7.127465982675049e-18	4.4381552449570355e-18	GNGT1/GNAT1/RD3/PROM1/PRPH2/EFEMP1/NRL/NFIB/RHO/NR2E3/RP1/NR2E1/RORB/CPAMD8/CEP290/RS1/FLT1/COL8A1/LAMB2/PDE6A/TULP1/KDR/MEGF11/RP1L1/VSX1/AQP1/NOTCH1/ROM1/MITF/HCN1/NFIA/PBX1/GRM6/GNAT2/RPGRIP1/RHOJ/DIO3/PDE6B/INHBA/COL5A2/NPHP1/HES1/RDH10/PDE6C/CABP4/TFAP2A/IMPG2/TFAP2B/MDM1/NDP/SOX2/VIM/NOTCH2/SERPINF1/SLC17A7/LHX1/VEGFA/MAF/COL5A1/FBN1/GPM6A/CC2D2A/FZD5/MEIS2/FBN2/ZHX2/B9D1/RARB/TTC8/SPRY2/CRB1/SLC7A11/NEUROD4/WNT5A/SOX9/TSKU/SMAD3/HMGN1/LHX2/TGFB2/MFAP2/PFDN5/LPCAT1	83
GO:0150063	visual system development	83/1324	435/21261	2.767240749604134e-20	9.823704661094675e-18	6.117058499124927e-18	GNGT1/GNAT1/RD3/PROM1/PRPH2/EFEMP1/NRL/NFIB/RHO/NR2E3/RP1/NR2E1/RORB/CPAMD8/CEP290/RS1/FLT1/COL8A1/LAMB2/PDE6A/TULP1/KDR/MEGF11/RP1L1/VSX1/AQP1/NOTCH1/ROM1/MITF/HCN1/NFIA/PBX1/GRM6/GNAT2/RPGRIP1/RHOJ/DIO3/PDE6B/INHBA/COL5A2/NPHP1/HES1/RDH10/PDE6C/CABP4/TFAP2A/IMPG2/TFAP2B/MDM1/NDP/SOX2/VIM/NOTCH2/SERPINF1/SLC17A7/LHX1/VEGFA/MAF/COL5A1/FBN1/GPM6A/CC2D2A/FZD5/MEIS2/FBN2/ZHX2/B9D1/RARB/TTC8/SPRY2/CRB1/SLC7A11/NEUROD4/WNT5A/SOX9/TSKU/SMAD3/HMGN1/LHX2/TGFB2/MFAP2/PFDN5/LPCAT1	83
GO:0060041	retina development in camera-type eye	50/1324	179/21261	6.262542274307109e-20	1.778562005903219e-17	1.107481160087994e-17	GNAT1/RD3/PROM1/PRPH2/NRL/NFIB/RHO/NR2E3/RP1/NR2E1/RORB/RS1/LAMB2/PDE6A/TULP1/MEGF11/RP1L1/VSX1/NOTCH1/ROM1/HCN1/NFIA/GRM6/GNAT2/RPGRIP1/RHOJ/DIO3/PDE6B/NPHP1/HES1/PDE6C/CABP4/TFAP2A/IMPG2/TFAP2B/MDM1/NDP/SERPINF1/SLC17A7/LHX1/GPM6A/ZHX2/TTC8/CRB1/NEUROD4/SOX9/LHX2/TGFB2/PFDN5/LPCAT1	50
GO:0048880	sensory system development	83/1324	448/21261	1.8849651238651297e-19	4.461084126480807e-17	2.7778433404328223e-17	GNGT1/GNAT1/RD3/PROM1/PRPH2/EFEMP1/NRL/NFIB/RHO/NR2E3/RP1/NR2E1/RORB/CPAMD8/CEP290/RS1/FLT1/COL8A1/LAMB2/PDE6A/TULP1/KDR/MEGF11/RP1L1/VSX1/AQP1/NOTCH1/ROM1/MITF/HCN1/NFIA/PBX1/GRM6/GNAT2/RPGRIP1/RHOJ/DIO3/PDE6B/INHBA/COL5A2/NPHP1/HES1/RDH10/PDE6C/CABP4/TFAP2A/IMPG2/TFAP2B/MDM1/NDP/SOX2/VIM/NOTCH2/SERPINF1/SLC17A7/LHX1/VEGFA/MAF/COL5A1/FBN1/GPM6A/CC2D2A/FZD5/MEIS2/FBN2/ZHX2/B9D1/RARB/TTC8/SPRY2/CRB1/SLC7A11/NEUROD4/WNT5A/SOX9/TSKU/SMAD3/HMGN1/LHX2/TGFB2/MFAP2/PFDN5/LPCAT1	83
GO:0009416	response to light stimulus	70/1324	344/21261	7.271154851763602e-19	1.4750056985006163e-16	9.184616654859285e-17	GUCA1ANB-GUCA1A/GNGT1/GNAT1/SAG/CNGB1/PLEKHB1/GNGT2/PRPH2/ASIC2/SLC1A3/PDC/TRPM1/RHO/BEST1/NR2E3/RP1/AIPL1/PIK3R1/RS1/ATP1A2/GRK1/RCVRN/PER3/TULP1/RGS9BP/TP53/AQP1/CACNA2D4/PPP1R1B/ROM1/USP2/GUCA1A/GRM6/GNAT2/ABCA4/EYS/RGR/PCLAF/NETO1/PDE6B/ABCA7/CACNA1F/NPHP1/AANAT/CCND1/SLC24A1/PDE6C/UNC119/CABP4/GUCY2D/APP/NFATC4/SCARA3/DYNLRB1/REEP6/SEMA5B/BHLHE40/MEIS2/CRB1/PIERCE1/DCUN1D3/DTL/SLC7A11/PCNA/RO60/HMGN1/TIMP1/USP1/FEN1/TRIAP1	70
GO:0043010	camera-type eye development	74/1324	379/21261	8.465457009552815e-19	1.5026186191956247e-16	9.35655774740048e-17	GNAT1/RD3/PROM1/PRPH2/EFEMP1/NRL/NFIB/RHO/NR2E3/RP1/NR2E1/RORB/CEP290/RS1/FLT1/COL8A1/LAMB2/PDE6A/TULP1/KDR/MEGF11/RP1L1/VSX1/AQP1/NOTCH1/ROM1/MITF/HCN1/NFIA/GRM6/GNAT2/RPGRIP1/RHOJ/DIO3/PDE6B/INHBA/NPHP1/HES1/RDH10/PDE6C/CABP4/TFAP2A/IMPG2/TFAP2B/MDM1/NDP/VIM/NOTCH2/SERPINF1/SLC17A7/LHX1/VEGFA/MAF/FBN1/GPM6A/CC2D2A/FZD5/FBN2/ZHX2/B9D1/TTC8/SPRY2/CRB1/SLC7A11/NEUROD4/WNT5A/SOX9/TSKU/SMAD3/HMGN1/LHX2/TGFB2/PFDN5/LPCAT1	74
GO:0009582	detection of abiotic stimulus	45/1324	158/21261	1.9579306045599307e-18	2.892561838493557e-16	1.801150440574194e-16	GUCA1ANB-GUCA1A/GNGT1/GNAT1/SAG/CNGB1/PLEKHB1/GNGT2/PRPH2/ASIC2/PDC/RHO/BEST1/NR2E3/RP1/AIPL1/RS1/GRK1/RCVRN/TULP1/RGS9BP/CACNA2D4/ROM1/KCNA1/GUCA1A/GRM6/GNAT2/ABCA4/EYS/RGR/PDE6B/CACNA1F/PDE6C/UNC119/CABP4/GUCY2D/NGFR/PIEZO1/REEP6/COL11A1/SEMA5B/CXCL12/PHF24/CRB1/TIMELESS/ADGRV1	45
GO:0009314	response to radiation	83/1324	465/21261	2.0370153792208146e-18	2.892561838493557e-16	1.801150440574194e-16	GUCA1ANB-GUCA1A/GNGT1/GNAT1/SAG/CNGB1/PLEKHB1/GNGT2/PRPH2/ASIC2/SLC1A3/XRCC4/PDC/TRPM1/RHO/BEST1/NR2E3/RP1/AIPL1/PIK3R1/RS1/ATP1A2/GRK1/RCVRN/PER3/TULP1/RGS9BP/TP53/AQP1/CACNA2D4/PPP1R1B/ROM1/IFI16/USP2/GUCA1A/GRM6/GNAT2/ABCA4/EYS/ANXA1/RGR/PCLAF/NETO1/PDE6B/ABCA7/CACNA1F/NPHP1/YAP1/AANAT/CCND1/SLC24A1/PDE6C/UNC119/CABP4/GUCY2D/APP/NFATC4/SCARA3/XRCC2/SFRP2/DYNLRB1/REEP6/SEMA5B/BHLHE40/MEIS2/NET1/CRB1/PIERCE1/DCUN1D3/DTL/SLC7A11/H2AX/BARD1/RAD54B/PCNA/RO60/HMGN1/TIMP1/ECT2/TMEM109/USP1/FEN1/ZMPSTE24/TRIAP1	83
