ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030705	cytoskeleton-dependent intracellular transport	43/1455	228/21261	1.0754280592617288e-9	1.5217307038553462e-6	1.2554207554960603e-6	TUBA1C/NDE1/APP/PRKCZ/MAP6/RPGR/MYO10/ACTN4/BORCS8/PPFIA2/TRAK1/RAB6A/SYNE2/DTNBP1/CCDC186/SNAPIN/DYNC1I2/TMEM108/HSPB1/AP3B1/DST/DLG2/HOOK3/SYBU/KIF1B/DYNLL1/SUN2/HNRNPU/BICD2/FBXW11/SUN1/TANC2/PCM1/STK11/INTU/BLOC1S6/MECP2/IFT20/MAP2/RHOT1/PRICKLE1/MAK/CCDC88B	43
GO:0044782	cilium organization	61/1455	425/21261	3.023802337363404e-8	1.5098068073563686e-5	1.2455835963237588e-5	TMEM216/CFAP46/LRGUK/CFAP43/ADAMTS16/GAS8/NOTCH1/EVI5L/RPGR/CFAP298/CCDC39/DCTN1/CSNK1D/OCRL/SYNE2/GSN/CEP162/TMEM231/AURKA/NECTIN2/CC2D2A/IQCG/STK36/RILPL1/MPHOSPH9/CBY1/BBS2/CEP135/ARL6/CEP290/TMEM237/CCDC28B/DYNLL1/PARVA/CCP110/RABEP2/SEPTIN9/CPLANE1/SEPTIN6/PCM1/TMEM138/NISCH/INTU/ABLIM1/OFD1/RPGRIP1L/ARL13B/SEPTIN2/IFT20/CDKL5/TTC17/YAP1/DCX/B9D1/TCTN1/HYDIN/AHI1/PRICKLE1/SPAG1/MAK/RPGRIP1	61
GO:0060271	cilium assembly	58/1455	396/21261	3.201003831850958e-8	1.5098068073563686e-5	1.2455835963237588e-5	TMEM216/CFAP46/LRGUK/CFAP43/ADAMTS16/GAS8/NOTCH1/EVI5L/RPGR/CFAP298/CCDC39/DCTN1/CSNK1D/OCRL/SYNE2/GSN/CEP162/TMEM231/CC2D2A/IQCG/STK36/RILPL1/MPHOSPH9/CBY1/BBS2/CEP135/ARL6/CEP290/TMEM237/CCDC28B/DYNLL1/PARVA/CCP110/RABEP2/SEPTIN9/CPLANE1/SEPTIN6/PCM1/TMEM138/NISCH/INTU/ABLIM1/OFD1/RPGRIP1L/ARL13B/SEPTIN2/IFT20/CDKL5/YAP1/DCX/B9D1/TCTN1/HYDIN/AHI1/PRICKLE1/SPAG1/MAK/RPGRIP1	58
GO:0048813	dendrite morphogenesis	30/1455	151/21261	1.0483573684489114e-7	3.0017991611526744e-5	2.47647035128757e-5	CFL1/DLG4/MAP6/CTNNA2/PPFIA2/DCLK1/TRAK1/DTNBP1/CAPRIN1/PDLIM5/SHANK3/KIDINS220/PHACTR1/NEDD4L/SEMA4D/ABI1/PARP6/VLDLR/GPRASP3/CAPRIN2/TANC2/PAK3/PTPRD/STK11/SYNE1/TNIK/CDKL5/CAMK2B/MAP2/HECW1	30
GO:0099111	microtubule-based transport	38/1455	221/21261	1.272656708346942e-7	3.0017991611526744e-5	2.47647035128757e-5	CFAP43/GAS8/NDE1/APP/PRKCZ/RPGR/CCDC39/BORCS8/TRAK1/RAB6A/SYNE2/DTNBP1/SNAPIN/DYNC1I2/STK36/TMEM108/HSPB1/AP3B1/DST/DLG2/SYBU/KIF1B/DYNLL1/SUN2/HNRNPU/BICD2/FBXW11/SUN1/PCM1/STK11/INTU/BLOC1S6/OFD1/MECP2/IFT20/MAP2/RHOT1/MAK	38
GO:0007163	establishment or maintenance of cell polarity	40/1455	239/21261	1.2728477008421234e-7	3.0017991611526744e-5	2.47647035128757e-5	FGF13/CENPA/DLG4/NDE1/PTK2B/PRKCZ/FRMD4B/RUFY3/DCTN1/SNX27/GSN/PAX6/PALS1/ARHGEF11/SH3BP1/DST/ERBIN/ANK1/STK25/DLG2/MARK2/SPDL1/RHOQ/LLGL1/KIAA1614/PARVA/CLASP2/FBXW11/GPSM2/PARD3/STK11/RPGRIP1L/NEK3/KRIT1/CYTH1/IFT20/DOCK7/WEE1/PRICKLE1/DOCK8	40
GO:0010970	transport along microtubule	33/1455	179/21261	1.5912364062653943e-7	3.2165707355221896e-5	2.6536559015764243e-5	NDE1/APP/PRKCZ/RPGR/BORCS8/TRAK1/RAB6A/SYNE2/DTNBP1/SNAPIN/DYNC1I2/TMEM108/HSPB1/AP3B1/DST/DLG2/SYBU/KIF1B/DYNLL1/SUN2/HNRNPU/BICD2/FBXW11/SUN1/PCM1/STK11/INTU/BLOC1S6/MECP2/IFT20/MAP2/RHOT1/MAK	33
GO:0016358	dendrite development	41/1455	260/21261	4.631899365306152e-7	8.192672002385257e-5	6.758916310690162e-5	CFL1/DLG4/APP/MAP6/CTNNA2/MARK1/CPEB3/PPFIA2/DCLK1/TRAK1/DTNBP1/CAPRIN1/PDLIM5/SHANK3/IGSF9/KIDINS220/PHACTR1/NEDD4L/IQSEC1/SEMA4D/ABI1/PARP6/ZMYND8/VLDLR/GPRASP3/CAPRIN2/TANC2/PAK3/PTPRD/STK11/SYNE1/TNIK/MECP2/FMR1/CDKL5/CAMK2B/MAP2/HECW1/PRICKLE1/PRKG1/MEF2C	41
GO:0010975	regulation of neuron projection development	63/1455	484/21261	6.4550938978747e-7	1.0148842072769667e-4	8.372747523676073e-5	CFL1/FGF13/PLXNB2/LYN/PTK2B/PMP22/EPHA7/ISLR2/ROBO2/MAP6/CTNNA2/MARK1/RUFY3/CNTN1/INPP5J/PPFIA2/TRAK1/NTRK2/DTNBP1/PAX6/MAP3K13/CAPRIN1/DENND5A/MYCBP2/SNAPIN/PDLIM5/SHANK3/NFE2L2/ROBO1/SEMA6A/NEO1/KIDINS220/SNAP25/STK25/NEDD4L/MARK2/SPP1/SCARB2/CRABP2/RTN4/SEMA4D/FBXO7/PARP6/VLDLR/GOLGA4/ITM2C/MACF1/GPRASP3/CAPRIN2/TANC2/PAK3/PTPRD/STK11/SYNE1/SHOC2/ADNP/TNIK/ROR2/CDKL5/CAMK2B/MAP2/HECW1/SEMA6D	63
GO:0007409	axonogenesis	61/1455	476/21261	1.6329496299454575e-6	2.3106237263728226e-4	1.906253831167908e-4	WDR47/FGF13/NFIB/PLXNB2/NOTCH1/APP/EPHA7/ISLR2/ROBO2/MAP6/CTNNA2/BOC/RUFY3/CNTN1/AUTS2/DCLK1/TRAK1/NTRK2/EPHA8/EPHA5/VAX2/PAX6/MAP3K13/MYCBP2/RAPH1/IGSF9/ROBO1/SEMA6A/NEO1/SNAP25/STK25/MARK2/SPP1/PTPN11/CRABP2/C9orf72/RTN4/LLGL1/SEMA4D/SPTBN4/CYFIP2/GOLGA4/ECE1/MACF1/TOP2B/PAK3/PARD3/STK11/TRIO/ADNP/KIFBP/NRXN3/CDKL5/MAP2/DOCK7/TCTN1/PLEKHG4B/LAMA2/PRICKLE1/PRKG1/SEMA6D	61
GO:0051656	establishment of organelle localization	62/1455	495/21261	2.879867855839769e-6	3.704557287284793e-4	3.056242537919908e-4	CFL1/S100A13/KNL1/SHROOM2/SYNE3/CENPA/ZWILCH/SNAP91/NDE1/LYN/PRKCZ/MARK1/DNM1L/MIS12/ACTN4/DCTN1/BORCS8/PPFIA2/TRAK1/CSNK1D/RAB6A/EML4/SYNE2/EXOC1/DTNBP1/PAX6/NECTIN2/CCDC186/SNAPIN/SNCA/LMNB1/AP3B1/RIPOR1/STK25/HOOK3/STXBP2/SYBU/BBS2/SPDL1/ARL6/CDC23/MLH1/LLGL1/SUN2/CLASP2/HNRNPU/BICD2/FBXW11/SUN1/TANC2/PCM1/GPSM2/PARD3/STK11/BLOC1S6/MECP2/KIF22/MAP2/DOCK7/RHOT1/SEH1L/PSRC1	62
GO:0007018	microtubule-based movement	57/1455	447/21261	4.143946825169287e-6	4.7019980538215417e-4	3.8791265327789404e-4	QRICH2/CFAP46/CFAP43/GAS8/NDE1/APP/PRKCZ/RPGR/NPHP4/CFAP298/STARD9/CCDC39/KIFC3/BORCS8/TRAK1/RAB6A/SYNE2/DTNBP1/SNAPIN/DYNC1I2/VPS13A/IQCG/STK36/CELF3/TMEM108/HSPB1/ATP2B4/AP3B1/DST/DLG2/SYBU/DYNLRB1/BBS2/KIF1B/DYNLL1/SUN2/HNRNPU/SEPTIN4/BICD2/FBXW11/SUN1/PCM1/STK11/INTU/BLOC1S6/OFD1/MECP2/KIF21A/KIF22/IFT20/MAP2/PLTP/KIF2A/RHOT1/HYDIN/MAK/ENKUR	57
GO:0031109	microtubule polymerization or depolymerization	27/1455	152/21261	4.319856869235339e-6	4.7019980538215417e-4	3.8791265327789404e-4	WDR47/FGF13/SKA3/NDE1/SLAIN1/MAPRE2/DCTN1/CSNK1D/CCSAP/SNCA/CLIP1/AKAP9/ARL2/ARHGEF2/TAOK1/TPPP3/CLASP2/NEDD1/PDE4DIP/TUBGCP5/DYRK1A/MECP2/GOLGA2/ARHGEF7/MAP2/KIF2A/PSRC1	27
GO:0031346	positive regulation of cell projection organization	51/1455	386/21261	4.811965525703132e-6	4.8635222991928083e-4	4.012383284214116e-4	AGRN/PLXNB2/DLG4/LYN/PTK2B/EPS8/ISLR2/ROBO2/MAP6/DEF8/RUFY3/CNTN1/AUTS2/TRAK1/NTRK2/ARAP1/MAP3K13/CAPRIN1/NFE2L2/ROBO1/KIDINS220/STK25/MARK2/SCARB2/CEP135/CRABP2/RHOQ/SEMA4D/PARP6/CCP110/ZMYND8/VLDLR/GOLGA4/SEPTIN9/MACF1/GPRASP3/MTOR/CAPRIN2/PTPRD/STK11/NCKAP1/SHOC2/ADNP/FMR1/DOCK11/ROR2/IFT20/CDKL5/CAMK2B/ARHGEF7/EPS8L1	51
GO:0030010	establishment of cell polarity	28/1455	163/21261	5.6537947913051456e-6	5.33341308646452e-4	4.4000409989876534e-4	FGF13/CENPA/NDE1/PTK2B/PRKCZ/FRMD4B/RUFY3/DCTN1/SNX27/GSN/PAX6/ARHGEF11/SH3BP1/MARK2/SPDL1/LLGL1/FBXW11/GPSM2/PARD3/STK11/NEK3/KRIT1/CYTH1/IFT20/DOCK7/WEE1/PRICKLE1/DOCK8	28
GO:0032886	regulation of microtubule-based process	41/1455	288/21261	6.610468272864655e-6	5.50224270947264e-4	4.5393246530073706e-4	WDR47/FGF13/CFAP43/SKA3/ALMS1/SLAIN1/MAP6/MAPRE2/CFAP298/CCDC39/DCTN1/AURKA/CCSAP/DIAPH1/SNCA/CLIP1/SENP6/MARK2/BBS2/AKAP9/CLTC/ARL2/ARHGEF2/TAOK1/CLASP2/HNRNPU/MACF1/BICD2/PDE4DIP/GPSM2/STK11/TACC3/CCNL2/DYRK1A/MECP2/ARHGEF7/MAP2/BRCA1/PSRC1/MDM1/WDR62	41
GO:0050803	regulation of synapse structure or activity	41/1455	288/21261	6.610468272864655e-6	5.50224270947264e-4	4.5393246530073706e-4	CFL1/ASIC2/CBLN2/THBS2/AGRN/PTK2B/APP/EPHA7/ROBO2/CTNNA2/DCTN1/PPFIA2/NTRK2/CLSTN1/DTNBP1/CAPRIN1/MYCBP2/PDLIM5/SHANK3/ABHD17C/IGSF9/SNCA/SNAP25/SYBU/SEMA4D/ZMYND8/GPRASP3/ADAM10/CAPRIN2/TANC2/PAK3/PTPRD/ADNP/MECP2/DMPK/ROR2/CDKL5/CAMK2B/SHANK2/COLQ/MEF2C	41
