gene_id	gene_name
ENSG00000142089	IFITM3
ENSG00000119614	VSX2
ENSG00000185650	ZFP36L1
ENSG00000139445	FOXN4
ENSG00000100504	PYGL
ENSG00000157064	NMNAT2
ENSG00000015592	STMN4
ENSG00000135447	PPP1R1A
ENSG00000173267	SNCG
ENSG00000187017	ESPN
ENSG00000272398	CD24
ENSG00000130203	APOE
ENSG00000011347	SYT7
ENSG00000117016	RIMS3
ENSG00000126878	AIF1L
ENSG00000146250	PRSS35
ENSG00000154734	ADAMTS1
ENSG00000173404	INSM1
ENSG00000102755	FLT1
ENSG00000104267	CA2
ENSG00000119547	ONECUT2
ENSG00000128052	KDR
ENSG00000164318	EGFLAM
ENSG00000170091	NSG2
ENSG00000184232	OAF
ENSG00000187416	LHFPL3
ENSG00000205336	ADGRG1
ENSG00000290147	GUCA1ANB-GUCA1A
ENSG00000111664	GNB3
ENSG00000169085	VXN
ENSG00000120907	ADRA1A
ENSG00000149295	DRD2
ENSG00000162496	DHRS3
ENSG00000164294	GPX8
ENSG00000168874	ATOH8
ENSG00000090889	KIF4A
ENSG00000162407	PLPP3
ENSG00000168298	H1-4
ENSG00000283782	NA
ENSG00000026025	VIM
ENSG00000168309	FAM107A
ENSG00000101489	CELF4
ENSG00000145920	CPLX2
ENSG00000162188	GNG3
ENSG00000198910	L1CAM
ENSG00000073670	ADAM11
ENSG00000091490	SEL1L3
ENSG00000105392	CRX
ENSG00000120500	ARR3
ENSG00000134323	MYCN
