gene_name	DGE_log2FC	log10DGE_qval
RBM5	-0.7474064098263197	1.366270721922462
KDM1A	-1.1574765960293265	1.15970001087203
RBM6	-0.40458874698787023	0.4682622083303013
UPF1	0.6117233677752968	1.0157993681923096
POLR2J	0.4067449505376015	0.7819463412083913
GCFC2	-0.47471188743191783	0.5346291823934562
CDK11A	-0.5927288815640024	0.41635046031027617
AKAP8L	-1.5965967035696067	1.5404238432656923
PTBP1	-0.16074284219356402	0.20100886311220642
CLK1	-1.1965467984497244	2.1275365587405606
STEEP1	0.12006731182363764	0.13749949954471868
NCDN	0.37993389024944296	0.5609810463078139
AQR	-0.16039441947451422	0.2886371324681195
STRAP	-0.8537236963307997	2.256378956515682
BCLAF1	-0.2623083960594288	0.4898848511254621
ZCCHC8	-0.32979020807379067	0.5780890688133725
MTREX	-0.3999482746415596	0.8795522527478609
GEMIN8	0.29445597652763245	0.1914513379676253
POLR2B	-0.5445289173747642	1.1258078158600116
CELF2	0.30870690650575133	0.2050063039269949
MAPK9	-0.12920029134390035	0.13504134482493785
THOC3	-1.0356558018045956	1.6662513343525691
THRAP3	-0.06798756534686858	0.06989820029560652
CCAR1	-0.06166160837269061	0.08104947090274169
SNRNP40	0.19685310307472623	0.2641679014254166
SFSWAP	-0.05845416984115481	0.05175247945391907
U2AF2	-0.08973338059500155	0.13650550473514658
SUGP2	-0.15601916481570818	0.20926452015368135
DDX20	-0.8844727283501425	0.6848148541326204
CDK13	-0.24678850628141696	0.43112974725776765
YBX1	-0.27702457104870026	0.5412758316474915
NEO1	0.02214740087488373	0.017539186246202064
DHX8	0.32343351849131263	0.6012198694398723
PRKCZ	-0.2259273020725251	0.20809782308999542
GPKOW	-0.19609439432682949	0.23853666311918018
JMJD6	-0.6717796051235972	1.1740519371649678
PABPC1	-0.9368025575046712	2.028423315889509
ATP2B1	0.6389569336977114	1.4332429146918324
DAZAP1	0.30106824231933965	0.6395823131533602
FAM50A	-0.4836010381392169	1.0918453628776201
CLASP1	-0.801777240674783	1.068197312432425
CLNS1A	-0.06561221674728901	0.07179766187810821
KCNQ2	-1.9391483680799095	2.6927525610746526
ZNF638	-1.0872178396386811	1.8218213814975903
SART3	-0.1122413592790438	0.17075993252999985
RBM7	-0.7275267801355949	1.564116932915307
GPATCH1	0.4434431222193269	0.783878442816559
MBNL3	1.6229612024664928	0.5939819351404696
RAP1GAP	0.23182478660344388	0.19541997314460152
XAB2	-0.5064786368534583	0.8122466715640977
STXBP2	0.3871279637021666	0.2901119907253036
SNRPA	-0.7962712458906659	1.5259740943231137
RBFOX1	1.0934063364739215	0.6432818953769753
THOC1	-0.4554590581538127	0.42711218611345103
DDX1	-0.36066188475584887	0.4594862369725159
EPB41L2	2.736923446256657	3.6526446506961694
WDR70	0.4973421031982208	0.612047149380003
EPB41L3	-1.374362804642766	3.032460980430879
GEMIN5	-0.1253034035179307	0.13650550473514658
YTHDC1	-0.42965286146340154	0.7370460742905864
PPIE	-0.0473644961372186	0.051804988732334925
REST	2.551061099142949	3.4728467382547477
APLP2	-0.7641950851509336	1.72940208771646
WBP11	0.20771886970635017	0.3389476213456436
CHERP	-0.21200132435139263	0.2628756066183599
RBM22	-0.3378620728833814	0.6842646886744387
SRRT	0.25180076627646375	0.33189517485613346
ATXN7L3	-0.6821201918806483	1.1879513269983704
RTRAF	-0.5552139854788904	1.1040868081769168
SF3B2	-0.36079685366605546	0.8015740401089599
KHSRP	-0.26910393626507945	0.44617855988681976
EPB41L1	-0.7562272490375477	1.2787947443913292
FUS	0.2100176531239534	0.3210606637316072
RBM41	-0.74569770577891	0.6314256621806387
PCBP4	0.4075057169097029	0.7500481591259209
PDCD7	0.02772451238380353	0.02906495174111596
PUS7	-0.7430555603314539	1.5918266528688383
HNRNPC	-0.3684527974392774	0.7784803063298275
GEMIN2	-0.3295686670535729	0.5554390041860053
CWF19L1	0.4880246234143428	0.6461053494794502
SRPK1	-0.5822777965817204	1.2611640680227891
CDC5L	-0.5256775953935223	1.1542759494383306
HNRNPH3	-1.2089043557270296	2.788476342711464
CIRBP	-0.203279636703761	0.3777930652246243
HNRNPM	-0.44873614755704744	0.9163656871455019
POLR2E	-0.19477708357209772	0.26095139372294524
ARVCF	-1.4047512606114112	2.427009948758364
SF3A1	-0.1144272686348731	0.16799632995817626
PPIL2	-0.4054298725008827	0.7288397720307933
SNRPD3	0.3141483977713354	0.5831136815827694
ESS2	-0.19262025691830703	0.26235340187189354
TFIP11	-0.6434135256657426	0.5835365127815777
SNU13	-0.13497964144126842	0.18775818031497968
POLR2F	-0.00799876711245216	0.010486541613170296
DDX17	-0.05242331096070653	0.06271947673516637
RTCB	-0.12525323923548817	0.19015083843949723
THOC5	-0.5463994021761204	0.9577602107490482
ZMAT5	0.0483113111645303	0.033858803152197366
RBFOX2	-2.5775821307168445	2.5133692007529578
PHF5A	0.20693386840553377	0.34325891913855655
RBM23	-0.6960465890966064	0.6743017513647818
PRMT5	-0.04524883643571913	0.05268411139818281
SNW1	-0.07258838965163462	0.06431128449139882
SRSF5	0.15754584344061065	0.19632902644942635
ACIN1	-0.05352694454644431	0.047361681345214554
PNN	-0.10255802839243314	0.10816168961362797
PRPF6	-0.0155834004688836	0.016560962845718917
PLCB4	-1.3553739047639504	2.7187588251380457
CRNKL1	-1.3960261368385614	1.1756529635186133
DHX35	0.2827171855692031	0.26748017099778576
CELF4	-2.79436458249982	3.9305603818775565
METTL4	0.30429899401630706	0.3691723351772656
NKAP	-0.308869783239543	0.7562780917038705
FMR1	-0.8205992529913594	0.7122454354687932
PQBP1	-0.835465417891676	0.9494997793006115
HTATSF1	-0.6117549817775532	1.5897224794657265
RBM3	0.07707401959987918	0.10652372980695533
SUPT20H	-0.24559663552594604	0.4552556173983786
POLR2C	0.45445112573536744	0.8729913262349509
USB1	-0.5121193633018588	0.8311302367845117
ESRP2	-0.9510867172075552	0.5779211718856334
HNRNPL	-0.5614799669121463	1.042609061479176
SNRNP70	-0.5307117330810552	1.151600299526457
CLASRP	0.1445063826336953	0.2538584936689873
SF3A2	-0.943813696146364	1.4196043191888734
YJU2B	0.4030829730263881	0.9115926478750002
NOVA2	-1.985585351376242	3.440364598851052
FAM32A	-0.5624475504864596	0.9180685793432328
PRX	-0.7191413385525302	0.36839973847427865
YJU2	0.3213493183255985	0.31852936882086563
POLR2I	-0.00784012912088874	0.00978852008891392
CACTIN	0.7722064679353736	0.9175743243795335
HNRNPUL1	0.20420213342093171	0.1941938676097917
PPP2R1A	-0.7325413381954365	1.6754515783228012
LENG1	0.23364020439813224	0.24643085679963972
PRPF31	-0.00411843654402128	0.0047266252905687105
SUGP1	0.2407856271762757	0.2622631838948656
CAV2	2.017712826393886	1.3649337386348486
BUD31	-0.5325593909801603	1.1155864840678262
RBM28	0.13325436129465726	0.2077412261310958
LSM5	0.1173966305589639	0.0754385255188113
SETX	0.1785590266793471	0.2633842546757629
CASC3	-0.6084223457076762	1.5611322959763183
C1QBP	0.261510482955951	0.5382603462070966
DDX5	-0.39859640696493814	0.7604982051779053
KAT2A	-0.3767702608225736	0.6275514970921554
PPP1R9B	0.13007085491200268	0.1302041644932156
LUC7L3	-0.7024596601310136	1.1495674421430258
EFTUD2	-0.00418391060558427	0.004447578137893975
SUPT6H	0.17542223829146017	0.21630306742589087
FRG1	-0.450636236468725	1.0641328710831395
DHX15	-0.6683401330548087	1.3693907164176937
PPARGC1A	0.7347601634005695	1.0541955803014926
ZPR1	-0.8568892774530829	1.5101283359256148
HSPA8	-0.2534151960519264	0.3298967969727094
DCPS	0.35620354098120505	0.353698527220167
PRPF19	0.43849454460972503	0.9472178712238649
RPS13	-0.44032269304547433	0.5808889113870239
NUP98	0.03566101637093674	0.027791061956104115
PRPF40B	-0.18552360695506903	0.2789062131893759
MAGOHB	0.4560747655436552	0.8078984221312498
STX2	-0.8538947606767753	1.8259257413756294
SRSF9	-0.2621843171957896	0.28478206978730425
SRSF3	0.00858749496520211	0.0097839024784082
RBM24	-2.795351697115599	1.9328982195292446
KHDRBS2	0.15298044055085824	0.09211131186675339
