Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
A_RO_D200 vs B_RO_D100	A3	A3 in isoform used less	138	143
A_RO_D200 vs C_RO_D45	A3	A3 in isoform used less	171	185
B_RO_D100 vs C_RO_D45	A3	A3 in isoform used less	130	136
A_RO_D200 vs B_RO_D100	A3	A3 in isoform used more	85	88
A_RO_D200 vs C_RO_D45	A3	A3 in isoform used more	200	208
B_RO_D100 vs C_RO_D45	A3	A3 in isoform used more	245	249
A_RO_D200 vs B_RO_D100	A5	A5 in isoform used less	94	96
A_RO_D200 vs C_RO_D45	A5	A5 in isoform used less	174	183
B_RO_D100 vs C_RO_D45	A5	A5 in isoform used less	125	128
A_RO_D200 vs B_RO_D100	A5	A5 in isoform used more	94	94
A_RO_D200 vs C_RO_D45	A5	A5 in isoform used more	190	195
B_RO_D100 vs C_RO_D45	A5	A5 in isoform used more	150	152
A_RO_D200 vs B_RO_D100	ATSS	ATSS in isoform used less	220	228
A_RO_D200 vs C_RO_D45	ATSS	ATSS in isoform used less	433	457
B_RO_D100 vs C_RO_D45	ATSS	ATSS in isoform used less	446	464
A_RO_D200 vs B_RO_D100	ATSS	ATSS in isoform used more	280	285
A_RO_D200 vs C_RO_D45	ATSS	ATSS in isoform used more	372	384
B_RO_D100 vs C_RO_D45	ATSS	ATSS in isoform used more	281	283
A_RO_D200 vs B_RO_D100	ATTS	ATTS in isoform used less	213	219
A_RO_D200 vs C_RO_D45	ATTS	ATTS in isoform used less	328	345
B_RO_D100 vs C_RO_D45	ATTS	ATTS in isoform used less	252	262
A_RO_D200 vs B_RO_D100	ATTS	ATTS in isoform used more	188	190
A_RO_D200 vs C_RO_D45	ATTS	ATTS in isoform used more	297	312
B_RO_D100 vs C_RO_D45	ATTS	ATTS in isoform used more	269	273
A_RO_D200 vs B_RO_D100	ES	ES in isoform used less	151	154
A_RO_D200 vs C_RO_D45	ES	ES in isoform used less	233	243
B_RO_D100 vs C_RO_D45	ES	ES in isoform used less	168	173
A_RO_D200 vs B_RO_D100	ES	ES in isoform used more	150	150
A_RO_D200 vs C_RO_D45	ES	ES in isoform used more	301	313
B_RO_D100 vs C_RO_D45	ES	ES in isoform used more	251	254
A_RO_D200 vs B_RO_D100	IR	IR in isoform used less	54	54
A_RO_D200 vs C_RO_D45	IR	IR in isoform used less	99	101
B_RO_D100 vs C_RO_D45	IR	IR in isoform used less	96	97
A_RO_D200 vs B_RO_D100	IR	IR in isoform used more	54	55
A_RO_D200 vs C_RO_D45	IR	IR in isoform used more	53	53
B_RO_D100 vs C_RO_D45	IR	IR in isoform used more	44	44
A_RO_D200 vs B_RO_D100	MEE	MEE in isoform used less	4	4
A_RO_D200 vs C_RO_D45	MEE	MEE in isoform used less	4	4
B_RO_D100 vs C_RO_D45	MEE	MEE in isoform used less	3	3
A_RO_D200 vs B_RO_D100	MEE	MEE in isoform used more	0	0
A_RO_D200 vs C_RO_D45	MEE	MEE in isoform used more	3	3
B_RO_D100 vs C_RO_D45	MEE	MEE in isoform used more	3	3
A_RO_D200 vs B_RO_D100	MES	MES in isoform used less	47	47
A_RO_D200 vs C_RO_D45	MES	MES in isoform used less	90	95
B_RO_D100 vs C_RO_D45	MES	MES in isoform used less	65	67
A_RO_D200 vs B_RO_D100	MES	MES in isoform used more	47	48
A_RO_D200 vs C_RO_D45	MES	MES in isoform used more	108	113
B_RO_D100 vs C_RO_D45	MES	MES in isoform used more	66	69
