ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050953	sensory perception of light stimulus	45/653	244/21261	1.9295507453948448e-22	1.3577450187768469e-19	1.1316679304121074e-19	USH2A/CNGB1/MYO3B/SLC24A1/RPGRIP1/MYO3A/CACNA1F/RP1/CRYBA1/RGS9/UNC119/TULP1/EYA4/IMPG1/GNAT1/REEP6/EPAS1/ARR3/BBS9/AIPL1/NRL/ATP8A2/PDE6B/CRB1/RBP4/KIFC3/NOB1/SLC4A10/ROM1/PCDH15/DRAM2/FAM161A/CNGB3/RAX2/CABP4/PCARE/RRH/RP1L1/PDE6G/RD3/ABCA4/RORB/PRCD/NR2E3/GUCA1ANB-GUCA1A	45
GO:0002181	cytoplasmic translation	39/653	178/21261	1.9493826543816895e-22	1.3577450187768469e-19	1.1316679304121074e-19	RPS20/YBX3/RPL18/PABPC1/RPL31/RPLP0/EIF3L/EIF3E/RPS16/RPL28/RPL34/RPS13/RPS12/RPL24/RPL27/RPS15A/RPS6/RPLP1/RPS24/RPL11/RPL7/RPL7A/RPS3/RPL30/EIF4A2/NMNAT2/IGF2BP1/EIF4A1/RPL26/RPL9/RPL27A/RPL38/RPLP2/RPL35A/RPS23/RPL37A/RACK1/RPS29/UBA52	39
GO:0007601	visual perception	44/653	240/21261	7.355784060575789e-22	3.415535732127358e-19	2.8468174802859983e-19	USH2A/CNGB1/MYO3B/SLC24A1/RPGRIP1/MYO3A/CACNA1F/RP1/CRYBA1/RGS9/UNC119/TULP1/EYA4/IMPG1/GNAT1/REEP6/EPAS1/ARR3/BBS9/AIPL1/NRL/ATP8A2/PDE6B/CRB1/RBP4/KIFC3/NOB1/SLC4A10/ROM1/DRAM2/FAM161A/CNGB3/RAX2/CABP4/PCARE/RRH/RP1L1/PDE6G/RD3/ABCA4/RORB/PRCD/NR2E3/GUCA1ANB-GUCA1A	44
GO:0060041	retina development in camera-type eye	28/653	179/21261	1.3611031854341667e-12	4.740041843274485e-10	3.9507810882470684e-10	SOX8/PRDM1/CDON/DCX/GNB1/RPGRIP1/RP1/TULP1/PDGFRB/GNAT1/RPL24/ACVR2B/NRL/ATP8A2/PDE6B/CRB1/ACTL6A/RBP4/FOXN4/SCAPER/ROM1/NFIA/HCN1/CABP4/RP1L1/RD3/RORB/NR2E3	28
GO:0009416	response to light stimulus	37/653	344/21261	3.9799593141753565e-11	1.1088166649292545e-8	9.241884470600882e-9	PLEKHB1/USP2/ABCA7/CNGB1/SLC24A1/SLC1A3/DCT/MMP2/CACNA1F/RP1/RGS9/UNC119/SLC1A2/TULP1/GNAT1/REEP6/MSH6/GNGT1/AIPL1/SYNE1/PCNA/ATP8A2/PDE6B/CRB1/SLC4A10/ROM1/RPL26/CASP7/PCLAF/PBK/RBM4B/CABP4/RRH/EXT1/ABCA4/NR2E3/GUCA1ANB-GUCA1A	37
GO:0009581	detection of external stimulus	22/653	155/21261	2.31412872703555e-9	5.372635527934203e-7	4.478042080561776e-7	PLEKHB1/CNGB1/CACNA1F/RP1/UNC119/TULP1/GNAT1/REEP6/CXCR4/GNGT1/AIPL1/ATP8A2/PDE6B/CRB1/SERPINE2/ROM1/SCN9A/CABP4/RRH/ABCA4/NR2E3/GUCA1ANB-GUCA1A	22
GO:0009582	detection of abiotic stimulus	22/653	158/21261	3.339149873377594e-9	6.644908248021412e-7	5.538469639602235e-7	PLEKHB1/CNGB1/CACNA1F/RP1/UNC119/TULP1/GNAT1/REEP6/CXCR4/GNGT1/AIPL1/ATP8A2/PDE6B/CRB1/SERPINE2/ROM1/SCN9A/CABP4/RRH/ABCA4/NR2E3/GUCA1ANB-GUCA1A	22
GO:0043010	camera-type eye development	35/653	379/21261	7.88790543099406e-9	1.3734815331718406e-6	1.1447841697876906e-6	SOX8/PRDM1/CDON/DCX/GNB1/RPGRIP1/FLT1/RP1/CRYBA1/TULP1/PDGFRB/WNT5A/GNAT1/RPL24/ACVR2B/BMP4/NRL/ATP8A2/PDE6B/CRB1/ACTL6A/STRA6/RBP4/FOXN4/SCAPER/ROM1/NFIA/HCN1/CABP4/MAB21L1/RP1L1/HDAC2/RD3/RORB/NR2E3	35
GO:0001654	eye development	37/653	431/21261	2.0604790974026652e-8	3.1891637585354586e-6	2.6581385315030877e-6	SOX8/PRDM1/CDON/DCX/GNB1/RPGRIP1/FLT1/RP1/CRYBA1/TULP1/PDGFRB/WNT5A/GNAT1/RPL24/ACVR2B/BMP4/GNGT1/NRL/PXDN/ATP8A2/PDE6B/CRB1/ACTL6A/STRA6/RBP4/FOXN4/SCAPER/ROM1/NFIA/HCN1/CABP4/MAB21L1/RP1L1/HDAC2/RD3/RORB/NR2E3	37
GO:0150063	visual system development	37/653	435/21261	2.6230601128555468e-8	3.653922737207777e-6	3.045510846820704e-6	SOX8/PRDM1/CDON/DCX/GNB1/RPGRIP1/FLT1/RP1/CRYBA1/TULP1/PDGFRB/WNT5A/GNAT1/RPL24/ACVR2B/BMP4/GNGT1/NRL/PXDN/ATP8A2/PDE6B/CRB1/ACTL6A/STRA6/RBP4/FOXN4/SCAPER/ROM1/NFIA/HCN1/CABP4/MAB21L1/RP1L1/HDAC2/RD3/RORB/NR2E3	37
GO:0048511	rhythmic process	30/653	314/21261	4.367168127021608e-8	5.530422909946455e-6	4.6095564058419465e-6	NFYA/HEBP1/USP2/DRD4/CA12/MMP2/PTN/AHR/PLEKHA1/MAP2K6/MDK/FXR1/PCNA/PDE6B/BMAL1/SCAPER/ZFHX3/NONO/CIART/SCN9A/CDK1/RBM4B/TYMS/NRIP1/BTBD9/ROBO2/PPARA/HDAC2/RORB/RACK1	30
GO:0009314	response to radiation	38/653	465/21261	4.8942298481760866e-8	5.681385148757741e-6	4.735382037314232e-6	PLEKHB1/USP2/ABCA7/CNGB1/SLC24A1/SLC1A3/DCT/MMP2/CACNA1F/RP1/RGS9/UNC119/SLC1A2/TULP1/GNAT1/REEP6/MSH6/GNGT1/AIPL1/SYNE1/PCNA/ATP8A2/PDE6B/CRB1/SLC4A10/ROM1/RPL26/IFI16/CASP7/PCLAF/PBK/RBM4B/CABP4/RRH/EXT1/ABCA4/NR2E3/GUCA1ANB-GUCA1A	38
GO:0048880	sensory system development	37/653	448/21261	5.6162167693505844e-8	6.017992276696434e-6	5.015940968901777e-6	SOX8/PRDM1/CDON/DCX/GNB1/RPGRIP1/FLT1/RP1/CRYBA1/TULP1/PDGFRB/WNT5A/GNAT1/RPL24/ACVR2B/BMP4/GNGT1/NRL/PXDN/ATP8A2/PDE6B/CRB1/ACTL6A/STRA6/RBP4/FOXN4/SCAPER/ROM1/NFIA/HCN1/CABP4/MAB21L1/RP1L1/HDAC2/RD3/RORB/NR2E3	37
GO:0048592	eye morphogenesis	21/653	182/21261	2.0821568068576496e-7	2.0717460228233614e-5	1.726781171401494e-5	SOX8/PRDM1/CDON/RPGRIP1/RP1/TULP1/WNT5A/GNAT1/BMP4/GNGT1/NRL/ATP8A2/CRB1/STRA6/RBP4/FOXN4/ROM1/HCN1/CABP4/RORB/NR2E3	21
GO:0007409	axonogenesis	37/653	476/21261	2.586232658737644e-7	2.4017480624143587e-5	2.0018348228685068e-5	CDKL5/NRXN3/NOTCH3/PAK3/MAP2/MCF2/COBL/RND2/WNT5A/RPL24/TTL/FN1/STMN1/KLF7/APOE/ATP8A2/TUBB2B/CDH11/EFNA3/BOC/EPHA5/FEZF2/SPTBN4/DISC1/SLITRK5/SEMA6B/GAP43/DSCAML1/NRXN1/ADGRB1/EXT1/CNTN2/ROBO2/SHTN1/LAMA2/L1CAM/TUBB3	37
GO:0048593	camera-type eye morphogenesis	18/653	153/21261	1.1476201423132637e-6	9.991467864014852e-5	8.327796164286382e-5	SOX8/PRDM1/CDON/RPGRIP1/RP1/WNT5A/GNAT1/BMP4/NRL/ATP8A2/CRB1/STRA6/RBP4/FOXN4/ROM1/HCN1/CABP4/RORB	18
GO:0001505	regulation of neurotransmitter levels	21/653	204/21261	1.3921062461888021e-6	1.1407082358476478e-4	9.507697768088228e-5	SYT7/SLC4A8/DRD4/SLC1A3/STX1A/SLC1A2/RIMS3/CHRNB4/NR4A1/SLC6A11/SLC38A2/UNC13C/SNCA/CPLX2/STX3/PRRT2/SNCG/RIMS2/NRXN1/SV2B/PCLO	21
GO:0006836	neurotransmitter transport	22/653	223/21261	1.6077836116460734e-6	1.2442458727905445e-4	1.0370674407284322e-4	SYT7/SLC4A8/DRD4/SLC1A3/STX1A/SLC1A2/RIMS3/CHRNB4/NR4A1/SLC6A6/SLC6A11/SLC38A2/UNC13C/SNCA/CPLX2/STX3/PRRT2/SNCG/RIMS2/NRXN1/SV2B/PCLO	22
GO:0090596	sensory organ morphogenesis	26/653	306/21261	3.172224473108882e-6	2.1929972770110792e-4	1.8278429716577025e-4	SOX8/PRDM1/CDON/MYO3B/RPGRIP1/MYO3A/RP1/TULP1/WNT5A/GNAT1/BMP4/INSIG2/GNGT1/NRL/ATP8A2/CRB1/STRA6/RBP4/FOXN4/ROM1/HCN1/RPL38/CABP4/HDAC2/RORB/NR2E3	26
GO:0030534	adult behavior	18/653	165/21261	3.4327999349930584e-6	2.1929972770110792e-4	1.8278429716577025e-4	NRXN3/DRD4/HOMER2/SLC1A2/FGF12/CHRNB4/SNCA/NLGN4X/SPTBN4/SLITRK5/TRH/SNCG/NRXN1/ABAT/BTBD9/CNTN2/PPARA/HDAC2	18
GO:0007269	neurotransmitter secretion	17/653	149/21261	3.4634558574475047e-6	2.1929972770110792e-4	1.8278429716577025e-4	SYT7/SLC4A8/STX1A/RIMS3/CHRNB4/NR4A1/SLC38A2/UNC13C/SNCA/CPLX2/STX3/PRRT2/SNCG/RIMS2/NRXN1/SV2B/PCLO	17
GO:0099643	signal release from synapse	17/653	149/21261	3.4634558574475047e-6	2.1929972770110792e-4	1.8278429716577025e-4	SYT7/SLC4A8/STX1A/RIMS3/CHRNB4/NR4A1/SLC38A2/UNC13C/SNCA/CPLX2/STX3/PRRT2/SNCG/RIMS2/NRXN1/SV2B/PCLO	17
GO:0021537	telencephalon development	26/653	310/21261	4.021251505428634e-6	2.435479716113951e-4	2.0299498446168344e-4	SYNE2/CDON/XRCC1/SLC1A2/MDK/WNT5A/FXR1/SLC2A1/CXCR4/BMP4/RAN/SLC38A2/SCN2A/TUBB2B/TMEM108/EPHA5/FEZF2/IGF2BP1/DISC1/SLITRK5/BMERB1/SEMA6B/BNIP3/EXT1/CNTN2/ROBO2	26
GO:0036293	response to decreased oxygen levels	27/653	347/21261	1.0541379204298636e-5	5.92056001992271e-4	4.934732082952166e-4	XRCC1/MMP2/STC2/FAM162A/ATF2/EPAS1/SLC2A1/MYB/CXCR4/ITPR2/HIF3A/GNGT1/EGLN3/HILPDA/SCN2A/NONO/ITPR1/PDK1/HK2/DDR2/DDIT4/UCP2/BNIP3/ABAT/ZFP36L1/PPARA/CD24	27
GO:0006979	response to oxidative stress	32/653	450/21261	1.06350694492697e-5	5.92056001992271e-4	4.934732082952166e-4	PDK2/FUT8/XRCC1/ABCB11/ADCYAP1R1/MMP2/PLEKHA1/NCOA7/STC2/ATF2/EPAS1/MYB/FKBP1B/APOE/PXDN/PCNA/BMAL1/STK26/DUOX1/SNCA/RPS3/DDR2/GPX8/CDK1/MSRB3/UCP2/SPHK1/BNIP3/HDAC2/MAP3K5/RACK1/GAS5	32
GO:0001666	response to hypoxia	26/653	328/21261	1.105057864450757e-5	5.92056001992271e-4	4.934732082952166e-4	XRCC1/MMP2/STC2/FAM162A/ATF2/EPAS1/SLC2A1/MYB/CXCR4/ITPR2/HIF3A/GNGT1/EGLN3/HILPDA/SCN2A/ITPR1/PDK1/HK2/DDR2/DDIT4/UCP2/BNIP3/ABAT/ZFP36L1/PPARA/CD24	26
GO:0048167	regulation of synaptic plasticity	21/653	237/21261	1.4707156338455882e-5	7.587803251655202e-4	6.324363914743407e-4	SYT7/SLC24A1/PTN/FXR1/RIMS3/APOE/SERPINE2/UNC13C/SLC4A10/IGSF11/SNCA/CPLX2/SLC24A2/KCNB1/STX3/PRRT2/FAM107A/NSG1/RIMS2/ADGRB1/CNTN2	21
GO:0070482	response to oxygen levels	28/653	375/21261	1.558113951409228e-5	7.75161690826091e-4	6.460901084226988e-4	XRCC1/MMP2/STC2/FAM162A/ATF2/EPAS1/SLC2A1/MYB/CXCR4/ITPR2/HIF3A/GNGT1/EGLN3/HILPDA/SCN2A/NONO/ITPR1/PDK1/HK2/DDR2/DDIT4/UCP2/BNIP3/ABAT/ZFP36L1/PPARA/HDAC2/CD24	28
GO:0099003	vesicle-mediated transport in synapse	21/653	241/21261	1.893665942699996e-5	9.096126407521015e-4	7.581537331390547e-4	SYT7/SLC4A8/DRD4/SNCB/STX1A/RIMS3/PACSIN1/SYNE1/UNC13C/SNCA/CPLX2/NLGN4X/STX3/PRRT2/NSG1/SNCG/RIMS2/BTBD9/SV2B/PCLO/DNM3	21
GO:0062197	cellular response to chemical stress	26/653	352/21261	3.7352241597449346e-5	0.0017343890848415646	0.0014455972800697064	PDK2/FUT8/YBX3/AKR1B1/MMP2/PLEKHA1/NCOA7/ATF2/EPAS1/SLC2A1/MYB/PCNA/BMAL1/SCN2A/SNCA/RPS3/DDR2/GPX8/CDK1/SPHK1/BNIP3/ZFP36L1/HDAC2/MAP3K5/RACK1/GAS5	26
