ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0022626	cytosolic ribosome	32/668	138/22568	6.99887038770188e-20	1.3717785959895683e-17	9.503729263300447e-18	RPS20/RPL18/RPL31/RPLP0/RPS16/RPL28/RPL34/RPS13/RPS12/RPL24/RPL27/RPS15A/RPS6/RPLP1/RPS24/RPL11/RPL7/RPL7A/RPS3/RPL30/RPL26/RPL9/RPL27A/RPL38/RPLP2/RPL35A/RPS23/RPL37A/RACK1/RPS29/UBA52/RPSA2	32
GO:0097733	photoreceptor cell cilium	29/668	130/22568	1.195583267848487e-17	1.0826074247055355e-15	7.50034144935629e-16	USH2A/CNGB1/GNB1/RPGRIP1/CACNA1F/RP1/TULP1/IMPG1/GNAT1/ARR3/GNGT1/PDE6B/CRB1/CDHR1/ROM1/PCDH15/CETN3/STX3/MYRIP/FAM161A/CNGB3/PCARE/RRH/RP1L1/PDE6G/RD3/ABCA4/PRCD/GUCA1ANB-GUCA1A	29
GO:0097731	9+0 non-motile cilium	30/668	142/22568	1.6570521806717382e-17	1.0826074247055355e-15	7.50034144935629e-16	USH2A/CNGB1/GNB1/RPGRIP1/CACNA1F/RP1/TULP1/IMPG1/GNAT1/ARR3/GNGT1/PDE6B/CRB1/CDHR1/ROM1/PCDH15/CETN3/STX3/MYRIP/FAM161A/CNGB3/PCARE/RRH/RP1L1/PDE6G/RD3/ABCA4/CFAP96/PRCD/GUCA1ANB-GUCA1A	30
GO:0001750	photoreceptor outer segment	25/668	102/22568	1.953618216157081e-16	9.572729259169697e-15	6.6320197337964066e-15	CNGB1/GNB1/CACNA1F/RP1/TULP1/IMPG1/GNAT1/ARR3/GNGT1/PDE6B/CRB1/CDHR1/ROM1/PCDH15/STX3/MYRIP/CNGB3/PCARE/RRH/RP1L1/PDE6G/RD3/ABCA4/PRCD/GUCA1ANB-GUCA1A	25
GO:0097730	non-motile cilium	31/668	181/22568	2.4551293986909597e-15	9.624107242868563e-14	6.667614577497555e-14	USH2A/CNGB1/GNB1/RPGRIP1/CACNA1F/RP1/TULP1/IMPG1/GNAT1/ARR3/GNGT1/PDE6B/CRB1/CDHR1/ROM1/PCDH15/CETN3/STX3/MYRIP/FAM161A/CNGB3/RSPH9/PCARE/RRH/RP1L1/PDE6G/RD3/ABCA4/CFAP96/PRCD/GUCA1ANB-GUCA1A	31
GO:0044391	ribosomal subunit	33/668	216/22568	9.669124552068221e-15	3.158580687008952e-13	2.1882755565207028e-13	RPS20/RPL18/RPL31/RPLP0/RPS16/RPL28/RPL34/RPS13/RPS12/RPL24/RPL27/RPS15A/RPS6/RPLP1/RPS24/RPL11/RPL7/RPL7A/RPS3/RPL30/RPL26/RPL9/RPL27A/RPL38/RPLP2/RPL35A/RPS23/RPL37A/RACK1/RPS29/UBA52/MRPS6/RPSA2	33
GO:0005840	ribosome	34/668	269/22568	1.059480716255568e-12	2.966546005515591e-11	2.0552332691273427e-11	RPS20/RPL18/RPL31/RPLP0/RPS16/RPL28/RPL34/RPS13/RPS12/RPL24/RPL27/RPS15A/RPS6/RPLP1/RPS24/RPL11/BTF3/RPL7/RPL7A/RPS3/RPL30/RPL26/RPL9/RPL27A/RPL38/RPLP2/RPL35A/RPS23/RPL37A/RACK1/RPS29/UBA52/MRPS6/RPSA2	34
GO:0032279	asymmetric synapse	36/668	363/22568	2.6677053725273e-10	6.529695471757492e-9	4.523795466470013e-9	CDKL5/LRRC7/SLC4A8/PSD/PAK3/LZTS3/RPLP0/HOMER2/EIF3E/RGS9/RPS13/CAP2/FXR1/SPTBN1/IGSF11/TMEM108/NLGN4X/RPL7/RPS3/DLG2/ITPR1/RPL30/DGKI/DISC1/PRRT2/DLGAP1/GPHN/SYNPO/GAP43/RPL38/BNIP3/ADGRB1/CADM1/PCLO/PTPRT/DNM3	36
GO:0014069	postsynaptic density	35/668	347/22568	2.998329553358032e-10	6.529695471757492e-9	4.523795466470013e-9	CDKL5/LRRC7/PSD/PAK3/LZTS3/RPLP0/HOMER2/EIF3E/RGS9/RPS13/CAP2/FXR1/SPTBN1/IGSF11/TMEM108/NLGN4X/RPL7/RPS3/DLG2/ITPR1/RPL30/DGKI/DISC1/PRRT2/DLGAP1/GPHN/SYNPO/GAP43/RPL38/BNIP3/ADGRB1/CADM1/PCLO/PTPRT/DNM3	35
GO:0015934	large ribosomal subunit	20/668	120/22568	3.717568007464745e-10	7.2864332946309e-9	5.04806603118897e-9	RPL18/RPL31/RPLP0/RPL28/RPL34/RPL24/RPL27/RPLP1/RPL11/RPL7/RPL7A/RPL30/RPL26/RPL9/RPL27A/RPL38/RPLP2/RPL35A/RPL37A/UBA52	20
GO:0098984	neuron to neuron synapse	37/668	395/22568	7.495303498023672e-10	1.3355268051023996e-8	9.252575610000513e-9	CDKL5/SYT7/LRRC7/SLC4A8/PSD/PAK3/LZTS3/RPLP0/HOMER2/EIF3E/RGS9/RPS13/CAP2/FXR1/SPTBN1/IGSF11/TMEM108/NLGN4X/RPL7/RPS3/DLG2/ITPR1/RPL30/DGKI/DISC1/PRRT2/DLGAP1/GPHN/SYNPO/GAP43/RPL38/BNIP3/ADGRB1/CADM1/PCLO/PTPRT/DNM3	37
GO:0099572	postsynaptic specialization	36/668	383/22568	1.1616219312900232e-9	1.8973158211070378e-8	1.3144669222492368e-8	CDKL5/LRRC7/PSD/PAK3/LZTS3/RPLP0/HOMER2/EIF3E/RGS9/RPS13/CAP2/FXR1/SPTBN1/IGSF11/TMEM108/NLGN4X/RPL7/RPS3/DLG2/ITPR1/RPL30/DGKI/KCNB1/DISC1/PRRT2/DLGAP1/GPHN/SYNPO/GAP43/RPL38/BNIP3/ADGRB1/CADM1/PCLO/PTPRT/DNM3	36
GO:0150034	distal axon	26/668	295/22568	8.236978772804253e-7	1.2418829534381797e-5	8.603807786977721e-6	CDKL5/STMN4/USH2A/SLC4A8/CNGB1/SNCB/MAP2/COBL/TULP1/FXR1/PACSIN1/UNC13C/SLC4A10/BOC/SNCA/CPLX2/IGF2BP1/DISC1/STX3/PRRT2/GAP43/SNCG/CABP4/SHTN1/L1CAM/TUBB3	26
GO:0015935	small ribosomal subunit	14/668	100/22568	1.4618133011053942e-6	2.046538621547552e-5	1.417848991297713e-5	RPS20/RPS16/RPS13/RPS12/RPS15A/RPS6/RPS24/RPS3/RPS23/RACK1/RPS29/UBA52/MRPS6/RPSA2	14
GO:0097060	synaptic membrane	32/668	428/22568	1.7845952552119188e-6	2.3318711334769072e-5	1.6155283362971054e-5	SYT7/NRXN3/ANK1/LRRC7/SLC4A8/STX1A/RGS9/SLC1A2/RIMS3/CHRNB4/SYNE1/SLC6A6/SLC6A11/SCN2A/UNC13C/NLGN4X/DLG2/DGKI/KCNB1/HCN1/STX3/PRRT2/NSG1/GPHN/RIMS2/NRXN1/GABRG3/KCTD16/CNTN2/PTPRT/DNM3/DMD	32
