ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	cytoplasmic translation	35/359	189/21468	0.18518518518518517	11.073970906839987	18.140742535281227	1.9669635849096827e-26	2.653433876043162e-23	2.2961711743840404e-23	IGF2BP1/RPS3/RPL28/RPLP2/NMNAT2/RPS29/RPL30/RPL35A/RPL9/RPL27A/RPLP0/RPS23/RPL38/RPL18/EIF4A2/RPL7/RPS24/EIF4A1/RPS16/RPS20/RACK1/EIF3L/UBA52/RPL31/RPL7A/RPL37A/RPS6/RPL34/RPL27/RPS13/RPS15A/RPS12/RPL26/RPL24/EIF3E	35
GO:0021537	telencephalon development	19/359	314/21468	0.06050955414012739	3.618437627521601	6.095507637557118	1.6110386956272145e-6	0.0010866456002005562	9.403378491845163e-4	CNTN2/ROBO2/SLC2A1/FEZF2/CXCR4/EPHA5/CDON/IGF2BP1/BNIP3/BMP4/TUBB2B/MDK/WNT5A/SLC38A2/SLITRK5/SEMA6B/BMERB1/XRCC1/FXR1	19
GO:0036293	response to decreased oxygen levels	19/359	364/21468	0.0521978021978022	3.1213994918730292	5.323409014711201	1.3526089821183276e-5	0.005776602124783137	0.004998830912866841	HILPDA/CD24/STC2/DDIT4/MYB/SLC2A1/CXCR4/UCP2/PDK1/BNIP3/HK2/HIF3A/ABAT/ZFP36L1/EGLN3/FAM162A/COL6A1/ATF2/XRCC1	19
GO:0007411	axon guidance	15/359	249/21468	0.060240963855421686	3.6023760781286702	5.386496075378654	2.1275239826919302e-5	0.005776602124783137	0.004998830912866841	CNTN2/ROBO2/FEZF2/GAP43/EPHA5/TUBB3/TUBB2B/EFNA3/WNT5A/L1CAM/KLF7/NOTCH3/BOC/SEMA6B/RPL24	15
GO:0097485	neuron projection guidance	15/359	250/21468	0.06	3.5879665738161557	5.367542810481198	2.2295451403075484e-5	0.005776602124783137	0.004998830912866841	CNTN2/ROBO2/FEZF2/GAP43/EPHA5/TUBB3/TUBB2B/EFNA3/WNT5A/L1CAM/KLF7/NOTCH3/BOC/SEMA6B/RPL24	15
GO:0001666	response to hypoxia	18/359	348/21468	0.05172413793103448	3.0930746326001346	5.133652311718737	2.5692818938990972e-5	0.005776602124783137	0.004998830912866841	HILPDA/CD24/STC2/DDIT4/MYB/SLC2A1/CXCR4/UCP2/PDK1/BNIP3/HK2/HIF3A/ABAT/ZFP36L1/EGLN3/FAM162A/ATF2/XRCC1	18
GO:0030900	forebrain development	21/359	456/21468	0.046052631578947366	2.7539217123588915	4.9369417392545625	3.123207624064684e-5	0.00601886726409037	0.005208477075319903	CNTN2/ROBO2/DCT/SLC2A1/FEZF2/CXCR4/EPHA5/CDON/IGF2BP1/BNIP3/BMP4/TUBB2B/MDK/WNT5A/SLC38A2/SLITRK5/NOTCH3/SEMA6B/BMERB1/XRCC1/FXR1	21
GO:0070482	response to oxygen levels	19/359	391/21468	0.04859335038363171	2.9058552814367844	4.959900604640713	3.619936803361424e-5	0.006104118434668201	0.00528224988806292	HILPDA/CD24/STC2/DDIT4/MYB/SLC2A1/CXCR4/UCP2/PDK1/BNIP3/HK2/HIF3A/ABAT/ZFP36L1/EGLN3/FAM162A/COL6A1/ATF2/XRCC1	19
GO:0043010	camera-type eye development	19/359	396/21468	0.047979797979797977	2.8691651894994514	4.896000696977325	4.297099932572702e-5	0.006440875343378416	0.005573665292658628	CRYBA1/CRYBA2/CRYGS/FOXN4/DCX/STRA6/CDON/RBP4/BMP4/PRDM1/MAB21L1/DRAM2/WNT5A/RORB/PDGFRB/CRB1/ACVR2B/ACTL6A/RPL24	19
GO:0019362	pyridine nucleotide metabolic process	12/359	186/21468	0.06451612903225806	3.8580285739958664	5.1052368063497635	7.343609610183175e-5	0.006728941650214168	0.0058229458781066	DDIT4/PFKFB3/UCP2/HK2/AFMID/NMNAT2/COL6A1/QPRT/IDH2/PFKM/GPI/TKT	12
GO:0046496	nicotinamide nucleotide metabolic process	12/359	186/21468	0.06451612903225806	3.8580285739958664	5.1052368063497635	7.343609610183175e-5	0.006728941650214168	0.0058229458781066	DDIT4/PFKFB3/UCP2/HK2/AFMID/NMNAT2/COL6A1/QPRT/IDH2/PFKM/GPI/TKT	12
