ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0016079	synaptic vesicle exocytosis	22/1144	107/21468	0.205607476635514	3.8583752695902227	7.032252268470236	3.989516552155203e-8	2.7085915758614466e-5	2.1859477081516726e-5	STX3/CSPG5/RIMS2/DOC2B/UNC13B/ERC2/NAPB/RAB3GAP1/PPFIA3/STXBP5/SCRIB/SV2B/SNAP25/SNCA/STXBP2/CADPS/STXBP1/SYT7/STX1A/FMR1/PRKCG/CACNB4	22
GO:0007409	axonogenesis	56/1144	487/21468	0.11498973305954825	2.157866773883201	6.1320272703867005	5.173171220406205e-8	2.7085915758614466e-5	2.1859477081516726e-5	WDR47/LRP4/APBB2/ISLR2/PLXNB1/CTNNA2/SPART/EPHA7/MAP2K1/EPHA5/SEMA4A/MAP6/IGSF9/CHN1/NEXN/TOP2B/TUBB3/SMURF1/APP/PLPPR4/FEZF2/IST1/SKIL/MEGF8/ETV1/SPP1/SNAP25/DCLK1/PTK2/MYCBP2/PAX2/STK25/ECE1/ROBO1/FLRT2/TRAK1/CNTN2/NR2E1/PTK7/NECTIN1/KALRN/PLEKHG4B/PLXND1/KIF21A/STXBP1/COBL/PTPRZ1/GOLGA4/TTC8/SEMA6A/MAP2/VAX2/NEO1/SHTN1/AUTS2/SEMA6D	56
GO:0051962	positive regulation of nervous system development	43/1144	330/21468	0.1303030303030303	2.4452320406865864	6.277066095983383	5.710312528168897e-8	2.7085915758614466e-5	2.1859477081516726e-5	BCAN/THBS2/FGF2/ISLR2/PLXNB1/AGRN/BIN1/SHANK3/MAP2K1/TGM2/SEMA4A/MECP2/MAP6/CLSTN1/SMURF1/IST1/SKIL/MEGF8/PTPRD/NLGN2/STK25/PLAG1/ROBO1/FLRT2/TRAK1/CLCN2/WDR62/TPBG/CAPRIN2/ID2/NR2E1/SMARCD3/XRCC2/PLXND1/PTPRZ1/GOLGA4/FMR1/SHTN1/MTOR/IL1RAP/PARP6/DICER1/TP73	43
GO:0030705	cytoskeleton-dependent intracellular transport	33/1144	225/21468	0.14666666666666667	2.752307692307692	6.268848859040745	1.2572253610204016e-7	2.9872289893720724e-5	2.4108198597514007e-5	DYNC2H1/MECP2/CDC42/MAP6/TUBA1C/IFT140/APP/CCDC88A/HOOK3/CCDC186/KIF13A/ARHGAP21/MAPK8IP3/TRAK1/TUBA1B/IFT81/HSPA8/SYBU/SUN1/MYO5B/KIF1B/ARMCX3/KIF21A/DST/RPGR/IFT46/MAP2/PRKCZ/WDR19/WDPCP/CCDC88B/AP3B1/RHOT2	33
GO:0007269	neurotransmitter secretion	26/1144	152/21468	0.17105263157894737	3.209928229665072	6.48695977723238	1.2595484143522443e-7	2.9872289893720724e-5	2.4108198597514007e-5	KMO/NR4A1/STX3/CSPG5/RIMS2/DOC2B/UNC13B/ERC2/NF1/NAPB/RAB3GAP1/PPFIA3/STXBP5/SCRIB/SV2B/SNAP25/SNCA/STXBP2/CADPS/STXBP1/SYT7/BAIAP3/STX1A/FMR1/PRKCG/CACNB4	26
GO:0099643	signal release from synapse	26/1144	152/21468	0.17105263157894737	3.209928229665072	6.48695977723238	1.2595484143522443e-7	2.9872289893720724e-5	2.4108198597514007e-5	KMO/NR4A1/STX3/CSPG5/RIMS2/DOC2B/UNC13B/ERC2/NF1/NAPB/RAB3GAP1/PPFIA3/STXBP5/SCRIB/SV2B/SNAP25/SNCA/STXBP2/CADPS/STXBP1/SYT7/BAIAP3/STX1A/FMR1/PRKCG/CACNB4	26
GO:0010975	regulation of neuron projection development	53/1144	483/21468	0.10973084886128365	2.0591799504842982	5.585768430229872	5.216695567082933e-7	1.0604796845655734e-4	8.558518592011248e-5	LRP4/PTK2B/EHD1/ISLR2/PLXNB1/DMD/CTNNA2/SPART/EPHA7/SHANK3/MAP2K1/AKT1/INPP5J/MAP6/NFATC4/CHN1/SMURF1/FEZF2/IST1/HECW2/SKIL/CCDC88A/MEGF8/GAK/DENND5A/PTPRD/SPP1/SLC39A12/SNAP25/MYCBP2/STK25/ROBO1/TRAK1/NEDD4L/CAPRIN2/CNTN2/NR2E1/PTK7/PLXND1/KIF21A/COBL/GOLGA4/KANK1/DDR1/MAP2/PAQR3/NEO1/SHOC2/SHTN1/CAMK2G/NFE2L2/PARP6/SEMA6D	53
GO:0099003	vesicle-mediated transport in synapse	36/1144	283/21468	0.127208480565371	2.387160542637574	5.573138137962576	1.204988270726594e-6	2.1433728865549292e-4	1.7297923728456767e-4	STON2/STX3/CSPG5/RIMS2/BIN1/DOC2B/UNC13B/ERC2/CLSTN1/CBLB/NAPB/RAB3GAP1/PPFIA3/STXBP5/SGIP1/SCRIB/SV2B/CAPN2/AAK1/GAK/CLTA/SNAP25/NLGN2/ITSN1/BTBD8/NRG1/SNCA/STXBP2/CADPS/STXBP1/SYT7/STX1A/ATP6V1H/FMR1/PRKCG/CACNB4	36
GO:0009314	response to radiation	52/1144	486/21468	0.10699588477366255	2.0078563411896746	5.331966635431984	1.4297504962662617e-6	2.2605943957632117e-4	1.824395077691803e-4	GNAT2/COL6A1/EYS/SIRT1/MYC/SLC24A1/REEP6/MSH6/AKT1/MECP2/XRCC4/GUCA1A/NFATC4/FBXW7/NF1/MAPK10/BRAT1/PRKDC/BCL3/APP/CHEK2/SLC1A3/MTA1/AKT2/CIRBP/FBXL3/SWI5/RPAIN/DYNLRB1/B4GALT2/ID2/ATR/UVSSA/XRCC2/BABAM1/UNC119/PNKP/RAD51AP1/RBM4/PPM1D/MSH2/BRCC3/LARGE1/CASP9/HMGN1/PPP1R1B/MAP3K4/PLEKHB1/CACNB4/RGS9/MAPK8/IFI16	52
GO:0050769	positive regulation of neurogenesis	35/1144	275/21468	0.12727272727272726	2.38836617927527	5.497538136898753	1.6680781384373156e-6	2.3736751909963003e-4	1.9156560516159067e-4	BCAN/FGF2/ISLR2/PLXNB1/BIN1/SHANK3/MAP2K1/TGM2/MECP2/MAP6/SMURF1/IST1/SKIL/MEGF8/PTPRD/STK25/PLAG1/ROBO1/TRAK1/CLCN2/WDR62/CAPRIN2/ID2/NR2E1/SMARCD3/XRCC2/PLXND1/PTPRZ1/GOLGA4/FMR1/SHTN1/MTOR/PARP6/DICER1/TP73	35
