ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0046873	metal ion transmembrane transporter activity	18/217	473/21059	2.1713272132571463e-6	3.7781093510674347e-4	3.017002022630982e-4	SLC38A5/SLC1A7/KCNH6/SLC17A7/GRIK2/KCNB1/SNAP25/KCNN1/SLC38A3/CACNB2/SLC1A2/SLC8A2/NIPAL3/ASIC4/SCN3B/NIPAL2/ATP7A/ATP1A3	18
GO:0015081	sodium ion transmembrane transporter activity	10/217	164/21059	8.090853875669095e-6	6.416099751098963e-4	5.12356422955271e-4	SLC38A5/SLC1A7/SLC17A7/GRIK2/SLC38A3/SLC1A2/SLC8A2/ASIC4/SCN3B/ATP1A3	10
GO:0005216	monoatomic ion channel activity	17/217	481/21059	1.1062240950170625e-5	6.416099751098963e-4	5.12356422955271e-4	SLC1A7/GABRR2/KCNH6/SLC17A7/GRIK2/ANO2/FXYD3/FXYD1/KCNB1/SNAP25/KCNN1/CACNB2/GLRB/CHRNB4/ASIC4/SCN3B/CHRNA3	17
GO:0015276	ligand-gated monoatomic ion channel activity	9/217	152/21059	2.9128137553016496e-5	9.854412803698871e-4	7.869222565567157e-4	SLC1A7/GABRR2/KCNH6/GRIK2/KCNN1/GLRB/CHRNB4/ASIC4/CHRNA3	9
GO:0022834	ligand-gated channel activity	9/217	153/21059	3.067570564094317e-5	9.854412803698871e-4	7.869222565567157e-4	SLC1A7/GABRR2/KCNH6/GRIK2/KCNN1/GLRB/CHRNB4/ASIC4/CHRNA3	9
GO:0008509	monoatomic anion transmembrane transporter activity	9/217	155/21059	3.3980733805858176e-5	9.854412803698871e-4	7.869222565567157e-4	SLC1A7/GABRR2/SLC17A7/ANO2/FXYD3/FXYD1/SLC1A2/GLRB/SLC25A27	9
GO:0051020	GTPase binding	13/217	337/21059	5.063934728434242e-5	0.0012587494896393687	0.0010051720062455938	GNB3/NDRG1/BNIP3/RIMS2/RAP1GAP/EPS8/PEX5L/CDC42EP4/RAPGEF4/CDKL5/RABGAP1L/C9orf72/ATP7A	13
GO:0015108	chloride transmembrane transporter activity	8/217	134/21059	7.658609424175116e-5	0.0014916947278444015	0.001191189982307689	SLC1A7/GABRR2/SLC17A7/ANO2/FXYD3/FXYD1/GLRB/SLC25A27	8
GO:0022839	monoatomic ion gated channel activity	13/217	354/21059	8.33367288880464e-5	0.0014916947278444015	0.001191189982307689	SLC1A7/GABRR2/KCNH6/GRIK2/KCNB1/SNAP25/KCNN1/CACNB2/GLRB/CHRNB4/ASIC4/SCN3B/CHRNA3	13
GO:0022836	gated channel activity	13/217	355/21059	8.572958206002308e-5	0.0014916947278444015	0.001191189982307689	SLC1A7/GABRR2/KCNH6/GRIK2/KCNB1/SNAP25/KCNN1/CACNB2/GLRB/CHRNB4/ASIC4/SCN3B/CHRNA3	13
GO:0044325	transmembrane transporter binding	8/217	139/21059	9.903088240424848e-5	0.001566488503485385	0.001250916409316823	FXYD1/KCNB1/SNAP25/NEDD4L/RIMS2/PRNP/SCN3B/DPP10	8
GO:0005253	monoatomic anion channel activity	7/217	107/21059	1.2207922397786933e-4	0.0017701487476791053	0.0014135489092174343	SLC1A7/GABRR2/SLC17A7/ANO2/FXYD3/FXYD1/GLRB	7
GO:0019842	vitamin binding	8/217	156/21059	2.196971823179594e-4	0.0029405622864096107	0.0023481804102000515	RBP4/ABCA4/PYGL/EGLN3/OGDHL/RBP1/P4HA2/EGLN1	8
GO:0031267	small GTPase binding	11/217	303/21059	3.231568690143795e-4	0.004016378229178717	0.0032072711811953454	NDRG1/RIMS2/RAP1GAP/EPS8/PEX5L/CDC42EP4/RAPGEF4/CDKL5/RABGAP1L/C9orf72/ATP7A	11
GO:0015103	inorganic anion transmembrane transporter activity	8/217	170/21059	3.9250673903596983e-4	0.0045530781728172496	0.0036358518984384567	SLC1A7/GABRR2/SLC17A7/ANO2/FXYD3/FXYD1/GLRB/SLC25A27	8
