ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050953	sensory perception of light stimulus	39/304	244/21261	1.8817199708616744e-29	2.43870908223673e-26	2.0916803044525556e-26	PDE6G/GNAT1/CNGB1/RP1/ROM1/IMPG1/USH2A/EPAS1/NRL/CABP4/SLC4A10/RRH/NR2E3/RAX2/PCDH15/ARR3/PCARE/RP1L1/RGS9/ABCA4/MYO3A/AIPL1/UNC119/CACNA1F/CNGB3/PDE6B/SLC24A1/KIFC3/EYA4/GUCA1ANB-GUCA1A/MYO3B/BBS9/PRCD/RD3/TULP1/REEP6/ATP8A2/FAM161A/RPGRIP1	39
GO:0007601	visual perception	38/304	240/21261	1.4804887499608648e-28	9.593567099746404e-26	8.228400631361438e-26	PDE6G/GNAT1/CNGB1/RP1/ROM1/IMPG1/USH2A/EPAS1/NRL/CABP4/SLC4A10/RRH/NR2E3/RAX2/ARR3/PCARE/RP1L1/RGS9/ABCA4/MYO3A/AIPL1/UNC119/CACNA1F/CNGB3/PDE6B/SLC24A1/KIFC3/EYA4/GUCA1ANB-GUCA1A/MYO3B/BBS9/PRCD/RD3/TULP1/REEP6/ATP8A2/FAM161A/RPGRIP1	38
GO:0009416	response to light stimulus	29/304	344/21261	1.8497529657886948e-14	7.990932812207162e-12	6.853821515343374e-12	GNAT1/CNGB1/GNGT1/RP1/ROM1/CABP4/SLC4A10/RRH/NR2E3/RGS9/ABCA4/SLC1A3/AIPL1/UNC119/SLC1A2/CACNA1F/MMP2/PDE6B/SLC24A1/ABCA7/GUCA1ANB-GUCA1A/USP2/EXT1/TULP1/SYNE1/PLEKHB1/REEP6/ATP8A2/ERCC6	29
GO:0009581	detection of external stimulus	19/304	155/21261	9.51010137580869e-13	3.081272845762015e-10	2.6428071191720986e-10	GNAT1/CNGB1/GNGT1/RP1/ROM1/CABP4/RRH/NR2E3/ABCA4/AIPL1/UNC119/CACNA1F/PDE6B/SCN9A/GUCA1ANB-GUCA1A/TULP1/PLEKHB1/REEP6/ATP8A2	19
GO:0009582	detection of abiotic stimulus	19/304	158/21261	1.3474633111755414e-12	3.492624902567003e-10	2.9956236981081507e-10	GNAT1/CNGB1/GNGT1/RP1/ROM1/CABP4/RRH/NR2E3/ABCA4/AIPL1/UNC119/CACNA1F/PDE6B/SCN9A/GUCA1ANB-GUCA1A/TULP1/PLEKHB1/REEP6/ATP8A2	19
GO:0009314	response to radiation	30/304	465/21261	6.59893021670372e-12	1.4253689268080035e-9	1.2225386506735312e-9	GNAT1/CNGB1/GNGT1/RP1/ROM1/CABP4/SLC4A10/RRH/NR2E3/RGS9/ABCA4/SLC1A3/AIPL1/UNC119/SLC1A2/CACNA1F/MMP2/IFI16/PDE6B/SLC24A1/ABCA7/GUCA1ANB-GUCA1A/USP2/EXT1/TULP1/SYNE1/PLEKHB1/REEP6/ATP8A2/ERCC6	30
GO:0060041	retina development in camera-type eye	17/304	179/21261	8.873194304370622e-10	1.6428085454949038e-7	1.409036569235395e-7	GNAT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/RP1L1/SOX8/PDE6B/NFIA/RD3/TULP1/ATP8A2/RPGRIP1/GNB1/SCAPER	17
GO:0016358	dendrite development	17/304	260/21261	2.296329816486605e-7	3.7200543027083e-5	3.190689850276124e-5	CSMD3/COBL/DISC1/PTN/DNM3/APOE/DGKG/MCF2/PACSIN1/DOCK10/LZTS3/TULP1/SYNE1/CDKL5/MAP2/SLC12A5/CPEB3	17
GO:0001894	tissue homeostasis	18/304	310/21261	5.83975572774182e-7	7.568323423153399e-5	6.49134952473196e-5	CNGB1/RP1/USH2A/ESRRB/DMD/PCDH15/RP1L1/ABCA4/NFKBIZ/MUC4/AIPL1/LAMA2/TNFAIP3/CDHR1/EXT1/PRKCA/TULP1/ERCC6	18
GO:0060249	anatomical structure homeostasis	18/304	310/21261	5.83975572774182e-7	7.568323423153399e-5	6.49134952473196e-5	CNGB1/RP1/USH2A/ESRRB/DMD/PCDH15/RP1L1/ABCA4/NFKBIZ/MUC4/AIPL1/LAMA2/TNFAIP3/CDHR1/EXT1/PRKCA/TULP1/ERCC6	18
GO:0031346	positive regulation of cell projection organization	19/304	386/21261	3.3269334426690894e-6	3.9197324924537634e-4	3.3619537946971847e-4	RP1/COBL/DISC1/FN1/PTN/DNM3/DDR2/CDC42EP1/MYO3A/APOE/LRRC7/PLCE1/MYO3B/PACSIN1/CDKL5/SHTN1/ATP8A2/CARMIL1/ROR1	19
GO:0043010	camera-type eye development	18/304	379/21261	9.845093709149725e-6	0.0010632701205881704	9.119665751633428e-4	GNAT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/RP1L1/SOX8/FLT1/PDE6B/NFIA/RD3/TULP1/ATP8A2/RPGRIP1/GNB1/SCAPER	18
GO:0048592	eye morphogenesis	12/304	182/21261	1.2874165015139696e-5	0.0012834552199708497	0.001100819291982795	GNAT1/GNGT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/SOX8/TULP1/ATP8A2/RPGRIP1	12
GO:0097553	calcium ion transmembrane import into cytosol	13/304	216/21261	1.5003080340604753e-5	0.0013688030182978787	0.00117402208197089	SLC24A2/DMD/ADCYAP1R1/CACNA1F/SCN2A/ITPR1/PLCE1/SLC24A1/SCN9A/RYR3/PLCH2/ITPR2/CACNA1D	13
GO:0001654	eye development	19/304	431/21261	1.5912541280389084e-5	0.0013688030182978787	0.00117402208197089	GNAT1/GNGT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/RP1L1/SOX8/FLT1/PDE6B/NFIA/RD3/TULP1/ATP8A2/RPGRIP1/GNB1/SCAPER	19
GO:0035725	sodium ion transmembrane transport	12/304	187/21261	1.6898802695035538e-5	0.0013688030182978787	0.00117402208197089	SLC24A2/SLC4A10/DMD/HCN1/SLC6A11/SLC4A4/DRD4/SCN2A/FGF12/SLC24A1/SCN9A/SLC6A6	12
GO:0150063	visual system development	19/304	435/21261	1.808420803382643e-5	0.0013786549183434737	0.0011824720547195485	GNAT1/GNGT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/RP1L1/SOX8/FLT1/PDE6B/NFIA/RD3/TULP1/ATP8A2/RPGRIP1/GNB1/SCAPER	19
GO:0006836	neurotransmitter transport	13/304	223/21261	2.1025162139377885e-5	0.0015138116740352077	0.0012983959777300026	UNC13C/SLC6A11/SLC1A3/SV2B/SLC1A2/DRD4/PRKCB/SLC6A6/NR4A1/STX3/RIMS2/NRXN1/PCLO	13
GO:0010975	regulation of neuron projection development	20/304	484/21261	2.4119583120760893e-5	0.0016452094591845325	0.001411095832438975	CSMD3/COBL/DISC1/FN1/PTN/DNM3/DDR2/APOE/DGKG/LRRC7/ULK4/MCF2/PACSIN1/LZTS3/SYNE1/CDKL5/MAP2/SHTN1/ATP8A2/ROR1	20
GO:0006874	intracellular calcium ion homeostasis	16/304	332/21261	2.575703508769353e-5	0.0016690558736825408	0.001431548897505493	CNGB1/SLC24A2/DMD/DISC1/SV2B/APOE/DRD4/ITPR1/PLCE1/SLC24A1/PRKCB/RYR3/PLCH2/STIM2/ITPR2/PIK3CB	16
GO:0048880	sensory system development	19/304	448/21261	2.7096896221701706e-5	0.0016722655953964481	0.0014343018751938347	GNAT1/GNGT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/RP1L1/SOX8/FLT1/PDE6B/NFIA/RD3/TULP1/ATP8A2/RPGRIP1/GNB1/SCAPER	19
GO:0048167	regulation of synaptic plasticity	13/304	237/21261	3.968371647137775e-5	0.002249354576939768	0.001929270982170561	SLC24A2/SLC4A10/UNC13C/PTN/ADGRB1/KCNB1/APOE/SLC24A1/IGSF11/STX3/RIMS2/FAM107A/CPEB3	13
GO:0001505	regulation of neurotransmitter levels	12/304	204/21261	3.991910128828292e-5	0.002249354576939768	0.001929270982170561	UNC13C/SLC6A11/SLC1A3/SV2B/SLC1A2/DRD4/PRKCB/NR4A1/STX3/RIMS2/NRXN1/PCLO	12
GO:0099003	vesicle-mediated transport in synapse	13/304	241/21261	4.715372152551064e-5	0.0025463009623775744	0.002183961839076282	UNC13C/DNM3/SV2B/DRD4/BTBD9/PRKCB/PACSIN1/SNCB/STX3/RIMS2/NLGN4X/SYNE1/PCLO	13
GO:0055074	calcium ion homeostasis	16/304	358/21261	6.342112490945469e-5	0.0032596882965498513	0.002795834016533985	CNGB1/SLC24A2/DMD/DISC1/SV2B/APOE/DRD4/ITPR1/PLCE1/SLC24A1/PRKCB/RYR3/PLCH2/STIM2/ITPR2/PIK3CB	16
GO:0050905	neuromuscular process	11/304	182/21261	6.539498125794455e-5	0.0032596882965498513	0.002795834016533985	RBFOX1/DMD/PCDH15/CSMD1/SLC1A3/FGF12/ITPR1/NR4A1/SPTBN4/NRXN1/ATP8A2	11
GO:0035264	multicellular organism growth	10/304	156/21261	8.594892613102156e-5	0.004125548454289035	0.0035384821050432266	SLC4A10/SLC1A2/EXT1/SPTBN4/SOCS2/ATP8A2/SLC12A5/ERCC6/WDTC1/RASAL2	10
GO:0006814	sodium ion transport	13/304	259/21261	9.798164475495309e-5	0.004535150414372115	0.0038897976263620473	SLC24A2/SLC4A10/DMD/HCN1/SLC6A11/SLC4A4/DRD4/SCN2A/FGF12/SLC24A1/SCN9A/SLC6A6/SPTBN4	13
GO:0070588	calcium ion transmembrane transport	16/304	375/21261	1.0891533499086865e-4	0.004867388763729854	0.00417475839384237	SLC24A2/CABP4/DMD/ADCYAP1R1/CACNA1F/DRD4/SCN2A/ITPR1/PLCE1/SLC24A1/SCN9A/RYR3/PLCH2/STIM2/ITPR2/CACNA1D	16
GO:0060078	regulation of postsynaptic membrane potential	10/304	163/21261	1.2372601318219825e-4	0.0052294871378335585	0.004485330098726639	HCN1/GABRG3/DRD4/TMEM108/IGSF11/RIMS2/NLGN4X/KCNA2/SYNE1/NRXN1	10
GO:0060996	dendritic spine development	8/304	104/21261	1.2508804110558666e-4	0.0052294871378335585	0.004485330098726639	DISC1/DNM3/APOE/DOCK10/LZTS3/CDKL5/SLC12A5/CPEB3	8
GO:0090596	sensory organ morphogenesis	14/304	306/21261	1.4202408334150837e-4	0.0057519753753310894	0.004933468158178712	GNAT1/GNGT1/RP1/ROM1/NRL/CABP4/NR2E3/HCN1/MYO3A/SOX8/MYO3B/TULP1/ATP8A2/RPGRIP1	14
GO:0015850	organic hydroxy compound transport	15/304	354/21261	1.9177520396325984e-4	0.00753153528292075	0.006459796344025594	GNAT1/APOC1/OSBPL10/ABCA4/EMB/ABCB11/EGF/KCNB1/APOE/ABCG4/DRD4/ABCA7/PRKCB/KCNA2/ABCA5	15
GO:0032535	regulation of cellular component size	16/304	397/21261	2.0853908904665226e-4	0.007889986484904092	0.0067672398700931785	DISC1/FN1/FMN1/CDC42EP1/MYO3A/APOE/PRR16/MYO3B/SPTBN4/SPTBN1/CDKL5/MAP2/SHTN1/SLC12A5/CARMIL1/WDTC1	16
GO:0050806	positive regulation of synaptic transmission	11/304	208/21261	2.1307833871268768e-4	0.007889986484904092	0.0067672398700931785	SLC24A2/PTN/SLC1A3/LAMA2/APOE/SLC24A1/IGSF11/STX3/RIMS2/FAM107A/NRXN1	11
