ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0051962	positive regulation of nervous system development	44/1154	323/21261	1.803676777050336e-8	2.5522026395262255e-5	2.0808734185759668e-5	TP73/SEMA4A/THBS2/DICER1/SHANK3/FGF2/MAP6/PARP6/IL1RAP/ROBO1/TPBG/MTOR/CLSTN1/SMURF1/SHTN1/TRAK1/FLRT2/NLGN2/LRRN1/BIN1/GOLGA4/SLITRK2/PTPRZ1/PLXND1/XRCC2/NR2E1/ID2/SMARCD3/CAPRIN2/WDR62/ISLR2/CLCN2/PLAG1/STK25/PTPRD/MEGF8/SKIL/IST1/MECP2/TGM2/MAP2K1/AGRN/PLXNB1/BCAN	44
GO:0007409	axonogenesis	56/1154	476/21261	4.36586097081236e-8	3.088846636849744e-5	2.5184124336896557e-5	SEMA4A/SEMA6D/ECE1/CHN1/MAP6/AUTS2/ROBO1/SPART/SNAP25/WDR47/DCLK1/SMURF1/SHTN1/NEO1/TUBB3/VAX2/TRAK1/MAP2/SEMA6A/FLRT2/MYCBP2/TOP2B/TTC8/GOLGA4/SLITRK2/PTPRZ1/COBL/STXBP1/PLXND1/NR2E1/PLEKHG4B/KALRN/NECTIN1/B4GAT1/PTK7/CNTN2/ISLR2/STK25/PAX2/PTK2/SPP1/ETV1/MEGF8/SKIL/IST1/FEZF2/PLPPR4/APP/NEXN/IGSF9/EPHA5/MAP2K1/EPHA7/CTNNA2/PLXNB1/LRP4	56
GO:0007269	neurotransmitter secretion	26/1154	149/21261	1.1936841397596092e-7	4.222657644399617e-5	3.4428363609908726e-5	KMO/CSPG5/CACNB4/PRKCG/STX3/NR4A1/SV2B/UNC13B/DOC2B/SNAP25/FMR1/STX1A/NAPB/SNCA/NF1/BAIAP3/SYT7/STXBP1/CADPS/STXBP2/SCRIB/STXBP5/PPFIA3/RAB3GAP1/ERC2/RIMS2	26
GO:0099643	signal release from synapse	26/1154	149/21261	1.1936841397596092e-7	4.222657644399617e-5	3.4428363609908726e-5	KMO/CSPG5/CACNB4/PRKCG/STX3/NR4A1/SV2B/UNC13B/DOC2B/SNAP25/FMR1/STX1A/NAPB/SNCA/NF1/BAIAP3/SYT7/STXBP1/CADPS/STXBP2/SCRIB/STXBP5/PPFIA3/RAB3GAP1/ERC2/RIMS2	26
GO:0030705	cytoskeleton-dependent intracellular transport	33/1154	228/21261	2.6214004555845183e-7	7.418563289304187e-5	6.0485366301486994e-5	RHOT2/AP3B1/DYNC2H1/CDC42/MAP6/CCDC88B/WDPCP/WDR19/PRKCZ/TUBA1C/TRAK1/MAP2/IFT46/HOOK3/CCDC186/TUBA1B/RPGR/DST/ARMCX3/KIF1B/MYO5B/DLG2/SUN1/SYBU/HSPA8/IFT81/MAPK8IP3/ARHGAP21/KIF13A/CCDC88A/APP/IFT140/MECP2	33
GO:0010975	regulation of neuron projection development	53/1154	484/21261	9.681248513042654e-7	2.2831611076592258e-4	1.8615172579464472e-4	SEMA4A/SEMA6D/PTK2B/EHD1/SHANK3/CHN1/MAP6/PARP6/ROBO1/SPART/NFE2L2/SNAP25/CAMK2G/SMURF1/SHTN1/SHOC2/NEO1/PAQR3/NFATC4/TRAK1/MAP2/SEMA6A/DDR1/MYCBP2/KANK1/GOLGA4/COBL/PLXND1/HECW2/NR2E1/INPP5J/PTK7/CNTN2/CAPRIN2/NEDD4L/ISLR2/STK25/SLC39A12/SPP1/PTPRD/DENND5A/GAK/MEGF8/CCDC88A/SKIL/IST1/FEZF2/AKT1/MAP2K1/EPHA7/CTNNA2/PLXNB1/LRP4	53
GO:0045814	negative regulation of gene expression, epigenetic	22/1154	128/21261	1.4317289264905997e-6	2.894137758548855e-4	2.3596615089228532e-4	HMGA2/IFI16/EPC1/SIRT1/H3-3A/HDAC5/TASOR/TASOR2/ATF7IP2/ATF7IP/MBD2/PPM1D/SPTY2D1/POLE3/ATRX/DOT1L/CREBZF/BCL6/MTA1/RIF1/MECP2/MYC	22
GO:0001505	regulation of neurotransmitter levels	29/1154	204/21261	1.985602432898225e-6	3.5120343031887354e-4	2.863447719021651e-4	KMO/CSPG5/CACNB4/PRKCG/STX3/NR4A1/SV2B/UNC13B/DOC2B/SNAP25/FMR1/STX1A/NAPB/SNCA/NF1/BAIAP3/SYT7/STXBP1/GPM6B/CADPS/STXBP2/SLC6A1/SLC1A3/SCRIB/STXBP5/PPFIA3/RAB3GAP1/ERC2/RIMS2	29
GO:0009314	response to radiation	50/1154	465/21261	3.2930723922406277e-6	4.8498213919285116e-4	3.9541783489333444e-4	GNAT2/IFI16/MSH6/MAPK8/RGS9/SIRT1/CACNB4/REEP6/GUCA1A/PLEKHB1/SLC24A1/BRAT1/NFATC4/ATR/MAP3K4/PPP1R1B/HMGN1/CASP9/LARGE1/BRCC3/ALAD/MSH2/PPM1D/NF1/RBM4/RAD51AP1/PRKDC/PNKP/UNC119/BCL3/BABAM1/SWI5/XRCC2/UVSSA/ID2/DYNLRB1/B4GALT2/FBXL3/CIRBP/AKT2/MTA1/SLC1A3/CHEK2/APP/MAPK10/XRCC4/MECP2/AKT1/MYC/EYS	50
GO:0050767	regulation of neurogenesis	47/1154	427/21261	3.4274356126703262e-6	4.8498213919285116e-4	3.9541783489333444e-4	TP73/SEMA4A/SEMA6D/DICER1/SHANK3/FGF2/MAP6/PARP6/ROBO1/SPART/MTOR/SMURF1/SHTN1/NFATC4/TRAK1/CTDSP1/MAP2/SEMA6A/NF1/HOOK3/BIN1/GOLGA4/PTPRZ1/PLXND1/XRCC2/NR2E1/ID2/SMARCD3/CAPRIN2/WDR62/ISLR2/CLCN2/PLAG1/STK25/SPP1/PTPRD/MEGF8/SKIL/IST1/FEZF2/MECP2/TGM2/MAP2K1/EPHA7/PLXNB1/LRP4/BCAN	47
