ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0099572	postsynaptic specialization	58/706	383/22568	1.3116548945101452e-23	2.4790277506241743e-21	1.587792767038597e-21	KCNB1/RGS9/TMEM108/LRRC4C/DLG2/SYNPO/GABRB2/DNM3/LHFPL4/ATP2B2/PLPPR4/NEURL1/ADCY1/ADGRB1/EPS8/CDKL5/GRIK2/NTRK2/LRRC7/KCNH1/DGKI/ITPR1/DISC1/LZTS3/LIN7A/IGSF11/IQSEC3/PRKN/DLGAP1/MAGI2/PSD/GRID2/SEMA4B/GRIN2B/PRNP/CPEB3/PPFIA2/DNAJC6/DLG4/CADM1/CPEB4/GPHN/GLRB/DCLK1/SLC8A2/LRP4/TNIK/LIN7B/SPTBN1/BAALC/ATP7A/SHANK1/AKAP9/CHRNA3/IQSEC1/SLC6A9/PDE4B/PCLO	58
GO:0098984	neuron to neuron synapse	58/706	395/22568	6.410200690409128e-23	6.057639652436626e-21	3.879858312616052e-21	RGS9/TMEM108/LRRC4C/DLG2/SYNPO/DNM3/ATP2B2/PLPPR4/NEURL1/ADCY1/ADGRB1/EPS8/CDKL5/GRIK2/NTRK2/RAPGEF4/LRRC7/KCNH1/DGKI/ITPR1/DISC1/LZTS3/LIN7A/IGSF11/IQSEC3/PRKN/DLGAP1/MAGI2/PSD/GRID2/SEMA4B/GRIN2B/PRNP/CPEB3/DNAJC6/DLG4/ATP1A3/PLXNA4/CADM1/CPEB4/GPHN/AKAP7/DCLK1/SLC8A2/LRP4/TNIK/LIN7B/SPTBN1/BAALC/ATP7A/SHANK1/AKAP9/CHRNA3/IQSEC1/SLC6A9/ROGDI/PDE4B/PCLO	58
GO:0014069	postsynaptic density	53/706	347/22568	7.781868415444849e-22	4.902577101730255e-20	3.140052167635641e-20	RGS9/TMEM108/LRRC4C/DLG2/SYNPO/DNM3/ATP2B2/PLPPR4/NEURL1/ADCY1/ADGRB1/EPS8/CDKL5/GRIK2/NTRK2/LRRC7/KCNH1/DGKI/ITPR1/DISC1/LZTS3/LIN7A/IGSF11/IQSEC3/PRKN/DLGAP1/MAGI2/PSD/GRID2/SEMA4B/GRIN2B/PRNP/CPEB3/DNAJC6/DLG4/CADM1/CPEB4/GPHN/DCLK1/SLC8A2/LRP4/TNIK/LIN7B/SPTBN1/BAALC/ATP7A/SHANK1/AKAP9/CHRNA3/IQSEC1/SLC6A9/PDE4B/PCLO	53
GO:0032279	asymmetric synapse	54/706	363/22568	1.1189892873562782e-21	5.2872243827584146e-20	3.386414948578211e-20	RGS9/TMEM108/LRRC4C/DLG2/SYNPO/DNM3/ATP2B2/PLPPR4/NEURL1/ADCY1/ADGRB1/EPS8/CDKL5/GRIK2/NTRK2/LRRC7/KCNH1/DGKI/ITPR1/DISC1/LZTS3/LIN7A/IGSF11/IQSEC3/PRKN/DLGAP1/MAGI2/PSD/GRID2/SEMA4B/GRIN2B/PRNP/CPEB3/DNAJC6/DLG4/PLXNA4/CADM1/CPEB4/GPHN/DCLK1/SLC8A2/LRP4/TNIK/LIN7B/SPTBN1/BAALC/ATP7A/SHANK1/AKAP9/CHRNA3/IQSEC1/SLC6A9/PDE4B/PCLO	54
GO:0097060	synaptic membrane	57/706	428/22568	1.916754795495653e-20	7.245333126973568e-19	4.640564241726318e-19	KCNB1/DMD/SLC1A7/RGS9/SLC1A2/NRXN3/LRRC4C/DGKB/SNAP25/DLG2/RIMS2/GABRG3/GABRB2/DNM3/LHFPL4/NTNG2/ATP2B2/SCN2A/PLPPR4/STX3/ADCY1/RPH3A/GRIK2/NRP1/KCNA2/GABRR2/LRRC7/CNTN1/KCNH1/DGKI/UNC13A/SYP/KCNMA1/LIN7A/NRXN1/SLC6A6/IQSEC3/SYNJ1/GRID2/SEMA4B/GRIN2B/PPFIA2/DNAJC6/ANK3/DLG4/GPHN/SYNE1/GLRB/LRP4/LIN7B/SHANK1/AKAP9/CHRNA3/UNC13B/SLC6A9/ATP2B1/GABRB3	57
GO:0045211	postsynaptic membrane	39/706	305/22568	8.890136310652701e-14	2.800392937855601e-12	1.7936239925001065e-12	KCNB1/DMD/RGS9/LRRC4C/DGKB/DLG2/GABRG3/GABRB2/DNM3/LHFPL4/ATP2B2/PLPPR4/ADCY1/RPH3A/GRIK2/NRP1/KCNA2/GABRR2/LRRC7/CNTN1/KCNH1/KCNMA1/LIN7A/SLC6A6/IQSEC3/GRID2/SEMA4B/GRIN2B/ANK3/DLG4/GPHN/SYNE1/GLRB/LIN7B/SHANK1/AKAP9/CHRNA3/SLC6A9/GABRB3	39
GO:0097733	photoreceptor cell cilium	22/706	130/22568	1.0370392722010759e-10	2.800006034942905e-9	1.7933761850093797e-9	PDC/ROM1/EYS/RD3/RP1/CDHR1/ABCA4/USH2A/RPGRIP1/TULP1/PCDH15/GUCA1A/DHRS3/PRCD/STX3/MYO7A/PROM1/PDE6B/MAGI2/MAK/TTC8/KIFAP3	22
GO:0070382	exocytic vesicle	31/706	258/22568	1.574874184671386e-10	3.7206402612861496e-9	2.3830333057527554e-9	SV2B/SLC17A7/MT3/SNAP25/SEPTIN4/STX3/LAMP5/RPH3A/DGKI/SYTL4/DISC1/UNC13A/SYP/PPFIA2/TRIM9/DLG4/FER1L4/SCAMP5/SYTL2/BCL2L1/CTTNBP2/DPYSL3/BTBD8/ATP6V0A1/ATP8A1/IQSEC1/UNC13B/SLC6A9/ROGDI/PDE4B/ATP2B1	31
GO:0150034	distal axon	33/706	295/22568	2.6971549132518976e-10	5.664025317828985e-9	3.6277522225025526e-9	USH2A/TULP1/SNCB/COBL/SNAP25/DSCAM/GDPD5/STX3/LAMP5/PRKCB/EPS8/CDKL5/GRIK2/KCNA2/NTRK2/DISC1/UNC13A/SYP/OPHN1/RASGRF1/PTPRN/SYNJ1/PRNP/MYO9A/CPEB4/SLC8A2/KIF21B/MAP2/GAD1/DPYSL3/SHTN1/MAPT/UNC13B	33
GO:0001750	photoreceptor outer segment	19/706	102/22568	3.571108928578407e-10	6.749395875013188e-9	4.322921334594914e-9	PDC/ROM1/EYS/RD3/RP1/CDHR1/ABCA4/TULP1/PCDH15/GUCA1A/DHRS3/PRCD/STX3/MYO7A/PROM1/PDE6B/MAGI2/MAK/KIFAP3	19
GO:0031253	cell projection membrane	39/706	400/22568	3.950088029861151e-10	6.786969433125069e-9	4.346986827119928e-9	ROM1/CDHR1/USH2A/FAM107A/KCNB1/AQP1/DMD/SLC1A2/DHRS3/SNTG1/PRCD/GABRG3/ATP2B2/LAMP5/PRKCB/EPS8/CDKL5/ABCA7/CD44/KCNA2/BBS9/DLC1/PDE4A/SLC22A5/PROM1/SLC12A5/SLC6A6/PDE6B/PSD/WWC1/BBS5/MUC20/LIMA1/SPTBN1/ATP7A/AMN1/MAPT/KANK1/TTC8	39
GO:0098978	glutamatergic synapse	41/706	440/22568	5.506477908495372e-10	8.67270270588021e-9	5.554780346289192e-9	RGS9/SLC1A2/LRRC4C/SNAP25/DNM3/NTNG2/ATP2B2/SCN2A/PLPPR4/STX3/ADCY1/EPS8/CDKL5/GRIK2/NRP1/KCNA2/PLCB1/APOE/DISC1/DRD4/BTBD9/OPHN1/IL1RAP/CADPS/NPTX1/DLGAP1/GRID2/SEMA4B/PPFIA2/DLG4/PLXNA4/PPP3CC/DGKE/CTTNBP2/TNIK/SPTBN1/SHANK1/AKAP9/SLITRK2/ATP2B1/PCLO	41
GO:0097731	9+0 non-motile cilium	22/706	142/22568	6.016745209202493e-10	8.747421881071318e-9	5.602637239338355e-9	PDC/ROM1/EYS/RD3/RP1/CDHR1/ABCA4/USH2A/RPGRIP1/TULP1/PCDH15/GUCA1A/DHRS3/PRCD/STX3/MYO7A/PROM1/PDE6B/MAGI2/MAK/TTC8/KIFAP3	22
GO:0009925	basal plasma membrane	33/706	311/22568	1.0618169657492869e-9	1.3799499267821508e-8	8.83844286159551e-9	TF/AQP1/SLC38A3/DLG2/CA12/ATP2B2/SLC1A3/CD44/LEPR/LRRC7/BEST1/MET/SLC22A5/LIN7A/ABCA1/SLC6A6/SLC4A5/AQP3/SLC12A6/ANK3/DLG4/SLCO3A1/MARVELD2/CADM1/MUC20/MAP7/SLC8A2/LIN7B/ATP7B/ATP7A/SLC16A6/SLC6A9/ATP2B1	33
GO:0034702	monoatomic ion channel complex	34/706	328/22568	1.0951983545890086e-9	1.3799499267821508e-8	8.83844286159551e-9	ANO2/KCNB1/SLC17A7/CACNA2D4/GABRG3/CACNB2/GABRB2/UNC80/SCN2A/KCNAB1/KCNIP4/EPS8/GRIK2/KCNA2/GABRR2/KCNQ3/KCNH1/BEST1/CATSPER2/KCNMA1/KCNIP2/GRID2/GRIN2B/RYR3/DLG4/SCN9A/TTYH2/CACNA1D/SCN3B/GLRB/AKAP9/CHRNA3/PDE4B/GABRB3	34
GO:0008021	synaptic vesicle	28/706	238/22568	1.9681799822045745e-9	2.3249126039791536e-8	1.4890835391679348e-8	SV2B/SLC17A7/MT3/SNAP25/SEPTIN4/STX3/LAMP5/RPH3A/DGKI/DISC1/UNC13A/SYP/PPFIA2/TRIM9/DLG4/FER1L4/SCAMP5/BCL2L1/CTTNBP2/BTBD8/ATP6V0A1/ATP8A1/IQSEC1/UNC13B/SLC6A9/ROGDI/PDE4B/ATP2B1	28
GO:0045178	basal part of cell	33/706	330/22568	4.765781223200402e-9	5.298427359911035e-8	3.3935903446937854e-8	TF/AQP1/SLC38A3/DLG2/CA12/ATP2B2/SLC1A3/CD44/LEPR/LRRC7/BEST1/MET/SLC22A5/LIN7A/ABCA1/SLC6A6/SLC4A5/AQP3/SLC12A6/ANK3/DLG4/SLCO3A1/MARVELD2/CADM1/MUC20/MAP7/SLC8A2/LIN7B/ATP7B/ATP7A/SLC16A6/SLC6A9/ATP2B1	33
GO:0043197	dendritic spine	24/706	195/22568	1.1531091290676358e-8	1.172088921089094e-7	7.50711366890815e-8	MT3/LAMA2/SYNPO/DNM3/ATP2B2/NEURL1/ADGRB1/RPH3A/NTRK2/DGKI/OPHN1/LZTS3/PSD/GRID2/PALMD/PPFIA2/DLG4/CPEB4/SYNE1/SLC8A2/CTTNBP2/MAPT/SHANK1/PDE4B	24
GO:0044306	neuron projection terminus	20/706	138/22568	1.1782904497721051e-8	1.172088921089094e-7	7.50711366890815e-8	USH2A/TULP1/SNCB/DMD/SLC1A2/PRKCB/GRIK2/KCNA2/NTRK2/UNC13A/SYP/OPHN1/PTPRN/SYNJ1/PRNP/DLG4/SLC8A2/GAD1/BTBD8/UNC13B	20
GO:0044309	neuron spine	24/706	197/22568	1.4108912925636831e-8	1.329993821711586e-7	8.518478947192002e-8	MT3/LAMA2/SYNPO/DNM3/ATP2B2/NEURL1/ADGRB1/RPH3A/NTRK2/DGKI/OPHN1/LZTS3/PSD/GRID2/PALMD/PPFIA2/DLG4/CPEB4/SYNE1/SLC8A2/CTTNBP2/MAPT/SHANK1/PDE4B	24
GO:0016323	basolateral plasma membrane	29/706	277/22568	1.4777709130128732e-8	1.329993821711586e-7	8.518478947192002e-8	AQP1/SLC38A3/DLG2/CA12/ATP2B2/CD44/LEPR/LRRC7/BEST1/LIN7A/ABCA1/SLC6A6/SLC4A5/AQP3/SLC12A6/ANK3/DLG4/SLCO3A1/MARVELD2/CADM1/MUC20/MAP7/SLC8A2/LIN7B/ATP7B/ATP7A/SLC16A6/SLC6A9/ATP2B1	29
GO:1990351	transporter complex	39/706	464/22568	2.563417265074919e-8	2.2022084686325442e-7	1.410492753510123e-7	ANO2/KCNB1/SLC17A7/CACNA2D4/GABRG3/CACNB2/GABRB2/UNC80/SCN2A/KCNAB1/KCNIP4/ATP8A2/EPS8/GRIK2/KCNA2/GABRR2/FXYD1/KCNQ3/KCNH1/BEST1/CATSPER2/KCNMA1/KCNIP2/GRID2/GRIN2B/RYR3/DLG4/ATP1A3/SCN9A/TTYH2/CACNA1D/SCN3B/GLRB/ABCB6/AKAP9/ATP8A1/CHRNA3/PDE4B/GABRB3	39
GO:1902495	transmembrane transporter complex	37/706	437/22568	4.8565941449838265e-8	3.990853449573666e-7	2.5561021815704356e-7	ANO2/KCNB1/SLC17A7/CACNA2D4/GABRG3/CACNB2/GABRB2/UNC80/SCN2A/KCNAB1/KCNIP4/EPS8/GRIK2/KCNA2/GABRR2/FXYD1/KCNQ3/KCNH1/BEST1/CATSPER2/KCNMA1/KCNIP2/GRID2/GRIN2B/RYR3/DLG4/ATP1A3/SCN9A/TTYH2/CACNA1D/SCN3B/GLRB/ABCB6/AKAP9/CHRNA3/PDE4B/GABRB3	37
GO:0097730	non-motile cilium	22/706	181/22568	5.867736007648505e-8	4.6208421060231977e-7	2.959603688068325e-7	PDC/ROM1/EYS/RD3/RP1/CDHR1/ABCA4/USH2A/RPGRIP1/TULP1/PCDH15/GUCA1A/DHRS3/PRCD/STX3/MYO7A/PROM1/PDE6B/MAGI2/MAK/TTC8/KIFAP3	22
GO:0042734	presynaptic membrane	21/706	179/22568	2.147061022276357e-7	1.623178132840926e-6	1.039629547628552e-6	RGS9/SLC1A2/NRXN3/SNAP25/RIMS2/NTNG2/ATP2B2/SCN2A/STX3/GRIK2/KCNA2/CNTN1/KCNH1/UNC13A/SYP/NRXN1/PPFIA2/DNAJC6/UNC13B/SLC6A9/ATP2B1	21
GO:0099634	postsynaptic specialization membrane	18/706	137/22568	2.8840363370963813e-7	2.0964725681200616e-6	1.3427699545185582e-6	KCNB1/RGS9/LRRC4C/DLG2/GABRB2/ATP2B2/PLPPR4/ADCY1/GRIK2/KCNH1/LIN7A/GRID2/SEMA4B/GRIN2B/DLG4/GPHN/LIN7B/AKAP9	18
GO:0043679	axon terminus	16/706	122/22568	1.3419398948356085e-6	9.200578442599707e-6	5.892879537170518e-6	USH2A/TULP1/SNCB/PRKCB/GRIK2/KCNA2/NTRK2/UNC13A/SYP/OPHN1/PTPRN/SYNJ1/PRNP/SLC8A2/GAD1/UNC13B	16
