ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0097733	photoreceptor cell cilium	23/416	130/22568	2.3487943875170013e-16	4.3452696169064524e-14	2.942174022258139e-14	GNB1/RP1/STX3/PROM1/SHANK2/PDC/ROM1/GUCA1A/CDHR1/RD3/TULP1/EYS/ABCA4/BSG/RPGRIP1/TTC8/PRCD/USH2A/MAK/DHRS3/SDCCAG8/MAGI2/FAM161A	23
GO:0097731	9+0 non-motile cilium	23/416	142/22568	1.7592585200445854e-15	1.6273141310412416e-13	1.1018513888700299e-13	GNB1/RP1/STX3/PROM1/SHANK2/PDC/ROM1/GUCA1A/CDHR1/RD3/TULP1/EYS/ABCA4/BSG/RPGRIP1/TTC8/PRCD/USH2A/MAK/DHRS3/SDCCAG8/MAGI2/FAM161A	23
GO:0097730	non-motile cilium	24/416	181/22568	4.32179217896347e-14	2.665105177027473e-12	1.8045377870057998e-12	GNB1/RP1/STX3/PROM1/SHANK2/PDC/ROM1/GUCA1A/CDHR1/RD3/TULP1/EYS/ABCA4/BSG/RPGRIP1/TTC8/PRCD/USH2A/MAK/DHRS3/SDCCAG8/CDH23/MAGI2/FAM161A	24
GO:0097060	synaptic membrane	35/416	428/22568	1.9452037240481888e-13	8.996567223722873e-12	6.09155903057196e-12	SNAP25/ANK2/STXBP1/STX3/SHANK2/RIMS2/DNAJC6/CNR1/AKAP9/UNC13B/KCNB1/HSPA8/DMD/DLG4/CLTA/NPTN/SLC1A7/PPFIA2/ADCY1/SLC1A2/PLPPR4/SLC6A6/NTNG2/GABRG3/GABRR2/UNC13A/CNTN1/SYP/LIN7A/NRXN2/ITSN1/CLTB/ATP2B1/ANK3/IGSF9B	35
GO:0001750	photoreceptor outer segment	18/416	102/22568	4.602383680522551e-13	1.702881961793344e-11	1.1530182273309129e-11	GNB1/RP1/STX3/PROM1/SHANK2/PDC/ROM1/GUCA1A/CDHR1/RD3/TULP1/EYS/ABCA4/BSG/PRCD/MAK/DHRS3/MAGI2	18
GO:0008021	synaptic vesicle	22/416	238/22568	6.590270972249337e-10	2.0320002164435456e-8	1.3758635889432828e-8	CDK16/SNAP25/STX3/SV2B/UNC13B/SLC17A7/DLG4/MT3/CLTA/PPFIA2/FER1L4/SEPTIN4/LAMP5/TRIM9/UNC13A/CLCN3/SYP/SCAMP5/CLTB/IQSEC1/SYNGR1/ATP2B1	22
GO:0042734	presynaptic membrane	19/416	179/22568	9.682259720803147e-10	2.55888292621226e-8	1.7326148974068788e-8	SNAP25/STXBP1/STX3/RIMS2/DNAJC6/CNR1/UNC13B/CLTA/NPTN/PPFIA2/SLC1A2/NTNG2/UNC13A/CNTN1/SYP/NRXN2/ITSN1/CLTB/ATP2B1	19
GO:0031253	cell projection membrane	28/416	400/22568	1.889443029575726e-9	4.369337005893866e-8	2.9584700068356763e-8	PROM1/SHANK2/FAM107A/ROM1/CDHR1/KCNB1/AQP1/DMD/TTC8/PRCD/USH2A/TPM1/DHRS3/ABCA7/SLC1A2/LAMP5/SLC6A6/SPTBN1/GABRG3/CD44/PRKCB/PSD/CDKL5/MYO10/CLCN3/MYO6/CLTB/CLASP2	28
GO:0070382	exocytic vesicle	22/416	258/22568	3.0059911142662494e-9	6.178981734880625e-8	4.183777106405657e-8	CDK16/SNAP25/STX3/SV2B/UNC13B/SLC17A7/DLG4/MT3/CLTA/PPFIA2/FER1L4/SEPTIN4/LAMP5/TRIM9/UNC13A/CLCN3/SYP/SCAMP5/CLTB/IQSEC1/SYNGR1/ATP2B1	22
GO:0005938	cell cortex	24/416	318/22568	6.486429062454708e-9	1.199989376554121e-7	8.12510587823274e-8	EPB41L2/SNAP25/ASPH/STXBP1/RIMS2/NDFIP1/DST/UNC13B/DYNC1H1/DLG4/CLTA/FRMPD1/SEPTIN4/FLNA/TRAK1/SPTBN1/PRKCB/UNC13A/MYO10/MYO6/CLTB/NCL/CTBP2/CLASP2	24
GO:0099572	postsynaptic specialization	26/416	383/22568	1.3612239343167788e-8	2.289331162260037e-7	1.550101896494705e-7	CADM1/SHANK2/RTN4/DNAJC6/AKAP9/KCNB1/HSPA8/DLG4/NPTN/PPFIA2/ADCY1/SYNPO/PLPPR4/SPTBN1/PSD/TMEM108/CDKL5/ADD1/LIN7A/TNIK/MAGI2/IQSEC1/DCLK1/BAALC/IGSF9B/USP8	26
