ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015631	tubulin binding	67/1541	397/21059	9.921025578343821e-11	1.9345999877770452e-8	1.5769209077157023e-8	RP1/PLK1/KIFC3/MDM1/HAUS4/BRCA2/PSRC1/EML5/KATNAL2/TBCEL/PRC1/STMN3/TTLL4/ARHGEF2/MTUS2/KIF21A/MAP2/TRIM36/ENKD1/NDRG1/SNCA/OGG1/TBCD/HAUS7/NUMA1/WASHC1/MAP6/MAP1A/PRUNE1/MARK4/SAXO2/SPC24/CCSAP/MAPRE2/KIF2A/NUSAP1/CCDC66/HOOK3/SPAST/HAUS8/MAST1/GOLGA2/TPPP3/DST/DIXDC1/RACGAP1/TAOK1/DCTN1/CFAP144/TERF1/NEIL2/CCDC88A/REEP1/DNM1/KIF21B/GABARAPL1/GAS8/KIF13A/CLASP1/AGBL5/POLB/PACRG/SGIP1/RMDN2/KIF9/TTLL7/MAPT	67
GO:0008017	microtubule binding	51/1541	289/21059	3.6314260087864445e-9	3.5406403585667833e-7	2.8860280385618586e-7	RP1/PLK1/KIFC3/MDM1/HAUS4/PSRC1/EML5/KATNAL2/PRC1/ARHGEF2/MTUS2/KIF21A/MAP2/ENKD1/NDRG1/OGG1/HAUS7/NUMA1/MAP6/MAP1A/MARK4/SAXO2/SPC24/CCSAP/MAPRE2/KIF2A/NUSAP1/CCDC66/HOOK3/SPAST/HAUS8/MAST1/GOLGA2/DST/RACGAP1/DCTN1/CFAP144/TERF1/NEIL2/CCDC88A/REEP1/DNM1/KIF21B/GAS8/KIF13A/CLASP1/POLB/SGIP1/RMDN2/KIF9/MAPT	51
GO:0140097	catalytic activity, acting on DNA	45/1541	255/21059	2.9769908854179012e-8	1.935044075521636e-6	1.5772828901687826e-6	HELB/PIF1/HMGA2/NAV2/POLA1/LIG1/PLD3/CHTF18/RECQL4/DNMT3B/MYD88/MCM7/OGG1/PMS1/CHD2/DNMT1/RSF1/RFC5/UNG/G3BP1/ENDOV/RAD50/REV3L/HELLS/CECR2/DNMT3A/MSH6/UPF1/DNASE1/POLE3/MUTYH/XRCC2/PCNA/CHD9/BPTF/DHX30/RBBP8/MUS81/APTX/TERF1/NEIL2/DICER1/POLB/BRIP1/MLH1	45
GO:0003779	actin binding	68/1541	475/21059	7.433539633934119e-8	3.623850571542883e-6	2.953853907168558e-6	COBL/FLNA/EPS8L1/AFAP1/SHANK3/ABLIM2/PHACTR2/ANLN/TPM1/EPB41/ADSS1/FSCN1/S100A4/DBNL/DIAPH3/RUSC1/SNCA/MICAL3/FBXO25/LIMCH1/PDLIM2/ESPN/EVL/FMN2/WASHC1/MAP1A/SSH2/PSTPIP2/MYO7A/TTN/OPHN1/HNRNPU/FAM107A/TAGLN/ITGB1/TAGLN3/ABLIM1/DNASE1/SHROOM2/BIN1/HOMER2/TLN2/DST/CAPZA2/DIXDC1/FHOD1/GIPC1/TWF1/ABL2/MYO10/INF2/CCDC88A/MYO9B/DMD/TRIOBP/CTNNA1/SPTBN1/PPP1R9A/PACRG/MYH15/TMEM201/ACTN1/PLEKHG3/NEXN/EPB41L2/MAPT/NEB/DAAM2	68
GO:0016887	ATP hydrolysis activity	63/1541	484/21059	5.844533024256978e-6	2.0638334404377487e-4	1.682260995984346e-4	HELB/PIF1/NAV2/DYNC2H1/ABCA2/CHTF18/KATNAL2/EIF4A1/RECQL4/DDX24/VCP/DDX10/KIF21A/DHX37/MCM7/DNAH12/NAV1/ATP13A1/PMS1/DYNC1H1/CHD2/ABCB11/RFC5/G3BP1/RAD50/KIF2A/DDX39A/SPAST/ACIN1/UPF1/ATP13A3/PSMC2/ATP2B2/CHD9/ATP2B1/HSPA8/DHX30/COQ8B/AK6/LONP2/SMC2/ORC4/SMC4/ATP9B/ATP1A3/SMCHD1/MYO9B/SKIC2/KIF21B/KIF13A/ABCB6/ATP11C/ABCC1/ATP2A2/KIF9/ATP2C1/DDX41/BRIP1/ATP2B3/DNAH9/MLH1/ABCB9/ABCC6	63
GO:0005516	calmodulin binding	35/1541	216/21059	7.305810884182232e-6	2.0638334404377487e-4	1.682260995984346e-4	DAPK2/UNC13B/FAS/PDE1A/EPB41/GAP43/MAP2/OBSCN/DAPK1/STRN4/TJP1/AKT1/RYR2/SPHK1/MAP6/MYO7A/PPP3CB/TTN/PPP3CA/SLC9A1/CASK/ATP2B2/ATP2B1/CAMK2G/RYR3/MYO10/EWSR1/MYO9B/PCNT/RASGRF2/SPTBN1/KCNN1/MYH15/PHKB/ATP2B3	35
GO:0106310	protein serine kinase activity	52/1541	377/21059	7.408632863109867e-6	2.0638334404377487e-4	1.682260995984346e-4	RSKR/DAPK2/PLK1/MAP3K4/PKMYT1/WNK1/RIPK1/CLK1/AURKB/STK40/PINK1/PRKD3/MAPK8/TRIO/OBSCN/DAPK1/NEK2/CDK16/AKT1/MAPK7/PAK4/CLK4/PRKAA1/PRKCZ/HIPK3/MAP2K1/DCAF1/MARK4/TTN/ARAF/MAST1/RPS6KB2/CASK/NEK3/MAPK10/PLK3/MAST4/TESK1/CAMK2G/TAOK1/CDC7/CDK8/CDK12/STK11/MAP2K5/STK33/STK32C/CHEK2/MAP3K7/IRAK4/DYRK4/MAP3K15	52
GO:0017124	SH3 domain binding	25/1541	136/21059	1.6314270426995907e-5	3.9766034165802526e-4	3.241387940100503e-4	ADAM12/AFAP1/ARHGAP6/SH3BGRL2/SHANK3/ELMO3/RAPGEF1/INPP5D/LANCL1/DAB2IP/ESPN/PTTG1/EVL/SH3BP2/SYNJ1/DNAJC6/PTPN12/EFS/ADAM10/PLSCR1/SH3KBP1/ABI2/SGIP1/SHANK2/MAPT	25
GO:0008094	ATP-dependent activity, acting on DNA	23/1541	127/21059	4.4735355756978677e-5	9.692660414012047e-4	7.900630081057054e-4	HELB/PIF1/NAV2/CHTF18/RECQL4/MYD88/MCM7/PMS1/CHD2/RSF1/RFC5/G3BP1/RAD50/HELLS/CECR2/MSH6/UPF1/XRCC2/CHD9/BPTF/DHX30/BRIP1/MLH1	23
GO:0004674	protein serine/threonine kinase activity	58/1541	467/21059	5.300052935124066e-5	0.0010335103223491928	8.424294665302462e-4	RSKR/TGFBR2/DAPK2/PLK1/MAP3K4/PTK2B/PKMYT1/TGFBR3/WNK1/RIPK1/CLK1/AURKB/STK40/PINK1/PRKD3/MAPK8/TRIO/OBSCN/DAPK1/NEK2/CDK16/AKT1/MAPK7/PAK4/CLK4/PRKAA1/PRKCZ/HIPK3/MAP2K1/DCAF1/ACVR1/MARK4/PPM1D/TTN/NRBP1/ARAF/MAST1/RPS6KB2/CASK/NEK3/MAPK10/PLK3/MAST4/TESK1/CAMK2G/TAOK1/CDC7/CDK8/CDK12/STK11/MAP2K5/STK33/STK32C/CHEK2/MAP3K7/IRAK4/DYRK4/MAP3K15	58
