isoform_id	gene_name
ENST00000696123	TIMM17B
ENST00000367549	DHX9
ENST00000485081	DHX9
ENST00000477892	FAM162A
ENST00000453788	HSPA8
ENST00000534624	HSPA8
ENST00000686831	FAM162A
ENST00000242848	ZC3H13
ENST00000376582	TIMM17B
ENST00000621267	HNRNPDL
ENST00000369622	SYNCRIP
ENST00000521545	LAPTM4B
ENST00000371180	TM2D1
ENST00000407796	AKT1
ENST00000447165	NREP
ENST00000393810	SLC35B2
ENST00000338343	FBXL19
ENST00000528957	RPL8
ENST00000699311	JAK1
ENST00000333511	BSG
ENST00000444376	HNRNPU
ENST00000650225	COL4A2
ENST00000589076	SMAD4
ENST00000628768	STXBP1
ENST00000367330	TMEM9
ENST00000232219	NA
ENST00000643579	TPM4
ENST00000652107	MSH6
ENST00000331200	DUT
ENST00000562319	FBXL19
ENST00000515254	BRD8
ENST00000663894	TPM4
ENST00000373365	GLO1
ENST00000470973	GLO1
ENST00000606498	TM2D1
ENST00000423266	TSC22D4
ENST00000308488	RSF1
ENST00000297534	FMC1
ENST00000679521	AKAP9
ENST00000445593	LAPTM4B
ENST00000698881	PTPRJ
ENST00000699329	NFE2L2
ENST00000481123	FMC1
ENST00000633708	STX3
ENST00000289371	EIF5B
ENST00000411510	NCOR1
ENST00000617677	NA
ENST00000699492	FNBP1
ENST00000300278	SON
ENST00000432425	CLK1
