gene_id	genes	logFC	logCPM	F	PValue	FDR	gene_name	gene_biotype	condition_1	condition_2
ENSG00000120500	ENSG00000120500.19	6.6595888231248805	5.825427050662315	464.7260204868288	3.932944978169026e-8	2.178745403513929e-4	ARR3	protein_coding	Stage_1	Stage_3
ENSG00000139445	ENSG00000139445.18	-5.237106503964318	6.272642182641383	388.7879243255281	7.702829780851791e-8	2.178745403513929e-4	FOXN4	protein_coding	Stage_1	Stage_3
ENSG00000165521	ENSG00000165521.16	4.04550866855262	5.623242116215042	528.4106473736122	2.421600386871805e-8	2.178745403513929e-4	EML5	protein_coding	Stage_1	Stage_3
ENSG00000168843	ENSG00000168843.14	7.28857116237656	8.16970353381148	404.78828219489515	6.618093416976998e-8	2.178745403513929e-4	FSTL5	protein_coding	Stage_1	Stage_3
ENSG00000283782	ENSG00000283782.2	5.641626712883938	6.049300165188985	512.9744348748709	2.7086722796967652e-8	2.178745403513929e-4		protein_coding	Stage_1	Stage_3
ENSG00000290147	ENSG00000290147.1	11.282163419641874	7.2707685099123	414.68961024878337	6.042454394864374e-8	2.178745403513929e-4	GUCA1ANB-GUCA1A	protein_coding	Stage_1	Stage_3
ENSG00000139053	ENSG00000139053.3	8.698538997034865	8.228925010232418	335.6916081814174	1.337371153891104e-7	2.8370657315857404e-4	PDE6H	protein_coding	Stage_1	Stage_3
ENSG00000164318	ENSG00000164318.18	5.513919158099646	6.884780548978981	344.1049210021158	1.2187305651071395e-7	2.8370657315857404e-4	EGFLAM	protein_coding	Stage_1	Stage_3
ENSG00000008086	ENSG00000008086.13	2.88436528923013	6.687803383646238	229.27300667288105	5.557007994425785e-7	3.140702129041522e-4	CDKL5	protein_coding	Stage_1	Stage_3
ENSG00000047617	ENSG00000047617.17	6.297785516080869	6.762802772902803	264.39670573780256	3.267861279372012e-7	3.140702129041522e-4	ANO2	protein_coding	Stage_1	Stage_3
