condition_1	condition_2	conseqPair	feature	propOfRelevantEvents	propCiLo	propCiHi	propPval	nUp	nDown	propQval	Significant
Stage_1	Stage_2	domains_identified	Domain loss (paired with Domain gain)	0.9230769230769231	0.7486970833046261	0.9905446089962873	1.049041748046878e-5	24	2	2.3603439331054755e-5	TRUE
Stage_1	Stage_2	intron_retention	Intron retention loss (paired with Intron retention gain)	0.23839009287925697	0.19296112667891324	0.2886886010892932	9.727549178486278e-22	77	246	5.836529507091767e-21	TRUE
Stage_1	Stage_2	NMD_status	NMD sensitive (paired with NMD insensitive)	0.6775956284153005	0.6046673098835612	0.7446598672103859	1.7594609769434547e-6	124	59	5.278382930830364e-6	TRUE
Stage_1	Stage_2	ORF	Complete ORF loss (paired with Complete ORF gain)	0.5555555555555556	0.3809767940893837	0.7206458080331524	0.6177193170296955	20	16	0.8553036697334245	FALSE
Stage_1	Stage_2	ORF_length	ORF is shorter (paired with ORF is longer)	0.7685393258426966	0.7394045207995926	0.7958839987865969	1.4528730075109974e-60	684	206	2.6151714135197955e-59	TRUE
Stage_1	Stage_2	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	1	0.5407418735600996	1	0.03125000000000001	6	0	0.056250000000000015	FALSE
Stage_1	Stage_3	domains_identified	Domain loss (paired with Domain gain)	0.4791666666666667	0.3328663362136687	0.6281298322583453	0.8854334972865147	23	25	0.9519631556324407	FALSE
Stage_1	Stage_3	intron_retention	Intron retention loss (paired with Intron retention gain)	0.34534534534534533	0.29435205013121457	0.3991179689870895	1.7671621215418808e-8	115	218	6.361783637550771e-8	TRUE
Stage_1	Stage_3	NMD_status	NMD sensitive (paired with NMD insensitive)	0.6478260869565218	0.5823241335923923	0.7094619203769243	8.649652801163946e-6	149	81	2.224196434585015e-5	TRUE
Stage_1	Stage_3	ORF	Complete ORF loss (paired with Complete ORF gain)	0.4838709677419355	0.3549727568274602	0.6143608760259325	0.8990763136528607	30	32	0.9519631556324407	FALSE
Stage_1	Stage_3	ORF_length	ORF is shorter (paired with ORF is longer)	0.6695906432748538	0.6398669241913978	0.6983376249176265	7.4173858109957704e-28	687	339	6.675647229896193e-27	TRUE
Stage_1	Stage_3	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.875	0.47349032912479344	0.9968402764687481	0.07031250000000003	7	1	0.11505681818181823	FALSE
Stage_2	Stage_3	domains_identified	Domain loss (paired with Domain gain)	0.36363636363636365	0.20400307445511998	0.5487546447826517	0.16275565745308987	12	21	0.24413348617963482	FALSE
Stage_2	Stage_3	intron_retention	Intron retention loss (paired with Intron retention gain)	0.6192170818505338	0.5596457756630061	0.6762454481801428	7.669194192817045e-5	174	107	1.533838838563409e-4	TRUE
Stage_2	Stage_3	NMD_status	NMD sensitive (paired with NMD insensitive)	0.4972375690607735	0.4222095099038138	0.5723575756065351	1	90	91	1	FALSE
Stage_2	Stage_3	ORF	Complete ORF loss (paired with Complete ORF gain)	0.45161290322580644	0.2731649860037351	0.6396576728391834	0.720100131817163	14	17	0.8641201581805956	FALSE
Stage_2	Stage_3	ORF_length	ORF is shorter (paired with ORF is longer)	0.3983050847457627	0.3647285951287274	0.43260995124828927	5.53710568916091e-9	329	497	2.4916975601224095e-8	TRUE
Stage_2	Stage_3	signal_peptide_identified	Signal peptide loss (paired with Signal peptide gain)	0.3333333333333333	0.04327186829274171	0.7772219044964879	0.6874999999999999	2	4	0.8641201581805956	FALSE
