Comparison	AStype	splicingResult	nrGenesWithConsequences	nrIsoWithConsequences
Stage_1 vs Stage_2	A3	A3 in isoform used less	278	283
Stage_1 vs Stage_3	A3	A3 in isoform used less	240	250
Stage_2 vs Stage_3	A3	A3 in isoform used less	105	109
Stage_1 vs Stage_2	A3	A3 in isoform used more	150	155
Stage_1 vs Stage_3	A3	A3 in isoform used more	218	228
Stage_2 vs Stage_3	A3	A3 in isoform used more	159	165
Stage_1 vs Stage_2	A5	A5 in isoform used less	181	182
Stage_1 vs Stage_3	A5	A5 in isoform used less	236	244
Stage_2 vs Stage_3	A5	A5 in isoform used less	115	117
Stage_1 vs Stage_2	A5	A5 in isoform used more	142	146
Stage_1 vs Stage_3	A5	A5 in isoform used more	201	211
Stage_2 vs Stage_3	A5	A5 in isoform used more	132	135
Stage_1 vs Stage_2	ATSS	ATSS in isoform used less	332	335
Stage_1 vs Stage_3	ATSS	ATSS in isoform used less	440	453
Stage_2 vs Stage_3	ATSS	ATSS in isoform used less	305	312
Stage_1 vs Stage_2	ATSS	ATSS in isoform used more	494	510
Stage_1 vs Stage_3	ATSS	ATSS in isoform used more	486	513
Stage_2 vs Stage_3	ATSS	ATSS in isoform used more	251	260
Stage_1 vs Stage_2	ATTS	ATTS in isoform used less	316	323
Stage_1 vs Stage_3	ATTS	ATTS in isoform used less	321	340
Stage_2 vs Stage_3	ATTS	ATTS in isoform used less	196	199
Stage_1 vs Stage_2	ATTS	ATTS in isoform used more	270	278
Stage_1 vs Stage_3	ATTS	ATTS in isoform used more	368	389
Stage_2 vs Stage_3	ATTS	ATTS in isoform used more	239	247
Stage_1 vs Stage_2	ES	ES in isoform used less	280	284
Stage_1 vs Stage_3	ES	ES in isoform used less	355	370
Stage_2 vs Stage_3	ES	ES in isoform used less	161	163
Stage_1 vs Stage_2	ES	ES in isoform used more	205	211
Stage_1 vs Stage_3	ES	ES in isoform used more	288	301
Stage_2 vs Stage_3	ES	ES in isoform used more	175	179
Stage_1 vs Stage_2	IR	IR in isoform used less	46	47
Stage_1 vs Stage_3	IR	IR in isoform used less	76	77
Stage_2 vs Stage_3	IR	IR in isoform used less	60	60
Stage_1 vs Stage_2	IR	IR in isoform used more	112	112
Stage_1 vs Stage_3	IR	IR in isoform used more	126	129
Stage_2 vs Stage_3	IR	IR in isoform used more	53	53
Stage_1 vs Stage_2	MEE	MEE in isoform used less	5	5
Stage_1 vs Stage_3	MEE	MEE in isoform used less	5	5
Stage_2 vs Stage_3	MEE	MEE in isoform used less	1	1
Stage_1 vs Stage_2	MEE	MEE in isoform used more	4	4
Stage_1 vs Stage_3	MEE	MEE in isoform used more	6	6
Stage_2 vs Stage_3	MEE	MEE in isoform used more	5	5
Stage_1 vs Stage_2	MES	MES in isoform used less	84	87
Stage_1 vs Stage_3	MES	MES in isoform used less	133	139
Stage_2 vs Stage_3	MES	MES in isoform used less	62	64
Stage_1 vs Stage_2	MES	MES in isoform used more	70	72
Stage_1 vs Stage_3	MES	MES in isoform used more	110	116
Stage_2 vs Stage_3	MES	MES in isoform used more	64	64
