n	mean_num_genes
1	4714.285714285715
2	3420.714285714286
3	2361
4	1636.142857142857
5	1034.142857142857
6	678.4285714285714
7	452.2857142857143
8	300.14285714285717
9	199
10	141.42857142857142
11	102
12	81.14285714285714
13	52.57142857142857
14	37.142857142857146
15	25.857142857142858
16	21
17	14.857142857142858
18	11.142857142857142
19	9.428571428571429
20	6.571428571428571
21	4.428571428571429
22	3.857142857142857
23	4.428571428571429
24	2.7142857142857144
25	1.5
26	2.857142857142857
27	2
28	2.4
29	2
30	1.3333333333333333
31	2.5
32	1.3333333333333333
33	1
34	1.3333333333333333
35	1.25
36	1.25
