ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	65/636	240/21261	1.2434422668536371e-43	1.7022724633226292e-40	1.3010332771079107e-40	GUCA1ANB-GUCA1A/PDE6H/RS1/RDH8/RAX2/PRPH2/AIPL1/PDC/EYS/MYO3B/GJD2/CNGB3/DHRS3/RCVRN/RD3/SFRP5/GUCY2D/CABP2/CRX/RBP4/GUCA1B/GNAT2/RPGRIP1/RDH12/GABRR2/ARR3/RBP3/TULP1/RP1L1/KCNJ10/IMPG2/NRL/PCARE/NR2E3/GRM6/ABCA4/RLBP1/CACNA1F/CACNA2D4/RGR/IMPG1/RRH/NXNL2/CDH3/LRAT/BEST1/GUCA1A/RDH5/MYO7A/PDE6C/EPAS1/CACNB2/PRCD/ROM1/GLRB/UNC119/CNGA3/USH2A/ATP8A2/GRM8/RP1/ARL6/TIMP3/CRB1/CDH23	65
GO:0050953	sensory perception of light stimulus	65/636	244/21261	3.887317906853499e-43	2.6608691072412203e-40	2.0336810523223045e-40	GUCA1ANB-GUCA1A/PDE6H/RS1/RDH8/RAX2/PRPH2/AIPL1/PDC/EYS/MYO3B/GJD2/CNGB3/DHRS3/RCVRN/RD3/SFRP5/GUCY2D/CABP2/CRX/RBP4/GUCA1B/GNAT2/RPGRIP1/RDH12/GABRR2/ARR3/RBP3/TULP1/RP1L1/KCNJ10/IMPG2/NRL/PCARE/NR2E3/GRM6/ABCA4/RLBP1/CACNA1F/CACNA2D4/RGR/IMPG1/RRH/NXNL2/CDH3/LRAT/BEST1/GUCA1A/RDH5/MYO7A/PDE6C/EPAS1/CACNB2/PRCD/ROM1/GLRB/UNC119/CNGA3/USH2A/ATP8A2/GRM8/RP1/ARL6/TIMP3/CRB1/CDH23	65
GO:0009581	detection of external stimulus	33/636	155/21261	4.090024122155208e-19	1.8664143410768265e-16	1.4264856061130796e-16	GUCA1ANB-GUCA1A/RS1/PRPH2/GNGT2/AIPL1/PDC/PHF24/EYS/GNGT1/RCVRN/GUCY2D/SLC24A4/GNAT2/TULP1/GRIK2/NR2E3/GRM6/ABCA4/ASIC2/CACNA1F/CACNA2D4/RGR/ANO3/RRH/BEST1/GUCA1A/PDE6C/PLEKHB1/ROM1/UNC119/ATP8A2/RP1/CRB1	33
GO:0009582	detection of abiotic stimulus	33/636	158/21261	7.632397594788608e-19	2.612188076816401e-16	1.9964745287420728e-16	GUCA1ANB-GUCA1A/RS1/PRPH2/GNGT2/AIPL1/PDC/PHF24/EYS/GNGT1/RCVRN/GUCY2D/SLC24A4/GNAT2/TULP1/GRIK2/NR2E3/GRM6/ABCA4/ASIC2/CACNA1F/CACNA2D4/RGR/ANO3/RRH/BEST1/GUCA1A/PDE6C/PLEKHB1/ROM1/UNC119/ATP8A2/RP1/CRB1	33
GO:0060041	retina development in camera-type eye	31/636	179/21261	2.3038817835552217e-15	6.308028323374197e-13	4.821175774429243e-13	RS1/PRPH2/RD3/RBP4/GNAT2/RPGRIP1/HCN1/TULP1/SLC17A7/RP1L1/IMPG2/NRL/NR2E3/GRM6/LHX1/PRDM1/NRP1/NEUROD4/TFAP2B/PDE6C/SLC4A5/ROM1/DSCAM/NEUROD1/NFIB/ATP8A2/MEGF11/RP1/SERPINF1/NTRK2/CRB1	31
GO:0009416	response to light stimulus	42/636	344/21261	1.0123856533959998e-14	2.309926599165206e-12	1.7654584903081121e-12	GUCA1ANB-GUCA1A/RS1/PRPH2/GNGT2/NPS/AIPL1/PDC/EYS/GNGT1/RCVRN/GUCY2D/SLC24A4/GNAT2/TULP1/NR2E3/GRM6/ABCA4/AANAT/ASIC2/CACNA1F/CACNA2D4/RGR/RRH/USP2/BEST1/BCL3/GUCA1A/PDE6C/BHLHE40/PLEKHB1/ROM1/SLC1A2/UNC119/ATP8A2/RP1/GNB5/CRB1/PPP1R1B/SLC7A11/CRY2/BCL2/ABCA7	42
GO:0001654	eye development	47/636	431/21261	1.9195136792441306e-14	3.754020324121736e-12	2.869167815291227e-12	RS1/PRPH2/GNGT1/RD3/FLT1/SMOC1/RBP4/GNAT2/RPGRIP1/HCN1/TULP1/SLC17A7/RP1L1/IMPG2/NRL/NR2E3/GRM6/COL8A1/HSF4/LHX1/PRDM1/NRP1/NEUROD4/TFAP2B/VEGFA/KDR/RARB/MYO7A/PDE6C/SLC4A5/ROM1/DSCAM/NEUROD1/COL5A1/PLAAT3/NFIB/ATP8A2/MEGF11/RP1/SERPINF1/NTRK2/CC2D2A/CRB1/PBX1/SLC7A11/SPRY1/BCL2	47
GO:0150063	visual system development	47/636	435/21261	2.71702867786189e-14	4.64951532499116e-12	3.5535875076246304e-12	RS1/PRPH2/GNGT1/RD3/FLT1/SMOC1/RBP4/GNAT2/RPGRIP1/HCN1/TULP1/SLC17A7/RP1L1/IMPG2/NRL/NR2E3/GRM6/COL8A1/HSF4/LHX1/PRDM1/NRP1/NEUROD4/TFAP2B/VEGFA/KDR/RARB/MYO7A/PDE6C/SLC4A5/ROM1/DSCAM/NEUROD1/COL5A1/PLAAT3/NFIB/ATP8A2/MEGF11/RP1/SERPINF1/NTRK2/CC2D2A/CRB1/PBX1/SLC7A11/SPRY1/BCL2	47
GO:0048880	sensory system development	47/636	448/21261	8.153656692255318e-14	1.2402617790775032e-11	9.47922193228279e-12	RS1/PRPH2/GNGT1/RD3/FLT1/SMOC1/RBP4/GNAT2/RPGRIP1/HCN1/TULP1/SLC17A7/RP1L1/IMPG2/NRL/NR2E3/GRM6/COL8A1/HSF4/LHX1/PRDM1/NRP1/NEUROD4/TFAP2B/VEGFA/KDR/RARB/MYO7A/PDE6C/SLC4A5/ROM1/DSCAM/NEUROD1/COL5A1/PLAAT3/NFIB/ATP8A2/MEGF11/RP1/SERPINF1/NTRK2/CC2D2A/CRB1/PBX1/SLC7A11/SPRY1/BCL2	47
GO:0048592	eye morphogenesis	28/636	182/21261	1.0980588953166032e-12	1.5032426276884297e-10	1.1489163599417932e-10	RS1/GNGT1/RBP4/GNAT2/RPGRIP1/HCN1/TULP1/IMPG2/NRL/NR2E3/COL8A1/LHX1/PRDM1/TFAP2B/VEGFA/KDR/RARB/MYO7A/PDE6C/ROM1/DSCAM/COL5A1/ATP8A2/MEGF11/RP1/NTRK2/CRB1/BCL2	28
GO:0042391	regulation of membrane potential	46/636	479/21261	3.5297670229995935e-12	4.392955504078585e-10	3.357500881207269e-10	NPS/GABRP/GJD2/SLC26A5/GABRG1/TAFA4/SLC24A4/SLC1A7/HCN1/GABRR2/KCNH6/KCNJ10/GRIK2/CFTR/P2RX7/OPRD1/ASIC2/FXYD1/KCNB1/KCNK3/KDR/BCO2/KCNIP2/CACNB2/NEDD4L/GRIK3/GRIK4/BNIP3/RIMS2/RNF207/GLRB/TMEM108/SLC8A2/CHRNB4/SCN3B/NTRK2/CHRNA3/DLG4/USP53/KCNA2/SLC25A27/MAPT/ATP1A3/BCL2/ATP1B2/KCNK1	46
GO:0036294	cellular response to decreased oxygen levels	26/636	165/21261	4.0404343445480914e-12	4.609462181405281e-10	3.522975209193687e-10	GNGT1/OPRD1/PTGS2/NOL3/STC1/MT3/NDRG1/VEGFA/STC2/KCNK3/EGLN3/AK4/EPAS1/FAM162A/BNIP3/AQP3/PGK1/PDK1/EEF2K/EGLN1/BNIP3L/CPEB4/HILPDA/ATP7A/ERO1A/BCL2	26
