ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007601	visual perception	68/651	240/21261	2.2110435219856534e-46	3.0291296251203453e-43	2.4274930457168805e-43	GUCA1ANB-GUCA1A/PDE6G/RHO/GNAT1/GUCA1C/PDE6A/RDH12/RP1/PPEF2/IMPG1/PRPH2/CNGB1/RAX2/BEST1/RS1/PDE6H/CACNA1F/AIPL1/NRL/TRPM1/ARR3/NR2E3/GUCA1B/UNC119/GNAT2/RCVRN/PDC/CPLX4/RORB/ROM1/CRX/GUCA1A/CNGB3/GUCY2D/EPAS1/RD3/RP1L1/TULP1/CACNA2D4/EYS/PCARE/ABCA4/RBP3/CABP4/MYO3B/REEP6/IMPG2/RLBP1/RPGRIP1/GRK1/GJD2/LRAT/PDE6C/USH2A/LRIT3/RGR/PRCD/DHRS3/KCNJ10/SEMA5B/AOC2/GABRR2/RBP4/CDH23/CNNM4/ARL6/FAM161A/MYO9A	68
GO:0050953	sensory perception of light stimulus	68/651	244/21261	7.382344051053623e-46	5.0569056749717315e-43	4.0525183396047e-43	GUCA1ANB-GUCA1A/PDE6G/RHO/GNAT1/GUCA1C/PDE6A/RDH12/RP1/PPEF2/IMPG1/PRPH2/CNGB1/RAX2/BEST1/RS1/PDE6H/CACNA1F/AIPL1/NRL/TRPM1/ARR3/NR2E3/GUCA1B/UNC119/GNAT2/RCVRN/PDC/CPLX4/RORB/ROM1/CRX/GUCA1A/CNGB3/GUCY2D/EPAS1/RD3/RP1L1/TULP1/CACNA2D4/EYS/PCARE/ABCA4/RBP3/CABP4/MYO3B/REEP6/IMPG2/RLBP1/RPGRIP1/GRK1/GJD2/LRAT/PDE6C/USH2A/LRIT3/RGR/PRCD/DHRS3/KCNJ10/SEMA5B/AOC2/GABRR2/RBP4/CDH23/CNNM4/ARL6/FAM161A/MYO9A	68
GO:0009581	detection of external stimulus	35/651	155/21261	9.226068853888289e-21	4.213238109942319e-18	3.3764174788089423e-18	GUCA1ANB-GUCA1A/RHO/GNAT1/SAG/RP1/ASIC2/PRPH2/GNGT1/CNGB1/BEST1/RS1/PLEKHB1/GNGT2/CACNA1F/AIPL1/NR2E3/UNC119/GNAT2/RCVRN/PDC/ROM1/GUCA1A/GUCY2D/TULP1/CACNA2D4/EYS/ABCA4/CABP4/REEP6/GRK1/PDE6C/RGR/PHF24/SEMA5B/ELOVL4	35
GO:0009582	detection of abiotic stimulus	35/651	158/21261	1.8041063850506067e-20	6.1790643687983276e-18	4.951797262125744e-18	GUCA1ANB-GUCA1A/RHO/GNAT1/SAG/RP1/ASIC2/PRPH2/GNGT1/CNGB1/BEST1/RS1/PLEKHB1/GNGT2/CACNA1F/AIPL1/NR2E3/UNC119/GNAT2/RCVRN/PDC/ROM1/GUCA1A/GUCY2D/TULP1/CACNA2D4/EYS/ABCA4/CABP4/REEP6/GRK1/PDE6C/RGR/PHF24/SEMA5B/ELOVL4	35
GO:0009416	response to light stimulus	49/651	344/21261	2.232519921471387e-19	6.117104584831601e-17	4.9021437433571724e-17	GUCA1ANB-GUCA1A/RHO/GNAT1/SAG/RP1/ASIC2/PRPH2/SLC1A3/GNGT1/CNGB1/BEST1/RS1/PLEKHB1/GNGT2/CACNA1F/AIPL1/TRPM1/NR2E3/UNC119/GNAT2/RCVRN/PDC/ROM1/GUCA1A/GUCY2D/TULP1/CACNA2D4/EYS/ABCA4/CABP4/USP2/REEP6/GRK1/NETO1/AQP1/AANAT/PDE6C/PPP1R1B/RGR/ABCA7/SLC1A2/SEMA5B/ELOVL4/GNB5/HMGN1/PDE8B/SLC7A11/DCUN1D3/CUL4B	49
GO:0060041	retina development in camera-type eye	32/651	179/21261	6.060770139016815e-16	1.3838758484088396e-13	1.1090146061393928e-13	RHO/GNAT1/PDE6A/RP1/PRPH2/DTNBP1/RS1/PROM1/NRL/NR2E3/GNAT2/RORB/HCN1/ROM1/RD3/RP1L1/TULP1/NEUROD1/CABP4/IMPG2/RPGRIP1/SLC17A7/TTC8/PDE6C/NFIB/TFAP2A/LHX1/NFIA/RBP4/NEUROD4/CELF4/SCAPER	32
GO:0009314	response to radiation	50/651	465/21261	1.1902440596541777e-14	2.329477659608891e-12	1.8668038409312892e-12	GUCA1ANB-GUCA1A/RHO/GNAT1/SAG/RP1/ASIC2/PRPH2/SLC1A3/GNGT1/CNGB1/BEST1/RS1/PLEKHB1/GNGT2/CACNA1F/AIPL1/TRPM1/NR2E3/UNC119/GNAT2/RCVRN/PDC/XRCC4/ROM1/GUCA1A/GUCY2D/TULP1/CACNA2D4/EYS/ABCA4/CABP4/USP2/REEP6/GRK1/NETO1/AQP1/AANAT/PDE6C/PPP1R1B/RGR/ABCA7/SLC1A2/SEMA5B/ELOVL4/GNB5/HMGN1/PDE8B/SLC7A11/DCUN1D3/CUL4B	50
GO:0043010	camera-type eye development	40/651	379/21261	1.0443094633356408e-11	1.5711727374289035e-9	1.2591111526226251e-9	RHO/GNAT1/PDE6A/RP1/PRPH2/DTNBP1/RS1/PROM1/NRL/NR2E3/CACNA1S/FLT1/GNAT2/RORB/HCN1/ROM1/RD3/RP1L1/TULP1/NEUROD1/CABP4/IMPG2/RPGRIP1/SLC17A7/AQP1/TTC8/PDE6C/VEGFA/COL8A1/NFIB/TFAP2A/LHX1/KDR/HMGN1/NFIA/SLC7A11/RBP4/NEUROD4/CELF4/SCAPER	40
GO:0001654	eye development	43/651	431/21261	1.1162478827067147e-11	1.5711727374289035e-9	1.2591111526226251e-9	RHO/GNAT1/PDE6A/RP1/PRPH2/GNGT1/DTNBP1/RS1/PROM1/NRL/NR2E3/CACNA1S/FLT1/SLC39A5/GNAT2/RORB/HCN1/ROM1/RD3/RP1L1/TULP1/NEUROD1/CABP4/IMPG2/RPGRIP1/SLC17A7/AQP1/TTC8/PDE6C/VEGFA/COL8A1/NFIB/TFAP2A/LHX1/RARB/KDR/HMGN1/NFIA/SLC7A11/RBP4/NEUROD4/CELF4/SCAPER	43
GO:0048592	eye morphogenesis	27/651	182/21261	1.1468414141816814e-11	1.5711727374289035e-9	1.2591111526226251e-9	RHO/GNAT1/RP1/GNGT1/RS1/PROM1/NRL/NR2E3/GNAT2/RORB/HCN1/ROM1/TULP1/CABP4/IMPG2/RPGRIP1/AQP1/TTC8/PDE6C/VEGFA/COL8A1/TFAP2A/LHX1/RARB/KDR/HMGN1/RBP4	27
GO:0150063	visual system development	43/651	435/21261	1.5114036103159885e-11	1.8823844964844585e-9	1.5085109718273456e-9	RHO/GNAT1/PDE6A/RP1/PRPH2/GNGT1/DTNBP1/RS1/PROM1/NRL/NR2E3/CACNA1S/FLT1/SLC39A5/GNAT2/RORB/HCN1/ROM1/RD3/RP1L1/TULP1/NEUROD1/CABP4/IMPG2/RPGRIP1/SLC17A7/AQP1/TTC8/PDE6C/VEGFA/COL8A1/NFIB/TFAP2A/LHX1/RARB/KDR/HMGN1/NFIA/SLC7A11/RBP4/NEUROD4/CELF4/SCAPER	43
GO:0048880	sensory system development	43/651	448/21261	3.937464969220146e-11	4.495272506526333e-9	3.602435055172467e-9	RHO/GNAT1/PDE6A/RP1/PRPH2/GNGT1/DTNBP1/RS1/PROM1/NRL/NR2E3/CACNA1S/FLT1/SLC39A5/GNAT2/RORB/HCN1/ROM1/RD3/RP1L1/TULP1/NEUROD1/CABP4/IMPG2/RPGRIP1/SLC17A7/AQP1/TTC8/PDE6C/VEGFA/COL8A1/NFIB/TFAP2A/LHX1/RARB/KDR/HMGN1/NFIA/SLC7A11/RBP4/NEUROD4/CELF4/SCAPER	43
GO:0006836	neurotransmitter transport	28/651	223/21261	2.658672860104244e-10	2.8018321679560114e-8	2.2453407231487666e-8	SNAP25/DOC2B/SLC1A3/DTNBP1/STXBP1/STX3/RIMS2/CPLX4/SV2B/UNC13B/SLC17A7/SLC1A7/UNC13C/PPFIA2/KCNJ10/NAPB/SLC1A2/SLC6A6/PRKCB/CADPS/UNC13A/SYP/LIN7A/NRXN2/VAMP2/LIN7B/SLC30A1/CTBP2	28
GO:0048593	camera-type eye morphogenesis	23/651	153/21261	2.9495509177471014e-10	2.8863462552239495e-8	2.3130688776016742e-8	RHO/GNAT1/RP1/RS1/PROM1/NRL/GNAT2/RORB/HCN1/ROM1/CABP4/IMPG2/RPGRIP1/AQP1/TTC8/PDE6C/VEGFA/COL8A1/TFAP2A/LHX1/KDR/HMGN1/RBP4	23
GO:0090596	sensory organ morphogenesis	33/651	306/21261	3.9565244967076095e-10	3.61362570699295e-8	2.8958982807480964e-8	RHO/GNAT1/RP1/GNGT1/RS1/PROM1/NRL/NR2E3/CYP26B1/GNAT2/RORB/HCN1/ROM1/TULP1/CABP4/MYO3B/IMPG2/RPGRIP1/AQP1/TTC8/PDE6C/VEGFA/NEUROG1/COL8A1/FRZB/TFAP2A/LHX1/RARB/KDR/HMGN1/RBP4/CDH23/MYO6	33
