ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0030705	cytoskeleton-dependent intracellular transport	48/1553	228/21261	1.9619694409895646e-11	1.5467912124794262e-8	1.245637352918583e-8	APBA1/WDR35/DYNC2H1/RHOT2/MAPT/MAP2/DTNBP1/RPGR/TMEM201/CALY/DYNC1I2/CCDC186/DLG2/BORCS8/SYBU/MAP1A/HOOK3/TRAK1/CLUAP1/FLOT2/MECP2/KIF13A/PPFIA2/CCDC88A/MYO10/AP3B1/MAP6/TUBA1B/HSPA8/STK11/WDPCP/FEZ1/HNRNPU/DST/PRKCZ/RHOT1/INTU/BLOC1S2/SPAST/ARHGAP21/FBXW11/IFT20/UCHL1/TRIM46/HSPB1/DYNC1H1/AP3B2/STAU2	48
GO:0099111	microtubule-based transport	47/1553	221/21261	2.1893718506432078e-11	1.5467912124794262e-8	1.245637352918583e-8	APBA1/WDR35/DYNC2H1/ROPN1L/RHOT2/MAPT/MAP2/DNAAF11/DTNBP1/GAS8/RPGR/TMEM201/CALY/CCDC39/DYNC1I2/DLG2/BORCS8/SYBU/MAP1A/TRAK1/CLUAP1/DNAAF2/FLOT2/MECP2/KIF13A/AP3B1/HSPA8/STK11/WDPCP/FEZ1/HNRNPU/DST/PRKCZ/RHOT1/INTU/CCDC40/BLOC1S2/SPAST/ARHGAP21/FBXW11/IFT20/UCHL1/TRIM46/HSPB1/DYNC1H1/AP3B2/STAU2	47
GO:0010970	transport along microtubule	41/1553	179/21261	3.600867980842654e-11	1.69600881897689e-8	1.3658029078213715e-8	APBA1/WDR35/DYNC2H1/RHOT2/MAPT/MAP2/DTNBP1/RPGR/TMEM201/CALY/DYNC1I2/DLG2/BORCS8/SYBU/MAP1A/TRAK1/CLUAP1/FLOT2/MECP2/KIF13A/AP3B1/HSPA8/STK11/WDPCP/FEZ1/HNRNPU/DST/PRKCZ/RHOT1/INTU/BLOC1S2/SPAST/ARHGAP21/FBXW11/IFT20/UCHL1/TRIM46/HSPB1/DYNC1H1/AP3B2/STAU2	41
GO:0032886	regulation of microtubule-based process	53/1553	288/21261	3.5769953273377644e-10	1.2635735993820652e-7	1.0175610391716113e-7	HAUS4/AKAP9/MDM1/MAPT/PSRC1/STMN3/MAP2/KIF9/XPO1/SNCA/NUP62/TRIM36/PHLDB2/PDCD6IP/CALY/CCDC39/NUMA1/PRUNE1/PRKAA1/TMEM67/MAP1A/MAPRE2/CLASP1/MARK4/CCSAP/HAUS7/ARHGEF2/CHMP1A/HAUS8/MECP2/AURKA/MAP6/MID1IP1/STK11/TAOK1/FEZ1/HNRNPU/DCTN1/ATF5/CCDC40/BMERB1/ATAT1/DIXDC1/HAUS5/SPAST/CIB1/MARK2/DIAPH1/BBS2/TRIM46/DYNC1H1/ALMS1/ERBB2	53
GO:0051656	establishment of organelle localization	75/1553	495/21261	1.1986782165382353e-9	3.387464639937053e-7	2.7279392675322786e-7	MLH1/BBS7/RHOT2/MAPT/PSRC1/MAP2/TRAPPC2/SEH1L/XPO1/TLE6/DTNBP1/SNCA/GPSM1/NUP62/PDCD6IP/TMEM201/SHROOM2/PINX1/NUMA1/CCDC186/MIS12/BORCS8/SYBU/PSEN1/EXOC1/NECTIN2/CLASP1/DNM1/HOOK3/TRAK1/CHMP1A/MECP2/DOCK7/KIF13A/PPFIA2/NUF2/SPDL1/TERF1/AP3B1/HGS/STK11/FEZ1/HNRNPU/EIF6/DCTN1/PRKCZ/BOD1/RHOT1/PARD3/BLOC1S2/SPAST/ARHGAP21/EXOC3/FBXW11/ITGB1/KIF22/NUSAP1/RAB27A/UCHL1/BBS2/TRIM46/TRAPPC12/ARL6/SYNJ1/DYNC1H1/NEK2/RIPOR1/RPS15/AP3B2/SPHK2/NUP88/LLGL2/ENKD1/CHAMP1/PINK1	75
GO:0007163	establishment or maintenance of cell polarity	45/1553	239/21261	3.6059611563162914e-9	8.492038523124866e-7	6.838673701715634e-7	RHOBTB1/DLG4/TTC8/FSCN1/FRMD4B/PLEKHG3/GPSM1/PHLDB2/PDCD6IP/OPHN1/NUMA1/ANK1/DLG2/NEK3/SDCCAG8/CLASP1/CTNNA1/CRB1/FLOT2/DOCK7/SPDL1/ABL2/FAT1/PTK7/STK11/WDPCP/FEZ1/SLC9A6/DST/KANK1/DCTN1/MYO18A/PRKCZ/PARD3/MARK2/FBXW11/IFT20/ITGB1/RPGRIP1L/LLGL2/ENKD1/MAP7/PDZD11/PTK2B/DOCK8	45
GO:0030010	establishment of cell polarity	35/1553	163/21261	5.914136813029959e-9	1.193810759544476e-6	9.613807360729901e-7	TTC8/FSCN1/FRMD4B/PLEKHG3/GPSM1/PHLDB2/OPHN1/NUMA1/NEK3/SDCCAG8/CLASP1/CRB1/FLOT2/DOCK7/SPDL1/ABL2/FAT1/PTK7/STK11/WDPCP/FEZ1/SLC9A6/KANK1/DCTN1/MYO18A/PRKCZ/PARD3/MARK2/FBXW11/IFT20/ITGB1/LLGL2/ENKD1/PTK2B/DOCK8	35
GO:0010975	regulation of neuron projection development	69/1553	484/21261	6.591973931196696e-8	1.1643073955976165e-5	9.376215552136354e-6	SEMA4C/FLNA/ISLR2/NPTN/DISC1/ELAVL4/MAPT/NTRK2/NOVA2/MAP2/TUBB2B/SPART/DTNBP1/AP2A1/L1CAM/CAMK2G/ALK/DAB2IP/SMURF1/SHANK3/MAP2K1/SNAP25/RNF6/PSEN1/AKT1/RAPGEF1/ABI2/PAQR3/ZFYVE27/TRAK1/CBFA2T2/PPFIA2/EZH2/NEO1/CCDC88A/ARSB/SPP1/ABL2/FN1/RTN4/NTNG2/MAP6/NEDD4L/PTK7/STK11/FEZ1/VLDLR/PTPRO/PMP22/KANK1/NR2E1/FAT3/CIB1/MARK2/LPAR1/PPP3CA/ROR2/SEMA6C/SHOC2/DDR1/MYCBP2/FEZF2/TRIM46/CYFIP1/SEMA4B/STAU2/PQBP1/SEMA4D/PTK2B	69
GO:0070507	regulation of microtubule cytoskeleton organization	35/1553	182/21261	1.115754189981619e-7	1.751734078271142e-5	1.4106786893217897e-5	HAUS4/AKAP9/MAPT/PSRC1/STMN3/MAP2/SNCA/NUP62/TRIM36/PHLDB2/NUMA1/PRUNE1/PRKAA1/MAP1A/MAPRE2/CLASP1/CCSAP/HAUS7/ARHGEF2/CHMP1A/HAUS8/MECP2/MAP6/MID1IP1/TAOK1/HNRNPU/DCTN1/BMERB1/ATAT1/DIXDC1/HAUS5/SPAST/CIB1/MARK2/DYNC1H1	35
GO:0007409	axonogenesis	67/1553	476/21261	1.6576784629856893e-7	2.342299668198779e-5	1.8862635984079263e-5	ADGRB1/EPHA8/SEMA4C/ISLR2/DISC1/MAPT/NLGN3/NTRK2/NOVA2/MAP2/TTC8/TUBB2B/SPART/NEXN/APLP2/TUBB3/ARK2C/L1CAM/NRXN1/SMURF1/OPHN1/BOC/VAX2/MAP2K1/SNAP25/RNF6/MAP1A/PSEN1/PTPN11/ZFYVE27/TRAK1/SLITRK2/DOCK7/NEO1/SPP1/FN1/RTN4/NTNG2/MAP6/NFASC/NCAM1/PTK7/NOTCH1/STK11/FEZ1/SLC9A6/PTPRO/NR2E1/PARD3/ANK3/SPAST/MARK2/ITGB1/SEMA6C/PPP3CB/UCHL1/MYCBP2/FEZF2/BCL2/TRIM46/CYFIP1/AUTS2/SEMA4B/TRIO/SEMA4D/ERBB2/LGI1	67
