sample	n	num_genes	stage
EP1_BRN3B_RO	1	4645	Stage_3
EP1_BRN3B_RO	2	3388	Stage_3
EP1_BRN3B_RO	3	2352	Stage_3
EP1_BRN3B_RO	4	1707	Stage_3
EP1_BRN3B_RO	5	1066	Stage_3
EP1_BRN3B_RO	6	732	Stage_3
EP1_BRN3B_RO	7	481	Stage_3
EP1_BRN3B_RO	8	337	Stage_3
EP1_BRN3B_RO	9	218	Stage_3
EP1_BRN3B_RO	10	153	Stage_3
EP1_BRN3B_RO	11	110	Stage_3
EP1_BRN3B_RO	12	98	Stage_3
EP1_BRN3B_RO	13	61	Stage_3
EP1_BRN3B_RO	14	52	Stage_3
EP1_BRN3B_RO	15	35	Stage_3
EP1_BRN3B_RO	16	30	Stage_3
EP1_BRN3B_RO	17	12	Stage_3
EP1_BRN3B_RO	18	12	Stage_3
EP1_BRN3B_RO	19	12	Stage_3
EP1_BRN3B_RO	20	9	Stage_3
EP1_BRN3B_RO	21	5	Stage_3
EP1_BRN3B_RO	22	5	Stage_3
EP1_BRN3B_RO	23	7	Stage_3
EP1_BRN3B_RO	24	4	Stage_3
EP1_BRN3B_RO	25	2	Stage_3
EP1_BRN3B_RO	26	5	Stage_3
EP1_BRN3B_RO	28	3	Stage_3
EP1_BRN3B_RO	30	1	Stage_3
EP1_BRN3B_RO	32	2	Stage_3
EP1_BRN3B_RO	33	1	Stage_3
EP1_BRN3B_RO	34	2	Stage_3
EP1_BRN3B_RO	36	1	Stage_3
EP1_WT_ROs_D45	1	4561	Stage_1
EP1_WT_ROs_D45	2	3338	Stage_1
EP1_WT_ROs_D45	3	2352	Stage_1
EP1_WT_ROs_D45	4	1615	Stage_1
EP1_WT_ROs_D45	5	1017	Stage_1
EP1_WT_ROs_D45	6	675	Stage_1
EP1_WT_ROs_D45	7	460	Stage_1
EP1_WT_ROs_D45	8	305	Stage_1
EP1_WT_ROs_D45	9	220	Stage_1
EP1_WT_ROs_D45	10	135	Stage_1
EP1_WT_ROs_D45	11	112	Stage_1
EP1_WT_ROs_D45	12	78	Stage_1
EP1_WT_ROs_D45	13	47	Stage_1
EP1_WT_ROs_D45	14	41	Stage_1
EP1_WT_ROs_D45	15	23	Stage_1
EP1_WT_ROs_D45	16	26	Stage_1
EP1_WT_ROs_D45	17	12	Stage_1
EP1_WT_ROs_D45	18	12	Stage_1
EP1_WT_ROs_D45	19	9	Stage_1
EP1_WT_ROs_D45	20	10	Stage_1
EP1_WT_ROs_D45	21	2	Stage_1
EP1_WT_ROs_D45	22	9	Stage_1
EP1_WT_ROs_D45	23	3	Stage_1
EP1_WT_ROs_D45	24	3	Stage_1
EP1_WT_ROs_D45	25	1	Stage_1
EP1_WT_ROs_D45	26	3	Stage_1
EP1_WT_ROs_D45	27	3	Stage_1
EP1_WT_ROs_D45	28	3	Stage_1
EP1_WT_ROs_D45	35	1	Stage_1
EP1_WT_ROs_D45	36	2	Stage_1
EP1_WT_hRO_2	1	4841	Stage_2
EP1_WT_hRO_2	2	3455	Stage_2
EP1_WT_hRO_2	3	2391	Stage_2
EP1_WT_hRO_2	4	1634	Stage_2
EP1_WT_hRO_2	5	988	Stage_2
EP1_WT_hRO_2	6	661	Stage_2
EP1_WT_hRO_2	7	407	Stage_2
EP1_WT_hRO_2	8	263	Stage_2
EP1_WT_hRO_2	9	180	Stage_2
EP1_WT_hRO_2	10	141	Stage_2
EP1_WT_hRO_2	11	91	Stage_2
EP1_WT_hRO_2	12	68	Stage_2
EP1_WT_hRO_2	13	58	Stage_2
EP1_WT_hRO_2	14	32	Stage_2
EP1_WT_hRO_2	15	22	Stage_2
EP1_WT_hRO_2	16	11	Stage_2
EP1_WT_hRO_2	17	13	Stage_2
EP1_WT_hRO_2	18	11	Stage_2
EP1_WT_hRO_2	19	8	Stage_2
EP1_WT_hRO_2	20	4	Stage_2
EP1_WT_hRO_2	21	2	Stage_2
EP1_WT_hRO_2	22	2	Stage_2
EP1_WT_hRO_2	23	2	Stage_2
EP1_WT_hRO_2	24	1	Stage_2
EP1_WT_hRO_2	26	2	Stage_2
EP1_WT_hRO_2	27	3	Stage_2
EP1_WT_hRO_2	29	2	Stage_2
EP1_WT_hRO_2	30	1	Stage_2
EP1_WT_hRO_2	35	1	Stage_2
