gene_name	DGE_log2FC	log10DGE_qval
RBM5	-0.35690778384974325	0.6055476589919642
KDM1A	0.1268461212225872	0.0730836932471488
RBM6	-0.2928819886872635	0.3003694812536749
UPF1	0.2498575282142231	0.31114370495104426
POLR2J	-0.4895827159285875	1.0263394410540867
GCFC2	-0.23759306808004396	0.23603233031997248
CDK11A	-0.3106261489602952	0.16328514218737872
AKAP8L	-0.5280631395324209	0.4391587004999088
PTBP1	-0.8138598829016165	1.368676629255484
CLK1	-0.8280716662959421	1.2774323373864216
STEEP1	0.0683184480808889	0.08012754456922282
NCDN	0.7725861256459613	1.370485488770656
AQR	0.343881743536306	0.9259452352850905
STRAP	-0.6365248124095442	1.5123894949574195
BCLAF1	0.45639728616899405	0.9962305173412803
ZCCHC8	0.06972579556987382	0.07947238235923336
MTREX	0.00743072935529866	0.00825341966223491
GEMIN8	-0.2128476081937664	0.11865607311892569
POLR2B	-0.2419433934270105	0.4065696168364915
CELF2	0.15460662780941278	0.0815300652183156
MAPK9	-0.2423055224968527	0.2824525611429509
THOC3	-0.4921884749919225	0.6374890390910014
THRAP3	0.20697077893601912	0.296412231880314
CCAR1	-0.31278072370551585	0.7445919641929473
SNRNP40	-0.11291759217485478	0.13001752982066983
SFSWAP	0.4034398741622504	0.5366740247999526
U2AF2	-0.4735625107401979	1.0932404921458279
SUGP2	-0.13833798777561498	0.17997317179752778
DDX20	-0.14056493879509557	0.14657935228132457
CDK13	0.1759767789500817	0.3293057915717804
YBX1	-0.0430723341428179	0.06089445178659924
NEO1	0.6173298753544234	1.3637186245634816
DHX8	0.14049718368520348	0.202961315518946
PRKCZ	0.1377857478298637	0.11466946467283322
GPKOW	-0.17645222401844052	0.22747142933647144
JMJD6	-0.4647952954648283	0.9364469428865828
PABPC1	-0.934416772949299	1.7054008996982255
ATP2B1	0.6098845816679487	1.4818966732876466
DAZAP1	0.24648812801523912	0.5390656090565371
FAM50A	-0.34951962633664535	0.736342635051289
CLASP1	-0.1661274020378992	0.16039735914061934
CLNS1A	-0.7966213057692612	1.704167021616596
KCNQ2	-0.9161193569757904	1.1415051327646943
ZNF638	-0.4611702739490384	0.9259098436404029
SART3	0.10488866023953893	0.1632103362729322
RBM7	-0.3467064242844501	0.622575328676892
GPATCH1	0.6910170284915249	1.2683044896148408
MBNL3	1.0596400530062131	0.4391631337164996
RAP1GAP	0.8888265467978571	1.143607324919839
XAB2	-0.583284824959901	1.0791710491656406
STXBP2	0.3453338400274487	0.2745341459775396
SNRPA	-0.8848106541678401	1.5430687100011404
RBFOX1	3.472569291885665	1.7440664605358325
THOC1	-0.27709968560780196	0.29664864269975716
DDX1	-0.22955899466235472	0.4472402882375003
EPB41L2	1.6934105860851556	2.475664415400929
WDR70	0.7622963454101617	1.0358212567961895
EPB41L3	-0.8605985401594931	1.72287320129754
GEMIN5	-0.24931972686800735	0.32693234456593984
YTHDC1	-0.16454296378915992	0.34001773567051785
PPIE	-0.1718930798021401	0.26265392708534263
REST	-0.6351052961450768	0.99114231776333
APLP2	-0.15555472861073302	0.25591715267596205
WBP11	0.3670014812485445	0.7090694297478508
CHERP	-0.05514562555413371	0.05002928411842535
RBM22	-0.17468921418081312	0.29740981774314873
SRRT	0.21719305322290505	0.3500155356143039
ATXN7L3	0.31687260666254113	0.5044032104148638
RTRAF	-0.956891662104214	1.7815093977083205
SF3B2	0.12065375341786208	0.20481992884639633
KHSRP	-0.12485408105860638	0.16369622364906908
EPB41L1	-0.1999605310397752	0.23017260051717595
FUS	0.09943730538460226	0.13109724478341492
RBM41	-1.350860500837651	1.1262419980162535
PCBP4	0.7114572915183869	1.3702671222492762
PDCD7	-0.4435566344123917	0.7889357683558991
PUS7	-0.32957937354723826	0.6524336217590394
HNRNPC	-0.25655118422057827	0.5647092180595694
GEMIN2	-0.2056874460521289	0.3455896925313991
CWF19L1	-0.11202850716989304	0.10520526947934082
SRPK1	-0.3240007545864475	0.6679917047321349
CDC5L	0.34939991721365915	0.7200398299833968
HNRNPH3	-0.6316977892574067	1.4398541150419648
CIRBP	-0.1045424791085313	0.18790935062259245
HNRNPM	-0.2726948951859573	0.5139415374712895
POLR2E	-0.49384608179326095	0.9305973254222248
ARVCF	-0.6471285761061982	1.0008002082723402
SF3A1	-0.24663043131852705	0.4534231352086727
PPIL2	-0.0274196307474584	0.03137510244267042
SNRPD3	-0.3506570110606065	0.7150022341799586
ESS2	-0.31847379486128924	0.515520236239802
TFIP11	-0.823757209016423	0.9103150291798011
SNU13	-0.30098713091496737	0.7546689126195918
POLR2F	-0.47801965846076	1.1550789148117495
DDX17	-0.21802405021841112	0.38327648750615584
RTCB	-0.1985542456229526	0.3838103073452636
THOC5	-0.1200432294299248	0.14481888230960197
ZMAT5	-0.30712874430468207	0.48665400878427856
RBFOX2	-1.0981315987071485	1.0833383803739964
PHF5A	0.3113885555043316	0.6282248796430941
RBM23	-0.7842146610120649	1.109558630935008
PRMT5	-0.3502563458502059	0.7359317235248495
SNW1	-0.06287271339458492	0.059140532590650406
SRSF5	0.1669206794866067	0.20849756216828738
ACIN1	0.3081996093426857	0.5924515022723265
PNN	0.12498847396112642	0.16826768559744615
PRPF6	0.35302254548685486	0.7046965013542505
PLCB4	0.07572376025096647	0.09556662429962279
CRNKL1	-0.09104668259186778	0.06573302226978701
DHX35	0.5432632366761372	0.6989984234658363
CELF4	0.5729841468831872	1.0290122480208503
METTL4	-0.345231069749761	0.4576951224662462
NKAP	-0.15157500842495145	0.30562086225673457
FMR1	-1.105792850992923	0.9696730408365267
PQBP1	-0.2411892375787908	0.1783567803067748
HTATSF1	-0.2661938884570733	0.5872333292521885
RBM3	0.8510584821156795	1.7137496379424626
SUPT20H	-0.5353999048779113	1.128036942302594
POLR2C	-0.3144998380500393	0.6435739747137106
USB1	-0.36606945060640567	0.558306499472057
ESRP2	-0.5399162305528248	0.27400228410263266
HNRNPL	0.19576886702256177	0.27056307111200856
SNRNP70	-0.17100517546536406	0.29475886514824023
CLASRP	0.12732909234670595	0.22679184058573235
SF3A2	-0.6814414107782133	1.1873082396661152
YJU2B	-0.29386885169719545	0.6535606116756845
NOVA2	-0.17990505839948434	0.2551070798170058
FAM32A	-0.6500711056956956	1.2297732792577507
PRX	-0.7070088994698263	0.33996949843919466
YJU2	0.17327653282873967	0.19291348556702875
POLR2I	-0.2752313345127602	0.6181598784988226
CACTIN	0.8486506018070412	1.058943662771429
HNRNPUL1	0.1996864545919028	0.18080713954287622
PPP2R1A	-0.15511817791862034	0.2641781716823404
LENG1	0.1340485788309935	0.128574664290981
PRPF31	-0.35955957166058805	0.7403164999775623
SUGP1	0.03879731235160823	0.03303468796491349
