ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007269	neurotransmitter secretion	12/154	149/21261	9.156740681266057e-10	5.429947223990772e-7	4.6362023870410247e-7	BAIAP3/SYT7/NR4A1/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/NF1/UNC13B	12
GO:0099643	signal release from synapse	12/154	149/21261	9.156740681266057e-10	5.429947223990772e-7	4.6362023870410247e-7	BAIAP3/SYT7/NR4A1/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/NF1/UNC13B	12
GO:0001505	regulation of neurotransmitter levels	12/154	204/21261	3.202367321949e-8	1.2660025479438379e-5	1.0809394258648906e-5	BAIAP3/SYT7/NR4A1/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/NF1/UNC13B	12
GO:0099504	synaptic vesicle cycle	12/154	216/21261	6.014363774603792e-8	1.7832588591700242e-5	1.522583671360223e-5	SYT7/DNM1/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/LPAR1/UNC13B/ITSN1	12
GO:0006836	neurotransmitter transport	12/154	223/21261	8.528983363938337e-8	2.0230748539261734e-5	1.7273435781281434e-5	BAIAP3/SYT7/NR4A1/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/NF1/UNC13B	12
GO:0099003	vesicle-mediated transport in synapse	12/154	241/21261	1.9814041883652038e-7	3.916575612335219e-5	3.344054086328642e-5	SYT7/DNM1/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/LPAR1/UNC13B/ITSN1	12
GO:0045055	regulated exocytosis	10/154	247/21261	1.3265145050682964e-5	0.0022474945757299993	0.0019189578253769944	BAIAP3/SYT7/NAPB/SNAP25/SNCA/CASK/CADPS/STX3/RIMS2/UNC13B	10
GO:0006887	exocytosis	12/154	380/21261	2.193799391684421e-5	0.003252307598172154	0.0027768881773689645	BAIAP3/SYT7/NAPB/SNAP25/SYTL2/SNCA/CASK/CADPS/STX3/RIMS2/UNC13B/ITSN1	12
GO:0009314	response to radiation	13/154	465/21261	3.53436527574895e-5	0.0041958440846711405	0.0035824993427297745	PLEKHB1/BCL3/MAP3K4/MAPK8/MAPK10/REEP6/MSH6/CRB1/AKT1/XRCC4/PPM1D/MTA1/NF1	13
GO:0009416	response to light stimulus	11/154	344/21261	4.349108240364267e-5	0.0041958440846711405	0.0035824993427297745	PLEKHB1/BCL3/MAP3K4/MAPK8/MAPK10/REEP6/MSH6/CRB1/AKT1/MTA1/NF1	11
GO:0006906	vesicle fusion	7/154	129/21261	4.357529391915994e-5	0.0041958440846711405	0.0035824993427297745	SYT7/RAB34/SNAP25/SNCA/SEPTIN8/STX3/SPHK1	7
GO:0090174	organelle membrane fusion	7/154	131/21261	4.8072439411157386e-5	0.0041958440846711405	0.0035824993427297745	SYT7/RAB34/SNAP25/SNCA/SEPTIN8/STX3/SPHK1	7
GO:0032886	regulation of microtubule-based process	10/154	288/21261	4.916290862025422e-5	0.0041958440846711405	0.0035824993427297745	XPO1/MDM1/ALMS1/ARHGEF2/AKAP9/PSRC1/NUMA1/PHLDB2/SNCA/MAP6	10
GO:0051017	actin filament bundle assembly	8/154	179/21261	4.952935681736591e-5	0.0041958440846711405	0.0035824993427297745	FSCN1/ALMS1/TPM1/PHLDB2/TTC8/ESPN/FLNA/LPAR1	8
GO:0010975	regulation of neuron projection development	13/154	484/21261	5.323676366788719e-5	0.004209253447340947	0.0035939485367373672	MYCBP2/NEDD4L/COBL/SHOC2/SPP1/SNAP25/AKT1/MAP2K1/MAP6/SEMA4D/FLNA/LPAR1/DDR1	13
GO:0061572	actin filament bundle organization	8/154	183/21261	5.789122898968163e-5	0.004291187348860151	0.003663905413689061	FSCN1/ALMS1/TPM1/PHLDB2/TTC8/ESPN/FLNA/LPAR1	8
GO:1902903	regulation of supramolecular fiber organization	12/154	444/21261	9.807596281246578e-5	0.006805569812304943	0.005810737693651686	SPTBN1/ALMS1/ARHGEF2/AKAP9/PSRC1/NUMA1/TPM1/PHLDB2/SNCA/TTC8/FLNA/LPAR1	12
GO:1990778	protein localization to cell periphery	11/154	379/21261	1.032885806252015e-4	0.006805569812304943	0.005810737693651686	WNK1/RAB34/SPTBN1/SNAP25/NUMA1/AKT1/SNCA/TTC8/STX3/KCNIP4/FLNA	11
GO:0016050	vesicle organization	11/154	392/21261	1.3882939806652121e-4	0.008665877163520744	0.007399106977284954	BAIAP3/SYT7/DNM1/RAB34/SNAP25/AP3B1/SNCA/SEPTIN8/STX3/SPHK1/UNC13B	11
