isoform_id	DTU_Stage_1_vs_Stage_2	DTU_Stage_1_vs_Stage_3	DTU_Stage_2_vs_Stage_3
BambuTx1001	TRUE	FALSE	FALSE
BambuTx102	FALSE	FALSE	FALSE
BambuTx1023	FALSE	FALSE	FALSE
BambuTx1025	FALSE	FALSE	FALSE
BambuTx1030	FALSE	FALSE	FALSE
BambuTx1049	FALSE	TRUE	TRUE
BambuTx1056	FALSE	FALSE	FALSE
BambuTx1062	FALSE	FALSE	FALSE
BambuTx107	FALSE	FALSE	FALSE
BambuTx1074	FALSE	FALSE	FALSE
BambuTx1076	FALSE	FALSE	FALSE
BambuTx1078	FALSE	FALSE	FALSE
BambuTx108	FALSE	TRUE	FALSE
BambuTx109	FALSE	TRUE	FALSE
BambuTx110	FALSE	FALSE	FALSE
BambuTx1100	FALSE	TRUE	TRUE
BambuTx1107	FALSE	FALSE	FALSE
BambuTx112	FALSE	FALSE	FALSE
BambuTx114	FALSE	FALSE	FALSE
BambuTx115	FALSE	FALSE	FALSE
BambuTx119	FALSE	FALSE	FALSE
BambuTx120	FALSE	FALSE	FALSE
BambuTx131	FALSE	FALSE	FALSE
BambuTx133	FALSE	FALSE	FALSE
BambuTx137	FALSE	FALSE	FALSE
BambuTx138	FALSE	FALSE	FALSE
BambuTx139	FALSE	FALSE	FALSE
BambuTx140	FALSE	FALSE	FALSE
BambuTx142	FALSE	FALSE	FALSE
BambuTx143	FALSE	TRUE	TRUE
BambuTx147	FALSE	FALSE	FALSE
BambuTx152	FALSE	FALSE	FALSE
BambuTx155	FALSE	FALSE	FALSE
BambuTx156	FALSE	FALSE	FALSE
BambuTx159	FALSE	FALSE	FALSE
BambuTx16	FALSE	FALSE	TRUE
BambuTx162	FALSE	FALSE	FALSE
BambuTx167	TRUE	FALSE	FALSE
BambuTx168	FALSE	FALSE	FALSE
BambuTx172	FALSE	FALSE	FALSE
BambuTx177	FALSE	FALSE	FALSE
BambuTx178	FALSE	FALSE	FALSE
BambuTx181	FALSE	FALSE	FALSE
BambuTx187	FALSE	FALSE	FALSE
BambuTx191	FALSE	FALSE	FALSE
BambuTx192	TRUE	TRUE	FALSE
BambuTx195	FALSE	FALSE	FALSE
BambuTx198	FALSE	FALSE	FALSE
BambuTx200	FALSE	FALSE	FALSE
