isoform_id	logFC	logCPM	F	PValue	FDR	gene_id	gene_name	transcript_biotype
ENST00000354190	3.5299521151997	5.45090695588017	242.22566252701	3.89412018513704e-09	2.16919142358988e-05	ENSG00000021300	PLEKHB1	protein_coding
ENST00000386847	-6.76650209308495	9.38223592408114	252.572854747727	4.08356819199901e-09	2.16919142358988e-05	ENSG00000209582	SNORA48	snoRNA
ENST00000453788	5.05497795541909	5.94332489723061	262.982077514816	2.46343621142929e-09	2.16919142358988e-05	ENSG00000109971	HSPA8	protein_coding
ENST00000592535	4.75677909681779	5.18416488785295	225.877107870565	5.7397690992398e-09	2.28672400913713e-05	ENSG00000130208	APOC1	protein_coding
ENST00000301032	3.25223124410778	6.29825745160225	194.2270150888	1.32136938499311e-08	3.00819178846431e-05	ENSG00000109103	UNC119	protein_coding
ENST00000307959	3.51025951392863	7.48732788711021	195.191249803659	1.28584306362173e-08	3.00819178846431e-05	ENSG00000120500	ARR3	protein_coding
ENST00000613376	3.78308479938559	7.998899220187	201.695924945158	1.15208659730032e-08	3.00819178846431e-05	ENSG00000251562	MALAT1	lncRNA
ENST00000278833	4.86682122309223	7.85840390081046	203.980641820268	2.85688675168994e-08	4.55273472749308e-05	ENSG00000149489	ROM1	protein_coding
ENST00000285279	2.65476877159404	6.41114279382452	174.188929098186	2.40148772933835e-08	4.55273472749308e-05	ENSG00000154978	VOPP1	protein_coding
ENST00000299162	-4.43657465066405	6.61873294728987	169.762573206169	2.76427329698522e-08	4.55273472749308e-05	ENSG00000139445	FOXN4	protein_coding
ENST00000317735	4.76037377148513	3.87338515877291	162.802172807704	3.47344527616619e-08	5.03207490190768e-05	ENSG00000180245	RRH	protein_coding
ENST00000252486	2.61770480871657	8.63673339438128	160.158357302709	3.79733705098033e-08	5.04286360370188e-05	ENSG00000130203	APOE	protein_coding
ENST00000333461	2.66842856852763	6.03525683661142	157.749154063954	4.12370319171276e-08	5.05502569716419e-05	ENSG00000141750	STAC2	protein_coding
ENST00000597629	3.42456275203053	5.62844127685767	152.495018924448	4.95667573134829e-08	5.26597229698442e-05	ENSG00000128016	ZFP36	protein_coding
transcript43059	-3.92168450342307	5.45150891737096	152.782338389548	4.90630981857865e-08	5.26597229698442e-05	NA	NA	NA
ENST00000302754	2.98435136579094	6.27602459637298	144.114577774657	6.73167254810186e-08	5.64610177508165e-05	ENSG00000171223	JUNB	protein_coding
ENST00000373673	-5.34018169972292	8.41735252333349	156.575773445065	5.82229692797233e-08	5.64610177508165e-05	ENSG00000179774	ATOH7	protein_coding
ENST00000555978	5.06512177952715	4.7205107776806	173.273707912268	6.55367751105672e-08	5.64610177508165e-05	ENSG00000173976	RAX2	protein_coding
