ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0099504	synaptic vesicle cycle	35/875	216/21261	3.603545091537638e-12	5.070187943793457e-9	3.922174341736756e-9	RAB27B/PFN2/BIN1/PPP3CB/AMPH/GIT1/CACNB4/BLTP1/NAPB/STX1A/RIMS1/ATP6V1H/PPFIA2/GIT2/ITSN1/AP2B1/DNAJC5/PRRT2/DNM1/DNAJC6/ITSN2/ERC2/SYNJ1/BLOC1S6/ATP6V1B2/SNAP25/CASK/PPFIA3/CLCN3/SNX9/PICALM/ATP2A2/CSPG5/PPP3CC/RAPGEF4	35
GO:0099003	vesicle-mediated transport in synapse	35/875	241/21261	8.573225600695545e-11	6.031264210089316e-8	4.665639616378523e-8	RAB27B/PFN2/BIN1/PPP3CB/AMPH/GIT1/CACNB4/BLTP1/NAPB/STX1A/RIMS1/ATP6V1H/PPFIA2/GIT2/ITSN1/AP2B1/DNAJC5/PRRT2/DNM1/DNAJC6/ITSN2/ERC2/SYNJ1/BLOC1S6/ATP6V1B2/SNAP25/CASK/PPFIA3/CLCN3/SNX9/PICALM/ATP2A2/CSPG5/PPP3CC/RAPGEF4	35
GO:1990778	protein localization to cell periphery	45/875	379/21261	1.8469016573040536e-10	8.661968772756011e-8	6.700688819832953e-8	PLK1/PRKCZ/LARGE1/PLS1/ANK3/IFT80/TNIK/FGF13/GOLGA7/SEC23A/AFDN/ANK2/BCL2L1/IFT20/RAMP2/ZFYVE27/EPB41L3/ACSL3/PACS2/GGA1/WNK1/EPB41L2/GAS6/FLOT2/ARL13B/WNK3/SLMAP/SNAP25/ATP1B3/IQSEC2/CLASP2/HYCC1/RDX/CLTC/DPP6/PRNP/KCNB1/HECTD1/MAP7/GOLGA4/ABCA2/PICALM/FLNA/ERBB2/GORASP1	45
GO:0010970	transport along microtubule	27/875	179/21261	5.297215764790579e-9	1.863295645265086e-6	1.4414002896824891e-6	RAB27B/PRKCZ/WDR35/APP/BORCS8/AP3B1/DLG2/IFT80/RAB6A/IFT56/MAP1A/IFT20/STAU1/SUN1/CLUAP1/CDC42/FLOT2/BLOC1S6/FBXW11/MAP2/IFT122/DST/OPA1/HSPB1/SYNE2/KIF1B/DYNC1I1	27
GO:0072659	protein localization to plasma membrane	37/875	315/21261	1.0330192970336407e-8	2.9069163018526647e-6	2.248719901332178e-6	PRKCZ/LARGE1/PLS1/ANK3/TNIK/FGF13/GOLGA7/SEC23A/AFDN/ANK2/BCL2L1/IFT20/RAMP2/ZFYVE27/EPB41L3/ACSL3/PACS2/GGA1/WNK1/GAS6/FLOT2/WNK3/SLMAP/ATP1B3/CLASP2/HYCC1/RDX/CLTC/DPP6/PRNP/KCNB1/HECTD1/MAP7/GOLGA4/PICALM/FLNA/GORASP1	37
GO:0030705	cytoskeleton-dependent intracellular transport	30/875	228/21261	1.9715162827446912e-8	4.623205683036301e-6	3.576399712908791e-6	RAB27B/PRKCZ/WDR35/APP/BORCS8/AP3B1/DLG2/IFT80/RAB6A/IFT56/PPFIA2/MAP1A/IFT20/STAU1/SUN1/CLUAP1/CDC42/FLOT2/BLOC1S6/FBXW11/MAP2/IFT122/DST/OPA1/MYO1B/HSPB1/SYNE2/KIF1B/DYNC1I1/TUBA1C	30
GO:0000910	cytokinesis	27/875	197/21261	4.242517054327317e-8	8.527459279197906e-6	6.596635540111948e-6	CFL1/PLK1/RASA1/GIT1/ANK3/CDC25B/PDCD6IP/SPIRE1/SEPTIN8/RAB11FIP4/SEPTIN9/MYH10/EXOC6/BCL2L1/RHOC/CIT/SEPTIN2/WNK1/CDC42/IQGAP1/CSPP1/PLEC/SNX9/EXOC1/SEPTIN6/KIF23/BRCA2	27
GO:0007163	establishment or maintenance of cell polarity	30/875	239/21261	5.7960074295577747e-8	1.0193728066734736e-5	7.885620634424658e-6	PLK1/PRKCZ/CLASP1/RUFY3/DLG3/PTK2B/DLG2/PDCD6IP/FGF13/FAT1/FSCN1/IFT20/DCTN1/LAMA1/CKAP5/CDC42/FLOT2/FBXW11/FRMD4A/CLASP2/RPGRIP1L/PTK2/DST/GSN/ERBIN/MAP7/PHLDB2/PAX6/LMNA/RHOBTB2	30
GO:0031109	microtubule polymerization or depolymerization	23/875	152/21261	6.72070262659967e-8	1.0506698439584152e-5	8.127726919186034e-6	CLASP1/EML2/AKAP9/GIT1/CRYAB/FBXO5/RANBP9/FGF13/KIF2A/MAP1A/CAMSAP2/MID1IP1/ARHGEF7/MAPRE2/DCTN1/CKAP5/MAP2/NCKAP5L/CSNK1D/CLASP2/NIN/SLAIN1/CLIP1	23
GO:0051017	actin filament bundle assembly	25/875	179/21261	9.197293586185911e-8	1.2044835321150215e-5	9.317592280753617e-6	PFN2/CLASP1/ADD1/PTK2B/PLS1/CALD1/DMTN/SPIRE1/TPM1/CD47/FSCN1/TMEFF2/RHOC/ACTN1/LIMCH1/CDC42/MTSS1/MTOR/CLASP2/RDX/HSP90B1/MYO1B/PHACTR1/PHLDB2/FLNA	25
