ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005938	cell cortex	49/900	318/22568	3.957927406511943e-16	8.113751183349483e-14	4.91616246282536e-14	EMD/PRKCZ/SHROOM2/CLASP1/CLTB/PTK2B/PLS1/ASPH/CALD1/DMTN/LANCL2/SPIRE1/RIMS1/ERC1/POTEF/CLIP2/SEPTIN8/RAI14/FSCN1/SEPTIN9/MYH10/EXOC6/CLTA/ARHGEF7/ACTN1/DCTN1/SEPTIN2/EPB41L2/ERC2/IQGAP1/FLOT2/SNAP25/FRYL/ENO1/CLASP2/PTK2/RDX/DST/PPFIA3/GSN/FNBP1/SNX9/PHLDB2/DBNL/EXOC1/CLIP1/FLNA/FGFR2/SEPTIN6	49
GO:0031252	cell leading edge	58/900	461/22568	9.102902416183718e-15	9.330474976588312e-13	5.653381500577257e-13	CFL1/PRKCZ/RUFY3/PACSIN2/PTK2B/PTPN13/RASA1/PDLIM7/AMPH/PTPRJ/GIT1/TLN1/SGCE/TPM1/FAT1/TLN2/ACTA2/FSCN1/MYH10/ITSN1/ABLIM1/CLRN1/ARHGEF7/SORBS2/ACTN1/EPB41L3/DCTN1/ACAP2/NCKAP1/ROBO2/SCYL3/GRIA1/DUOX1/CDC42/IQGAP1/FLOT2/ATP6V1B2/MTSS1/SNAP25/PLEKHO1/CLASP2/RDX/DST/PTPRO/GSN/SYNE2/CLCN3/ABI2/KCNB1/SNX9/PTPRM/PHLDB2/NHS/DBNL/PLEKHG5/CLIP1/ERBB2/RIGI	58
GO:0005925	focal adhesion	58/900	495/22568	2.0324292891730256e-13	1.3888266809349008e-11	8.414970390260245e-12	CFL1/CLASP1/PACSIN2/ADD1/PTK2B/SLC4A2/PDLIM7/DDR2/GIT1/TLN1/RPL9/TGFB1I1/AFAP1/PDCD6IP/MPRIP/FAT1/FHL1/TLN2/YES1/GIT2/TRIOBP/RPL8/PTPRA/ARHGEF7/SORBS2/ACTN1/MAPRE2/STX16/LIMS1/NCKAP1/EPB41L2/CNN2/CDC42/IQGAP1/FLOT2/CASK/USP33/RPL10A/CLASP2/PTK2/RPL7/RDX/PLEC/HSP90B1/CLTC/DST/PPFIBP1/HSPB1/MAP4K4/GSN/SYNE2/IGF2R/PHLDB2/NHS/LMO7/ZFYVE21/FLNA/KIF23	58
GO:0098978	glutamatergic synapse	48/900	440/22568	3.02352582094626e-10	1.5495569832349582e-8	9.388843338727859e-9	PRKCZ/ELAVL4/PFN2/SCN2A/BIN1/RTN4/PACSIN2/DLG3/PTK2B/AKAP9/PPP3CB/LYN/DGCR8/CACNB4/CNR1/NAPB/TNIK/PPFIA2/STAU1/AP2B1/FBXO2/DISC1/PRRT2/ACTN1/DNM1/SLC16A7/GRIA1/ERC2/CDC42/PTPRD/FLOT2/SNAP25/FXR1/PPFIA3/RELA/PTPRO/ERBIN/CLCN3/NRXN2/PLEKHA5/DBNL/CBLN2/DAPK1/TRIO/CSPG5/RGS9/FLNA/PPP3CC	48
GO:0030427	site of polarized growth	27/900	185/22568	5.721864274736823e-9	2.3459643526420973e-7	1.4214315461451473e-7	CFL1/ELAVL4/APP/RUFY3/PTK2B/MYH14/CNR1/FGF13/FSCN1/EXOC6/MAP3K12/DISC1/ZFYVE27/TENM2/NEO1/ERC2/KLC1/IQGAP1/SNAP25/FRYL/FXR1/MAP2/FKBP15/USP9X/PTPRO/NIN/FLNA	27
GO:0005819	spindle	47/900	472/22568	8.923576118720604e-9	3.0488885072295393e-7	1.84733681054216e-7	PLK1/EMD/MTUS1/APP/CLASP1/WDR62/EML2/KIFC2/GIT1/IKBKG/CEP128/CDC25B/MIS12/EML4/FBXO5/KIF2A/CEP95/RAB11FIP4/EML1/CLTA/ARHGEF7/MAPRE2/TBL1X/SBDS/DCTN1/SEPTIN2/KATNA1/CKAP5/WNK1/CDC42/CNTRL/TACC3/BRCC3/RIF1/CSPP1/CSNK1D/SGF29/CLASP2/CLTC/HSPB1/NIN/MAPKBP1/KAT14/STAG1/DYNC1I1/SEPTIN6/KIF23	47
GO:0030426	growth cone	26/900	180/22568	1.360677381236328e-8	3.984840902192103e-7	2.414435052419349e-7	CFL1/ELAVL4/APP/RUFY3/PTK2B/MYH14/CNR1/FGF13/FSCN1/EXOC6/MAP3K12/DISC1/ZFYVE27/TENM2/NEO1/ERC2/KLC1/IQGAP1/SNAP25/FXR1/MAP2/FKBP15/USP9X/PTPRO/NIN/FLNA	26
GO:0008021	synaptic vesicle	30/900	238/22568	2.6693507756591338e-8	6.84021136262653e-7	4.1445183095760233e-7	RAB27B/APP/CLTB/VTI1A/BIN1/AMPH/DMXL2/SYNGR1/STX1A/ATP6V1H/PTPRN2/PPFIA2/SEPTIN8/BCL2L1/DNAJC5/DISC1/CLTA/PRRT2/TMEM163/STX16/SEPTIN2/IQSEC1/GRIA1/ATP6V1B2/SNAP25/VPS45/CLCN3/PICALM/KIF1B/SEPTIN6	30
GO:0150034	distal axon	34/900	295/22568	3.103758971528249e-8	7.069673212925457e-7	4.283550393454192e-7	CFL1/ELAVL4/APP/RUFY3/BIN1/PTK2B/GIT1/MYH14/CNR1/FGF13/FSCN1/EXOC6/MAP3K12/DISC1/ZFYVE27/PRRT2/TENM2/NEO1/ERC2/SYNJ1/KLC1/IQGAP1/SNAP25/FXR1/MAP2/FKBP15/USP9X/PTPRO/CLCN3/PRNP/NIN/NTRK2/FLNA/SEPTIN6	34
GO:0070382	exocytic vesicle	31/900	258/22568	4.821650980477744e-8	9.884384509979374e-7	5.988998059961829e-7	RAB27B/APP/CLTB/VTI1A/BIN1/AMPH/DMXL2/SYNGR1/STX1A/RAB6A/ATP6V1H/PTPRN2/PPFIA2/SEPTIN8/BCL2L1/DNAJC5/DISC1/CLTA/PRRT2/TMEM163/STX16/SEPTIN2/IQSEC1/GRIA1/ATP6V1B2/SNAP25/VPS45/CLCN3/PICALM/KIF1B/SEPTIN6	31
