ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003735	structural constituent of ribosome	38/907	196/21059	4.6390328320818215e-15	9.09250435088037e-13	7.178292908589766e-13	RPL11/RPL19/RPL24/RPS12/RPS15A/RPS13/RPL37/RPL27/RPL34/RPL26/RPS6/RPS19/RPL31/UBA52/RPL7/RPL37A/RPS16/RPS20/RPS24/RPS5/RPL4/RPL5/RPL38/RPLP0/RPL18/RPSA2/RPS23/RPL9/RPL27A/RPL35A/RPL23/RPL30/RPS29/RPLP2/RPL28/RPS21/RPS3/RPSA	38
GO:0030527	structural constituent of chromatin	22/907	101/21059	2.5710768816213667e-10	2.5196553439889393e-8	1.9892015873596888e-8	HMGA1/H2AZ1/H2AC6/H2AC20/H1-0/H2BC18/H2BC4/H4C5/H2BC5/H2AC8/H2BC6/H2BC8/H2BC11/H2AC4/CENPA/H2BC17/H2AC17/H2AC12/H2AC7/H3C4/H2BC9/H3C2	22
GO:0046873	metal ion transmembrane transporter activity	43/907	473/21059	3.5139863622442665e-6	2.2958044233329207e-4	1.8124771763154639e-4	TRPC7/SLC30A8/SLC24A2/SLC4A10/HCN1/SLC9C2/SLC6A11/RYR2/ATP1A4/PKD1L1/KCNAB1/TMC1/SLC1A3/KCNN2/CACNA1S/KCNB1/SLC1A2/SLC4A4/CACNA1F/SCN2A/SCN9A/SLC24A1/ITPR1/SLC6A6/RYR3/SLC30A1/KCNH8/KCNA2/SLC23A2/STIM2/ITPR2/SLC38A3/SLC12A5/CACNA1D/SLC4A8/CACNA1H/SLC38A5/KCNN1/SLC38A2/FKBP1B/CACNB3/KCNMB4/SLC18A2	43
GO:0046982	protein heterodimerization activity	35/907	360/21059	6.634562228248725e-6	3.2509354918418753e-4	2.566528019875165e-4	EPAS1/KCNB1/ABCG4/AHR/MAPK4/GABBR2/NR4A1/EXT1/JDP2/CHRAC1/H2AZ1/H2AC6/FXR1/LSM6/H2AC20/RCC1/PAFAH1B3/H2BC18/H2BC4/H4C5/TUBB2B/H2BC5/H2AC8/H2BC6/H2BC8/H2BC11/H2AC4/CENPA/H2BC17/H2AC17/H2AC12/H2AC7/H3C4/H2BC9/H3C2	35
GO:0005262	calcium channel activity	18/907	136/21059	2.2327576485216783e-5	7.396109318383016e-4	5.839033672407646e-4	TRPC7/SLC24A2/RYR2/PKD1L1/TMC1/CACNA1S/CACNA1F/SCN2A/SCN9A/SLC24A1/ITPR1/RYR3/STIM2/ITPR2/CACNA1D/CACNA1H/FKBP1B/CACNB3	18
GO:0005261	monoatomic cation channel activity	33/907	350/21059	2.264115097464189e-5	7.396109318383016e-4	5.839033672407646e-4	TRPC7/CNGB1/SLC24A2/HCN1/P2RX7/RYR2/PKD1L1/KCNAB1/TMC1/KCNN2/CACNA1S/KCNB1/CNGB3/CACNA1F/SCN2A/SCN9A/SLC24A1/UNC80/ITPR1/RYR3/KCNH8/KCNA2/STIM2/ITPR2/CACNA1D/CHRNB4/CACNA1H/KCNN1/FKBP1B/CACNB3/KCNMB4/CHRNB3/P2RX3	33
GO:0015276	ligand-gated monoatomic ion channel activity	19/907	152/21059	3.0176992353780238e-5	8.107391180118699e-4	6.400571984304237e-4	CNGB1/GABRR3/GABRA5/GABRR1/CFTR/HCN1/GABRG3/P2RX7/RYR2/KCNN2/CNGB3/ITPR1/RYR3/ITPR2/CHRNB4/KCNN1/FKBP1B/CHRNB3/P2RX3	19
GO:0022834	ligand-gated channel activity	19/907	153/21059	3.309139257191306e-5	8.107391180118699e-4	6.400571984304237e-4	CNGB1/GABRR3/GABRA5/GABRR1/CFTR/HCN1/GABRG3/P2RX7/RYR2/KCNN2/CNGB3/ITPR1/RYR3/ITPR2/CHRNB4/KCNN1/FKBP1B/CHRNB3/P2RX3	19
GO:0022839	monoatomic ion gated channel activity	32/907	354/21059	6.766330842337642e-5	0.0013990897871288528	0.0011045445687859364	CNGB1/GABRR3/GABRA5/GABRR1/CFTR/HCN1/GABRG3/P2RX7/RYR2/KCNAB1/TMC1/KCNN2/CACNA1S/KCNB1/CNGB3/CACNA1F/SCN2A/SCN9A/ITPR1/RYR3/KCNH8/KCNA2/ITPR2/CACNA1D/CHRNB4/CACNA1H/KCNN1/FKBP1B/CACNB3/KCNMB4/CHRNB3/P2RX3	32
GO:0022836	gated channel activity	32/907	355/21059	7.138213199637004e-5	0.0013990897871288528	0.0011045445687859364	CNGB1/GABRR3/GABRA5/GABRR1/CFTR/HCN1/GABRG3/P2RX7/RYR2/KCNAB1/TMC1/KCNN2/CACNA1S/KCNB1/CNGB3/CACNA1F/SCN2A/SCN9A/ITPR1/RYR3/KCNH8/KCNA2/ITPR2/CACNA1D/CHRNB4/CACNA1H/KCNN1/FKBP1B/CACNB3/KCNMB4/CHRNB3/P2RX3	32
GO:0015081	sodium ion transmembrane transporter activity	19/907	164/21059	8.61175895804644e-5	0.0015344588688882745	0.0012114148964907433	SLC24A2/SLC4A10/HCN1/SLC9C2/SLC6A11/ATP1A4/SLC1A3/SLC1A2/SLC4A4/SCN2A/SCN9A/SLC24A1/SLC6A6/SLC23A2/SLC38A3/SLC4A8/SLC38A5/SLC38A2/SLC18A2	19
GO:0015085	calcium ion transmembrane transporter activity	18/907	154/21059	1.168913182402912e-4	0.001860988554602077	0.001469201490475324	TRPC7/SLC24A2/RYR2/PKD1L1/TMC1/CACNA1S/CACNA1F/SCN2A/SCN9A/SLC24A1/ITPR1/RYR3/STIM2/ITPR2/CACNA1D/CACNA1H/FKBP1B/CACNB3	18
GO:0005216	monoatomic ion channel activity	39/907	481/21059	1.2343291433585205e-4	0.001860988554602077	0.001469201490475324	TRPC7/CNGB1/GABRR3/GABRA5/SLC24A2/GABRR1/CFTR/HCN1/ANO2/GABRG3/P2RX7/RYR2/PKD1L1/KCNAB1/TMC1/KCNN2/CACNA1S/KCNB1/CNGB3/CACNA1F/SCN2A/SCN9A/SLC24A1/UNC80/ITPR1/RYR3/KCNH8/KCNA2/STIM2/ITPR2/CACNA1D/CHRNB4/CACNA1H/KCNN1/FKBP1B/CACNB3/KCNMB4/CHRNB3/P2RX3	39
GO:0005516	calmodulin binding	21/907	216/21059	4.443152546738189e-4	0.00610701398621073	0.004821326831218997	UNC13C/PDE1A/RYR2/MYO3A/KCNN2/CACNA1S/AKAP12/MYO5B/SCN2A/RYR3/PHKA1/SPTBN1/MAP2/CAMK1D/SNTB2/RGS2/SPHK1/KCNN1/GAP43/SYT7/MIP	21
GO:0099094	ligand-gated monoatomic cation channel activity	14/907	116/21059	4.6737351935286197e-4	0.00610701398621073	0.004821326831218997	CNGB1/HCN1/P2RX7/RYR2/KCNN2/CNGB3/ITPR1/RYR3/ITPR2/CHRNB4/KCNN1/FKBP1B/CHRNB3/P2RX3	14
